Арҽхәаԥхьыӡқәа, жәҩантәылақәа рынцәахәы Аллаҳ иузкуп.	﻿Хвала Аллаху, Господу миров,
Уа ауааԥсыра! Шәареи шәаԥхьатәиқәеи зшаз Анцәа шәимҵахырхәала, иара убри ала Аллаҳ иҿагылара шәҽацәышәыхьчап.	О люди! Поклоняйтесь вашему Господу, Который сотворил вас и тех, кто был до вас, — быть может, вы устрашитесь.
Уи адгьыл иарҭас, ажәҩангьы хыбрас ишәзыҟасҵеит, ажәҩан аҟынтә аӡы шәзылбаазгеит, убриалагьы иеиуеиԥшым аразҟқәа шәызцәырызгеит. Ус анакәха, шәаргьы идырны Аллаҳ ицназго крыҟоушәа шәымхәыцын.	Он сделал для вас землю ложем, а небо — кровлей, низвел с неба воду и взрастил ею плоды для вашего пропитания. Посему никого не равняйте с Аллахом сознательно.
Илбааҳгаз абри ашәҟәы (Аҟәырҟан) иазкны гәҩарак шәымазар, шәааи, шәаргьы иеиԥшу цәаҳәак аԥ ышәҵа. Шәажәа гәык ала шәазыҟазар, Аллаҳ ида зегьы рыцхыраара шәхы иархәаны абри шәҽазышәк.	Если же вы сомневаетесь в том, что Мы ниспослали Нашему рабу, то сочините одну подобную суру и призовите своих свидетелей, помимо Аллаха, если вы говорите правду.
Аха ишәзыҟамҵар (ахаангьы ишәзыҟаҵаӡом), усҟан былтәыс ауааԥсыреи ахаҳәи змоу амца шәҽацәышәыхьча. Уи амца азхамҵаҩцәа рзы еиқәҵоуп.	Если же вы этого не сделаете — а ведь вы никогда этого не сделаете, — то побойтесь Огня, растопкой которого являются люди и камни. Он уготован для неверующих.
Аиаша азхаҵаны, убас ала зхы мҩаԥызго рзы, аӡиасқәа зҭысуа џьанаҭтә баҳчақәа гәырӷьаҽҳәашас ирыҭ. Џьанаҭтәи ашәырқәа дара разҟыс ианырҭаххалак: «Арҭ уаанӡагьы (адунеи аҟынгьы) фатәыс иҳаман!» рҳәоит. Аиашазы, убас иагьыҟан. Уаҟа урҭ рзы ицқьашәқьоу ахатәҩызҵәақәагьы ыҟоуп. Урҭ уа наунагӡа иаанхоит.	Обрадуй тех, которые уверовали и совершали праведные деяния, тем, что им уготованы Райские сады, в которых текут реки. Всякий раз, когда им будут подавать плоды для пропитания, они будут говорить: «Это уже было даровано нам прежде». Но им будут давать нечто похожее. У них там будут очищенные супруги, и они пребудут там вечно.
Аллаҳ, кәыбрык акәзаргьы, мамзар уи аасҭа иеиҵоу акы акәзаргьы, ҿырԥшыс аагара дацәхьаҵуам. Азхаҵаҩцәа уи рынцәа иҟынтә иаауа ҵабыргык шакәу рдыруеит. Азхамҵаҩцәа ракәзар: «Аллаҳ абри ала ииҳәарц ииҭахәузеи!» рҳәоит. Аллаҳ абри ала ԥыҭҩык мҩахиҟьоит, ԥыҭҩыкгьы амҩа иаша иқәиҵоит . Амала уи ала, зегь ракәымкәа, ацәгьаршыҩцәа мацара мҩахиҟьоит.	Воистину, Аллах не смущается приводить притчи о комаре или том, что больше него. Те, которые уверовали, знают, что это — истина от их Господа. Те же, которые не уверовали, говорят: «Чего хотел Аллах, когда приводил эту притчу?». Посредством нее Он многих вводит в заблуждение, а многих наставляет на прямой путь. Однако вводит Он в заблуждение посредством нее только нечестивцев,
Урҭ роуп, ҿыӷәӷәала ишырҳәазгьы, Аллаҳ ирҭаз ажәа иахыԥаны, Аллаҳ еидышәҵа ззиҳәаз еидырхуеит, адунеиаҿы ацәгьа дыршоит, аха аҵыхәтәан изԥырхагахогьы дара ракәхоит.	которые нарушают завет с Аллахом после того, как они заключили его, разрывают то, что Аллах велел поддерживать, и распространяют нечестие на земле. Именно они окажутся в убытке.
Аԥсы шышәхамызгьы, аԥсҭазаара шәзаԥызҵаз мап шԥеицәышәкуеи? Уи шәыԥсы шәхихуеит, нас даҽазнык аԥсы шәхаиҵоит. Аҵыхәтәан Иара иахь шәдырхынҳәуеит.	Как вы можете не веровать в Аллаха, тогда как вы были мертвы, и Он оживил вас? Потом Он умертвит вас, потом оживит, а потом вы будете возвращены к Нему.
Адгьыл иқәу зегьы шәара шәзы ишаны, нас ажәҩан ахь дааԥшны, быжьџьараны ихарҭәааны еиқәзыршәаз иоуп Иара. Уи зегьы ишахәҭоу издыруа иоуп.	Он — Тот, Кто сотворил для вас все, что на земле, а затем обратился к небу и сделал его семью небесами. Ему известно о всякой вещи.
Абар, уара Унцәа, амаалықьцәа: «Сара адунеи аҟны хаҭыԥуаҩык дысшоит» ҳәа реиҳәеит. Урҭ ракәзар: «Ҳара уалкааны уҽхәаԥхьыӡ шаҳҳәо, уара уԥшьара аӡбахә шаҳҳәогьы, абраҟа ацәгьа зыршаша, ашьа казҭәаша аӡәы душома?» рҳәеит. Аллаҳгьы: «Хымԥада, сара шәарҭ ишәзымдырқәо здыруеит» ҳәа рылеиҳәеит.	Вот твой Господь сказал ангелам: «Я установлю на земле наместника». Они сказали: «Неужели Ты поселишь там того, кто будет распространять нечестие и проливать кровь, тогда как мы прославляем Тебя хвалой и освящаем Тебя?». Он сказал: «Воистину, Я знаю то, чего вы не знаете».
Нас, Адам ахьӡқәа зегьы иирҵеит. Ашьҭахьгьы убарҭ амаалықьцәа идырбаны: «Шәажәақәа рҿы шәиашазар, абарҭ рыхьыӡқәа сзеиҭашәҳәа» иҳәеит.	Он научил Адама всевозможным именам, а затем показал их (творения, нареченные именами) ангелам и сказал: «Назовите мне их имена, если вы говорите правду».
«Уара уалаҳкаауеит! Иаҳурҵаз ада уаҳа дыррак ҳамам. Ихарҭәаау адырреи аҟәыӷареи иақәиҭу хымԥада уара уоуп», - ҳәа аҭак ҟарҵеит.	Они ответили: «Пречист Ты! Мы знаем только то, чему Ты научил нас. Воистину, Ты — Знающий, Мудрый».
«Уа Адам! Абарҭ рыхьӡқәа рзеиҭаҳәа» ҳәаны, Адамгьы ахьӡқәа зегьы анырзеиҭеиҳәа: «Сара ажәҩанқәеи адгьыли рымаӡақәа хымԥада издыруеит; шәара иаашәырԥшуагьы ишәҵәахуагьы здыруеит ҳәа шәасымҳәаӡацзи?» иҳәеит.	Он сказал: «О Адам! Поведай им об их именах». Когда Адам поведал им об их именах, Он сказал: «Разве Я не говорил вам, что знаю сокровенное на небесах и земле, и знаю, что вы совершаете открыто и что утаиваете?».
АмаалДКықьцәа: «Асаара шәыҽкажьны, Адам изы шәсеихырхәа» ҳәа анраҳҳәа, Иблис (аҩсҭаа) ида зегьы иеихырхәеит. Уи даҿагылеит, дԥагьахеит, азхамҵаҩцәа дреиуахеит.	Вот Мы сказали ангелам: «Падите ниц перед Адамом». Они пали ниц, и только Иблис отказался, возгордился и стал одним из неверующих.
«Уа Адам! Уареи ухатәҩызеи џьанаҭ шәынхала, уаҟа ишәҭаху шәфа-ишәжәы, амала абри аҵла заҵәык ааигәара шәымнеин. Мамзар, агәымбылџьбаҩцәа шәреиуахоит» ҳҳәеит.	Мы сказали: «О Адам! Поселись в Раю вместе со своей супругой. Ешьте там вволю, где пожелаете, но не приближайтесь к этому дереву, а не то окажетесь одними из беззаконников».
Аха  аҩсҭаа  урҭ  мҩахҟьаны,  иахьыҟаз  аҭыԥ   иахигеит.  Ҳаргьы: «Шәеиӷацәаханы  адгьыл  ашҟа  шәылбаа!  Аамҭак  аҟыннӡа  убраҟа шәынхоит, насгьы ишышәҭаху шәхы иашәырхәоит» ҳҳәеит.	Дьявол же побудил их споткнуться о него и вывел их оттуда, где они находились. И тогда Мы сказали: «Низвергнитесь и будьте врагами друг другу! Земля будет для вас обителью и предметом пользования до определенного срока».
Абас ала Адам Инцәа иажәақәа идикылеит (абарҭ рылагьы аҭамзаара шьҭаиҵеит);  Инцәагьы  уи  иаҭамзаара  идикылеит.  Хымԥада,  Уи, аҭамзаара здызкыло, зрыцҳашьарагьы ҳәаа амам иоуп.	Адам принял слова от своего Господа, и Он принял его покаяние. Воистину, Он — Принимающий покаяние, Милосердный.
Урҭ убас раҳҳәеит: «Зегьы уантәи шәылбаа! Хымԥада сара сҟынтә ԥхьагылаҩык   дшәызнеиуеит.   Сара  ишәзынасышьҭуа   аԥхьагылаҩ ицныҟәаз ашәарҭеи ахьааи рԥеиԥшхаӡом»	Мы сказали: «Низвергнитесь отсюда все!». Если к вам явится руководство от Меня, то те, которые последуют за Моим руководством, не познают страха и не будут опечалены.
Ихазымҵази ҳажәақәа мцны изыԥхьаӡази ракәзар, урҭ џьаҳанымуаа роуп, наунагӡагьы убра инхоит.	А те, которые не уверуют и сочтут ложью Наши знамения, будут обитателями Огня. Они пребудут там вечно.
Исраил иԥацәа! Ишәаҭәасшьаз аразҟы шәгәалашәыршәа, сара иснышәҵаз ажәагьы  нашәыгӡа,  убри  ала  саргьы  сажәа  насыгӡап.  Сажәа ақәымныҟәара шәҽацәышәыхьча.	О сыны Исраила (Израиля)! Помните милость, которую Я оказал вам. Будьте верны завету со Мной, и Я буду верен завету с вами. Меня одного страшитесь.
Шәнапаҿы  иҟоу  арҵабыргразы  илбаазгаз  (Аҟәырҟан) азхашәҵа;  уи аԥхьанатә иаҿагылаз шәреиуамхан! Сажәақәа амаҷ азы ишәымҭиин. Сара мацара шәсыцәшәа.	Уверуйте в то, что Я ниспослал в подтверждение того, что есть у вас, и не становитесь первыми, кто отказался уверовать в это. Не продавайте Мои знамения за ничтожную цену и Меня одного бойтесь.
Идырны аиашеи амци еилашәымҵан, аиаша жәдыруазар, ишәымҵәахын.	Не облекайте истину в ложь и не скрывайте истину, тогда как вы знаете ее.
Анамаз  шәкы,  азеқьат  ишахәҭоу  ирышәҭ,  ихырхәо  азхаҵаҩцәа шәрыцхырхәа.	Совершайте намаз, выплачивайте закят и кланяйтесь вместе с кланяющимися.
Шәарҭ абри ашәҟәы шәшаԥхьогьы, ауааԥсыра абзиарахь ихьарԥшны, шәхы   шәхашҭуама?   Шәарҭ   шәымхәыцӡои,   шәыхшыҩ   шәхы иашәмырхәаӡои?	Неужели вы станете призывать людей к добродетели, предав забвению самих себя, ведь вы же читаете Писание? Неужели вы не образумитесь?
Ачҳареи анамази рыла Аллаҳ ицхыраара шәаҳәа. Хымԥада, абарҭқәа зегьы, Аллаҳ гәыкала иеихырхәо рыда, егьырҭ ирцәыхьанҭоуп.	Обратитесь за помощью к терпению и намазу. Воистину, намаз является тяжким бременем для всех, кроме смиренных,
Урҭ есаамҭа Анцәа иҿаԥхьа иҟоушәа ргәы иааигоит. Аҵыхәтәангьы иара ишизыхынҳәуа ала адырреи агәыӷреи рымоуп.	которые убеждены в том, что они встретятся со своим Господом и что они возвратятся к Нему.
Уа Исраил иԥацәа! Шәара ишәаҭәасшьаз аразҟи, шәарҭ ауааԥсыра зегьы шәреиҳаны аҭыԥ шшәысҭаз шәгәалашәыршәа.	О сыны Исраила (Израиля)! Помните о милости, которую Я оказал вам, а также о том, что Я возвысил вас над мирами.
Уи амш шәацәшәа, уи амш аҽны (зегьы дара рхы иахьашьҭало иахҟьаны), аӡәы  изы,  акы  ихушәаар  ҟалом,  аӡәгьы  иаҳаҭыр  мҩасуам,  аӡәы ихаҭыԥаны даҽаӡәы дрыдыркылом; џьарантә цхырааракгьы роуам.	Страшитесь того дня, когда ни один человек не принесет пользы другому и когда не будет принято заступничество, когда нельзя будет откупиться и когда им не будет оказана поддержка.
Ишәгәалашәыршәа! Шәарҭ Фараон иуаажәлар рҟынтә шәҿаҳхит. Урҭ агәаҟра  бааԥсы  шәҭадыргылон.  Шәҭыԥҳацәа  мацара  ааныжьны, шәыҷкәынцәа зегьы ршьуан. Шәара шәзықәшәаз аҟны Шәынцәа иҟынтә ԥышәарак ыҟан.	Вот Мы спасли вас от рода Фараона. Они подвергали вас ужасным мучениям, убивали ваших сыновей и оставляли в живых ваших женщин. Это было для вас великим испытанием (или великой милостью) от вашего Господа.
Аамҭак  азы шәара шәзы амшын  еиҩаҳшеит, шәыԥсы  еиқәҳархеит; Фараон иуаажәларгьы шәыбла ишабоз амшын иҭаҳхәаҽит.	Вот Мы разверзли для вас море, спасли вас и потопили род Фараона, тогда как вы наблюдали за этим.
Мыса ҩынҩажәа ҵхы азы ажәа иаҳҭахьан. Аха, иара данца ашьҭахь, шәарҭ, ииашамкәа шәхы мҩаԥганы, аҳәыс (нцәас) ишьҭышәхит.	Вот Мы определили Мусе (Моисею) сорок дней, а после его ухода вы стали поклоняться тельцу, будучи беззаконниками.
Уи ашьҭахьгьы, (шәыхшыҩ аус аруны) иаҳџьышәшьап ҳәа ишәанаҳажьит.	После этого Мы простили вас, — быть может, вы будете благодарны.
Амҩа иаша шәанылап ҳәа Мыса ашәҟәы иҭаны, аиашеи ахәанчеи еилзырго аԥҟарақәа шәзылбааҳгеит.	Вот Мы даровали Мусе (Моисею) Писание и различение, — быть может, вы последуете прямым путем.
Мыса иуаажәлар абас реиҳәахьан: « Уа сыуаажәлар! Хым ԥада, шәара аҳәыс нцәахәыс ишьҭыхны, шәхы иакәым азыжәуит. Убри азы шәызшаз иҿаԥхьа аҭамзаара шьҭашәҵа, шәгәаҳәарақәагьы шәхәаҽы. Абри иҟашәҵо шәызшаз иҿаԥхьа шәара шәзы иеиӷьу ауп. Абас ала шәаҭамзаарагьы идикылоит. Избанзар, арыцҳашьара змоу, аҭамзаарақәагьы здызкыло иара мацара иоуп.	Вот сказал Муса (Моисей) своему народу: «О мой народ! Вы были несправедливы к себе, когда стали поклоняться тельцу. Покайтесь перед своим Создателем и убейте сами себя (пусть невинные убьют беззаконников). Так будет лучше для вас перед вашим Создателем». Затем Он принял ваши покаяния. Воистину, Он — Принимающий покаяния, Милосердный.
Аамҭак азы: «Уара Мыса! Аллаҳ иаартыҵәҟьаны дҳамбаӡакәа, иуҳәо азхаҳҵом» анышәҳәа, иаразнак амацәыс шәысит.	Вот вы сказали: «О Муса (Моисей)! Мы не поверим тебе, пока не увидим Аллаха открыто». Вас поразила молния (или постигла гибель), тогда как вы наблюдали за этим.
Нас, шәаныԥслак ашьҭахь еиҭах аԥсы шәхаҳҵеит иаҳџьышәшьарц азы.	Затем Мы воскресили вас после смерти, — быть может, вы будете благодарны.
Уи адагьы, аԥҭақәа рыла ашәшьыра шәзыҟаҳҵеит, амч шәызҭоз аҳалуеи, а чақәеи шәзынаҳашьҭит: «Ишәаҳҭазачыс хыкқәа шәрылача» ҳҳәеит. Иашацәҟьаны урҭ ҳара ҳакәым, рхы ацәгьара азыруан.	Мы осенили вас облаками и ниспослали манну и перепелов: «Вкушайте блага, которыми Мы наделили вас». Они не были несправедливы по отношению к Нам — они поступали несправедливо лишь по отношению к себе.
Убас ҳҳәеит: «Абри ақалақь шәалала, уа ишәԥыхьашәо рҟынтә ишышәҭаху ишәфала, ишәжәыла, ашәхымс аҟынтә шәхырхәаны, насгьы аҭамзаара шьҭаҵаны шәҭал, ҳаргьы шәыгхақәа шәанаҳажьып. Ҳара ибзианы зхы мҩаԥызго акыр ираҭәаҳшьоит» (аҳамҭақәа).	Вот Мы сказали: «Войдите в этот город и ешьте вволю, где пожелаете. Войдите во врата, поклонившись, и скажите: «Прости нас!». Мы простим ваши прегрешения и приумножим награду творящим добро».
Аха агәымбылџьбаҩцәа ираҳҳәақәаз даҽа ажәақәак рыла ирыԥсахит. Ҳаргьы изҿыз ацәгьарақәа рымшала ажәҩан аҟынтә ихәмгоу гәаҟрак рзылбааҳашьҭит.	Беззаконники заменили сказанное им слово другим, и Мы ниспослали на беззаконников наказание с неба за то, что они поступали нечестиво.
Мыса иуаажәлар рзы аӡы данаҳәа: «Улабашьа ахаҳә иаарха!» ҳәа иаҳҳәеит . Абри ала уи ахаҳә аҟнытә жәаҩа ӡыхь ыҵхәрааит, ауаа зегьы ирдырит аӡы ахьыржәшаз. Аллаҳ ишәаҭәеишьаз шәфа-ишәжәы; аԥсабараҿы ацәгьа шәмыршан.	Вот Муса (Моисей) попросил питья для своего народа, и Мы сказали: «Ударь своим посохом по камню». Из него забили двенадцать ключей, и все люди узнали, где им надлежит пить. Ешьте и пейте из того, чем наделил Аллах, и не творите на земле зла, распространяя нечестие!
Шәарҭ: «Уа Мыса! Ҳара чысхкык ала уаҳа иаҳзычҳауам. Унцәа уҳазиҳәа адгьыл аалыҵкәа рҟынтә; ауҭраҭыхқәеи, аҟаби, аџыши, асафранџьи, аџьымшьи ҳзыҵихааит» шәҳәеит. Мыса иакәзар: «Абзиа ацәгьа ала ишәыԥсахыр шәҭахума? Ақалақь ахь шәылбаа, ишәҭаху зегьы уа иҟоуп» иҳәеит. Аҵыхәтәаны арыцҳареи аӷарреи рзааины ирхаԥеит, Аллаҳ игәахеибакра иақәшәеит. Ари аҭагылазаашьа Аллаҳ иажәақәа мап рыцәкреи, иԥааимбарцәа рҭархареи, анцәа иҿагылареи, ишақәнагамыз ахымҩаԥгареи ахырҟьареи ирылҵшәан.	Вот вы сказали: «О Муса (Моисей)! Мы не сможем вынести однообразную пищу. Помолись за нас своему Господу, чтобы Он взрастил для нас из того, что произрастает на земле, овощи, огурцы, чеснок, чечевицу и лук». Он сказал: «Неужели вы просите заменить лучшее тем, что хуже? Спуститесь в любой город, и там вы получите все, о чем попросили». Их постигли унижение и бедность. Они навлекли на себя гнев Аллаха тем, что не уверовали в знамения Аллаха и несправедливо убивали пророков. Это произошло потому, что они были ослушниками и преступали границы дозволенного.
Хымԥада азхаҵаҩцәеи (аԥсылманцәеи) ауриацәеи, ақьырсианцәеи, асабиитцәеи (гәыԥцыԥхьаӡа дара рыԥҟарақәа рыла), Аллаҳи нарцәытәи амши азхаҵаны, аус бзиақәа ҟазҵаз рзы Рынцәа иҿаԥхьа аҳамҭақәа рзыԥҵәоуп; урҭ ашәарҭа иақәшәом, рылахьгьы еиқәылом (ҳәа иӡбоуп).	Воистину, верующим, а также иудеям, христианам и сабиям, которые уверовали в Аллаха и в Последний день и поступали праведно, уготована награда у их Господа. Они не познают страха и не будут опечалены.
Шәара, (Ҭора шәшықәныҟәо ала) ҿыӷәӷәала ажәа анҳашәҭа, Ҭур ашьха шәхаргыланы: «Шәҽышәыхьчарц, ишәаҳҭаз ашәҟәы ӷәӷәала ишәкы, уи иагәылоу шәазхәыц, абас ала Аллаҳ ихьчара шәаҵанакып» ҳәа ҳҳәахьан.	Вот Мы взяли с вас обещание и воздвигли над вами гору: «Крепко придерживайтесь того, что Мы даровали вам, и поминайте то, что содержится там, — быть может, вы устрашитесь».
Уи ашьҭахь еиҭах шәымҩахҟьеит. Аллаҳ илԥхеи игәрыцҳашьареи ыҟамызҭгьы, ҳәарада, аԥхасҭа зауз шәреиуахон.	После этого вы отвернулись, и если бы не милость и милосердие Аллаха к вам, вы непременно оказались бы в числе потерпевших убыток.
Хымԥада, шәарҭ асабшатәи аԥҟара иаӷрагылаз зусҭцәақәоу жәдыруеит. Ҳара урҭ: «Иҿаасҭоу амаамынқәа шәреиԥшхаит» ҳәа раҳҳәеит.	Вы знали тех из вас, которые нарушили субботу. Мы сказали им: «Будьте обезьянами презренными!».
Ҳара абри, уи избо рзыҳәангьы, нас иеиҵагылараны иҟоу рзыҳәангьы ҿырԥшны, Аллаҳ иҿагылара зҽацәызыхьчаз рзы илабжьаганы иҟаҳҵеит.	Мы сделали это примерным наказанием для них самих и для будущих поколений, а также увещеванием для богобоязненных.
Мыса иуаажәлар: «Аллаҳ ишәыдиҵоит жәык шәшьырц» ҳәа реиҳәеит. Урҭгьы: «Уара уҳалахәмаруама?» ҳәа аҭак аныҟарҵа, Мысагьы: «Зхы ззымдыруа амдырцәа реиԥш аҟалара Аллаҳ сацәихьчааит!» иҳәеит.	Вот Муса (Моисей) сказал своему народу: «Аллах приказывает вам зарезать корову». Они сказали: «Неужели ты насмехаешься над нами?». Он сказал: «Упаси меня Аллах оказаться одним из невежд».
«Ҳахьӡала Унцәа уиҳәа, ииҭаху ажә зеиԥшроу ҳирдырааит!» рҳәеит. Мысагьы абас реиҳәеит : «Анцәа убас иҳәоит: Уи, акрызхыҵуа акәымзааит, мыцхәгьы иҿамзааит. Рыбжьара иҟоу жәык акәзааит. Шьҭа адҵа ишәымоу нашәыгӡа».	Они сказали: «Помолись за нас своему Господу, чтобы Он разъяснил нам, какая она». Он сказал: «Он говорит, что она не старая и не телка, средняя по возрасту между ними. Выполните же то, что вам велено!».
Урҭгьы: «Унцәа уҳазиҳәа иаҳирдырааит , уи аԥштәы зеиԥшроу» рҳәеит. Мыса убас иҳәеит: «Анцәа излеиҳәо ала, уи ицәҩежьӡа иҟоуп. Иахәаԥшуа агәеизҳара изҭо жәык ауп» иҳәеит.	Они сказали: «Помолись за нас своему Господу, чтобы Он разъяснил нам, какой она масти». Он сказал: «Он говорит, что эта корова светло-желтого цвета. Она радует смотрящих на нее».
«Унцәа уҳазиҳәа, иҳаилиркааит уи ажә зеиԥ шраҵәҟьоу. Избанзар, ажәқәа зегьы ҳахьрыхәаԥшуа иеиԥшуп. Амала, Аллаҳ игәаԥхар ишԥаҳзымԥшаари?» рҳәеит.	Они сказали: «Помолись за нас своему Господу, чтобы Он разъяснил нам, какова же она, ведь коровы кажутся нам похожими одна на другую. И если Аллах пожелает, то мы последуем прямым путем».
