Иахәаԥштәуп...	Просмотреть...
Ишьахәуп	Отменено
Аанкылара...	Отмена...
Акатегориақәа	Категории
Акатегориақәа	Категории 
Акопиа	Копия
Ахынтәаҩы	Председатель
Китаи	Китай
Акитаитә	Китайская
Афаил алышәх	Выберите файл
Ирыцқьатәуп	Очистить
Ихыркәшоуп	Завершено
Колумбиа	Колумбия
Аԥштәқәа	Цвета
Аиҵаргыла аҭбаара	Ширина столбца
Ихыркәшоуп	Завершено 
Ашьақәыргылара...	Настроить
Аконтактқәа...	Контакты...
Ацҵара 	Продолжить
Иалкаау атекст аԥсахра абуфер ахь иақәҭыхтәуп	Копировать выделенный текст в буфер обмена
Хорватиа	Хорватия
Ахархага аҭагылазаашьа	Позиция курсора
Иалкаау атекст аԥсахра абуфер ахь игәылаԥҟатәуп	Вырезать выделенный текст в буфер обмена
Чештә республика	Чешская республика
Арыцхәи аамҭеи	Дата и время
Мап ацәктәуп	Отклонить
Даниа	Дания
Акәамаҵамақәа	Подробности
Аҿыхра 	Отключить
Аарԥшра	Отображение
џьибути	Джибути
Идәықәҵатәым	Не отправлять
Иаԥыхтәым	Не удалять
еквадор	Эквадор
Зҽызыԥсахуа	Изменяемый
Салвадор	Сальвадор
Акаҵкәыр арыцқьара	Очистить корзину
екваториалнаиа Гвинеиа	Экваториальная Гвинея
Еритреиа	Эритрея
естониа	Эстония
Ефиопиа	Эфиопия
Каждый день	Каждый %d день
Evolution адрестә шәҟәы	Адресная книга Evolution
Ирҭбаау	Расширенный
Арҭбаага ашәагаа	Размер расширителя
Афаил ахьӡ:	Имя файла:
Ажәла	Фамилия
Фарертә острова	Фарерские острова
Афакс	Факс
Аҭыԥ алхра	Выбор поля
Аҭыԥ ахьыӡ	Имя поля
Финлиандиа	Финляндия
Аҭаӡ ахьыӡ	Имя папки:
Аформат	Формат
Франциа	Франция
Афарнцызтә Гвиана	Французская Гвиана
Афранцузтә Полинезиа	Французская Полинезия
Гамбиа	Гамбия
Қырҭтәыла	Грузия
Германиа	Германия
Грециа	Греция
Гренландиа	Гренландия
Агәыԥ	Группа
Гвинеиа	Гвинея
Афокус амоуп	Имеет фокус
Хыхьтәи аколантитул	Верхний колонтитул
Аҳаракыра:	Высота:
Иҳараку	Высокий
Аҩнытә ҭел	Домашний телефон
Венгриа	Венгрия
Акырзҵазкуа	Важное
Исландиа	Исландия
Адыргаҷақәеи атексти	Значки и текст
Иазхьаԥштәым	Игнорировать
Индиа	Индия
Индонезиа	Индонезия
Ирландиа	Ирландия
Израил	Израиль
Италиа	Италия
Иамаика	Ямайка
Иапониа	Япония
Аиапонтә	Японская
Иорданиа	Иордания
Казахсҭан	Казахстан
Кениа	Кения
Акореиатә	Корейская
Кувеит	Кувейт
Киргизсҭан	Киргизстан
Ахҵа	Метка
Абызшәа	Язык
Латвиа	Латвия
Амыругақәа рпанель	Панели инструментов
Арымарахтә:	Слева:
Либериа	Либерия
Ливиа	Ливия
Лихтенштеин	Лихтенштейн
Ахьӡынҵа	Список
Илаҟәу	Низкий
Лиуксембург	Люксембург
MIME атип	Тип MIME
 MIME атип:	Тип MIME:
Македониа	Македония
Аԥошьҭатә клиент	Почтовый клиент
Аԥошьҭатә адрес	Почтовый адрес
Малаизиа	Малайзия
Малдивы	Мальдивы
Малта	Мальта
Аҭакырақәа 	Поля
Маршаллтә о-ва	Маршалловы о-ва
Мавританиа	Мавритания
Маврикии	Маврикий
Азгәаҭақәа	Заметки
Ацҳамҭа	Сообщение:
Адырраҭарақәа	Сообщения
Микронезиа	Микронезия
Аиагара...	Перенос...
Иминималу аҭбаара	Минимальная ширина
Амодель	Модель
Монголиа	Монголия
Мианма	Мьянма
Намибиа	Намибия
Иҿыцу адрестә шәҟәы	Новая адресная книга
Новаиа Каледониа	Новая Каледония
Новаиа Зеландиа	Новая Зеландия
Аԥенџьыр ҿыц	Новое окно
Нигериа	Нигерия
Абыржәы	Сейчас
Аҩада Мариантә острова	Северные Марианские острова
Норвегиа	Норвегия
Азгәаҭа	Примечание
%s апрограммаҿ иаарттәуп...	Открыть в программе %s...
Даҽа ҟаҵарақәак ари афаил алаԥшхгаразы ыҟам. Амала ари афаил шәкомпиутер ахь акопи азыҟашәҵар, аартра шәылшоит.	Открывается %s
Анаплакы:	Организация:
Ахырхарҭа	Ориентация
Адаҟьа амҽхак	Параметры страницы...
Пакисҭан	Пакистан
Ақьаад	Бумага
Акьаад ахыҵхырҭа:	Источник бумаги:
Парагваи	Парагвай
Амодул	Модуль
Полша	Польша
Иалшәо амениу	Выпадающее меню
Апатреҭ	Портрет
Португалиа	Португалия
Аԥыжәара:	Приоритет:
Пуерто-Рико	Пуэрто-Рико
Адҵаалара 	Запрос
Амаӡажәа гәнаҳкылап	Запомнить пароль
Изауа  	Получатели
Шьҭахьтәи адрес	Обратный адрес
Ахыҵхырҭа	Источник
Реиунон	Реюньон
Арыӷьарантә	Справа:
Румыниа	Румыния
Апрограмма аус арутәуп	Запустить программу
Апрограмма нагӡатәуп	Выполнить программу
Асервер:	Сервер:
Атема:	Тема:
Саудовтә Аравиа	Саудовская Аравия
Ишԥа еқәырхатәу...	Сохранить как...
Аҭаӡаҿ еиқәырхатәуп....	Сохранить в папке...
Аԥшаара	Поиск
Ашәарҭадара	Безопасность
Зегь алкаатәуп	Выделить все
Афаил алхтәуп...	Выбрать файл
Алкаара арежим	Режим выделения
Сербиеи Черногориеи	Сербия и Черногория
Асервис ахкы:	Тип сервиса:
Афон аҳасабала ишьақәыргылатәуп	Установить как фон
Серра-Леоне	Сьерра-Леоне
Ашәагаа	Размер
Словакиа	Словакия
Словениа	Словения
Аилыԥшаара	Сортировать
Акәыԥшылара	Пространство
Испаниа	Испания
Сен-Пер и Микелон	Сен-Пьер и Микелон
Иаанкылатәуп	Остановить
Аҭагылазаашьа	Состояние
Аҭагалара аанкылатәуп	Остановить загрузку
Иманшәаланы	Успешно
Швециа	Швеция
Швеицариа	Швейцария
Сириа	Сирия
аҭаӡҩыра	Таблица
Аҭаӡҩыра ахы	Заголовок таблицы
Таиван	Тайвань
Таџьикисҭан	Таджикистан
Адҵа	Задание
Адҵақәа	Задачи
Ашаблон:	Шаблон:
Агәаҭара...	Проверка
Арҭбаага ахҵара  атекст	Текст метки расширителя
Имеется один другой контакт.	Имеется %d другой контакт.
Ахы	Заголовок
Иззышьҭтәу	Кому
Инаҳагӡап	Выполнить
Иахьа	Сегодня
Амыругақәа рпанель астиль	Стиль панели инструментов
Аҩадантә:	Сверху:
Аҵла	Дерево
Ҭырқәытәыла	Турция
Туркменисҭан	Туркменистан
Аукраинатә	Украинская
Аиуникод	Юникод
Елкаам агха	Неизвестная ошибка
Идырым агха	Неизвестная ошибка.
Идырым ахкы	Неизвестный тип
Уругваи	Уругвай
Ахархәаҩ ихьӡ	Имя пользователя
Узбекисҭан	Узбекистан
Венесуела	Венесуэла
Аверсиа	Версия
Ветнам	Вьетнам
Алаԥшхгара	Просмотр
Азыԥшра...	Ожидание...
Агәҽанҵара	Предупреждение
Авеб-даҟьа...	Веб-страница
Бзеила шәаабеит	Добро пожаловать
Мраҭашәараевропатәи	Западноевропейская
Мраҭашәаратәи Сахара	Западная Сахара
Аҭбаара:	Ширина:
иемен	Йемен
Замбиа	Замбия
Ардыргабӷьыц	Визитные карточки
Ашьҭахь:	После:
Автоалхра	Автовыбор
Афаил:	Файл:
Ашрифт...	Шрифт...
Агәыԥ:	Группа:
Иҵәахтәуп	Скрыть
Аҵакы мацара	Только значки
Аҭыԥп:	Расположение:
Аидҵара 	Объединить
Еиҭагатәуп	Переместить
Еиҭагатәуп...	Переместить...
Еиҿкаатәуп...	Создать...
Азгәаҭақәа:	Примечания:
Амҩа:	Путь:
Амодульқәа	Модули
Аҟазшьақәа...	Свойства...
Аԥхьара	Чтение
Ахьӡ ԥсахтәуп	Переименовать
Ахьӡ ԥсахтәуп…	Переименовать...
Аԥшаатә ахьӡ:	Имя поиска:
Иалкаатәуп	Выделить
Аилыԥшаара...	Сортировать...
Аҳасабтә	Задача
Атекст мацара	Только текст
Аамҭа	Время:
Аҟынӡа:	До:
Аԥенџьыр	Окно
Анҵамҭа	Запись
Еснагь	всегда
еиҳауп ...  аиҳа	больше чем
еиҵоуп ....  аиҳа	меньше чем
Адҵақәа	Команды
Афаилқәа алхтәуп	Добавить файлы
Аҭаӡ ацҵатәуп	Добавить папку
Аҭаӡ ацҵатәуп...	Добавить папку...
Аҭаӡ архив ахь иацҵатәуп	Добавить папку в архив
Акаталогқәеи афаил ҿыцқәеи архив иацҵатәуп	Добавить в архив новые файлы и каталоги
архивқәа зегьы	Все архивы
Архивқәа рменеџьер GNOME алагылазаара	Менеджер архивов среды GNOME.
Архивқәа рменеџьер	Менеджер архивов
Архив ашәагаа:	Размер архива:
Афаил ахкы	Тип файла:
ахала адырра	автоопределение
Уажтәи архив арктәуп	Закрыть текущий архив
Иахьынӡеиҵацалоу:	Степень сжатия:
Аҵакыра ашәагаа:	Размер содержимого:
Иалкаау ахәҭақәа ркопиа ахыхтәуп	Копировать выделенные элементы
Аҭаӡ аԥҵатәуп	Создать папку
Архив ҿыц аԥҵатәуп	Создать новый архив
иалкаау ахәҭақәа ҭырффатәуп	Вырезать выделенные элементы
Аԥсахра аныҟалаз арыцхә	Дата изменения
Иалкаау ахәҭақәа архив аҟнытә ианыхтәуп	Удалить выделенные элементы из архива
Алкаара аҟәыхьәуп	Снять выделение
Афаилқәа зегь ралкаара аҟәыхтәуп	Отменить выделение всех файлов
Ахархуәаҩ ихы иаиырхәо арбара	Показать руководство пользователя
Иажәыз афаилқәа бжьажьлатәуп	Пропускать устаревшие файлы
Афаилқәа ҷыдалкаақәоуп:	Исключать файлы:
Аҭаӡ аҿы ихыртлатәуп:	Распаковать в папку:
Исимволтәу азхьарԥшқәа акаталог аҿы иалхтәуп	Исключать символические ссылки на каталоги
Ихыртлатәуп	Распаковать
Афаилқәа архив аҟнытә иырҽны иҭыгатәуп	Распаковать файлы из архива
Афаил-Ролер	Файл-Роллер
Афаилқәа	Файлы
Акаталог...	Каталог
Аҩнытә каталог ахь аиасра	Перейти к домашнему каталогу
Анаҩстәи ҳазҭааз аҭыԥаанкыларахь ахь иастәуп	Перейти к следующему посещённому местоположению
Уаанӡа ҳазҭааз аҭыԥаанкыларахь ахь иастәуп	Перейти к посещённому ранее местоположению
Ҩаӡарак аҩада аиасра	Перейти на один уровень вверх
Апрограммаз адырра	Сведения о программе
Анацҳақәа ржурнал	Журнал сообщений
Аҭагылазаашьа аҭыԥ	Местоположение
Аҭыԥаанкылара	Местоположение:
Иеиҭакуп:	Модифицирован:
Афаил ахьыӡ ҿыц	Новое имя файла
Афаилқәа рхыԥхьаӡара	Количество файлов:
...ала аартра	Открыть с помощью...
Ааиӷәа ихархәаз аарттәуп	Отрыть недавно использовавшиеся
Ааигәа ахархәара змаз архив аарттәуп	Открыть недавно использовавшийся архив
Архив аарттәуп	Открыть архив
Иҟоу афаилқәа иеиҭанҵалатәуп	Перезаписывать существующие файлы
Амаӡажәа	Пароль...
Амаӡажәа	Пароль
Аимдаратә буфер бжьаргылатәуп	Вставить из буфера обмена
Аԥшьы аҟнытә иҭыҵтәуп	Выйти из приложения
Иеиҭааԥҵалатәуп аҭаӡқәа	Воссоздавать папки
Уажәҭәи архив еиҭа иаԥхьатәуп	Перечитать текущий архив
Иалкаау афаилқәа рыхьыӡ ԥсахтәуп	Переименовать выделенные файлы
Аилыԥшаашьа аарҳәтәуп	Инвертировать порядок сортировки
Ахышәарақәа хьчатәуп	Сохранить параметры
Уажәтәи архив ҽахьӡык ала ахьчатәуп	Сохранить текущий архив с другим именем
Афаилқәа зегь алкаатәуп	Выделить все файлы
Архив аҷыдаҟазшьақәа арбатәуп	Показать свойства архива
Афаилқәа рыхьӡынҵа афаилқәа рышәагаала иеилыԥшаатәуп	Сортировать список файлов по размерам файлов
Афаилқәа рыхьӡынҵа афаилқәа акаталог аҿы аҭыԥ ала иеилыԥшаатәуп	Сортировать список файлов по каталогу расположения файлов
Афаилқәа рыхьӡынҵа афаилқәа аҵыхәтәантәи рыԥсахрақәа аамҭақәа рыла иеилыԥшаатәуп	Сортировать список файлов по временам последнего изменения файлов
Афаилқәа рыхьӡынҵа афаилқәа рыхьыӡқәа рыла иеилыԥшаатәуп	Сортировать список файлов по именам файлов
Афаилқәа рыхьӡынҵа афаилқәа рыхкқәа рыла иеилыԥшаатәуп	Сортировать список файлов по типам файлов
bzip2 (.tar.bz2) апрограма ала иеиҵацалоу атаг	Tar сжатый программой bzip2 (.tar.bz2)
gzip (.tar.gz) апрограма ала иеиҵацалоу атаг	Tar, сжатый программой gzip (.tar.gz)
(.tar) ала иеиҵацалам атаг	Tar, несжатый (.tar)
Иеизаку ахьӡынҵа арбалатәуп	Показывать общий список
Уажәтәи акаталог арбалатәуп	Показывать текущий каталог
Амаругақәа рпанель арбалатәуп	Показывать панель инструментов
Аҵыхәтәан инагӡаз адҵа ала алкаа гәаҭатәуп	Просмотреть вывод от последней выполненной команды
Иалкаау афаил Алаԥшхгара	Просмотреть выделенный файл
Ацәаҳәа аҭагылазаашьа арбалатәуп	Показывать строку состояния
Афаилқәа ацҵатәуп...	Добавить файлы...
Ирҿыцу афаилқәа заҵәык ацҵалатәуп	Добавлять только обновлённые файлы
Зегьы	все
Аԥшьы:	Приложение:
Афаилқәа еилыԥшатәуп	Сортировать файлы
Ихыртлатәуп...	Распаковать...
Афаилқәа:	Файлы:
Афаилқәа аҿактәуп:	Включать файлы:
Иагәылоу аҭаӡқәа аҿактәуп	Включать вложенные папки
Анацҳақәа ржурнал арбатәуп	Показать журнал сообщений
Ахышәарақәа ҭагалатәуп	Загрузить параметры
Ишьаҭынраку акаталог ахыртлара ашьҭахь иаарттәуп	Открыть целевой каталог после распаковки
Иаарҳәны шьҭахьҟа	в обратном порядке
иалкаақәаз	выделенные
Аибгара гәаҭатәуп	Проверить целостность
атип ала	по типу
ианеиҭакыз арыцхә ала	по дате изменения
аҭыԥ аҭагылазаашьа ала	по местоположению
ахьӡ ала	по имени
изаҟаро ала	по размеру
Адискета	Дискета
Ацәаҳәа...	Линия
мап	нет
Аверсиа арбатәуп	Показать версию
 Аутентификациаҿы аиԥҟьара ҟалеит. Анбанқәа ҭагалазар ауп ииашоу арегистр аҟны.	 Сбой аутентификации.  Буквы должны быть введены в правильном регистре.
А-О|Аԥсшǝа	А-О|Абхазский
А-О|Аԥсшǝа (Сириа)	А-О|Абхазский (Сирия)
А-О|Аԥсшǝа (Ҭырқәтәыла)	А-О|Абхазский (Турция)
А-О|Албантәи	А-О|Албанский
А-О|Арабтәи (Египетский)	А-О|Арабский (Египетский)
А-О|Арабтәи (Ливанский)	А-О|Арабский (Ливанский)
А-О|Аерматә	А-О|Армянский
А-О|Абасксктә	А-О|Баскский
А-О|Белорустәи	А-О|Беларусский
А-О|Бенгальтәи	А-О|Бенгальский
А-О|Бенгальтәи (Индия)	А-О|Бенгальский (Индийский)
А-О|Босниитәи	А-О|Боснийский
А-О|Болгартәи	А-О|Болгарский
А-О|Акаталонтәи	А-О|Каталонский
А-О|Акитаи (основые земли)	А-О|Китайский (основые земли)
А-О|Акитаи (Гонконг)	А-О|Китайский (Гонконг)
А-О|Акитаи (Сингапур)	А-О|Китайский (Сингапур)
А-О|Акитаи (Тайвань)	А-О|Китайский (Тайвань)
П-Я|Хорваттәи	П-Я|Хорватский
П-Я|Чештәи	П-Я|Чешский
А-О|Даттәи	А-О|Датский
А-О|Голландтәи	А-О|Голландский
А-О|Англызтәи (Австралия)	А-О|Английский (Австралия)
А-О|Англызтәи (Канада)	А-О|Английский (Канада)
А-О|Англызтәи (Дания)	А-О|Английский (Дания)
А-О|Англызтәи (Ирландский)	А-О|Английский (Ирландский)
А-О|Англызтәи (Южная Африка)	А-О|Английский (Южная Африка)
А-О|Англызтәи (Великобритания)	А-О|Английский (Великобритания)
А-О|Англызтәи (США)	А-О|Английский (США)
П-Я|Естонтәи	П-Я|Эстонский
П-Я|Финтәи	П-Я|Финский
П-Я|Французтәи	П-Я|Французский
П-Я|Французтәи (Бельгия)	П-Я|Французский (Бельгия)
П-Я|Французтәи (Швейцария)	П-Я|Французский (Швейцария)
А-О|Галисиитәи	А-О|Галльский
А-О|Анемецтәи	А-О|Немецкий
А-О|Анемецтәи (Австрия)	А-О|Немецкий (Австрия)
A-O|Анемецтәи (Швейцария)	A-O|Немецкий (Швейцария)
А-О|Гречетәи	А-О|Греческий
А-О|Венгертәи	А-О|Венгерский
А-О|Исландтәи	А-О|Исландский
А-О|Индонезиитәи	А-О|Индонезийский
А-О|Ирландтәи	А-О|Ирландский
А-О|Италиатә	А-О|Итальянский
П-Я|Иапонтәи	П-Я|Японский
А-О|Киньяруанда	А-О|Кинйарванда
А-О|Кореитәи	А-О|Корейский
А-О|Латыштәи	А-О|Латвийский
А-О|Литовтәи	А-О|Литовский
А-О|Македонтәи	А-О|Македонский
А-О|Малаитәи	А-О|Малайский
А-О|Маратхи	А-О|Марати
Абызшәа ԥсахтәуп	Изменить язык
Асеанс ԥсахтәуп	Изменить сеанс
Иалшәх аҟаҵатә	Выберите действие
GDM шьақәыргылатәуп…	Настроить GDM...
 Аменеџьер аҭалара ­шьақәыргылатәуп	Настроить менеджер входа
Асервер GDM ашьақәыргылара ԥсахтәуп (ари аменеџьер аҭалара ауп). Асуперхархәаҩ (root) иажәамаӡа аҭахуп.	Изменить настройки сервера GDM (этот менеджер входа). Потребует пароля суперпользователя (root).
Арцәара	Отключиться
Асистематә сеанс ишыҟоу еиԥш	Системный сеанс по умолчанию
Ишәҭахума %s ишыҟоу еиԥш ахархәара анаҩстәи асеансқәа рҿы?	Хотите ли вы использовать %s по умолчанию в последующих сеансах?
 Xterm (аиԥҟьара аҟынтә ихьчоу)	Xterm (защищённый от сбоев)
Ари асеансазы мацара	Только для этого сеанса
Аҵыхәтәантәи абызшәа	Последний язык
Аҵыхәтәантәи аҭалараан Шәара шәхы асеанс иашәырхәаз шәхы иархәаны шәҭал	Войти, используя сеанс, который был использован Вами при последнем входе
 Ишыҟоу еиԥшишьақәыргылоуп	Установить по умолчанию
П-Я|Аҩадатәи сото	П-Я|Северное Сото
А-О|Анорвег бызшәа (букмол)	А-О|Норвежский (bokmal)
А-О|Норвежский (нюнорск)	А-О|Норвежский (nynorsk)
А-О|Орииа	А-О|Ория
П-Я|Польтәи	П-Я|Польский
П-Я|Португальтәи	П-Я|Португальский
П-Я|Апортугал бызшәа (Бразилиа)	П-Я|Португальский (Бразильский)
П-Я|Панджаби	П-Я|Пенджаби
П-Я|Румынтәи	П-Я|Румынский
П-Я|Аурыстә	П-Я|Русский
П-Я|Словацтәи	П-Я|Словацкий
П-Я|Словентәи	П-Я|Словенский
А-О|Испантәи	А-О|Испанский
А-О|Испантәи (Мексиканский)	А-О|Испанский (Мексиканский)
П-Я|Шведтәи	П-Я|Шведский
П-Я|Шведтәи (Финляндский)	П-Я|Шведский (Финляндский)
П-Я|Тамильтәи	П-Я|Тамильский
П-Я|Таитәи	П-Я|Тайский
П-Я|Аҭырқәатә	П-Я|Турецкий
П-Я|Украинтәи	П-Я|Украинский
А-О|Вьетнамтәи	А-О|Вьетнамский
П-Я|Валлиитәи	П-Я|Уэльский
П-Я|Зулусский	П-Я|Зулу
Егьи|POSIX/C Англызтәи	Другой|POSIX/C Английский
Ажәамаӡа:	Пароль:
Ахархәаҩ ихьӡ ҭажәгал	Введите имя пользователя
Инахароу аҭалара XDMCP ахархәарала…	Удаленный вход по XDMCP
Акомпиутер аиҭаҿакра аҭахуп 	Перезагрузить компьютер
Аселектор XDMCP аусура аларгатәуп	Запустить селектор XDMCP
Аселектор XDMCP аусура аларгатәуп, инахароу амашьынақәа рахь аҭалара алзыршо (урҭ рҩызцәа ыҟазар).	Запустить селектор XDMCP, который позволяет войти на доступные удаленные машины (если такие имеются).
Абызшәа алхра	Выбор языка
Асеансқәа	Сеансы
Акомпиутер арцәара азырхиара.	Подготовить компьютер к выключению питания.
Акомпиутер ырцәатәуп	Выключить компьютер
Азыԥшра арежим ахь акомпиутер ииагатәуп	Перевести компьютер в ждущий режим
Асистематә ишыҟоу еиԥш	Системный по умолчанию
Аиԥҟьара аҟынтә ихьчоу асеанс аҟынтә шәара шәақәшәоит атерминал ахь. Аларгара аскриптқәаиаԥхьаны иҟалаӡом. Асеанс ахархәара азутәуп даҽакала, аҭалара алымшозар. Атерминал аҟынтә аҭыҵра азы ианышәҵа "exit".	В этом защищённом от сбоев сеансе вы попадете в терминал. Скрипты запуска не будут прочитаны. Сеанс следует использовать, если не удается войти иначе. Для выхода из терминала наберите "exit".
Ари асистематә сеанс ишыҟоу еиԥш	Это системный сеанс по умолчанию
GNOME асеанс иалагатәуп	Начать сеанс GNOME
Этот сеанс подключит вас к удалённому узлу при помощи ssh	Этот сеанс подключит вас к уделённому узлу при помощи ssh
Ахархәаҩ ихьӡ:	Имя пользователя
Бзиала шәаабеит	Добро пожаловать
Ари асеанс азы шәара иалшәхит %s, ишыҟоу еиԥш %s ишьақәыргылан.	Вы выбрали %s для этого сеанса, но по умолчанию установлен %s.
Асуперхархәаҩ (root) иажәамаӡа ҭажәгал аконфигурациатә программақәа рдәықәҵаразы.	Введите пароль суперпользователя (root) для запуска конфигурационной программы.
Аҟаҵатә	Действия
Аҵыхәтәантәи асеанс	Последний сеанс
Еиҭа иҿактуп	Перезапустить
Акомпиутер аиҭаҿакра аҭахуп	Перезагрузить компьютер
