Ошибка: значение недоступно	Агха: аҵакы мҩаркуп
#ADDIN?	#ADDIN?
#МАКРОС?	#АМАКРОС?
Ошибка: макрос не найден	Агха: амакрос ԥшаам
Внутренняя синтаксическая ошибка	Аҩныҵҟатәи асинтаксистә гха
Ошибка: недопустимый аргумент	Агха: изымуа аргумент
Ошибка в списке параметров	Апараметрқәа рсиа аҟны агха
Ошибка: недопустимый символ	Агха: изымуа асимвол
Ошибка: оператор отсутствует	Агха: аоператор ыҟаӡам
Ошибка: переменная отсутствует	Агха: аҽеиҭак ыҟаӡам
Ошибка: слишком длинная формула	Агха: аформула аура дуцәоуп
Ошибка: строка символов слишком длинная	Агха: асимволқәа рцәаҳәа аура дуцәоуп
Ошибка: внутреннее переполнение	Агха: аҩныҵҟатәи аҭәцәара
Ошибка: размер массива или матрицы	Агха: амассив ма аматрица рышәагаа
Ошибка: итерационная ссылка	Агха: аитерациатә зхьарԥш
Неправильный шаг	Ииашам ашьаҿа
Вы ввели недопустимое имя. Невозможно создать Автоформат. Выберите другое имя.	Иҭажәгалеит изымуа ахьӡ. Иауам Автоформат аԥҵара. Иалышәх даҽа хьӡык.
Диапазон	Адиапазон
Да	Ааи
Нет	Мап
Защита	Ахьчара
Формулы	Аформулақәа
Скрыть	Иҵәахтәуп
Печать	Акьыԥхьра
(необязательный)	(ихымԥадатәиӡам)
(обязательный)	(ихымԥадатәиуп)
Комментарии	Акомментариқәа
Вы действительно хотите удалить выбранные листы?	Ианыхтәума иалху абӷьыцқәа?
Вы действительно хотите удалить выбранный сценарий?	Ианыхтәума иалху асценари?
Экспорт в текстовый файл	Атеқсттә фаил ахь аекспорт
Импорт файлов Lotus	Lotus афаилқәа римпорт
Импорт файлов DBase	DBase афаилқәа римпорт
Экспорт DBase	DBase аекспорт
Экспорт Dif	Dif аекспорт
Импорт Dif	Dif Аимпорт
Text	Атекст
Note	Азгәаҭа
Status	Астатус
Good	Ибзиоуп
Warning	Агәаҽанҵара
Error	Агха
Результат2	Алҵшәа2
Отчёт	Аҳасабырба
Завершена проверка орфографии этого листа.	Ари абӷьыц аҟны ихыркәшоуп аорфографиа агәаҭара.
Вставить лист	Иҭаргылатәуп абӷьыц
Удалить листы	Ианыхтәуп абӷьыцқәа
Переименовать лист	Абӷьыц ахь ԥсахтәуп
Цветной ярлык	Аԥштәқәа ртаблица
Цветные ярлыки	Аԥштәқәа ртаблица
Переместить листы	Ииагатәуп абӷьыцқәа
Копировать лист	Икопиатәуп абӷьыц
Добавить лист	Иацҵатәуп абӷыц
Показать лист	Иаарԥштәуп абӷьыц
Показать листы	Иаарԥштәуп абӷьыцқәа
Скрыть лист	Иҵәахтәуп абӷьыц
Скрыть листы	Иҵәахтәуп абӷьыцқәа
Отразить лист	Ианырԥштәуп абӷьыц
Автофильтр невозможен	Автофильтр ауам
Сценарий не найден	Асценари ԥшаам
Вы действительно хотите удалить элемент #?	Ианыхтәума аелемент #?
Объекты/Изображения	Абиеқтқәа/Асахьақәа
Диаграммы	Адиаграммақәа
Рисунки	Асахьақәа
Показать	Иаарԥштәуп
Сверху вниз	Хыхьынтә ҵаҟа
Слева направо	Армарахьтә арӷьарахь
Сетка	Аихыршь
Заголовки строк и столбцов	Ацаҳәақәеи аиҵагылақәеи рыхқәа
Нулевые значения	Инультәу аҵакқәа
Направление печати	Акьыԥхьра ахырхарҭа
Номер первой страницы	Актәи адаҟьа аномер
Ширина	Аҭбаара
Высота	Аҳаракыра
Одна страница	Даҟьак
автоматически	автоматикала
Статистика	Астатистика
Невозможно обновить связь.	Азхьарԥш арҿыцра ауам.
Файл:	Афаил:
Лист:	Абӷьыц:
Обзор	Аҭыԥхәаԥшра
Сведения о документе	Адокумент иазкны
Напечатан	Икьыԥхьуп
от	аҟынтәи
в	аҟны
Невозможно вставить таблицу.	Атаблица абжьаргылара ауам.
Невозможно удалить листы.	Абӷьыцқәа раныхра ауам.
Изображение	Асахьа
Недопустимое имя.	Изымуа ахьӡ.
Не найден выбранный макрос.	Иалху амакрос ԥшаам.
Недопустимое значение.	Изымуа аҵакы.
вычисление	аихшьалара
сортировка	асортра
Подбор высоты строки	Ацәаҳәа аҳаракыра азалхра
Сравнить #	Еиҿырԥштәуп #
Удалить содержимое	Ианыхтәуп аҵакы
%1 R  x %2 C	%1 R  x %2 C
Ещё...	Иҵегь...
Недопустимый диапазон	Изымуа адиапазон
Заголовок диаграммы	Адиаграмма ахы
Заголовок оси	Агәҵәы ахы
Заменить содержимое #?	Иалаԥсахтәума аҵанакы #?
Ширина:	Аҭбаара:
Высота:	Аҳаракыра:
<пусто>	(иҭацәуп)
#1 вставлена	#1 иҭаргылоуп
#1 удалена	#1 аныхуп
Формула матрицы %1 R x %2 C	Аматрица %1 R x %2 C аформула
Преобразование хангыль/ханча	Аиҭакра хангыль/ханча
Выбрать ячейку	Иалхтәуп абларҭа
Выбрать диапазон	Иалхтәуп адиапазон
Выбрать диапазон данных	Иалхтәуп адырқәа рдиапазон
Перейти к строке	Ииастәуп ацәаҳәа ахь
Перейти к листу	Ииастәуп абӷьыц ахь
Задать имя диапазона	Иазалхтәуп адиапазон ахьӡ
Преобразование китайского языка...	Акитаи бызшәа аиҭакра...
Вручную	Напыла
Автоматически	Автоматикала
Вложенные массивы не поддерживаются.	Еигәылаҵоу амассивқәа аднакылом.
Текст по столбцам	Атеқст еиҵагылала
Неизвестный пользователь	Идырым ахархәаҩ
Автофигура	Автофигура
Прямоугольник	Акәакьҭаиаша
Овал	Овал
Кнопка	Акнопка
Переключатель	Аиҭарсга
Метка	Аҭыԥрбага
Список	Ахьӡынҵа
Групповой блок	Агәыԥ
Счётчик	Аԥхьаӡага
Стили ячейки	Абларҭа астильқәа
Стили страницы	Адаҟьа астильқәа
Вставить текущую дату	Иҭаргылатәуп уажәтәи арыцхә
Вставить текущее время	Иҭаргылатәуп уажәтәи аамҭа
Имя	Ахьӡ
(несколько)	(ԥыҭк)
Документ (глобально)	Адокумент (глобалла)
Значение ячейки	Абларҭа аҵакы
Гистограмма	Агистограмма
НаборЗначков	АдыргаҷқәаРеизак
между	рыбжьара
не между	рыбжьара акәымкәа
Формула	Аформула
Дата	Арыцхә
код ошибки	агха акод
не код ошибки	акод агха акәӡам
содержит	иаҵанакуеит
не содержит	иаҵанакӡом
сегодня	иахьа
вчера	иацы
завтра	уаҵәы
последние 7 дней	аҵыхәтәантәи 7 мшы
эта неделя	ари амчыбжь
предыдущая неделя	иҳаҩсыз амчыбжь
следующая неделя	анаҩстәи амчыбжь
этот месяц	ари амза
предыдущий месяц	иҳаҩсыз амза
следующий месяц	анаҩстәи амза
этот год	ари ашықәс
предыдущий год	иҳаҩсыз ашықәс
следующий год	анаҩстәи ашықәс
Секунды	Асекундқәа
мин.	Аминутқәа
Часы	Асааҭқәа
Дни	Амшқәа
Месяцы	Амзақәа
Кварталы	Акварталқәа
Годы	Ашықәсқәа
Неопределённое имя ячейки формулы.	Аформула абларҭазы еилкаам ахьӡ.
Ячейка должна содержать формулу.	Абларҭа иаҵанакуазароуп аформула.
Копировать список	Ахьӡынҵа акопиа ахыхтәуп
Нет данных	Аадырқәа ыҟаӡам
Диапазон печати пуст	Акьыԥхьра адиапазон ҭацәуп
Преобразовать формулу в значение	Аформула аҵакахьы ииагатәуп
Введите значение!	Иҭажәгал аҵакы!
Общие	Азеиԥшқәа
Числовой	Ахыԥхьаӡаратә
Процентный	Апроценттә
Денежный	Аԥаратә
Время	Аамҭа
Научный	Анаукатә
Дробный	Афункциа
Логический	Алогикатә
Угол ориентации текста	Атекст аориентациа акәакь
Перенос по словам: Вкл.	Жәа-жәала аиагара: Иаҿак.
Перенос по словам: Выкл.	Жәа-жәала аиагара: Иаҿых.
Отступ: 	Ахьаҵ: 
Среднее	Ибжьаратәу
Количество (только числа)	Аԥхьаӡа (ахыԥхьаӡара мацарақәа)
Невозможно подключиться к файлу.	Иауам афаил аҽаҿакра.
Невозможно открыть файл.	Иауам афаил аартра.
Неизвестная ошибка.	Иеилкаам агха.
Неизвестный формат файла Lotus1-2-3.	Lotus1-2-3 афаил идырым аформат.
$(ARG1)	$(ARG1)
Поле базы данных	Адырқәа рбаза аҭакыра
Год	Ашықәс
Месяц	Амза
День	Амш
Число	Ахыԥхьаӡара
Дата 1	Арыцхә 1
Дата 2	Арыцхә 2
Тип	Атип
Начальная дата	Алагамҭа арыцхә
Конечная дата	Аҵыхәтәантәи арыцхә
Список дат	Арыцхәқәа рыхьӡынҵа
Час	Асааҭ
Минута	Аминуҭ
Секунда	Асекунд
Начальная дата.	Алагамҭа арыцхә.
Конечная дата.	Аҵыхәтәантәи арыцхә.
Интервал	Аинтервал
Режим	Арежим
Ставка	Арыцхә
Стоимость	Ахәԥса
Время_эксплуатации	Ацәаҳәа
Конец	Анҵәамҭа
Значение 	Аҵакы
Значения	Аҵакы
Значения	Аҵакқәа
Значение	Аҵакы
Возвращает TRUE, если значение не является текстом.	Иҳанаҭоит TRUE, аҵакы теқстымзар.
Возвращает TRUE, если значение является текстом.	Иҳанаҭоит TRUE, аҵакы теқстзар.
Возвращает TRUE, если ячейка является ячейкой формулы.	Иҳанаҭоит TRUE, абларҭа аформула иабларҭазар.
Ссылка	Азхьарԥш
Возвращает формулу ячейки.	Иҳанаҭоит абларҭа аформула.
Ячейка формулы.	Аформула абларҭа.
Возвращает тип данных значения (1 - число, 2 - текст, 4 - логическое значение, 8 - формула, 64 - массив).	Иҳанаҭоит адырқәа рыхкы аҵакы (1 - ахыԥхьаӡара, 2 - атеқст, 4 - алогикатә ҵакы, 8 - аформула, 64 - амассив).
Тест	Атеқст
Число 	Ахыԥхьаӡара
Условие	Акритери
Диапазон 	Адиапазон
Условие 	Акритери
Число 1	Ахыԥхьаӡара 1
Число 2	Ахыԥхьаӡара 2
Число X	Ахыԥхьаӡара X
Число Y	Ахыԥхьаӡара Y
Угол	Акәакь
Делимое	Ишатәу
Функция	Афункциа
Параметры	Апараметрқәа
Усекаемое число.	Иформатркхо ахыԥхьаӡара.
Округляемое число.	Иформатркхо ахыԥхьаӡара.
Способ	Амодель
Размер единичной матрицы.	Иактәу аматрица ашәагаа.
Массив 	Амассив
Новые данные Х	Иҿыцу адырқәа Х
Новые данные Х	Иҿыцу адырқәа X
Значение 	Аҵакы 
Число 	Ахыԥхьаӡара 
Альфа	Альфа
Вероятность	Аиашақәшәара
Лямбда	Лиамбда
Бета	Бета
Размер	Ашәагаа
мю	миу
сигма	сигма
Мю	Миу
Сигма	Сигма
Столбец	Аиҵагыла 
Тип ссылки	Aзхьарԥш атип
A1	А1
Индекс	Аиндекс
Строки	Ацәаҳәақәа
Столбцы	Аиҵагылақәа
Устанавливает стиль для ячейки, содержащей формулу.	Иқәнаргылоит аформула зҵазкуа абларҭа астиль.
Стиль	Астиль
Сервер	Асервер
URL	URL
Текст ячейки	Абларҭа атеқст
Преобразовывает число в текст (Baht).	Иианагоит ахыԥхьаӡара атеқст ахь (Baht).
Конвертируемый текст.	Аконвертациа ззухо атеқст.
Кодовое значение символа.	Асимвол акод.
Удаляет из текста все непечатаемые символы.	Ианнахуеит атеқст аҟынтәи акьыԥхьра зымуа асимволқәа.
Текст, из которого удаляются непечатаемые символы.	Атеқст, зҟынтәи акьыԥхьра зымуа асимволқәа ахьаныххо.
Тест	Атест
Диапазон 	Адиапазон 
Текст 1	Атеқст 1
Текст 2	Атеқст 2
Искомый текст	Иԥшаатәу атеқст
Текст, который следует найти.	Иԥшаатәу атеқст.
Текст, в котором следует искать.	Иахьыԥшаатәу атеқст.
Позиция	Аҭыԥ
Искомый текст.	Иԥшаатәу атеқст.
Преобразует все буквы указанного текста в строчные.	Иарбоу атеқст аҟны иианагоит анбанқәа зегьы анбан дуқәа рахь.
Текст, в котором прописные буквы заменяются строчными.	Атеқст, зҟны анбан хәыҷқәа ԥсаххо анбан дуқәа рыла.
Преобразует текст в число.	Иианагоит атеқст ахыԥхьаӡарахь.
Текст, преобразуемый в число.	Атеқст, ахыԥхьаӡарахь ииагахо.
Преобразует число в текст в соответствии с заданным форматом.	Иианагоит ахыԥхьаӡара атеқст ахь иазалху аформат иақәыршәаны.
Формат	Аформат
Длина	Аура
Новый текст	Атеқст ҿыц
Форматируемое число.	Иформатркхо ахыԥхьаӡара.
Количество символов начального текста.	Раԥхьатәи атеқст асимволқәа рыԥхьаӡа.
Число символов, которые нужно возвратить.	Атеқст асимволқәа рхыԥхьаӡара.
Количество символов текста.	Атеқст асимволқәа рхыԥхьаӡара.
Повторяемый текст.	Иеиқәшәо атеқст.
Количество повторений текста.	Атеқст аиқәшәарақәа рыԥхьаӡа.
Заменяет старый текст в строке на новый.	Иаԥсахуеит ажәытәтәи атеқст ацәаҳәаҟны иҿыцу ала.
Текст, заменяющий строку.	Атеқст, ацәаҳәа зыԥсахуа.
Преобразуемое число.	Иформатркхо ахыԥхьаӡара.
Минимальная длина	Иминималу аура
Преобразуемый текст.	Аконвертациа ззухо атеқст.
Может быть «osversion», «system», «release», «numfile», и «recalc».	Акәзар ауеит «osversion», «system», «release», «numfile», и «recalc».
Десятичный разделитель	Ижәабатәу аиҟәшага
Число1	Ахыԥхьаӡара 1
Число2	Ахыԥхьаӡара2
Число1	Ахыԥхьаӡара1
Число возвращаемых символов.	Атеқст асимволқәа рхыԥхьаӡара.
Количество символов начального текста.	Раԥхьатәи атеқст асимволқәа рхыԥхьаӡара.
Документ XML	XML адокумент
Красный	Аҟаԥшь
Зелёный	Аиаҵәа
Все стили	Астильқәа зегьы
Скрытые стили	Иҵәаху астильқәа
Используемые стили	Ахархәара змоу астильқәа
Стили пользователя	Ахархәаҩ истильқәа
Электронная таблица %PRODUCTNAME %PRODUCTVERSION	%PRODUCTNAME %PRODUCTVERSION адиаграмма
- нет -	- мап -
Стандартный фильтр...	Истандарту афильтр...
Пусто	Иҭацәуп
Базовый	Астандарт
Имя объекта	Аобиеқт ахьӡ
Вставка изображения	Ибжьаргылатәуп асахьа
Пароль:	Ажәамаӡа:
Неправильный пароль	Ииашам ажәамаӡа
Неизвестный	Идырым
Система	Асистема
пробел	апробел
Выбрать листы	Иалхтәуп абӷьыцқәа
Выбранные листы	Иалху абӷьыцқәа
Предварительный просмотр	Заатәи ахәаԥшра
Просмотр документа	Адокумент ахәаԥшра
Предварительный просмотр страницы	Адаҟьа заатәи ахәаԥшра
Верхний колонтитул страницы %1	Адаҟьа %1 хыхьтәи аколонтитул
Нижний колонтитул страницы %1	Адаҟьа %1 ҵаҟатәи аколонтитул
Здесь вы вводите и редактируете текст, числа и формулы.	Ара шәара иҭажәгалоит насгьы аредакциа рзыжәуеит атеқст, ахыԥхьаӡарақәеи аформулақәеи.
Воспроизведение мультимедиа	Амультимедиа
Панель формул	Аформулақәа рпанель
(только чтение)	(аԥхьара мацара)
(Просмотр)	(Ахәаԥшра)
Не печатать пустые страницы	Иҭацәу адаҟьақәа кьыԥхьтәӡам
%PRODUCTNAME %s	%PRODUCTNAME %s
Обновление внешних связей.	Адәныҟатәи азхьарԥшқәа рырҿыцра.
Недопустимое значение	Изымуа аҵакы.
Не указана формула.	Аформула арбаӡам.
Формулы не образуют столбец.	Аформулақәа еиҿыркаауам аиҵагыла.
Формулы не образуют строку.	Аформулақәа еиҿыркаауам ацәаҳәа.
Переименовать автоформат	Автоформат ахьӡ ԥсахтәуп
Удалить автоформат	Ианыхтәуп автоформат
Вы действительно хотите удалить автоформат #?	Даныхтәума ари ахархәаҩ?
Закрыть	Иарктәуп
Привязка страницы	Адаҟьа адҳәалара
Условие 	Аҭагылазаашьа
Содержимое	Иаҵанакуа
Листы	Абӷьыцқәа
Изображения	Асахьақәа
Объекты OLE	OLE аобиеқтқәа
скрытый	иҵәаху
Комментарий	Акомментари
Сортировать особо	Ахархәаҩ ишрифтқәа
Мастер функций	Афункциақәа разҟаза
Отменить	Иаҟәыхтәуп
формула	аформула
Раскрыть панель формул	Иаарттәуп аформулақәа рпанель
Свернуть панель формул	Иеикәарҳәтәуп аформулақәа рпанель
Автор	Автор
Столбец удалён	Аиҵагыла аныхуп
Строка удалена	Ацәаҳәа аныхуп
Лист удалён	Абӷьыц аныхуп
Оригинал	Аоригинал
Отклонено	Иалхуп
Группы	Агәыԥқәа
Среднеквадратическое отклонение	Истандарттәу агха
Мода	Амода
Равномерное	Еицеиҟароу
Равномерное дискретное	Иецеиҟароу идескреттәу
Нормальное	Инормалтәу
Переменная 1	Аҽеиҭак 1
Переменная 2	Аҽеиҭак 2
Линейная	Аҵәаӷәатә
Логарифмическая	Алогарифмтә
Регрессионная модель	Арегрессиатә модель
Пересечение	А-Интернет
Миллиметр	Амиллиметр
Сантиметр	Асантиметр
Метр	Аметр
Километр	Акилометр
Дюйм	Адиуим
Фут	Афут
Мили	Мили
Пункт	Апункт
Диапазон данных:	Адырқәа рдиапазон:
Альфа:	Альфа:
Переименовать	Ахьӡ ԥсахтәуп
Форматирование	Аформатркра
Скрыть формулу	Иҵәахтәуп аформула
Скрыть при печати	Иҵәахтәуп акьыԥхьраан
Подписи	Анапаҵаҩрақәа
Символы	Асимволқәа
Шрифт	Ашрифт
Эффекты шрифта	Ашрифт аеффектқәа
Положение	Аҭыԥ
С_толбцы	Аиҵагылақәа
Добавить	Иацҵатәуп
Изменить...	Иԥсахтәуп...
Применить стиль:	Ихархәатәуп астиль
Создать стиль...	Иаԥҵатәуп астиль...
Введите значение:	Иҭажәгал аҵакы:
Дополнительно...	Еиҭа апараметрқәа...
Процент	Апроцент
Пример	Аҿырԥштәы
Сегодня	Иахьа
Вчера	Иацы
Завтра	Уаҵәы
Эта неделя	Ари амчыбжь
Предыдущая неделя	Иҳаҩсыз амчыбжь
Следующая неделя	Анаҩстәи амчыбжь
Этот месяц	Ари амза
Предыдущий месяц	Иҳаҩсыз амза
Следующий месяц	Анаҩстәи амза
Этот год	Ари ашықәс
Предыдущий год	Иҳаҩсыз ашықәс
Следующий год	Анаҩстәи ашықәс
5 Четверти	Акварталқәа
Условия	Аҭагылазаашьақәа
Диапазон:	Адиапазон:
Диапазон ячеек	Абларҭақәа рдиапазон
Функция:	Афункциа:
Объединить по	Еидҵатәуп ала
Столбцам	Аиҵагылақәа
Строкам	Ацәаҳәақәа
Создать имена	Иаԥҵатәуп ахьӡқәа
Сервис	Амаҵзура:
Пароль	Ажәамаӡа
Выбор	Алхра
Минимум:	Аминимум:
Максимум:	Амаксимум:
Положительные:	Иҵоурақәоу:
Отрицательные:	Иҵоурамқәа:
Заливка:	Афаил:
Цвет	Аԥштәы
Градиент	Аградиент
Цвета	Аԥштәқәа
По середине	Агәҭа ала
Минимальная длина (%):	Иминималу аура (%):
Максимальная длина (%):	Имаксималу аура (%):
Минимальное значение должно быть меньше максимального.	Иминималу аҵакы еиҵазароуп имаксималу аасҭа.
Имя:	Ахьӡ:
Тип:	Атип:
По возрастанию	Еиҵоу-еиҳаула
По убыванию	Еиҳау-еиҵоула
Сверху	Хыхьла
Снизу	Ҵаҟала
Форма данных	Адырқәа рформа
Добавить запись	Иацҵатәуп анҵамҭа
Создать	Иаԥҵатәуп
Удал_ить	Ианыхтәуп
Следующая запись	Анаҩстәи анҵамҭа
Адрес:	URL:
URL:	URL:
_Обзор...	_Аҭыԥхәаԥшра...
Максимальное количество строк	Ацәаҳәақәа имаксималу рхыԥхьаӡара
Задать диапазон данных	Иалхтәуп адырқәа рдиапазон
Изменить	Иԥсахтәуп
Вставить или удалить ячейки	Ибжьаргылатәуп ма ианыхтәуп абларҭақәа
Сохранить форматирование	Еиқәырхатәуп аформатркра
Не сохранять импортированные данные	Еиқәырхатәӡам аимпорттә дырқәа
Параметры диапазона	Адиапазон апараметрқәа
Удалить ячейки	Ианыхтәуп абларҭақәа
Удалить строку целиком	Ианыхтәуп ацәаҳәа шеибгоу
Удалить с_толбец целиком	Ианыхтәуп аиҵагыла шеибгоу
Удалить содержимое	Ианыхтәуп акомментари
Удалить всё	Ианыхтәуп зегьы
_Текст	_Атеқст
Числа	Ахыԥхьаӡарақәа
Даты и время	Арыцхәи аамҭеи
Форматы	Аформатқәа
Объекты	Аобиеқтқәа
Изменить параметры	Иԥсахтәуп апараметрқәа
Вставить как гиперссылку	Ибжьаргылатәуп агиперзхьарԥш ҳасабла
Вставить как ссылку	Ибжьаргылатәуп азхьарԥш ҳасабла
Действие:	Аҟаҵара:
_Заглавие:	Ахы:
Обзор...	Аҭыԥхәаԥшра...
Стоп	Аанкылара
Предупреждение	Агәаҽанҵара
Макрос	Амакрос
сек.	асек.
Заполнить ряды	Афаилтә маҵзурақәа
В_право	Арыӷьарахь
В_лево	Арымарахь
Линейный	Аҵәаӷәатә
Линии слева и справа	Армарахтәии арӷьарахьтәии адаҟьақәа
Формат ячеек	Абларҭақәа рформат
Выравнивание	Аиҟаратәра
Фон	Аҿаԥшыра
Преобразование из текста в число:	Атеқст аҟынтә ахыԥхьаӡарахь аиагара:
Использовать синтаксис формул	Ихархәатәуп аформулақәа рсинтаксис
Все	Зегьы
надпись	Анапаҵаҩра
_Целевая ячейка	_Ахықәкыратә бларҭа
Заглавие	Ахы
Имя файла	Афаил ахьӡ
Путь/имя файла	Амҩа/афаил ахьӡ
Страницы	Адаҟьақәа
Заметка	Азгәаҭа
(Нет)	(мап)
размер:	ашәагаа:
Импорт файла	Афаил аимпорт
Кодировка:	Акодркра:
Разделитель полей:	Аҭагаларҭақәа реиҟәшага:
Вставить лист	Ибжьаргылатәуп адиаграмма
