source,target
"<image id=""img_id3154002"" src=""res/commandimagelist/sc_mergecells.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154002"">Icon</alt></image>","<image id=""img_id3154002"" src=""res/commandimagelist/sc_mergecells.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154002"">Значок</alt></image>"
Merge Cells,Абларҭқәа еидҵатәуп
"<image id=""img_id3147275"" src=""res/commandimagelist/sc_splitcell.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3147275"">Icon</alt></image>","<image id=""img_id3147275"" src=""res/commandimagelist/sc_splitcell.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3147275"">Значок</alt></image>"
Split Cells,Абларҭқәа реидыгара
"<image id=""img_id3145228"" src=""res/commandimagelist/sc_setoptimalrowheight.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3145228"">Icon</alt></image>","<image id=""img_id3145228"" src=""res/commandimagelist/sc_setoptimalrowheight.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3145228"">Значок</alt></image>"
Optimal Row Height,Ацәаҳәа иазеиӷьу аҳаракыра
"<image id=""img_id3155994"" src=""res/commandimagelist/sc_distributerows.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3155994"">Icon</alt></image>","<image id=""img_id3155994"" src=""res/commandimagelist/sc_distributerows.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3155994"">Значок</alt></image>"
Distribute Rows Equally,Ацәаҳақәа рыәаракыра ариашара
"<variable id=""selektierenz"">Choose <emph>Table - Select - Row</emph></variable>","<variable id=""selektierenz"">Последовательно выберите команды <emph>Таблица - Выделить - Строка</emph></variable>"
Choose <emph>Table - Delete - Rows</emph>,Последовательно выберите команды <emph>Таблица - Удалить - Строки</emph>
"<image id=""img_id3150361"" src=""res/commandimagelist/sc_deleterows.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150361"">Icon</alt></image>","<image id=""img_id3150361"" src=""res/commandimagelist/sc_deleterows.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150361"">Значок</alt></image>"
Delete Row,Ацәаҳәа иқәаҳгап
"<image id=""img_id3157888"" src=""res/commandimagelist/sc_setoptimalcolumnwidthdirect.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3157888"">Icon</alt></image>","<image id=""img_id3157888"" src=""res/commandimagelist/sc_setoptimalcolumnwidthdirect.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3157888"">Значок</alt></image>"
Optimal Column Width,Аиҵаргыла иазеиӷьу аҭбаара...
"<image id=""img_id3145186"" src=""res/commandimagelist/sc_distributecolumns.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3145186"">Icon</alt></image>","<image id=""img_id3145186"" src=""res/commandimagelist/sc_distributecolumns.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3145186"">Значок</alt></image>"
"<variable id=""spaltesel"">Choose <emph>Table - Select - Column</emph></variable>","<variable id=""spaltesel"">Последовательно выберите команды <emph>Таблица - Выделить - Столбец</emph></variable>"
Choose <emph>Table - Insert - Columns</emph>,Последовательно выберите команды <emph>Таблица - Вставка - Столбцы</emph>
Choose <emph>Table - Insert - Rows</emph>,Последовательно выберите команды <emph>Таблица - Вставка - Строки</emph>
"<image id=""img_id3150286"" src=""res/commandimagelist/sc_insertcolumns.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150286"">Icon</alt></image>","<image id=""img_id3150286"" src=""res/commandimagelist/sc_insertcolumns.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150286"">Значок</alt></image>"
Insert Column,Аиҵагыла бжьаргылатәуп
"<image id=""img_id3150902"" src=""res/commandimagelist/sc_insertrows.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150902"">Icon</alt></image>","<image id=""img_id3150902"" src=""res/commandimagelist/sc_insertrows.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150902"">Значок</alt></image>"
Insert Row,Ацәаҳәа иҭаҳаргылап
Choose <emph>Table - Delete - Columns</emph>,Последовательно выберите команды <emph>Таблица - Удалить - Столбцы</emph>
"<image id=""img_id3153607"" src=""res/commandimagelist/sc_deletecolumns.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153607"">Icon</alt></image>","<image id=""img_id3153607"" src=""res/commandimagelist/sc_deletecolumns.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153607"">Значок</alt></image>"
Delete Column,Аиҵагылара иқәаҳгап
Choose <emph>Format - Frame</emph>,Выберите <emph>Формат - Врезка</emph>
"<image id=""img_id3151283"" src=""res/commandimagelist/sc_framedialog.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3151283"">Icon</alt></image>","<image id=""img_id3151283"" src=""res/commandimagelist/sc_framedialog.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3151283"">Значок</alt></image>"
Object Properties,Аобиект аҷыдаҟазшь
"<image id=""img_id3152980"" src=""res/commandimagelist/sc_framedialog.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3152980"">Icon</alt></image>","<image id=""img_id3152980"" src=""res/commandimagelist/sc_framedialog.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3152980"">Значок</alt></image>"
"<image id=""img_id3083452"" src=""res/commandimagelist/sc_mergedialog.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3083452"">Icon</alt></image>","<image id=""img_id3083452"" src=""res/commandimagelist/sc_mergedialog.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3083452"">Значок</alt></image>"
"<image src=""res/commandimagelist/sc_wrapoff.png"" id=""img_id3145389""><alt id=""alt_id3145389"">Icon</alt></image>","<image src=""res/commandimagelist/sc_wrapoff.png"" id=""img_id3145389""><alt id=""alt_id3145389"">Значок</alt></image>"
Wrap Off,Ахыкәшарада
"<image src=""res/commandimagelist/sc_wrapon.png"" id=""img_id3149048""><alt id=""alt_id3149048"">Icon</alt></image>","<image src=""res/commandimagelist/sc_wrapon.png"" id=""img_id3149048""><alt id=""alt_id3149048"">Значок</alt></image>"
Wrap On,С обтеканием
"<image src=""res/commandimagelist/sc_wrapthrough.png"" id=""img_id3152999""><alt id=""alt_id3152999"">Icon</alt></image>","<image src=""res/commandimagelist/sc_wrapthrough.png"" id=""img_id3152999""><alt id=""alt_id3152999"">Значок</alt></image>"
Wrap Through,Иагәылсны ахыкәшара
"<image src=""res/sc06301.png"" id=""img_id3149026""><alt id=""alt_id3149026"">Icon</alt></image>","<image src=""res/sc06301.png"" id=""img_id3149026""><alt id=""alt_id3149026"">Значок</alt></image>"
"<image src=""res/sc06300.png"" id=""img_id3151272""><alt id=""alt_id3151272"">Icon</alt></image>","<image src=""res/sc06300.png"" id=""img_id3151272""><alt id=""alt_id3151272"">Значок</alt></image>"
Choose <emph>Edit - AutoText</emph>,Последовательно выберите команды <emph>Правка - Автотекст</emph>
"<switchinline select=""sys""><caseinline select=""MAC"">Command</caseinline><defaultinline>Ctrl</defaultinline></switchinline>+F3","<switchinline select=""sys""><caseinline select=""MAC"">Command</caseinline><defaultinline>CTRL</defaultinline></switchinline>+F3"
"<image id=""img_id3156418"" src=""res/commandimagelist/sc_editglossary.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3156418"">Icon</alt></image>","<image id=""img_id3156418"" src=""res/commandimagelist/sc_editglossary.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3156418"">Значок</alt></image>"
AutoText,Ахалатекст...
"<variable id=""datenaust"">Choose <emph>Edit - Exchange Database</emph></variable>","<variable id=""datenaust"">Последовательно выберите команды <emph>Правка - Сменить базу данных</emph></variable>"
"<variable id=""fussnote"">Choose <emph>Edit - Footnotes</emph></variable>","<variable id=""fussnote"">Последовательно выберите команды <emph>Правка - Сноски</emph></variable>"
"<variable id=""bereiche"">Choose <emph>Format - Sections</emph></variable>","<variable id=""bereiche"">Последовательно выберите команды <emph>Формат - Разделы</emph></variable>"
"<variable id=""autotextum"">Choose <emph>Edit - AutoText - AutoText - Rename</emph></variable>","<variable id=""autotextum"">Последовательно выберите команды <emph>Правка - Автотекст - Автотекст - Переименовать</emph></variable>"
"<variable id=""textbegrenzungen"">Choose <emph>View - Text Boundaries</emph></variable>","<variable id=""textbegrenzungen"">Последовательно выберите команды <emph>Вид - Границы текста</emph></variable>"
"<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+F8","<switchinline select=""sys""><caseinline select=""MAC"">Command</caseinline><defaultinline>CTRL</defaultinline></switchinline>+F8"
"<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+F9","<switchinline select=""sys""><caseinline select=""MAC"">Command</caseinline><defaultinline>CTRL</defaultinline></switchinline>+F9"
Choose <emph>View - Nonprinting Characters</emph>,Последовательно выберите команды <emph>Вид - Непечатаемые символы</emph>.
"<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+F10","<switchinline select=""sys""><caseinline select=""MAC"">Command</caseinline><defaultinline>CTRL</defaultinline></switchinline>+F10"
"<image id=""img_id3150502"" src=""res/commandimagelist/sc_controlcodes.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150502"">Icon</alt></image>","<image id=""img_id3150502"" src=""res/commandimagelist/sc_controlcodes.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3150502"">Значок</alt></image>"
Nonprinting Characters,Асимволқәа мкьыԥхьтә
Choose <emph>View - Web Layout</emph>,Последовательно выберите команды <emph>Вид - Веб-документ</emph>.
"<image id=""img_id3147572"" src=""res/commandimagelist/sc_browseview.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3147572"">Icon</alt></image>","<image id=""img_id3147572"" src=""res/commandimagelist/sc_browseview.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3147572"">Значок</alt></image>"
Web Layout,Авеб-даҟьа арежим
Choose <emph>View - Print Layout</emph>,Последовательно выберите команды <emph>Вид - Разметка печати</emph>.
"<image id=""img_id3153583"" src=""res/commandimagelist/sc_browseview.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153583"">Icon</alt></image>","<image id=""img_id3153583"" src=""res/commandimagelist/sc_browseview.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3153583"">Значок</alt></image>"
"<variable id=""versteckteabs"">Choose <emph>View - Hidden Paragraphs</emph></variable>","<variable id=""versteckteabs"">Последовательно выберите команды <emph>Вид - Скрытые абзацы</emph>.</variable>"
"<variable id=""wordcount"">Choose <emph>Tools - Word Count</emph></variable>","<variable id=""wordcount"">Последовательно выберите команды <emph>Сервис - Количество слов</emph>.</variable>"
"<variable id=""kapitelnumerierung"">Choose <emph>Tools - Outline Numbering</emph></variable>","<variable id=""kapitelnumerierung"">Последовательно выберите команды <emph>Сервис - Структурные уровни</emph></variable>"
"<variable id=""fussnoteneinstellung"">Choose <emph>Tools - Footnotes</emph></variable>","<variable id=""fussnoteneinstellung"">Последовательно выберите команды <emph>Сервис - Сноски</emph></variable>"
"<variable id=""texttabelle"">Choose <emph>Table - Convert - Text to Table</emph></variable>","<variable id=""texttabelle"">Последовательно выберите команды <emph>Таблица - Преобразовать - Текст в таблицу</emph></variable>"
"<variable id=""sortieren"">Choose <emph>Tools - Sort</emph></variable>","<variable id=""sortieren"">Последовательно выберите команды <emph>Сервис - Сортировать</emph></variable>"
Choose <emph>Tools - Calculate</emph>,Последовательно выберите команды <emph>Сервис - Вычислить</emph>
"<variable id=""aktualisieren"">Choose <emph>Tools - Update</emph></variable>","<variable id=""aktualisieren"">Последовательно выберите команды <emph>Сервис - Обновить</emph>.</variable>"
"<variable id=""seitenformatierung"">Choose <emph>Tools - Update - Reformat Pages</emph></variable>","<variable id=""seitenformatierung"">Последовательно выберите команды <emph>Сервис - Обновить - Переформатировать страницы</emph></variable>"
"<variable id=""alles"">Choose <emph>Tools - Update - Update All </emph></variable>","<variable id=""alles"">Последовательно выберите команды <emph>Сервис - Обновить - Обновить все</emph></variable>"
F9 key,Клавиша F9
"<variable id=""aktverknuepf"">Choose <emph>Tools - Update - Links</emph></variable>","<variable id=""aktverknuepf"">Последовательно выберите команды <emph>Сервис - Обновить - Ссылки</emph></variable>"
"<variable id=""adiagr"">Choose <emph>Tools - Update - All Charts</emph></variable>","<variable id=""adiagr"">Последовательно выберите команды <emph>Сервис - Обновить - Все диаграммы</emph></variable>"
"<variable id=""manuellerumbruch"">Choose <emph>Insert - Manual Break</emph></variable>","<variable id=""manuellerumbruch"">Последовательно выберите команды <emph>Вставка - Разрыв</emph></variable>"
"<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+F2","<switchinline select=""sys""><caseinline select=""MAC"">Command</caseinline><defaultinline>CTRL</defaultinline></switchinline>+F2"
"<image id=""img_id3146959"" src=""res/commandimagelist/sc_insertfield.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3146959"">Icon</alt></image>","<image id=""img_id3146959"" src=""res/commandimagelist/sc_insertfield.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3146959"">значок</alt></image>"
Choose <emph>Insert - Referenced Field</emph>,Последовательно выберите команды <emph>Вставка - Поле ссылки</emph>.
Choose <emph>Insert - Section</emph>,Последовательно выберите команды <emph>Вставка - Раздел</emph>
"<image id=""img_id3152952"" src=""res/commandimagelist/sc_insertsection.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3152952"">Icon</alt></image>","<image id=""img_id3152952"" src=""res/commandimagelist/sc_insertsection.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3152952"">Значок</alt></image>"
Section,Аҟәша...
"<variable id=""bereicheinbereich"">Choose <emph>Insert - Section - Section</emph> tab or choose <emph>Format - Sections</emph></variable>","<variable id=""bereicheinbereich"">Выберите вкладку <emph>Вставка - Раздел - Раздел</emph> или последовательно выберите команды <emph>Формат - Разделы</emph></variable>"
"<variable id=""sectionindents"">Choose <emph>Insert - Section - Indents</emph> tab or choose <emph>Format - Sections</emph></variable>","<variable id=""sectionindents"">Выберите вкладку <emph>Вставка - Раздел - Отступы</emph> или последовательно выберите команды <emph>Формат - Разделы</emph></variable>"
Footnote: Choose <emph>Insert - Footnote</emph>,Сноска:  Последовательно выберите команды <emph>Вставка - Сноска</emph>
"<image id=""img_id3149099"" src=""res/commandimagelist/sc_insertfootnote.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149099"">Icon</alt></image>","<image id=""img_id3149099"" src=""res/commandimagelist/sc_insertfootnote.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149099"">Значок</alt></image>"
"<image id=""img_id3147586"" src=""res/commandimagelist/sc_insertendnote.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3147586"">Icon</alt></image>","<image id=""img_id3147586"" src=""res/commandimagelist/sc_insertendnote.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3147586"">Значок</alt></image>"
Insert Endnote Directly,Анцәамҭатә зхьарԥш бжьаргылатәуп
Choose <emph>Insert - Caption</emph>,Последовательно выберите команды <emph>Вставка - Название</emph>
Choose <emph>Insert - Caption - Options</emph>,Последовательно выберите команды <emph>Вставка - Название - Параметры</emph>
Choose <emph>Insert - Bookmark</emph>,Последовательно выберите команды <emph>Вставка - Закладка</emph>
"<image id=""img_id3151369"" src=""sw/imglst/nc20005.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3151369"">Icon</alt></image>","<image id=""img_id3151369"" src=""sw/imglst/nc20005.png"" width=""0.1665inch"" height=""0.1665inch""><alt id=""alt_id3151369"">Значок</alt></image>"
Bookmark,Агәылаҵа...
"<image id=""img_id3149551"" src=""res/commandimagelist/sc_insertindexesentry.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149551"">Icon</alt></image>","<image id=""img_id3149551"" src=""res/commandimagelist/sc_insertindexesentry.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149551"">Значок</alt></image>"
Entry,Аҭаҩра
"<variable id=""briefumschlag"">Choose <emph>Insert - Envelope</emph></variable>","<variable id=""briefumschlag"">Последовательно выберите команды <emph>Вставка - Конверт</emph></variable>"
Choose <emph>Insert - Frame</emph>,Последовательно выберите команды <emph>Вставка - Рамка</emph>
"<image id=""img_id3149379"" src=""res/commandimagelist/sc_insertframe.png"" width=""0.2228inch"" height=""0.2228inch""><alt id=""alt_id3149379"">Frame</alt></image>","<image id=""img_id3149379"" src=""res/commandimagelist/sc_insertframe.png"" width=""0.2228inch"" height=""0.2228inch""><alt id=""alt_id3149379"">Рамка</alt></image>"
Insert Frame Manually,Вставить рамку
Choose <emph>Insert - Table</emph>,Последовательно выберите команды <emph>Вставка - Таблица</emph>
"<switchinline select=""sys""><caseinline select=""MAC"">Command </caseinline><defaultinline>Ctrl</defaultinline></switchinline>+F12","<switchinline select=""sys""><caseinline select=""MAC"">Command</caseinline><defaultinline>CTRL</defaultinline></switchinline>+F12"
"<image id=""img_id3154627"" src=""res/commandimagelist/sc_grid.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154627"">Icon</alt></image>","<image id=""img_id3154627"" src=""res/commandimagelist/sc_grid.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3154627"">Значок</alt></image>"
Table,Аҭаӡҩыра
"<image id=""img_id3149966"" src=""res/commandimagelist/sc_insertdoc.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149966"">Icon</alt></image>","<image id=""img_id3149966"" src=""res/commandimagelist/sc_insertdoc.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149966"">Значок</alt></image>"
File,Афаил
Combine,Аидҵара 
Macro,Амаркос
"<link href=""text/swriter/01/05060700.xhp"" name=""Macro"">Macro</link>","<link href=""text/swriter/01/05060700.xhp"" name=""Макрос"">Макрос</link>"
Event,Ахҭыс
Graphics,Асахьақәа
Frame,Адаԥа 
ImageMap area,Область карты ссылок
Hyperlink,Агиперзхьарԥшга
x,x
Trigger Hyperlink,Переход по гиперссылке
Input of alpha characters ,Ввод алфавитных символов 
text is inputted,введен текст
Input of non-alpha characters ,Ввод не алфавитных символов 
Resize frame,Изменение размера рамки
frame is resized,изменен размер рамки
before AutoText is inserted,"перед тем, как автотекст вставлен"
After inserting AutoText,После вставки автотекста
after AutoText is inserted,"после того, как автотекст вставлен"
Macros,Амакросқәа
Category,Акатегориа 
Macro name,Амакрос ахьӡ
Assign,Аҭара
Remove,Иаԥыхтәуп
Use the current document,Ҳазну адокумент хархәатәуп
Create a new document,Адокумент ҿыц аԥҵатәуп
Browse, Аххәаа
Start from a template,Ахсаала
"<ahelp hid=""."">Opens the <emph>Templates and Documents</emph> dialog.</ahelp>","<ahelp hid=""."">Открывает диалоговое окно <emph>Шаблоны и документы</emph>.</ahelp>"
"<ahelp hid=""."">Select the document.</ahelp>","<ahelp hid=""."">Выберите документ.</ahelp>"
Update All,Зегь рҿыцтәуп
"<link href=""text/swriter/01/06190000.xhp"" name=""Update All"">Update All</link>","<link href=""text/swriter/01/06190000.xhp"" name=""Обновить все"">Обновить все</link>"
Rename AutoText,Переименовать Автотекст
Name,Ахьыӡ
New,Иаԥҵатәуп
Database,Адыррақәа рышьаҭа
"<link href=""text/swriter/01/04090006.xhp"" name=""Database"">Database</link>","<link href=""text/swriter/01/04090006.xhp"" name=""База данных"">База данных</link>"
Field type,Аҭыԥ ахкы
Meaning,Аҵакы
Next record,Анаҩсантәи анҵамҭа
Record number,Аҩыра аномер
Database Selection,Адыррақәа рышьата алхтәуп
Format,Аформат
From database,Из базы данных
List of user-defined formats,Список определенных пользователем форматов
Printing a form letter,Печать стандартного письма
Search for,Аԥшаара
Find,Аԥшаара
Whole words only,Слова целиком
Backwards,Шьҭахьла
Match case,Арегистр гәцарактәуп
"<ahelp hid=""."">Distinguishes between uppercase and lowercase characters in the search.</ahelp>","<ahelp hid=""."">Делает различие между прописными и строчными буквами при поиске.</ahelp>"
Select address list,Адресқәа рыхьӡынҵа алхра
"When you edit some records in a Calc spreadsheet data source that is currently in use for a mail merge, those changes are not visible in the mail merge.","When you edit some records in a Calc spreadsheet data source that is currently in use for a mail merge, those changes are not visible in the mail merge."
More,Иацҵаны
"<ahelp hid=""."">Opens the <link href=""text/swriter/01/mm_seladdblo.xhp"">Select Address Block</link> dialog.</ahelp>","<ahelp hid=""."">Открывает диалоговое окно <link href=""text/swriter/01/mm_seladdblo.xhp"">Выбор блока адреса</link>.</ahelp>"
(Browse buttons),(Кнопки обзора)
Wrap,Ахыкәшара
"<link href=""text/swriter/01/05060200.xhp"" name=""Wrap"">Wrap</link>","<link href=""text/swriter/01/05060200.xhp"" name=""Обтекание"">Обтекание</link>"
Settings,Апараметрқәа
None,Мап
"<image id=""img_id3149044"" src=""sw/imglst/wr07.png"" width=""0.4307inch"" height=""0.4307inch""><alt id=""alt_id3149044"">Icon</alt></image>","<image id=""img_id3149044"" src=""sw/imglst/wr07.png"" width=""0.4307inch"" height=""0.4307inch""><alt id=""alt_id3149044"">Значок</alt></image>"
Before,Аԥхьа
"<image id=""img_id3145780"" src=""sw/imglst/wr02.png"" width=""0.4307inch"" height=""0.4307inch""><alt id=""alt_id3145780"">Icon</alt></image>","<image id=""img_id3145780"" src=""sw/imglst/wr02.png"" width=""0.4307inch"" height=""0.4307inch""><alt id=""alt_id3145780"">значок</alt></image>"
After,... ашьҭахь
"<image id=""img_id3149567"" src=""sw/imglst/wr03.png"" width=""0.4307inch"" height=""0.4307inch""><alt id=""alt_id3149567"">Icon</alt></image>","<image id=""img_id3149567"" src=""sw/imglst/wr03.png"" width=""0.4307inch"" height=""0.4307inch""><alt id=""alt_id3149567"">значок</alt></image>"
Parallel,Вокруг
"<image id=""img_id3148851"" src=""sw/imglst/wr04.png"" width=""0.4307inch"" height=""0.4307inch""><alt id=""alt_id3148851"">Icon</alt></image>","<image id=""img_id3148851"" src=""sw/imglst/wr04.png"" width=""0.4307inch"" height=""0.4307inch""><alt id=""alt_id3148851"">значок</alt></image>"
Through,Сквозное
"<image id=""img_id3150169"" src=""sw/imglst/wr05.png"" width=""0.4307inch"" height=""0.4307inch""><alt id=""alt_id3150169"">Icon</alt></image>","<image id=""img_id3150169"" src=""sw/imglst/wr05.png"" width=""0.4307inch"" height=""0.4307inch""><alt id=""alt_id3150169"">значок</alt></image>"
Optimal,Оптимальное
"<image id=""img_id3150910"" src=""sw/imglst/wr06.png"" width=""0.4307inch"" height=""0.4307inch""><alt id=""alt_id3150910"">Icon</alt></image>","<image id=""img_id3150910"" src=""sw/imglst/wr06.png"" width=""0.4307inch"" height=""0.4307inch""><alt id=""alt_id3150910"">значок</alt></image>"
Options,Апараметрқәа
First Paragraph,Актәи абзац
In Background,Ашьҭахьтәи аплан аҿы
Contour,По контуру
Only outside,Только снаружи
Gaps,Аибжьаӡарақәа
Left,Арымарахьтә
Right,Аилкаага
Top,Хахьла
Bottom,Ҵаҟантә
All Indexes and Tables,Ахқәеи арбагақәеи зегьы
Styles in Writer,Стили в Writer
Description,Ахҳәааҟаҵара
Character Styles ,Стили символов 
Paragraph Styles ,Стили абзаца 
Frame Styles,Стили рамок
Page Styles ,Стили страницы 
Numbering Styles,Стили нумерации
Automatic,Автоматала
All Styles,Астильқәа зегьы
Applied Styles,Рхы иадырхәо астильқәа
Custom Styles,Ахархәаҩтә стильқәа
Character Styles,Стили символов
Chapter Styles,Стили глав
List Styles,Стили списков
HTML Styles,HTML астильқәа
Conditional Styles,Иеибыҳәоу астильқәа
Displays the user-defined conditional styles.,Отображает заданные пользователем условные стили.
Hierarchical,Еиҳабырала
Template Management,Ацәаблақәа рнапхгара
Direction,Ахырхарҭа
Horizontally,По горизонтали
Into equal proportions,На равные части
Vertically,Ҵәҩанҵәыла
Contents,Аҵакыра
URL,URL
"<SCRIPT LANGUAGE=""JavaScript"" SRC=""url"">","<SCRIPT LANGUAGE=""JavaScript"" SRC=""url"">"
</SCRIPT>,</SCRIPT>
...,...
Text,Атекст
AutoFormat,Автоформат
"<link href=""text/swriter/01/05150000.xhp"" name=""AutoFormat"">AutoFormat</link>","<link href=""text/swriter/01/05150000.xhp"" name=""Автоформат"">Автоформат</link>"
From left,Арымарахьтә
From top,Хахьла
Up,Хыхь
Down,Алада
Zoom,Амасштаб
"<link href=""text/swriter/01/04070200.xhp"" name=""Format"">Format</link>","<link href=""text/swriter/01/04070200.xhp"" name=""Формат"">Формат</link>"
Addressee,зауа
Position,Аҭагылазаашьа
from left,слева
from top,сверху
Edit Format,Изменить формат
Character,Асимволқәа
Paragraph,Абзац
Sender,Идәықәҵатәуп
Size,Ашәагаа
Width,Аҭбаара
"<ahelp hid=""SW_METRICFIELD_TP_ENV_FMT_FLD_SIZE_WIDTH"" visibility=""visible"">Enter the width of the envelope.</ahelp>","<ahelp hid=""SW_METRICFIELD_TP_ENV_FMT_FLD_SIZE_WIDTH"" visibility=""visible"">Введите ширину конверта.</ahelp>"
Height,Агылара
"<ahelp hid=""SW_METRICFIELD_TP_ENV_FMT_FLD_SIZE_HEIGHT"" visibility=""visible"">Enter the height of the envelope.</ahelp>","<ahelp hid=""SW_METRICFIELD_TP_ENV_FMT_FLD_SIZE_HEIGHT"" visibility=""visible"">Введите высоту конверта.</ahelp>"
Resizing Columns and Rows,Изменение размера столбцов и строк
Inserting and deleting columns or rows,Вставка и удаление столбцов и строк
"<link href=""text/swriter/main0204.xhp"" name=""Table Bar"">Table Bar</link>","<link href=""text/swriter/main0204.xhp"" name=""Панель таблицы"">Панель таблицы</link>"
Assign Styles,Назначить стиль
