Аԥсны аҳәынҭқарра ашьаустә закәанеидкыла	Уголовный кодекс республики абхазия
Ацәгьаура ҟазҵаз ауаатәыҩса зегьы азакәан аҿаԥхьа еиҟароуп, ашьаус аҭакԥхықәрагьы рыдуп: дхаҵоума, дыԥҳәысума, цәаԥшшәахәыла дзеиԥшразаалакгьы, дызмилаҭзаалакгьы, ибызшәа, иабшьҭра, имазаратә ҭагылазаашьеи имаҵуратә ҭагылазаашьеи зеиԥшразаалакгьы, дахьынхозаалакгьы, адинхаҵара дшазыҟазаалакгьы, уаажәларратә хеидкылас дызҵазкуазаалакгьы, иара убас, егьырҭ иҭагылазаарақәа зеиԥшразаалакгьы.	Лица, совершившие преступления, равны перед законом и подлежат уголовной ответственности независимо от пола, расы, национальности, языка, происхождения, имущественного и должностного положения, места жительства, отношения к религии, убеждений, принадлежности к общественным объединениям, а также других обстоятельств.
Ахара апринципқәа	Принцип вины
Ашьаустә ҭакԥхықәра ауаҩытәыҩса идлоит ихара шьақәзыргыло ауаажәларразы ишәарҭоу иҟаиҵаз (иҟаимҵаз) аумҭақәеи урҭ ирхылҿиаақәаз ауаажәларразы ашәарҭара зцу аҵыхәтәақәеи рзы мацара.	Лицо подлежит уголовной ответственности только за те общественно опасные действия (бездействие) и наступившие общественно опасные последствия, в отношении которых установлена его вина.
Обиективла ахаратәра, д.и., харада иҟаҵоу аахазы ашьаустә ҭакԥхықәра адҵара ҟалом.	Объективное вменение, то есть уголовная ответственность за невиновное причинение вреда, не допускается.
Аиашара апринципқәа	Принцип справедливости
Ашьауӷа, иара убас, егьырҭ ашьаустә зин ҟазшьа змоу ақәнагақәа, ацәгьаура ҟазҵаз ауаҩытәыҩса иашала идҵалатәуп, д.и., уи ацәгьаура ҟазшьала иацу ауаажәларра ршәарҭара аҩаӡареи, ацәгьаура злаҟаҵо аҭагылазаашьақәеи, иара ихаҭареи ирықәшәо иҟазароуп.	Наказание и иные меры уголовно-правового характера, применяемые к лицу, совершившему преступление, должны быть справедливыми, то есть соответствовать характеру и степени общественной опасности преступления, обстоятельствам его совершения и личности виновного.
Цәгьаурак азы ашьаустә ҭакԥхықәра аӡәы ҩынтә идҵара залшом.	Никто не может нести уголовную ответственность дважды за одно и то же преступление.
Ақьиара апринципқәа	Принцип гуманизма
Аԥсны Аҳәынҭқарра ашьаустә закәанԥҵара иеиқәнаршәоит ауаҩытәыҩса изы ашәарҭадара.	Уголовное законодательство Республики Абхазия обеспечивает безопасность человека.
Ацәгьаура ҟазҵаз ауаҩытәыҩса иқәҵоу ашьауӷеи, иара убас ашьаус-зинтә ҟазшьа змоу егьырҭ азыԥҵәақәеи хықәкыс ирымамзароуп цәеижьхьаала иргәаҟра ма иаҳаҭыр аларҟәра.	Наказание и иные меры уголовно-правового характера, применяемые к лицу, совершившему преступление, не могут иметь своей целью причинение физических страданий или унижение человеческого достоинства.
Ашьаустә ҭакԥхықәра аҵаҵӷәы	Основание уголовной ответственности
Ашьаустә ҭакԥхықәра ҵаҵӷәыс иамоуп абри Азакәанеидкылаҿы иазԥхьагәаҭоу ацәгьаура аилазаара адыргақәа зегьы змоу аумҭа.	Основанием уголовной ответственности является совершение деяния, содержащего все признаки состава преступления, предусмотренного настоящим Кодексом.
2-тәи ахы. Аамҭалеи ҵакырадгьыллеи ашьаустә закәан амчра амҽхак	Глава II. Действие уголовного закона во времени и в пространстве
Ашьаустә закәан амчра аамҭа амҽхак ахьынӡанаӡо	Действие уголовного закона во времени
Аумҭа шыцәгьауроуи уи азы ашьауӷа шахәҭоуи ҳәаақәнаҵоит уи аныҟаҵаз аамҭазы аус зуаз ашьаустә закәан.	Преступность и наказуемость деяния определяются уголовным законом, действовавшим во время совершения этого деяния.
Ацәгьаура аҟаҵара аамҭа ҳәа иԥхьаӡоуп ауаажәларра шәарҭаратә умҭа аныҟаҵаз, мамзаргьы иҟаҵатәыз аныҟаҵамыз аамҭа, уи ахылҿиаақәа аныҟалазаалакгьы.	Временем совершения преступления признается время совершения общественно опасного действия (бездействия) независимо от времени наступления последствий.
Ашьаустә закәан шьҭахьлатәи амч	Обратная сила уголовного закона
Ашьаустә закәан ҿыц, ашьауӷа зырԥсыҽуа, ма даҽакала ацәгьара ҟазҵаз ауаҩы иҭагылазаашьа еиӷьызтәуа, шьҭахьлатәи амч амоуп, д.и., ари ашьаустә закәан ҿыц иаҵанакуеит ацәгьаура иара азакәан амчра аиуаанӡа ацәгьауратә умҭа иҟаҵаз, иара убас, ашьауӷа зыхгара иаҿугьы, уи зхызгахьоугьы, аха аӡбамҭа ззыннажьыз. Аумҭа шыцәгьауроу шьақәзыргыло ашьаустә закәан ҿыц ашьауӷа арыӷәӷәозар, мамзаргьы даҽакала ацәгьауратә умҭа ҟазҵаз иҭагылазаашьа еицәанатәуазар, уи шьҭахьлатәи амч амаӡам.	Уголовный закон, устраняющий преступность деяния, смягчающий наказание или иным образом улучшающий положение лица, совершившего преступление, имеет обратную силу, то есть распространяется на лиц, совершивших соответствующие деяния до вступления такого закона в силу, в том числе на лиц, отбывающих наказание или отбывших наказание, но имеющих судимость. Уголовный закон, устанавливающий преступность деяния, усиливающий наказание или иным образом ухудшающий положение лица, обратной силы не имеет.
Абри ашьаустә закәан ҿыц ауаҩԥсы ацәгьауразы ихигауа ашьаус арԥсыҽуазар, усҟан уи ихигауа ашьауӷа азакәан ҿыц аҳәаақәа ирҭагӡаны армаҷра ақәуп.	Если новый уголовный закон смягчает наказание за деяние, которое отбывается лицом, то это наказание подлежит сокращению в пределах, предусмотренных новым уголовным законом.
Аԥсны Аҳәынҭқарра аҵакырадгьыл иахьаҵанакуа ацәгьаура ҟазҵаз ауааԥсыра ирызкны ашьаустә закәан амҽхак	Действие уголовного закона в отношении лиц, совершивших преступление на территории Республики Абхазия
Аԥсны Аҳәынҭқарра аҵакырадгьыл аҩныҵҟа ацәгьаура ҟазҵаз ашьаустә ҭакԥхықәра идлоит абри Азакәанеидкыла инақәыршәаны.	Лицо, совершившее преступление на территории Республики Абхазия, подлежит уголовной ответственности по настоящему Кодексу.
Аԥсны Аҳәынҭқарра иаҵанакуа аӡтәи аҳауатәи аҳәаақәа рыҩныҵҟа иҟаҵоу ацәгьаурақәа Аԥсны Аҳәынҭқарра аҵакырадгьыл аҩныҵҟа иҟаҵоуп ҳәа иԥхьаӡоуп. Абри Азакәанеидкыла амҽхак иаҵанакуеит, иара убас, аконтиненталтә шельфи иҷыдоу Аԥсны Аҳәынҭқарра аекономикатә ҳәааи рыҩныҵҟа иҟаҵоу ацәгьаурақәа.	Преступления, совершенные в пределах территориальных вод или воздушного пространства Республики Абхазия, признаются совершенными на территории Республики Абхазия. Действие настоящего Кодекса распространяется также на преступления, совершенные на континентальном шельфе и в исключительной экономической зоне Республики Абхазия.
Аԥсны Аҳәынҭқарра абаӷәаза, мамзаргьы аҳаирбаӷәаза аҟны иҭаҩу, Аԥсны аҳәаа анҭыҵ иаарту аӡтәы, мамзаргьы аҳауатә ҳәаақәа рҟны иҟоу аӷбаҟны, мамзаргьы аҳаирплан аҟны ацәгьаура ҟазҵаз ауаҩԥсы ашьаустә ҭакԥхықәра идлоит абри Азакәанеидкыла ала, Аԥсны иамоу жәларбжьаратә еиқәшаҳаҭрак аҿы даҽак амҳәозар. Абри Азакәанеидкыла ала ашьаустә ҭакԥхықәра идлоит, иара убас, Аԥсны Аҳәынҭқарра арратә ӷба аҟны, мамзаргьы арратә ҳаирплан аҟны ацәгьаура ҟазҵаз ауаҩы, иара дахьыҟазаалакгьы.	Лицо, совершившее преступление на судне, приписанном к порту Республики Абхазия, находящемся в открытом водном или воздушном пространстве вне пределов Республики Абхазия, подлежит уголовной ответственности по настоящему Кодексу, если иное не предусмотрено международным договором Республики Абхазия. По настоящему Кодексу уголовную ответственность несет также лицо, совершившее преступление на военном корабле или военном воздушном судне Республики Абхазия независимо от места их нахождения.
Атәымҳәынҭқаррақәа рдипломатиатә хаҭарнакрақәеи егьырҭ атәымҳәынҭқаррақәа ртәылауааи аиммунитет хархәара азызуа, Аԥсны Аҳәынҭқарра аҩныҵҟа ацәгьаура ҟарҵар, урҭ ршьаустә ҭакԥхықәра азҵаара ӡбатәуп жәларбжьаратәи азин азыԥҵәақәа ирықәыршәаны.	Вопрос об уголовной ответственности дипломатических представителей иностранных государств и иных граждан, которые пользуются иммунитетом, в случае совершения этими лицами преступления на территории Республики Абхазия разрешается в соответствии с нормами международного права.
Аԥсны Аҳәынҭқарра анҭыҵ ацәгьаура ҟазҵаз атәылауаа ирызкны ашьаустә закәан амҽхак	Действие уголовного закона в отношении лиц, совершивших преступление вне пределов Республики Абхазия
Аԥсны Аҳәынҭқарра атәылауаа, иара убас, ҭышәынтәаларыла Аԥсны инхо, аха атәылауаҩра змам ауааԥсыра Аԥсны Аҳәынҭқарра анҭыҵ ацәгьаура ҟарҵар, ашьаустә ҭакԥхықәра рыдлоит абри Азакәанеидкыла ала, уи иҟаҵоу ацәгьауратә умҭа иахьыҟаҵоу аҳәынҭқарраҿы цәгьаураны иԥхьаӡазар, насгьы урҭ ауааԥсыра атәымҳәынҭқарраҿы иҟарҵаз ацәгьауразы рус рмыӡбацзар. Абра иарбоу ауааԥсыра рус аӡбараан, ирықәло ашьауӷа ацәгьаура ахьыҟарҵаз аҳәынҭқарраҿы аиԥш зеиԥшу ацәгьауразы ишьақәыргылоу ашьауӷа хыхьтәи ашәага аҵкыс еиҳамзароуп.	Граждане Республики Абхазия и постоянно проживающие в Республике Абхазия лица без гражданства, совершившие преступление вне пределов Республики Абхазия, подлежат уголовной ответственности по настоящему Кодексу, если совершенное ими деяние признано преступлением в государстве, на территории которого оно было совершено, и если эти лица не были осуждены в иностранном государстве. При осуждении указанных лиц наказание не может превышать верхнего предела санкции, предусмотренной законом иностранного государства, на территории которого было совершено преступление.
Атәым ҳәынҭқарратәи атәылауаа, иара убас, атәылауаҩра змам Аԥсны Аҳәынҭқарраҿы иҭышәынтәаланы инымхауа, Аԥсны Аҳәынҭқарра анҭыҵ ацәгьаура ҟарҵазар, ашьаустә ҭакԥхықәра рыдлауеит абри Азакәанеидкыла ала: иҟаҵоу ацәгьаура Аԥсны Аҳәынҭқарра аинтересқәа ирҿагылозар; Аԥсны Аҳәынҭқарра иамоу жәларбжьаратәи аилаӡара инақәыршәаны аумҭа ҟазҵаз ацәгьаура ахьыҟаҵоу аҳәынҭқарраҿы иус рмыӡбацзар; урҭ ауаа ашьаустә ҭакԥхықәра иалагалазар Аԥсны Аҳәынҭқарраҿы.	Иностранные граждане и лица без гражданства, не проживающие постоянно в Республике Абхазия, совершившие преступление вне пределов Республики Абхазия, подлежат уголовной ответственности по настоящему Кодексу в случаях, если преступление направлено против интересов Республики Абхазия, и в случаях, предусмотренных международным договором Республики Абхазия, если они не были осуждены в иностранном государстве и привлекаются к уголовной ответственности на территории Республики Абхазия.
Ацәгьаура ҟазҵаз ауаҩытәыҩса дрыҭазарц злалшо	Выдача лиц, совершивших преступление
Атәымҳәынҭқарраҿы ацәгьаура ҟазҵаз Аԥсны Аҳәынҭқарра атәылауаа ацәгьаура ахьыҟарҵаз аҳәынҭқаррахь рыҭара ҟалаӡом.	Граждане Республики Абхазия, совершившие преступление на территории иностранного государства, не подлежат выдаче этому государству.
Аԥсны Аҳәынҭқарра анҭыҵ ацәгьаура ҟазҵаз атәымтәылауаа, мамзаргьы атәылауаҩра змамкәа Аԥсны Аҳәынҭқарраҿы иҟоу ауааԥсыра атәымҳәынҭқаррахь ирыҭазар алшоит ашьаустә ҭакԥхықәра раҭаразы, мамзаргьы ашьауӷа рыхгаразы, Аԥсны иамоу жәларбжьаратәи аилаӡара инақәыршәаны.	Иностранные граждане и лица без гражданства, совершившие преступление вне пределов Республики Абхазия и находящиеся на территории Республики Абхазия, могут быть выданы иностранному государству для привлечения к уголовной ответственности или отбывания наказания в соответствии с международным договором Республики Абхазия.
II аҟәша. Ацәгьаура	РАЗДЕЛ II. Преступление
3-тәи ахы. Ацәгьаура аилкааи ацәгьаура ахкқәеи	Глава III. Понятие преступления и виды преступлений
Ацәгьаура аилкаа (изакәу)	Понятие преступления
Ицәгьауроуп ҳәа иԥхьаӡоуп харала иҟаҵоу, азеиԥш шәарҭара зҵоу, абри Азакәанеидкыла ашьауӷатә ршәарала иԥнарҟәҟәо аумҭа.	Преступлением признается виновно совершенное общественно опасное деяние, запрещенное настоящим Кодексом под угрозой наказания.
Иҟаҵоу (иҟаҵам) аумҭа, ԥшрала абри ашьаустә Закәанеидкылаҿы иарбоу цәгьаурак адыргақәа, амазаргьы, аха ҵакыла иахьмаҷу иахҟьаны азеиԥш шәарҭара аҵамзар, ицәгьауроуп ҳәа иԥхьаӡаӡам.	Не является преступлением действие (бездействие), хотя формально и содержащее признаки какого-либо деяния, предусмотренного настоящим Кодексом, но в силу малозначительности не представляющее общественной опасности.
Ацәгьаурақәа ркатегориақәа	Категории преступлений
Абри Азакәанеидкылаҿы иарбоу ауаажәларратә шәарҭара зҵоу аумҭа аҟазшьеи ауаажәларратә шәарҭара аҩаӡареи зеиԥшроу еиԥш ацәгьаура шоит категориала: имаҷу ахьанҭара зцу ацәгьаура, бжьаратәла ихьанҭоу ацәгьаура, ибааԥсу ацәгьаура, ҷыдала ибааԥсӡоу ацәгьаура.	В зависимости от характера и степени общественной опасности деяния, предусмотренные настоящим Кодексом, подразделяются на преступления небольшой тяжести, преступления средней тяжести, тяжкие преступления и особо тяжкие преступления.
Имаҷу ахьанҭара зцу ацәгьаурақәа ҳәа иԥхьаӡоуп гәҭакылеи гәҽанызааралеи иҟаҵам аумҭақәа, зыҟаҵаразы абри Азакәанеидкылаҿы ашәагаа иреиҳаӡоу ашьауӷа хышықәса иреиҳамкәа ахақәиҭра алхәдатәра анарбоу.	Преступлениями небольшой тяжести признаются умышленные и неосторожные деяния, за совершение которых максимальное наказание, предусмотренное настоящим Кодексом, не превышает трех лет лишения свободы.
Бжьаратәла ихьанҭоу ҳәа иԥхьаӡоуп гәҭакыла иҟаҵоу аумҭақәа, зыҟаҵаразы абри Азакәанеидкылаҿы шәагаала иреиҳаӡоу ашьауӷа хәышықәса ахақәиҭра алхәдатәра еиҳамкәаны ианарбоу, иара убас, гәҽанымзаарала иҟаҵоу аумҭақәа, зыҟаҵаразы абри Азакәанеидкылаҿы шәагаала иреиҳаӡоу ашьауӷа хышықәса ахақәиҭра алхәдатәра еиҳаны ианарбоу.	Преступлениями средней тяжести признаются умышленные деяния, за совершение которых максимальное наказание, предусмотренное настоящим Кодексом, не превышает пяти лет лишения свободы, и неосторожные деяния, за совершение которых максимальное наказание, предусмотренное настоящим Кодексом, превышает три года лишения свободы.
Ибааԥсу ацәгьаурақәа ҳәа иԥхьаӡоуп гәҭакылатәи аумҭақәа, зыҟаҵаразы абри Азакәанеидкылаҿы шәагаала иреиҳаӡоу ашьауӷа ахақәиҭра алхәдатәра жәашықәса иреиҳамкәа ианарбоу.	Тяжкими преступлениями признаются умышленные деяния, за совершение которых максимальное наказание, предусмотренное настоящим Кодексом, не превышает десяти лет лишения свободы.
Ҷыдала ибааԥсӡоу ацәгьаурақәа ҳәа иԥхьаӡоуп гәҭакылатәи аумҭа, зыҟаҵаразы абри Азакәанеидкылаҿы шәагаала иреиҳаӡоу ашьауӷа ахақәиҭра алхәдатәра жәашықәса ианреиҳау, мамзаргьы уи еиҳаны иџьбароу ашьауӷа анарбоу.	Особо тяжкими преступлениями признаются умышленные деяния, за совершение которых настоящим Кодексом предусмотрено наказание в виде лишения свободы на срок свыше десяти лет или более строгое наказание.
Инеизаку ацәгьаурақәа	Совокупность преступлений
Инеизаку ацәгьаурақәа ҳәа иԥхьаӡоуп ҩба, ма ҩба инареиҳаны ацәгьаурақәа аныҟаҵоу, урҭ рахьтә акгьы азы аус ӡбамзар, иара убас, урҭ ацәгьаурақәа абри Азакәанеидкыла Ахәҭа ҷыдаҿы ҩба, ма инареиҳаны рыҟаҵара еиҳа иџьбароу ашьауӷа азыԥҵәаразы шьаҭас ианазыԥхьаӡоу аамҷыдарахаз. Ацәгьаурақәа анеизаку урҭ ҟазҵаз ауаҩԥсы ашьаустә ҭакԥхықәра идлоит абри Азакәанеидкылаҿы изыхәҭоу ахәҭаҷкәа инарықәыршәаны зегь рзы хаз-хазы.	Совокупностью преступлений признается совершение двух или более преступлений, ни за одно из которых лицо не было осуждено, за исключением случаев, когда совершение двух или более преступлений предусмотрено статьями Особенной части настоящего Кодекса в качестве обстоятельства, влекущего более строгое наказание. При совокупности преступлений лицо несет уголовную ответственность за каждое совершенное преступление по соответствующей статье или части статьи настоящего Кодекса.
Инеизаку ацәгьаура ҳәа иԥхьаӡоуп иҟаҵоу (иҟаҵам) умҭакгьы, абри Азакәанеидкыла акы инеиҳаны ахәҭаҷқәа рдыргақәа уи аумҭаҿы иҟазар.	Совокупностью преступлений признается и одно действие (бездействие), содержащее признаки преступлений, предусмотренных двумя или более статьями настоящего Кодекса.
Иҟаҵоу ацәгьаура арбазар азеиԥш зыԥҵәа аҟнеиԥш иҷыдоу азыԥҵәа аҟынгьы, усҟан ацәгьаурақәа рынеизакра аҭыԥ амаӡам, ашьаустә ҭакԥхықәрагьы ҟалоит иҷыдоу азыԥҵәа ала.	Если преступление предусмотрено общей и специальной нормами, совокупность преступлений отсутствует и уголовная ответственность наступает по специальной норме.
Икырынтәу ацәгьаура (ацәгьаура арецидив)	Рецидив преступлений
Икырынтәу ацәгьаура ҳәа иԥхьаӡоуп уаанӡагьы гәҭакылатәи ацәгьауразы аӡбамҭа змоу еиҭах гәҭакылатәи ацәгьаура аныҟаиҵа.	Рецидивом преступлений признается совершение умышленного преступления лицом, имеющим судимость за ранее совершенное умышленное преступление.
Икырынтәу ацәгьаура шәарҭоуп ҳәа иԥхьаӡоуп:	Рецидив преступлений признается опасным:
а) ҩынтә, мамзаргьы инеиҳаны ԥаса бжьаратәла ихьанҭоу гәҭакылатәи ацәгьауразы зус рыӡбахьоу, еиҭах ҵабыргыла аҭакра зызиқәшәо гәҭакылатәи ацәгьаура бааԥс аҟаҵаразы зус рыӡбо;	а) при совершении лицом тяжкого преступления, за которое оно осуждается к реальному лишению свободы, если ранее это лицо два или более раза было осуждено за умышленное преступление средней тяжести к лишению свободы;
б) ԥаса ибааԥсыз, мамзаргьы ҷыдала ибааԥсӡаз ацәгьаурақәа рзы ҵабыргылатәи ахақәиҭра алхәдатәра зоухьоу еиҭах ибааԥсу ацәгьаура  ҟазҵаз.	б) при совершении лицом тяжкого преступления, если ранее оно было осуждено за тяжкое или особо тяжкое преступление к реальному лишению свободы.
Икырынтәу ацәгьаура ҷыдала ишәарҭоуп ҳәа иԥхьаӡоуп:	Рецидив преступлений признается особо опасным:
а) ԥаса ҩынтә ибааԥсу ацәгьауразы ҵабыргыла ахақәиҭра алхәдатәра зоухьоу еиҭах ҵабыргыла ахақәиҭра алхәдатәра зызиоуа ацәгьаура бааԥс ҟаиҵазар;	а) при совершении лицом тяжкого преступления, за которое оно осуждается к реальному лишению свободы, если ранее это лицо два раза было осуждено за тяжкое преступление к реальному лишению свободы;
б) ԥаса ацәгьаура бааԥс азы ҩынтә, мамзаргьы знык ҷыдала ибааԥсу ацәгьауразы зус рыӡбахьоу еиҭах ҷыдала ибааԥсу ацәгьаура ҟаиҵазар.	б) при совершении лицом особо тяжкого преступления, если ранее оно два раза было осуждено за тяжкое преступление или ранее осуждалось за особо тяжкое преступление.
Икырынтәу ацәгьаура азхаҵараан иаларҵаӡом:	При признании рецидива преступлений не учитываются:
а) имаҷу ахьанҭара зцу гәҭакылатәи ацәгьауразы аӡбамҭа;	а) судимости за умышленные преступления небольшой тяжести;
б) ауаҩытәыҩса жәаа шықәса ихыҵаанӡа иҟаиҵаз ацәгьауразы имоу аӡбамҭа;	б) судимости за преступления, совершенные лицом в возрасте до восемнадцати лет;
в) ҭакрадатәи ӡбароуп ҳәа иԥхьаӡаз аӡбамҭа, мамзаргьы зынагӡара ахырԥаз аӡбамҭа, урҭ ҭакрадатәи аӡбамҭеи, зынагӡара ахырԥаз аӡбамҭеи аԥыхны зус ӡбаз ашьауӷа ихгаразы дырмышьҭыцзар, иара убас, абри Азакәанеидкыла ахәҭаҷ 80 инақәыршәаны ирцәоу аӡбамҭеи ауаҩԥсы ихыху аӡбамҭеи икырынтәу ацәгьаура азхаҵараан иаларҵаӡом.	в) судимости за преступления, осуждение за которые признавалось условным либо по которым предоставлялась отсрочка исполнения приговора, если условное осуждение или отсрочка исполнения приговора не отменялись и лицо не направлялось для отбывания наказания в места лишения свободы, а также судимости, снятые или погашенные в порядке, установленном статьей 80 настоящего Кодекса.
Абри Азакәанеидкылаҿы иарбоу ашьаҭақәеи аҳәаақәеи инарықәыршәаны икырынтәу ацәгьаура иарҿиоит еиҳа иџьбароу ашьауӷа.	Рецидив преступлений влечет более строгое наказание на основании и в пределах, предусмотренных настоящим Кодексом.
4-тәи ахы. Ашьаустә ҭакԥхықәра иаҵанакуа ауааԥсыра	Глава IV. Лица, подлежащие уголовной ответственности
Ашьаустә ҭакԥхықәрақәа рзы азеиԥш ҭагылазаашьақәа	Общие условия уголовной ответственности
Ашьаустә ҭакԥхықәра даҵанакуеит зыхшыҩ еилагам, абри Азакәанеидкылаҿы ишьақәыргылоу ақәра нызҵыз ауаҩԥсы.	Уголовной ответственности подлежит только вменяемое физическое лицо, достигшее возраста, установленного настоящим Кодексом.
Ашьаустә ҭакԥхықәра злалаго ақәра	Возраст, с которого наступает уголовная ответственность
Ашьаустә ҭакԥхықәра ауҩытәыҩса идлоит жәаф шықәса анихыҵ инаркны.	Уголовной ответственности подлежит лицо, достигшее ко времени совершения преступления шестнадцатилетнего возраста.
