аҿатә уасиаҭ	новый завет
Аҳ Ирод иаҳаз ари ажәабжь деиланарӡыӡеит, убас иерусалимаа зегьы ари ргәырҽыннаҵеит.	Услышав это, Ирод царь встревожился, и весь Иерусалим с ним.
Аԥхьаԥшьаҩцәеи жәлар рышәҟәдырыҩцәеи зегьы ааизиган дразҵаауа далагеит: иабыкәу Христос дираны дахьыҟоу?	И, собрав всех первосвященников и книжников народных, спрашивал у них: где должно родиться Христу?
Урҭ аҭак ирҭоит: Иудеиатә Вифлеем аҿы акәхоит, избанзар аԥааимбар ила абас аиԥш ануп:	Они же сказали ему: в Вифлееме Иудейском, ибо так написано через пророка:
Уаргьы, Вифлеем, Иуда идгьыл, иарбанзаалакь акала Иуда иқалақьқәа уреиҵам, избан акәзар уара духылҵуеит, Израилаа, Сара суаажәлар зыхьчаша Аԥхьагылаҩ.	и ты, Вифлеем, земля Иудина, ничем не меньше воеводств Иудиных, ибо из тебя произойдет Вождь, Который упасет народ Мой, Израиля.
Нас Ирод маӡала адырҩцәа даарыԥхьан, урҭ рахьтә аеҵәа анцәырҵшаз аамҭа еилкааны,	Тогда Ирод, тайно призвав волхвов, выведал от них время появления звезды
Вифлеемҟа идәықәиҵоит, абас аиԥш раҳәаны: шәца, игәцаракны Асаби ихабар еилышәкаа, данышәыԥшаалак аамҭазы, исзаашәыцҳа, иара саргьы убраҟа снеины Иара сиеихырхәаразы.	и, послав их в Вифлеем, сказал: пойдите, тщательно разведайте о Младенце и, когда найдете, известите меня, чтобы и мне пойти поклониться Ему.
Урҭ аҳ ииҳәаз иазыӡыҩрны рҿынархеит. Ус, абар, мрагыларахь ирбаз аеҵәа рҿаԥхьа, ирымариашаны иаацәырҵын, ишнеиуаз, Асаби дахьыҟаз аҭыԥ аҽахакны иаангылт.	Они, выслушав царя, пошли. И се, звезда, которую видели они на востоке, шла перед ними, как наконец пришла и остановилась над местом, где был Младенец.
Аеҵәа анырба, урҭ гәырӷьара духа ирысит,	Увидев же звезду, они возрадовались радостью весьма великою,
Аҩны ианыҩнала ирбоит Асабии Иара Иан Мариеи, иаразнак, асаара рыҽкажьны Иара иеихырхәоит, нас, ҳамҭас ирҭаразы рыхазынақәа аацәырыргоит: ахьы, арафы, ахәша.	и, войдя в дом, увидели Младенца с Мариею, Матерью Его, и, пав, поклонились Ему, и, открыв сокровища свои, принесли Ему дары: золото, ладан и смирну.
Ирбаз аԥхыӡ аҿы Ирод иахь ишыхынҳәтәымыз анырзаат, даҽа мҩакала ртәылахь ицеит.	И, получив во сне откровение не возвращаться к Ироду, иным путем отошли в страну свою.
Урҭ анца ашьҭахь, Иосиф ԥхыӡла Иҳақәиҭу Имаалықь дизцәырҵын иеиҳәоит: уҩагылан, Асаби Иани Иареи аашьҭыхны, ушзахәо Мысраҟа уца, сажәа уаҳаанӡагьы убра уҟаз, избанзар Ирод Асаби иԥшаара дашьҭоуп, дҭаирхаразы.	Когда же они отошли, се, Ангел Господень является во сне Иосифу и говорит: встань, возьми Младенца и Матерь Его и беги в Египет, и будь там, доколе не скажу тебе, ибо Ирод хочет искать Младенца, чтобы погубить Его.
Абри шааиаҳаз аиԥш, дҩагылан, Асаби Иани Иареи аашьҭыхны, ҵхыбжьон Мысраҟа иҿынаихеит,	Он встал, взял Младенца и Матерь Его ночью и пошел в Египет,
Уа дыҟан Ирод иԥсҭазаара далҵаанӡа, Иҳақәиҭу иԥааимбар ила Мысрантә Сара Сԥа сиԥхьеит ҳәа ииҳәаз ҟаларазы.	и там был до смерти Ирода, да сбудется реченное Господом через пророка, который говорит: из Египта воззвал Я Сына Моего.
Ирод адырҩцәа шихыччаз аниба, иԥсахы еибакын Вифлееми уи иаҵанакуази рахь ауаа ишьҭит, адырҩцәа рахьтә иеиликаахьаз аамҭа иақәыршәаны, ҩышықәса инаркны иеиҵа зхыҵуаз ахәыҷқәа зегьы налаҵаны, иршьразы.	Тогда Ирод, увидев себя осмеянным волхвами, весьма разгневался, и послал избить всех младенцев в Вифлееме и во всех пределах его, от двух лет и ниже, по времени, которое выведал от волхвов.
Абри аамҭазы инаӡеит аԥааимбар Иеремиа ииҳәахьаз:	Тогда сбылось реченное через пророка Иеремию, который говорит:
Убасҟан Рама аӷызыӷызра, аҵәыуара, аҵәаара ду иамҽханакит, Рахил лхәыҷқәа лҵәыуоит, илџьабоит, иеиқәкышьагьы лымам, избанзар иҟам дара.	глас в Раме слышен, плач и рыдание и вопль великий, Рахиль плачет о детях своих и не хочет утешиться, ибо их нет.
Ирод даныԥсы ашьҭахь, абар, Иҳақәиҭу Имаалықь Мысра ԥхыӡла Иосиф диҭаауеит,	По смерти же Ирода, се, Ангел Господень во сне является Иосифу в Египте
Иагьиеиҳәоит: уҩагыл, Асаби Иани Иареи уманы Израилаа рыдгьыл ахь уҿынаха, избан акәзар Асаби иԥсы иашьҭаз ԥсхьеит.	и говорит: встань, возьми Младенца и Матерь Его и иди в землю Израилеву, ибо умерли искавшие души Младенца.
Иаргьы дҩагылан, Асаби Иани Иареи иманы иҿыҩеихан, Израилаа рыдгьыл ахь днеит.	Он встал, взял Младенца и Матерь Его и пришел в землю Израилеву.
Дахьааиз, Ирод иҭыԥан аҳас Иудеиа уи иԥа Архелаи дахагылт ҳәа аниаҳа, уахь акылсра дацәшәеит, ԥхыӡла изаатыз иоуз адыррала Галилеиа иахьаҵанакуаз дцеит,	Услышав же, что Архелай царствует в Иудее вместо Ирода, отца своего, убоялся туда идти, но, получив во сне откровение, пошел в пределы Галилейские
Назарет ҳәа изышьҭоу ақалақь дахылт, Иара Назареи ихьӡхоит ҳәа аԥааимбар ииҳәахьаз наӡаразы.	и, придя, поселился в городе, называемом Назарет, да сбудется реченное через пророков, что Он Назореем наречется.
Убарҭ амшқәа раан Иоанн Аӡӡаахҩы дцәырҵны, Иудеиаҿтәи ацәҳәыраҿ дуазҳәауеит,	В те дни приходит Иоанн Креститель и проповедует в пустыне Иудейской
Абас аиԥш ҳәауа: шәыгәнаҳарақәа шәрыхьхәы, избанзар Жәҩантәи Аҳра ааигәахеит.	и говорит: покайтесь, ибо приблизилось Царство Небесное.
Аԥааимбар Исаиа абас аиԥш ззиҳәаз иоуп иара: ацәҳәыраҿ иҵәаа-ҵәаауа абжьы: Иҳақәиҭу икаххаа иҟоу амҩа изшәырхиа.	Ибо он тот, о котором сказал пророк Исаия: глас вопиющего в пустыне: приготовьте путь Господу, прямыми сделайте стези Ему.
Иоанн ихаҭа ишәыз амаҭәа махҽхә-лыхын, имӷан аатә маҟа, Фатәыс имазгьы амаҵеи абнацхеи ракәын.	Сам же Иоанн имел одежду из верблюжьего волоса и пояс кожаный на чреслах своих, а пищею его были акриды и дикий мед.
Убасҟан Иерусалими, Иудеиеи, Иорданиеи ирыҵанакуаз аҭыԥқәа ирықәынхоз зегьы иара иахь икылсуан,	Тогда Иерусалим и вся Иудея и вся окрестность Иорданская выходили к нему
Рыгәнаҳарақәа рхыхуа иара иахьтә Иордан аӡы рыҽӡаархуан.	и крестились от него в Иордане, исповедуя грехи свои.
Иоанн афарисеицәеи асаддукеицәеи рацәаҩны ишҟа аҽӡаахразы ишнеиуаз аниба, иреиҳәоит: шәарҭ, амаҭ хшақәа, иҟалараны иҟоу ақәыӡбара аамҭа цәцашьа шамоу агәра шәзыргада?	Увидев же Иоанн многих фарисеев и саддукеев, идущих к нему креститься, сказал им: порождения ехиднины! кто внушил вам бежать от будущего гнева?
Ишаҭәоу ала ахьхәра иаҵанакуа нашәыгӡа,	сотворите же достойный плод покаяния
Ишәҳәарцгьы шәгәы иаанамган: ҳара ҳаб Авраам иоуп, избанзар ишәасҳәоит, Анцәа Авраам изы ахшара абарҭ ахаҳәқәагьы ирылихыр илшоит,	и не думайте говорить в себе: отец у нас Авраам, ибо говорю вам, что Бог может из камней сих воздвигнуть детей Аврааму.
Абар агәараҳагьы аҵла ашьапаҿы ишьҭоуп: ашәыр бзиа аазмышьҭуа иарбан ҵлазаалакь иԥҟаны амца иақәрыжьуеит,	Уже и секира при корне дерев лежит: всякое дерево, не приносящее доброго плода, срубают и бросают в огонь.
Сара агәнаҳа ахыхразы аӡы шәӡаасхуеит, аха сара Исышьҭааиуа сара сеиҳа амч имоуп, сара Уи ишьапымаҭәа ашьҭыхраҵәҟьагьы саԥсам, Уи шәара Аԥсы Цқьа илеи мцалеи аӡы шәӡааихлашт,	Я крещу вас в воде в покаяние, но Идущий за мною сильнее меня, я не достоин понести обувь Его, Он будет крестить вас Духом Святым и огнем,
Иҭәырӷәы Иара инапы иакуп, илаҳәарҭагьы ирыцқьашт, ичагьы ицаҿы иеизигашт, ачаз-хәҵә акәзар, еихсыӷьра зқәым мцабзла иқәыццышәаа игашт.	лопата Его в руке Его, и Он очистит гумно Свое и соберет пшеницу Свою в житницу, а солому сожжет огнем неугасимым.
Абри аамҭазы Иисус Галилеиатә Иорданҟа Иоанн иҿы дааит, иара ила аӡы дӡааххаразы.	Тогда приходит Иисус из Галилеи на Иордан к Иоанну креститься от него.
Иоанн Уи даҟәихырц иақәикит, абас ҳәауа: сара соуп Уара уахьтә аӡӡаахра зыхәҭоу, Уара уоума абри азы сара сышҟа иаауа?	Иоанн же удерживал Его и говорил: мне надобно креститься от Тебя, и Ты ли приходишь ко мне?
Аха Иисус уи абас аиԥш ала аҭак ииҭоит: уажәазы ус иҟаз, иарбан иаша-ҵабыргзаалакь абас ауп ишынаҳагӡаша. Убасҟан Иоанн Иара дизыразхеит.	Но Иисус сказал ему в ответ: оставь теперь, ибо так надлежит нам исполнить всякую правду. Тогда Иоанн допускает Его.
Иисус иҽӡаахны аӡы данааҭыҵ, абар, жәҩангәашәԥхьара изаатит, ибеит Анцәа Идоуҳа, аҳәыҳә ԥшра аманы, Иара ишҟа илбаауаны.	И, крестившись, Иисус тотчас вышел из воды, и се, отверзлись Ему небеса, и увидел Иоанн Духа Божия, Который сходил, как голубь, и ниспускался на Него.
Иагьгеит, убасҟан, ажәҩан ахьтә абжьы: Абри Иоуп Бзиа избо, Сгәахәара Злоу Сара Сԥа.	И се, глас с небес глаголющий: Сей есть Сын Мой возлюбленный, в Котором Мое благоволение.
Убасҟан Иисус Доуҳала ацәҳәырахь дҩагахоит, аҩысҭаа ила иԥышәаразы,	Тогда Иисус возведен был Духом в пустыню, для искушения от диавола,
Уаҟа ҩынҩеижәа мши ҩынҩеижәа ҵхи данычга, ӷәӷәала дымлашьит.	и, постившись сорок дней и сорок ночей, напоследок взалкал.
Иԥышәаҩ дааидгылан иҳәоит: Уара Анцәа Уиԥазар, иҳәа абарҭ ахаҳәқәа чахарацы.	И приступил к Нему искуситель и сказал: если Ты Сын Божий, скажи, чтобы камни сии сделались хлебами.
Иара аҭакс иеиҳәоит: иануп: чала мацара акәым ауаҩы иԥсы злаҭоу, уи ԥсҭазаара имоуп Анцәа иҿы иааҭшәауа иарбан ажәазаалакь алагьы.	Он же сказал ему в ответ: написано: не хлебом одним будет жить человек, но всяким словом, исходящим из уст Божиих.
Абри ашьҭахь аҩысҭаа Уи даашьҭыхны ақалақь ԥшьа ашҟа дигоит, уаҟа абааш аҿықә дҩықәыргыланы,	Потом берет Его диавол в святой город и поставляет Его на крыле храма,
Иеиҳәоит абас: Уара Анцәа Уиԥазар, алада уҽалырҩры, избанзар иануп: Уара узы Имаалықьцәа ԥҟараны излариҭо ала, рнапқәа урықәыргыланы ушьҭых унаргалашт, ушьапы џьара хаҳәык иахымҟьашаразы.	и говорит Ему: если Ты Сын Божий, бросься вниз, ибо написано: Ангелам Своим заповедает о Тебе, и на руках понесут Тебя, да не преткнешься о камень ногою Твоею.
Иисус иара ус иеиҳәоит: иануп иара убас: Иуқәиҭу Унцәа дԥумшәан.	Иисус сказал ему: написано также: не искушай Господа Бога твоего.
Аҩысҭаа Уи ҩаԥхьа ашьха ҳаракӡа ашҟа дигоит, адунеи аҳрақәа, урҭ рыхьӡ-рыԥша зегьы дрылаирԥшуеит,	Опять берет Его диавол на весьма высокую гору и показывает Ему все царства мира и славу их,
Абасгьы иеиҳәоит: абарҭқәа зегьы Уара иусҭоит, асаара уҽкажьны усеихырхәозар.	и говорит Ему: все это дам Тебе, если, пав, поклонишься мне.
Убасҟан Иисус уи абас иаҭеикуеит: усԥырцқьа, наҟ, аџьныш, избан акәзар иануп абас: Уиеихырхәала Иуқәиҭу Унцәа, убри аӡә заҵәык имаҵ ула.	Тогда Иисус говорит ему: отойди от Меня, сатана, ибо написано: Господу Богу твоему поклоняйся и Ему одному служи.
Абри ашьҭахь аҩысҭаа Уи даанижьит, нас, Амаалықьцәа ааин, имаҵ аура иалагеит.	Тогда оставляет Его диавол, и се, Ангелы приступили и служили Ему.
Ус, Иисус Иоанн дҭаркит ҳәа аниаҳа, Галилеиаҟа дцеит.	Услышав же Иисус, что Иоанн отдан под стражу, удалился в Галилею
Назарет ааныжьны, агаҿатә Капернаум днеит, Завулони Неффалими ирыҵаркуаз аҿы.	и, оставив Назарет, пришел и поселился в Капернауме приморском, в пределах Завулоновых и Неффалимовых,
Аԥааимбар Исаиа абас аиԥш ала ииҳәаз наӡаразы:	да сбудется реченное через пророка Исаию, который говорит:
Завулон иадгьыл, Неффалим иадгьыл, агаҿа мҩа, Иордан нырцә Анцәа Ҵабырг дыззымдыруа Галилеиа,	земля Завулонова и земля Неффалимова, на пути приморском, за Иорданом, Галилея языческая,
Алашьцара зхаԥаз ажәлар ирбеит алашара ду, атәылеи аԥсра ашәшьыра ирыҵатәақәази алашара рықәыҷҷеит,	народ, сидящий во тьме, увидел свет великий, и сидящим в стране и тени смертной воссиял свет.
Абри аамҭа инаркны Иисус иуазҳәара хациркит, абас аиԥш рылаҳәауа: шәыгәнаҳарақәа шәрыхьхәы, избан акәзар Ажәҩан Аҳра ааскьеит.	С того времени Иисус начал проповедывать и говорить: покайтесь, ибо приблизилось Царство Небесное.
Галилеиатәи амшын даваланы дышцоз ибеит ҩыџьа аишьцәа, Пиотр ҳәа изыԥхьоз Симони, уи иашьа Андреии, амшын акаҭ аналарыжьуаз аамҭазы, избанзар урҭ ԥсыӡкцәан,	Проходя же близ моря Галилейского, Он увидел двух братьев: Симона, называемого Петром, и Андрея, брата его, закидывающих сети в море, ибо они были рыболовы,
Иагьреиҳәоит абас: шәаала Сара шәсышьҭаланы, шәуаакцәаҩны шәҟасҵоит.	и говорит им: идите за Мною, и Я сделаю вас ловцами человеков.
Даргьы, иаразнак, рыкаҭақәа ааныжьны, Иара ишьҭаххы рҿынархоит.	И они тотчас, оставив сети, последовали за Ним.
Убрантә дышнеиуаз Уи даҽа ҩыџьа аишьцәа, Зеведеи иԥа Иакови иашьа Иоанни, раб Зеведеии дареи, ашхәа иантәаланы рыкаҭақәа ирыгыз-ирыбзаз аҟаҵара ишаҿыз аниба, ишҟа дрыԥхьоит.	Оттуда, идя далее, увидел Он других двух братьев, Иакова Зеведеева и Иоанна, брата его, в лодке с Зеведеем, отцом их, починивающих сети свои, и призвал их.
Урҭгьы, иаразанак, рышхәагьы рабгьы ааныжьны, Иара иааишьҭалт.	И они тотчас, оставив лодку и отца своего, последовали за Ним.
Иисус Галилеиа ахы-аҵыхәа зегьы дрылан, рсинагогақәа рҿы идырҵауа, дуазҳәауа, Ажәҩан Аҳра Ажәабжь бзиа рыларҵәауа, ауаа чмазарас, хымхәарас ирымаз зегьы хәышәтәуа.	И ходил Иисус по всей Галилее, уча в синагогах их и проповедуя Евангелие Царствия, и исцеляя всякую болезнь и всякую немощь в людях.
Иӡбахә Сириа ахьынӡанаӡааӡо иахьӡеит, Ишҟа иааргон иеиуеиԥшымыз ачымазарақәа идыркарахьаз, иԥсыҽқәаз, иалаԥсуаз, аҩысҭаа дызхақәаз, имзакуаз, аарлаҳәа иҟақәаз, Иара урҭ зегьы ихәышәтәуан.	И прошел о Нем слух по всей Сирии, и приводили к Нему всех немощных, одержимых различными болезнями и припадками, и бесноватых, и лунатиков, и расслабленных, и Он исцелял их.
Ажәлар рацәа Галилеиантә, Жәақалақьрантә, Иерусалимынтә, Иудеиантә, Иордан нырцәынтә Иара ишьҭеибаҳәа ишьҭан.	И следовало за Ним множество народа из Галилеи и Десятиградия, и Иерусалима, и Иудеи, и из-за Иордана.
Ажәлар аниба, Иара ашьхарахь дыхәнеит, даныҩатәа, иҵаҩцәа ааидгылт.	Увидев народ, Он взошел на гору, и, когда сел, приступили к Нему ученики Его.
Нас, иҿы ааихихт, абас аиԥш дырҵауа:	И Он, отверзши уста Свои, учил их, говоря:
Бзазара рымоуп доуҳала зҽыздыруа избанзар урҭ иртәуп Жәҩантәи Аҳра.	Блаженны нищие духом, ибо их есть Царство Небесное.
Бзазара рымоуп илаӷырӡышо, избанзар урҭ агәыжьжьара роуеит.	Блаженны плачущие, ибо они утешатся.
Бзазара рымоуп цәгьара злам, избанзар дара иртәхоит адгьыл.	Блаженны кроткие, ибо они наследуют землю.
Бзазара рымоуп аиашара иазгәаҟуа, иазӡышуа, избанзар иашарала ргәы-рыԥсы ҭәуеит.	Блаженны алчущие и жаждущие правды, ибо они насытятся.
Бзазара рымоуп арыцҳашьара злоу, избанзар даргьы рыцҳашьахоит.	Блаженны милостивые, ибо они помилованы будут.
Бзазара рымоуп згәы цқьоу, избанзар урҭ Анцәа дырбоит.	Блаженны чистые сердцем, ибо они Бога узрят.
Бзазара рымоуп аиныршәаҩцәа, избанзар урҭ Анцәа ихшараҳәа ахьӡ рыҭахоит.	Блаженны миротворцы, ибо они будут наречены сынами Божиими.
Бзазара рымоуп аиашазы ирылырцаз, избанзар урҭ иртәхоит Жәҩантәи Аҳра.	Блаженны изгнанные за правду, ибо их есть Царство Небесное.
Бзазара шәымоуп шәарҭ, Сара сымшала шәандырԥхашьо, шәанрылырцо, ацәгьа анышәзырҳәо.	Блаженны вы, когда будут поносить вас и гнать и всячески неправедно злословить за Меня.
Агәеиҵыхра шәымаз, шәгәырӷьала, избанзар жәҩан аҿы ишәзыԥшуп аҳамҭаду: убасҵәҟьа иԥхадырсуан шәара шәаԥхьа иҟаз аԥааимбарцәагьы.	Радуйтесь и веселитесь, ибо велика ваша награда на небесах: так гнали и пророков, бывших прежде вас.
Шәара адгьыл шәаџьыкоуп. Аџьыка амч ацәыӡыр, ҵаашьас иамоузеи? Усҟан иара акгьы иаԥсахом, наҟ, ауаа ршьапы иахьадыргаша, икаумыжьуазар.	Вы соль земли. Если же соль потеряет силу, то чем сделаешь ее соленою? Она уже ни к чему негодна, как разве выбросить ее вон на попрание людям.
Шәара адунеи лашарас шәамоуп. Ашьха акаҩра иқәгылоу ақалақь аҽазыҵәахуам.	Вы свет мира. Не может укрыться город, стоящий на верху горы.
Иадыркыз ацәашьы ҵаҟа ихәыҵадыргылом, аҩада иҩахан ашьандал иҭадыргылоит аҩны зегьы арлашаразы.	И, зажегши свечу, не ставят ее под сосудом, но на подсвечнике, и светит всем в доме.
Убас шәара шәылашарагьы ауаа рҿаԥхьа илашалааит, шәара шәус бзиақәа рбарҭахаразы, Ижәҩантәу Шәаб ирдуразы.	Так да светит свет ваш пред людьми, чтобы они видели ваши добрые дела и прославляли Отца вашего Небесного.
Шәгәы иаанамган Сара азакәанԥҟара, мамзаргьы аԥааимбарцәа ԥсырбгаразы сааит ҳәа, Сара сзааз урҭ рԥырбгаразы акәым, рынагӡаразы ауп.	Не думайте, что Я пришел нарушить закон или пророков: не нарушить пришел Я, но исполнить.
Избанзар иаша-ҵабыргла ишәасҳәоит: жәҩани дгьыли ииасаанӡа, азакәан ахьтә иреиҵаӡоу нбанк, ҵәаӷәасҭак бжьаӡраны иҟам, иара зегь наӡаанӡа.	Ибо истинно говорю вам: доколе не прейдет небо и земля, ни одна иота или ни одна черта не прейдет из закона, пока не исполнится все.
