Агәымшәа 	﻿Храброе сердце 
Сгәаныла иааит аамҭа еиҭарҿыцтәзар ажәытә қьабзқәа, 	Возможно, пришло время восстановить старый обычай. 
ирышәҭа Прима-нокҭа. 	Дать им "приме нокти". 
Актәи ауха азин. 	В первую ночь. 
Дарбанзаалак аҭыԥҳа, актәи ауха аан, 	Когда любая простая девушка, живущая там, будет выходить замуж, 
аамсҭа имоуп азин лара лцәа ԥиҽыр. 	наш дворянин будет иметь сексуальное право на невесту в брачную ночь. 
Дара ҳаздәылымцозар зынӡа, 	Если мы не можем их выселить, 
иқәхтәуп мҭашьҭала. 	мы выживем их таким образом. 
Шотландиа иаҳнардырует ҳара иаҳнаало 	Это понравится тем дворянам, которым мы дадим землю в Шотландии. 
аналог ашәара аку, мамзар амшәара аку. 	С налогами или без налогов. 
Даара бзианы ишәҳәеит шәхаҵкы. 	Превосходная идея, сэр. 
Иҵабыргну? 	Разве? 
Еденбра 	Эдинбург 
Еденбра еизеит абыргцәа рхеилак. 	В Эдинбурге мы собрали совет шотландской знати. 
Урҭ рыбжьара дыҟан Роберт, жәибыжьтәи ахылҵшьҭра аграф Брусаа. 	Среди них был Роберт, семнадцатый граф Брюс, 
Ихадоу апритиндент Шотландиатәи агәыргьын азы. 	основной претендент на корону Шотландии. 
Сара исаҳаит ашьапҩзы азин ииҭеит Прима-нокта. 	Я слышал, что Длинноногий пожаловал право "прима нокти". 
Иааигар иҭахуп иара идгылаҩцәа. 	Он явно хочет привлечь сюда больше своих сторонников. 
Саб иԥхьаӡоит ҳагәра игарц ашьапҩзы. 	Мой отец считает, что мы должны войти в доверие Длинноногому. 
Шәадымгылан иара идекрет, насгьы шәаҿамгылан иара. 	Не поддерживать его декрет, и не противостоять ему. 
Иҟушу плануп. 	Мудрый план. 
Уаб дышԥаҟоу? Иара аилабжьараҿы дазхом. 	Как твой отец? Он не пришел на совет. 
Аусқәа дныркылоит Франциа. 	Он запоздал из-за дел во Франции. 
Аха, иара иааишьҭит асалам, 	Но он отправил приветствия. 
Иҳәеит срацәажәеит Брусиаа зегьы рыхьӡала, 	И сказал, что я буду говорить от имени всех Брюсов 
Насгьы Шотландиа азы. 	и Шотландии. 
- иааԥцәаны абасоуп. - Уԥши, уԥши! - уара иуцәкаҳаит ухаҳә. - Ахаҵа игәаҭара. 	- Ты уронил камень. - Проверка мужества. 
Уара уаиааит. 	Ты победил. 
Иазаҳҳәап арратә гәаҭара. 	Так назови это проверкой доблести. 
Англызцәа абџьар ҳамазар руӡом. 	Англичане не позволяют нам упражняться с оружием, 
Убри азыҳәан ҳара ҳҽазыҟаҳҵоит хаҳәла. 	так мы упражняемся с камнями. 
Аруаҩ иаашьа имч инапы иакӡам. Араауп. 	Сила солдата не в руках. Она здесь. 
Мамоу, абар иахьыҟоу. 	Нет, она здесь. 
Ҳеимиш? 	Хэрниш? 
Аҳы … иааг сыҷқәын, иааг. 	Давай, сынок, покажи ему. 
- Ҳеимиш. - иааг сыҷқәын, иааг. 	- Давай, Хэрниш. - Вперед, мальчик. 
- Ҳеимиш иааг иааг Ҳеимиш,Ҳеимиш. - Афеирым. 	Давай! 
Даара ибзианы иуршәт. 	Хороший бросок. 
Аҳаҳ, иҵегьы шәара. 	Это уж точно. 
Ианба хадарахо уара аус иузыҟаҵо? 	Интересно, сможешь ли ты его повторить, когда будет нужно. 
Иаҳхәап ианцо аибашьра. 	Скажем в бою. 
Уара уизиааиру ауаҩы? 	Ты можешь сокрушить человека таким броском? 
Сара усырҟьцоит ахәац еиԥш. 	Я могу раздавить тебя, как червяка. 
- Иашану? - Ааи. 	- Правда? - Да. 
Нас уааи, ишәҭахума ижәбар, сара сыширҟьцо? 	Ну так сделай это. Хотите это увидеть? 
- Уааи. - уара уахьхәоит 	- Давай, сделай это. - Ты пригнешься. 
- Мамоу сахьхәӡом. - Е-е-е Уара ус угәы иаанагоит. 	- Нет. - Хорошо. 
- Иара дгьыжьӡом. - Иара уажә дыҩоит 	Он пригнется. 
Уаа сыҷқәын. 	Давай, Хэрниш. 
Уаа сыҷқәын. 	Давай, мальчик. 
Даара ибзианы иуршәт Уалас. 	Отлично. 
- Ушԥаҟоу? Узазоит. - исхамшҭи ахаҳәқәа ртәы. Уи иашаҵәҟьоуп. 	- Неплохое представление. - Все в порядке? 
- Уара уԥштәы ҽеим. - Сара иансгәалашәа ахаҳәқәа. 	- Ты что-то слабо выглядишь. - Мне стоило помнить про камни. 
Ааи. 	Да уж. 
Угыл сҩыза. 	Вставай, ты, куча. 
- сгәы иаахәоит убара. - уахцо уаалеит. 	- Рад снова видеть тебя. - Добро пожаловать домой. 
- Уахәаԥш ухы иазууз. - уааҳәыр акун. 	- Смотри что ты сделал с головой. - Тебе стоило пригнуться. 
Уилиам, усыцкәашома? 	Уильям, потанцуешь со мной? 
Ааи, сбыцкәашоит. 	Конечно. 
Сара сааит ишәыласҳәарц актәи ауха азинқәа. 	Я пришел заявить право "прима нокти". 
Сара изласхатәу ала абри адгьыл, исыԥшьоит 	Как повелитель этих земель я благословлю сей брак, 
Данызгалак аҭаца сара сиарахь, 	приняв невесту в своей кровати 
лара актәи ауха аҭаҳцәа еилазараан. 	в первую ночь их союза. 
Уаанӡа узнеирым. 	Клянусь Богом, не примешь! 
Уи сара исусуп. 	Такова моя дворянская привилегия. 
- Хәлыбзиақәа шәхаҵкы! - Ааи, Уилиам Уалас. 	- Добрый вечер, сэр. - Молодой Уоллес. 
- Ацх бзиами? - Ааи, усоуп. 	- Прекрасный мягкий вечер. - Да, уж точно. 
Иҟалома слацәажәар шәыӡӷаб? 	Могу я поговорить с вашей дочерью? 
Илоухәарц иуҭахузеи? 	О чем ты хочешь с ней поговорить? 
Исҳәар исҭаху … 	Ну... 
Марон, ԥсыцҽыжәлома игәзырҳагоу ауха? 	Маррон, хочешь покататься со мной сегодня? 
Ақәа шлеиоу? ухы еивҟьама? 	В такую погоду? Ты с ума сошел? 
Шотландиатәи ибзиаӡоу амш, 	Прекрасная шотландская погода, мадам. 
маҷк ақәа леиуеит. 	Дождь падает почти отвесный, его можно не заметить. 
- Лара дуццаӡом. - мап? 	- Она не поедет с тобой. - Нет? 
мап. А иахьа акәхаӡом. 	Нет. Уж точно не сейчас. 
- иахьа акәхаӡом? - иахьа акәхаӡом. 	- Не сейчас. - Не сейчас. 
Даҽазны. 	Увидимся. 
Амш бзиоуп, ақәа аарла илеиуеит. 	А вообще погода ничего. Едва моросит. 
Бара ибаҳама исҳәаз Марон? 	Ты не слышала, что я сказала? 
Марон, Марон бара … 	Маррон. 
Уӡӷаб зынӡа уара дуеиԥшуп. 	Это она в тебя такая взбалмошная. 
- сызлабдыри арасҟатәи аамҭа шцахьоугьы? - Сара усзымдарӡит. - Мап? 	- Как ты узнала меня после разлуки? - Не узнала. 
Усыхәаԥшуеит ула ааихмырсыӷьӡакәа, сара уара уӡусҭоу сзымдырӡит. 	Я увидела как ты смотрел на меня, и я не знала кто ты такой. 
Саҭамзааит,иашаны сбыхәаԥшуан сыла ааихмырсыӷьӡакәа. 	Прости, я думал, ты знала. 
Сгәаныла бара ибгәаԥхоит ибзымдыруа ауаҩы иҽықәтәара. 	И часто ты вот так ездишь под дождем, с незнакомцами? 
Ус уара укацара еиҳа имариан. 	Это был лучший способ сопроводить тебя. 
Даҽазны сара исыӡбыр убас аҟаҵара 	Если я наберусь смелости попросить тебя еще раз, 
сара бгәԥҽанысҵоит асалам шәҟәы ала. 	я тебя сначала предупрежу запиской. 
- Сара аԥхьашьа сыздырӡом, убри азыҳәан иаҭахым. - Бара алаф бҳәоит. 	- Не поможет. Я не умею читать. - Не умеешь? 
Мамоу. 	Нет. 
- нас иҳариашароуп, усами? - Аԥхьара сурҵар уҭахума? 	- Тогда нам придется это исправить. - Ты научишь меня читать? 
- Бара ибҭахызар. - Ааи. 	- Если захочешь. - Хорошо. 
- иарбан бызшәоу? - уара уҽхоит. 	- На каком языке? - Ты хвастун. 
- Ааи, бара бсыршанхама? - Мамоу, уҽазукәозма? 	- Правильно. Ты восхищена? - Нет. А должна? 
Ухы укәгыланы ари иузеиҭаҳәару? 	Повтори стоя на голове, и я буду впечатлена. 
Скилт схы иалазгалаԥ ҳәа, аха сҽазыскоит. 	Мой килт задерется, но я попробую. 
Уныҟәарақәа раан иудмарҵаӡеи аҟазшьа бзиа? 	Ты что, не научился вести себя в путешествиях? 
Афранцузцәеи Аримланцәеи рҿы ари аҟазшьа еиҳагьы еицәоуп. 	Французы и римляне еще хуже меня. 
Рим уара уцахьоума? 	Ты был в Риме? 
Ааи, саб иашьа сигахьеит анцәа имҵаныҳәарахь. 	Да, мы с дядей совершали паломничество. 
Изеиԥшрои иара? 	И какой он? 
Иара еиԥшӡам бара быԥшӡара. 	Он не сравнится с твоей красотой. 
Еиҭага. 	Что это значит? 
Рим ԥшӡоуп, 	Он прекрасен. 
аха ара са сыҩноуп. 	Но моя земля здесь. 
Марон, аҩныҟа бааи. 	Маррон. А ну, домой. 
Шәхаҵкы,сара издыуеит иҟасҵаз хәҷык акалашәақәа ишыҟоу, 	Сэр, я знаю, что с моей стороны было странным 
Марон ааԥхьара ианҳалҭа ҳнаиааирц, 	пригласить Марон прошлым вечером, но... 
ҳара даҽа уск аҵыхәала. 	Я не о дочери МакКланоха. 
- Уца аиԥыларахь. - Закәтә еиԥылареи? 	- Я пришел назначить тебе встречу. - Какую встречу? 
Имаӡоуп. 	Тайную. 
Уара уеиԥылара аамҭа арӡроуп Кьиамбыл. 	Эти встречи - пустая трата времени. 
Уаб деибашьҩын, 	Твой отец был воином 
иԥсадгьыл бзиа ибон. 	и патриотом. 
Сара издыруеит дазусҭоу. 	Я знаю кем был мой отец. 
Сара сгәы иҭоуп аҽаҩра аарыхра нас аҭаҳцәа аԥҵара. 	Я пришел домой возделывать землю, и даст Бог, завести семью. 
Ҭызшәада сынхалар сҭахуп. 	Если я могу жить в мире, я так и сделаю. 
Ҳцап. 	Поехали. 
Арахумра уҽацәыухьчома? 	Хочешь не вмешиваться в неприятности? 
Ааи. 	Да. 
Сыԥҳа улҿцаар ҟалоит, уара иузырҵабыргозар, 	Если докажешь это, можешь сватать мою дочь. 
макьаназ мап. 	Но пока не докажешь, ответ будет нет. 
- Мамоу. - Мамоу Уалас,мамоу. 	- Нет. - Нет, Уоллес, нет. 
- Уи исмырҵабыргӡаци? - Мап. 	- Разве я не доказал это? - Нет. 
- Мап? - Мап! 	- Нет? - Нет! 
ҳәарада, Арахәааӡарҭа иаҭахуп аусқәа рацәаны, 	Конечно, вести хозяйство нелегко, 
аха зегьы рҿырԥсахоит сыҷкәынцәа анаалак. 	но все изменится, когда появятся мои сыновья. 
Уара ахәыҷқәа иумоума? 	Так у тебя есть дети? 
Макьана мамоу,сгәы иаанагоит бара бсыцхраауеит. 	Еще нет, но я надеялся, ты мне с этим поможешь. 
Нас уара ԥҳәысыс сугар уҭахума? 	Ты хочешь, чтобы я вышла за тебя? 
Зегь сгәасҿанӡамкәуа ус иҟалеит. 	Это внезапное предложение, но я согласен. 
Ус анакәха ааԥхьара ҟауҵама? 	Так вот как ты делаешь предложения. 
Бзиа бызбоит сара. Енагь бысҭахын. 	Я люблю тебя. И всегда любил. 
Исҭахуп ԥхәысыс бызгар. 	Я хочу жениться на тебе. 
Ааи бхәама? 	Это значит да? 
- Ааи. - Ари ааи ауп. 	- Это значит да. - Неужели? 
- ҳаццакыроуп. Иара дҳазԥшыр ҟалоит. 	- Нам надо спешить. Он будет ждать. - Постой. 
Баангыл бабацои? 	Куда ты? 
- Ари закәи? - Уара иудырп. 	- Что это? - Увидишь. 
Аб аԥсыцқьа. 	Отец. 
Сара енагь бзиа бызбалоит, сыԥсҭазаара зегьы. 	Я буду любить тебя всю жизнь. 
Сара бара. 	Тебя и никого больше. 
Саргьы уара. 	А я тебя. 
Уараӡәк. Наӡаӡа. 	Тебя и никого другого. Всегда. 
Ҳамала ҳанбеикәшәо? Ахәылбыҿха? 	Когда я увижу тебя снова? Сегодня? 
- Сгәы иаанагом. - Избан? 	- Я не смогу. - Почему? 
Саб хәыҷык агура изгом. 	Мой отец что-то заподозрил. 
Нас агәра изымгалааит, иҭахызар. 	Странно. С чего бы это он? 
Ианба? 	Когда? 
Ианба? 	Когда? 
- Иҳәа ахәылыбыҽха. - Ахәылбыҽха? - Ааи. 	- Сегодня. - Сегодня? 
Шәааӡыҩри, аруаҩ. 	А вон та живенькая, сержант. 
Иаабго закәузеи? 	Что ты несешь, девчушка? 
- Ихьынҭуп, иааг сбыцхраап. - Мап. 	- Кажется тяжелая. Помочь? - Не стоит. 
Ибыхьи? Зегь бзиоуп. 	Я не собираюсь красть ее. 
Бара сыԥҳа блеиԥшнысшьалоит. 	Ты напоминаешь мне мою дочь. 
Мшабзиа аҭыԥҳа! 	Привет, девчушка. 
ԥшьала Смаит. 	Тише, Смайт. 
Агәмха! 	Стерва! 
Агәмха! 	Стерва! 
Зегь бзиоуп, зегь бзиоуп, баала. 	Ты в порядке? 
- Зегь бзиоуп. - Ибзиоуп. 	- Ты цела? - Да. 
- Бзақәтәома аҽы? - Ааи. 	- Ты можешь ехать? - Да. 
Уаангыл ацәыршәага. 	А ну вернись, ублюдок! 
Адырра ҟашәҵа, шәсыцхраа. 	Бейте тревогу! 
Бсызԥшыз бара асакараҿы. Уца. 	Встретимся в роще. 
Дара ҳарцәцоит. 	Они уходят. 
Дышәкы. Баҿашәит. 	Ну ладно, стерва! 
Марон! Марон! 	Маррон. 
Шәара зегь бзианы ижәдыруеит енагь. 	Всем вам прекрасно известно какие страдания я смиренно принимал. 
сара сазыҟаҵан сгәмбылџьбарамкәа ҳаԥҟарақәа рынагӡара. 	Я не был слишком строг, слишком суров и уважал ваши законы. 
Иара ус алҵшәақәа. 	И вот, в результате, 
Шәҟамлаӡеи шәара анхара 	разве мы не научились жить вместе 
Ҭынчны гармониала? 	в сравнительном мире и гармонии? 
А убас иахьатәи шәыԥҟара азакәандарала 	А сегодняшнее беззаконие... 
Шәара шәаҵоуп аҳақ,сара сычҳаразы. 	Вот как вы отплатили за мою снисходительность. 
Шәара исышәымҭеит алхра. 	Вы не оставили мне выбора. 
Ажәылара асалдат акрал уаҩ иахь 	Нападение на королевских солдат 
Иаанагоит ажәылара иара акрал иахь. 	это тоже самое, что и нападение на самого короля. 
Уажәшьҭа, 	Теперь, 
Ари аҽырҩашьа даиааиуеит сара сахь. 	пусть этот зачинщик выйдет ко мне. 
Абаар … 	Вон. 
Капрал … ахыци ахәымԥалыи ала ухыс абааш ахь, ирласны. 	Капрал, лучников на башню, живо! 
Уҽырӷәӷәуа, саб! 	Держитесь, отец! 
Усҟәаҵ. 	Идиот! 
- Саб, Ушԥаҟоу? - А-а-аҳ. 	- Отец, вы в порядке? - Да. 
Уалас-иԥа, Уалас-иԥа 	МакКолих. 
Уалас … Уалас … Уалас … Уалас! 	Уоллес! 
Узԥшузеи арԥыс? 	Чего ты ждешь, парень? 
Усҭ иҟаҵа ари, сара искызааит. 	Вот. Сделай это. Я подержу его. 
Усҭ ари ҟаҵа, сара искызааит. 	Вот. Сделай это. Я подержу его. 
Илышьҭы ишиашоу ахәра ашҟа. 	Лей прямо на рану, парень. 
Сара издыруеит ирыцҳаушьоит ависки. 	Я знаю, что это кажется впустую переводить хорошие виски. 
Сырҳәаза. 	Держи его, держи! 
Дышәкы, Дышәкы, Дышәкы, 	Отпускайте. 
Уажәшьҭа даушәышьҭ. 	Нормально? 
Ибзиаӡоу амч ҭаҵага. 	Тебя это утром разбудит, парень. 
- Аӡә ааскьара даҽуп арахь. - Абџьар ахь…… Шәласы, шәалга….. 	- Кто-то идет. - К оружию. 
Аӡә ааскьара даҽуп. 	Кто-то идет. 
Ари агәларатәи ақыҭантәи Магрегор. 	МакГрегорс. Из соседней долины. 
Ҳа ҳҟны зегьы ирдыруеит. Иҟалеи шәыззхьаауеи. 	Мы слышали о том, что произошло. 
Ҳара ҳада иаҳҭахӡам шәара шәлахҽыхра. 	Мы не хотим, чтобы вы считали, что можете развлекаться без нас. 
Аҩныҟа шәца. 	Идите домой. 
Шьҭахьҟа мҩа ҳамаӡам. 	Да, кое-кто из нас был в этом. 
Шәара макьана ишәымоуп. 	Я ничего не могу поделать, лишь вы сами можете себе помочь. 
Сшәыҳәоит шәазхәыц, аҩныҟа шәца. 	Идите домой. 
Ҳара иҳауӡом аҩнқәа 	У нас не останется домов, 
Англиантәи агарнизон абааш аҟнытә дааны ҳаҩнқәа абылра далагар. 	когда гарнизон англичан придет и сожжет их. 
Иашоуп. 	А они так и сделают. 
Бзиала шәаабеит! 	Добро пожаловать. 
Апатруль дхынҳәоит шәхаҵкы. 	Патруль возвращается, мой господин. 
Ажәабжь ҽыцқәа иҟои? 	Какие новости? 
Сара исшьҭит шәҩык ар Ланаркҟа. Дара хынҳәоит уажәыҵәҟа. 	Я отправил сотню солдат в Ланарк. Они сейчас вернутся. 
Дара абас аума ишеилаҳәаз? 	Они были одеты в это? 
Дара 50-ҩык ыҟан. 	Вообще-то их было не больше 50. 
Иаарласны. 	Побыстрее. 
Сугәалашәо? 	Помнишь меня? 
Сара лгәы нсырхаӡомызт, уи сара исусын. 	Я же ничего плохого не сделал. У меня было право. 
Уара иуусын! Сара сааит иуасҳәарц ахаҵа изинқәа. 	Твое право. А я пришел, чтобы заявить о праве мужа. 
Сара – Уилиам Уалас соуп. 	Я - Уильям Уоллес. 
Ҳара шәара шәаҳшьҭӡом. 	Мы пощадим остальных. 
Шәхынҳәы Англиаҟа. 	Возвращайтесь в Англию. 
Ирашәҳәа зегьы Шоҭландиа рыԥҳацәеи рыҷкәынцәеи зегьы рхы иақәиҭоуп ҳәа. 	И передайте, что дочери и сыновья Шотландии больше не ваши рабы. 
Шоҭландиа уажәшьҭа шәара ишәтәӡам. 	Скажите, что Шотландия свободна. 
Ишәыблы. 	Сжечь. 
Шотландиатәи ақәылаҩцәа ирыцҟьеит сгарнизонқәа руак, 	Шотландские повстанцы разгромили один из моих гарнизонов 
Дагьыршьоит дара аамсҭа. 	и убили благородного лорда. 
Сара исаҳаит. Убри Уалас дқәылаҩуп. 	Я слышал. Этот Уоллес всего лишь бандит. 
Ушԥаизныҟәоз уара абри ақәылаҩ? 	И как бы ты справился с этим бандитом? 
Иаабац ӷьычҩык еиԥш дысԥхьаӡоит. 	Как и с любым преступником. 
Аҭыԥантәи магистрат дҳәынҷаны ашьауӷа дақәыршәатәуп. 	Приказал бы судье арестовать и наказать его. 
Шәаҳҟәуаҵ. 	Оставьте нас. 
Уалас амагистрат дышьны ақалақь ааникылт. 	Уоллес уже убил судью и захватил город. 
Угыл. 	Вставай. 
Угыл. 	Вставай! 
