Аԥсны Аҳәынҭқарра Аҭаацәаратә Закәанеидкыла	Семейный кодекс республики абхазия
Иаԥыху аиԥшәымара нырҵәоуп ҳәа ианыԥхьаӡатәу амомент	Момент прекращения брака при его расторжении
Аиԥшәымара аԥыхра аҵыхәтәақәа	Последствия  прекращения брака
5 Ахы. Аиԥшәымара аиашамра (ҵабыргымра)	Глава 5. Недействительность брака
Аиԥшәымара аиашамра азхаҵара амзызқәа	Основания признания брака недействительным
Аиԥшәымара иашам ҳәа азхаҵара аԥҟарақәа	Порядок признания брака недействительным
Аиԥшәымара иашам ҳәа азхаҵаразы адҵақәа аҟаҵара азин змоу	Лица, имеющие право требовать признания брака недействительным
Аиԥшәмара аиашамра аԥызхуа аҭагылазаашьақәа	Обстоятельства, устраняющие недействительность брака
Аиԥшәымара иашам ҳәа азхаҵара аҵыхәтәақәа	Последствия признания брака недействительным
III. Аҟәша. Еиԥшәымацәоу рзинқәеи руалԥшьақәеи	Раздел III. Права и обязанности супругов
6 Ахы. Еиԥшәымацәоу рхатә зинқәеи  руалԥшьақәеи	Глава 6. Личные права и обязанности супругов
Еиԥшәымацәоу рзинқәеи руалԥшьақәеи рцәырҵра	Возникновение прав и обязанностей супругов
Аҭаацәараҿы аиԥшәымацәа реиҟарара	Равенство супругов в семье
Ажәла алхраҿы еиԥшәымацәоу рзин	Право выбора супругами фамилии
7 Ахы. Аиԥшәымацәа рмазара закәанлатәи азныҟәашьа	Глава 7. Законный режим имущества супругов
Аиԥшәымацәа рмазара закәанлатәи азныҟәашьа закәу	Понятие законного режима имущества  супругов
Аиԥшәмацәа ирзеиԥшу аицхатәра	Общая совместная собственность супругов
Аиԥшәмацәа ирзеиԥшу амазара атәра, ахархәара, адҵақәҵара	Владение, пользование и распоряжение общим имуществом  супругов
Еиԥшәымацәоу рахьынтәи досу ихатә мазара	Собственность каждого из  супругов
Еиԥшәымацәоу досу ихатәы амазара еицырхатәу мазароуп ҳәа азхаҵара	Признание имущества каждого из супругов их общей совместной собственностью
Аиԥшәмацәа ирзеиԥшу рмазара ашара	Раздел общего имущества супругов
Аиԥшәымацәа ирзеиԥшу амазара аныршо досу ихәҭаа ашьақәыргылара	Определение долей при разделе  общего имущества супругов
8 Ахы. Аиԥшәымацәа рмазара еилаӡаралатәи азныҟәара	Глава 8. Договорной режим имущества супругов
Аиԥшәымаратә еилаӡара	Брачный договор
Аиԥшәымаратә еилаӡара абжьаҵара	Заключение брачного договора
Аиԥшәымаратә еилаӡара аҵакы	Содержание брачного договора
Аиԥшәымаратә еилаӡара аиҭакреи аԥыхреи	Изменение и расторжение  брачного договора
Аиԥшәымаратә еилаӡара ииашам еилаӡароуп ҳәа азхаҵара	Признание брачного договора недействительным
9 Ахы. Аиԥшәымацәа рхыдҵақәа рзы аҭакԥхықәра	Глава 9. Ответственность супругов по обязательствам
Аиԥшәымацәа рмазара ақәынкылара	Обращение взыскания на имущество супругов
Аиԥшәымаратә еилаӡара абжьаҵара, аиҭакра, аԥыхра раан ауаллаҵаҩцәа рзинқәа хәдықәҵара рзура	Гарантии прав кредиторов при заключении, изменении и расторжении брачного договора
IV. Аҟәша. Ахәыҷқәеи урҭ зхылҵызи рзинқәеи руалԥшьақәеи	Раздел IV. Права и обязанности родителей и детей
10 Ахы. Ахәыҷқәа рабшьҭра (зхылҵшьҭроу) ашьақәыргылара	Глава 10. Установление происхождения детей
Ахәыҷқәеи урҭ зхылҵызи рзинқәеи руалԥшьақәеи рцәырҵра ашьаҭақәа	Основание для возникновения прав и обязанностей родителей и детей
Ахәыҷы дызхылҵшьҭроу ашьақәыргылара	Установление происхождения ребенка
Аӡбарҭа ала абра ашьақәыргылара	Установление отцовства в судебном порядке
Ахәыҷы иабра азхаҵара афакт Аӡбара ала ашьақәыргылара	Установление судом факта признания отцовства
Ахәыҷқәа рира зҭарыҩуа ашәҟәаҿы изхылҵыз рҭаҩра	Запись родителей ребенка в книге записей рождений
Абра (анра) амакра	Оспаривание отцовства (материнства)
Аиԥшәымара зыбжьам ахаҵеи аԥҳәыси ирыхшаз ахәыҷқәа рзинқәеи руалԥшьақәеи	Права и обязанности детей, родившихся от лиц, не состоящих в браке между собой
11 Ахы. Зықәра намӡац ахәыҷқәа рзинқәа	Глава 11. Права несовершеннолетних детей
Ахәыҷы аҭаацәа рҿы анхареи ааӡареи рзы имоу азин	Право ребенка жить и воспитываться в семье
Ахәыҷы дзыхшази егьырҭ иуацәеи иареи реиҿцаарақәа рзы изин	Право ребенка на общение с родителями и другими родственниками
Ахәыҷы ихьчара  иазку изинқәа	Право ребенка на защиту
Ахәыҷы игәаанагара аҳәаразы имоу азин	Право ребенка выражать свое мнение
Ажәла, ахьӡ, абхьзы амазааразы ахәыҷы изин	Право ребенка на имя, отчество и фамилию
Ахәыҷы ихьӡи ижәлеи рыԥсахра	Изменение имени и фамилии ребенка
Ахәыҷы имилаҭра	Национальность  ребенка
Ахәыҷы имазаратә зинқәа	Имущественные права ребенка
Ахы. Изхылҵыз рзинқәеи руалԥшьақәеи	Глава 12. Права и обязанности родителей
Изхылҵыз рзинқәеи руалԥшьақәеи реиҟарара	Равенство прав и обязанностей родителей
Зықәра намӡацкәа ахшаа дзоуз рзинқәа	Права несовершеннолетних  родителей
Ахәыҷқәа рааӡареи аҵара дырҵареи азҵаарақәа рзы изхылҵыз рзинқәеи руалԥшьақәеи.	Права и обязанности родителей  по воспитанию и образованию детей
Ахәыҷқәа рзинқәеи разҿлымҳарақәеи рыхьчаразы изхылҵыз рзинқәеи руалԥшьақәеи	Права и обязанности родителей  по защите прав и интересов  детей
Ахәыҷқәа рзинқәа рынагӡара	Осуществление родительских прав
Ахәыҷқәа зыцнымхо изхылҵыз изинқәа рынагӡара	Осуществление родительских прав родителем, проживающим отдельно от ребенка
Ахәыҷы иабду, ианду, иашьцәа, иаҳәшьцәа, иара убас, егьырҭ  иуацәа ибара рақәиҭра	Право на общение с ребенком дедушки, бабушки, братьев, сестер и других родственников
Ахәыҷы дызхылҵқәаз рзинқәа рыхьчара	Защита родительских прав
Ахәыҷқәа зхылҵыз рзинқәа рылахәдатәра	Лишение родительских прав
Ахәыҷқәа зхылҵыз рзинқәа рылахәдатәра аԥҟарақәа	Порядок лишения  родительских прав
Ахәыҷы изку дызхылҵыз рзинқәа рылыхәдатәра аҵыхәтәақәа	Последствия  лишения  родительских прав
Ахәыҷы дызхылҵыз рзинқәа реиҭашьақәыргылара	Восстановление в  родительских правах
Ахәыҷы дызхылҵыз рзинқәа рырмаҷра	Ограничение  родительских прав
Ахәыҷы дызхылҵыз рзинқәа рырмаҷра аҵыхәтәақәа	Последствия ограничения  родительских прав
Ахәыҷы изку дызхылҵыз рзинқәа рырмаҷра зыдҳәалоу ахәыҷы иани, иаби, иареи реибабарақәа	Контакты ребенка с родителями, родительские права которых ограничены судом
Ахәыҷы изкны дызхылҵыз рзинқәа рырмаҷра аԥыхра	Отмена  ограничения  родительских прав
Ахәыҷы иԥсҭазаареи игәабзиареи ашәарҭараҵәҟьа ианҭагыло ирымхра	Отобрание ребенка при непосредственной угрозе жизни ребенка или его здоровью
Ахәыҷы иааӡара иазку аимакқәа  Аӡбара анахәаԥшуа абекәынреи ахахәылхреи русбарҭа алахәра	Участие органа опеки и попечительства при рассмотрении судом споров, связанных с воспитанием детей
Ахәыҷқәа рааӡара иадҳәалоу аимакқәа ирызку Аӡбаратәи азыӡбақәа рынагзара	Исполнение решений суда по делам, связанным с воспитанием детей
V. Аҟәша. Аҭаацәара алахәылацәа ааӡаԥсазы руалԥшьақәа	Раздел V. Алиментные обязательства членов семьи
ахы. Ааӡаԥса ашәаразы ахшаа дызхылҵызи ахәыҷқәеи руалԥшьақәа	Глава 13. Алиментные обязательства родителей и детей
Ахшаа дызхылҵыз зықәра намӡац рхәыҷқәа рныҟәгаразы руалԥшьақәа	Обязанности родителей по содержанию несовершеннолетних детей
Зықәра намӡац ахәыҷқәа рааӡаԥса Аӡбара ала изхылҵыз ирықәынкыло ашәагаа	Размер алиментов, взыскиваемых на  несовершеннолетних детей в судебном порядке
Зықәра намӡац ахшара рааӡаԥса ақәынкылара зықәшәо ауалафахәы мамзаргьы даҽа лагалак рыхкқәа	Виды заработка и (или) иного дохода, из которых производится удержание алиментов на несовершеннолетних детей
Зықәра намӡац ахәыҷқәа рааӡаԥса ҵыхәаԥҵәаратәи шәагаала ақәынқылара.	Взыскание алиментов на несовершеннолетних детей в твердой денежной сумме
Изхылҵыз рыхлаԥшарда инхаз ахәыҷқәа рзыҳәан ааӡаԥса ақәынкылареи уи ахархәареи	Взыскание и использование алиментов на детей, оставшихся без попечения родителей
Ааӡаԥса аиоуразы зықәра наӡахьо зхы изамыхәо ахәыҷқәа рзин	Право на алименты нетрудоспособных совершеннолетних детей
Ахәыҷқәа рзы ихарҭәаагоу аныхтәқәа рныхразы изхылҵыз рҽалархәра	Участие родителей в дополнительных расходах на детей
Изхылҵыз рныҟәгаразы зықәра наӡахьо ахшара руалԥшьақәа	Обязанности совершеннолетних детей по содержанию родителей
Зықәра наӡахьо ахшара изхылҵыз рзы ихарҭәаагоу аныхтәқәа	Участие совершеннолетних детей в дополнительных расходах на родителей
14 Ахы. Аиԥшәымацәеи уаанӡа еиԥшәымацәази рныҟәгаԥсатә хыдҵақәа	Глава 14. Алиментные обязательства супругов и бывших супругов
Еиԥшәымацәоу рныҟәеибагаразы руалԥшьақәа	Обязанности супругов по взаимному содержанию
Еиԥшәымацәаз реиԥшәымара анаԥырх ашьҭахь аныҟәгаԥса аиоуразы рзин	Право бывшего супруга на получение алиментов после расторжения брака
Еиԥшәымацәоуи уаанӡа еиԥшәымацәази рзы Аӡбара ала ирықәныркыло аныҟәгаԥсақәа	Размер алиментов, взыскиваемых на супругов и бывших супругов в судебном порядке
Аиԥшәымацәа руаӡәк егьи иныҟәгаразы иду ауалԥшьа аҟынтәи ихы иақәиҭтәра мамзаргьы уи ауалԥшьаҿҳәара аркьаҿра.	Освобождение супруга от обязанности по содержанию другого супруга или ограничение этой обязанности сроком
15 Ахы. Аҭаацәараҿ егьырҭ алахәылацәа ааӡаԥса (аныҟәгаԥса) ашәаразы руалԥшьақәа	Глава 15. Алиментные обязательства других членов семьи
Аишьцәа аиҳәшьцәа, зықәра намӡаци зхы изамыхәои рныҟәгаразы зықәра наӡахьо рашьцәеи раҳәшьцәеи руалԥшьақәа	Обязанности братьев и сестер по содержанию своих несовершеннолетних и нетрудоспособных совершеннолетних братьев и сестер
Амоҭацәа рныҟәгаразы андуи абдуи руалԥшьақәа	Обязанности дедушки и бабушки по содержанию внуков
Андуи абдуи рныҟәгаразы амоҭацәа,  руалԥшьақәа	Обязанности внуков содержать дедушку и бабушку
Иааӡоу атәымхәыҷқәа изааӡаз рныҟәгаразы руалԥшьақәа	Обязанности воспитанников содержать своих фактических воспитателей
Аԥаԥсеи аԥҳаԥсеи рабԥсеи ранԥсеи рныҟәгаразы руалԥшьақәа	Обязанности пасынков и падчериц по содержанию отчима и мачехи
Аҭаацәара егьырҭ алахәылацәа рзы аӡбаратә ԥҟара ала ирықәныркыло ааӡаԥса (аныҟәгаԥса) рышәагаақәа	Размер алиментов, взыскиваемых на других членов семьи в судебном порядке
16 Ахы. Ааӡаԥса (аныҟәгаԥса) ашәаразы аиқәшаҳаҭра	Глава 16. Соглашение об уплате алиментов
Ааӡаԥса (аныҟәгаҩ) ашәаразы аиқәшаҳаҭра абжьаҵара	Заключение соглашения об уплате алиментов
Ааӡаԥса (аныҟәгаԥса) ашәаразы ирыбжьарҵо аиқәшаҳаҭра аформа	Форма соглашения об уплате  алиментов
Ааӡаԥса (аныҟәгаԥса) ашәаразы еиқәшаҳаҭра абжьаҵашьа, анагӡашьа, аԥсахшьа, аԥыхшьа, иара убас уи ииашам ҳәа азхаҵара.	Порядок заключения, исполнения, изменения, расторжения и признания недействительным соглашения об уплате алиментов
Ааӡаԥса (аныҟәгаԥса) ашәаразы, ааӡаԥса (аныҟәгаԥса) зауа изҿлымҳарақәа ирԥырхаго аиқәшаҳаҭра ииашам ҳәа азхаҵара	Признание недействительным соглашения об уплате алиментов, нарушающего интересы получателя алиментов
Ааӡаԥса (аныҟәгаԥса) ашәаразы ирыбжьоу аиқәшаҳаҭра ала иршәауа ааӡаԥса (аныҟәгаԥса) ашәагаа	Размер алиментов, уплачиваемых по соглашению об уплате алиментов
Ааӡаԥса (аныҟәгаԥса) ашәаразы ирыбжьарҵо аиқәшаҳаҭрала ишәатәу ааӡаԥса (аныҟәгаԥса) ашәашьеи ашәара аиҿкаареи	Способы и порядок уплаты алиментов по соглашению об уплате алиментов
Ааӡаԥса (аныҟәгаԥса) ашәаразы еиқәшаҳаҭрала ишәатәу ааӡаԥса (аныҟәгаԥса) ашәагаа аиндексациа азыура	Индексация размера алиментов, уплачиваемых по соглашению об уплате алиментов
17 Ахы. Ааӡаԥса (аныҟәгаԥса) ашәареи ақәынкылареи реиҿкаара	Глава 17. Порядок уплаты и взыскания алиментов
Ааӡаԥса (аныҟәгаԥса) хатәгәаԥхарала ашәара	Уплата алиментов в добровольном порядке
Аӡбара азыӡба ала ааӡаԥса (аныҟәгаԥса) ақәынкылара	Взыскание алиментов по решению суда
Ааӡаԥса (аныҟәгаԥса) аиоуразы аныдҵаалара аҿҳәарақәа	Сроки обращения за алиментами
Аӡбара ала аимак ӡбахаанӡа ааӡаԥса (аныҟәгаԥса) ақәынкылара	Взыскание алиментов до разрешения спора судом
Аиҿкаарақәа рнапхгарақәа ааӡаԥса (аныҟәгаԥса) ақәынкыларазы руалԥшьа	Обязанность администрации организации удерживать алименты
Аиқәшаҳаҭра ҵыҵгәыс измоу Ааӡаԥса (аныҟәгаԥса) ашәара аанкылара	Удержание алиментов на основании соглашения об уплате алиментов
Ахәыҭаҷ 114. Ааӡаԥса (аныҟәгаԥса) ашәара зуалу ауаҩытәыҩса инхарҭа ҭыԥ аниԥсахуа адырра аҟаҵаразы иуалԥшьа	Обязанность сообщать о перемене места работы лица, обязанного  уплачивать алименты
Ааӡаԥса (аныҟәгаԥса) ашәара зуалу ауаҩԥсы имазара ақәынкылара	Обращение взыскания на имущество лица, обязанного уплачивать алименты
Ааӡаԥсаҿы (аныҟәгаԥсаҿы) еиқәылаз ауалқәа рышьақәыргылара	Определение задолженности по алиментам
Ааӡаԥсатә (аныҟәгаԥсатә) уал ашәара аҟынтәи ахақәиҭтәра	Освобождение от уплаты задолженности по алиментам
Ааӡаԥса (аныҟәгаԥса) ианаамҭо амшәаразы аҭакԥхықәра	Ответственность за несвоевременную уплату алиментов
Ааӡаԥса (аныҟәгаԥса) азшьареи шьҭахьтәи ақәынкылареи ралмыршара	Недопустимость зачета и обратного взыскания алиментов
Ааӡаԥса (аныҟәгаԥса) аиндексациа	Индексация  алиментов
Ааӡаԥса (аныҟәгаԥса) ашәара зуалу ауаҩы атәым ҳәынҭқаррахь ҭышәынтәаларала нхара ҳәа дцар ааӡаԥса (аныҟәгаԥса) шишәо	Уплата  алиментов в случае выезда лица, обязанного уплачивать алименты, в иностранное государство на постоянное жительство
Аӡбарала ишьақәыргыло ааӡаԥса ашәагаа аԥсахреи, ааӡаԥса ашәара аҟынтәи ахақәиҭтәра	Изменение установленного судом размера алиментов и освобождение от уплаты алиментов
Еиқәшаҳаҭрала ишьақәыргыло ааӡаԥса (аныҟәгаԥса) ашәара аҟәыхра	Прекращение алиментных обязательств
VI Аҟәша. Изхылҵыз рҟынтәи хылаԥшрада иаанхаз ахәыҷқәа рааӡашьа аформақәа	Раздел VI. Формы воспитания детей, оставшихся без попечения родителей
18 Ахы. изхылҵыз рҟынтәи хылаԥшрада иаанхаз ахәыҷқәа ралыԥшаареи рҭыԥқәҵареи	Глава 18. Выявление и устройство детей, оставшихся без попечения родителей
Изхылҵыз рҟынтәи хылаԥшрада иаанхаз ахәыҷқәа рзинқәеи рызҿлымҳарақәеи рыхьчара	Защита прав и интересов детей, оставшихся без попечения родителей
Изхылҵыз рҟынтәи хылаԥшрада иаанхаз ахәыҷқәа ралыԥшаареи рҭаҩреи	Выявление и учет детей, оставшихся без попечения родителей
Изхылҵыз рҟынтәи хылаԥшрада иаанхаз ахәыҷқәа рҭыԥқәҵара абекәынреи ахахәылхреи русбарҭа.	Устройство детей, оставшихся без попечения родителей
19 Ахы. Ахәыҷқәа ааӡара ргара	Глава 19. Усыновление (удочерение) детей
Ааӡара згара ҟало ахәыҷкәа	Дети, в отношении которых допускается усыновление (удочерение)
Ааӡара ахәыҷы игара аԥҟара	Порядок усыновления ребенка
Ааӡара иргараны иҟоу ахәыҷқәеи ааӡара ахәыҷы игара зҭаху ауаатәыҩсеи ашәҟәы рҭаҩра	Учет детей, подлежащих усыновлению, и лиц,  желающих усыновить детей
Ахәыҷқәа ааӡара ргаразы абжьацәажәара ақәиҭымра	Недопустимость посреднической деятельности по усыновлению детей
Ахәыҷы ааӡара игара иақәиҭу ауаатәыҩса	Лица, имеющие право быть усыновителями
Ахәыҷы ааӡара дызгауеи ааӡара ирго ахәыҷы рықәрақәа	Разница в возрасте между усыновителем и усыновленным ребенком
Ахәыҷы ааӡара ишьҭразы дызхылҵыз рақәшаҳаҭра	Согласие родителей на усыновление ребенка
Дызхылҵыз ақәшаҳаҭымкәа ахәыҷы ааӡара ишьҭра	Усыновление ребенка без согласия родителей
Абекәын ахахәылхҩи иара убас изхылҵыз рҟынтәи хылаԥшрада иаанхаз ахьырбо аиҿкаара анапхгара ақәшаҳаҭны ахәыҷқәа ааӡара рышьҭра.	Согласие на усыновление детей опекунов (попечителей), руководителей учреждений, в которых находятся дети, оставшиеся без попечения родителей
Ааӡара ирышьҭуа ахәыҷы ихаҭа иақәшаҳаҭра	Согласие усыновляемого ребенка на усыновление
Ааӡара ахәыҷы игара, дызго иԥшәмагьы иақәшаҳаҭра	Согласие супруга усыновителя на усыновление ребенка
Ааӡара иргаз ахәыҷы ихьӡ, иабхьӡ, ижәла	Имя, отчество и фамилия усыновленного ребенка
Ааӡара ирымо ахәыҷы данизи дахьизи рыԥсахра	Изменение даты и места рождения усыновленного ребенка
Ааӡара иргаз ахәыҷы дызгаз иара дызхылҵыз ракәушәа рҭаҩра	Запись усыновителей в качестве родителей усыновленного ребенка
Ахәыҷы ааӡара игара иамоу азинтә ҵыхәтәақәа	Правовые последствия усыновления ребенка
Атәанчахәы мамзаргьы ацхыраагӡа риоуразы азин ааӡара иҟоу изныжьра	Сохранение за усыновленным ребенком права на пенсию и пособия
Ааӡара ахәыҷы игара амаӡа	Тайна усыновления ребенка
Ахәыҷы ааӡара игаразтәи азыӡба аԥыхра	Отмена усыновления ребенка
Ахәыҷы ааӡара игаразы азыӡба аԥыхра аҵаҵӷәқәа	Основания к отмене усыновления ребенка
Ахәыҷы ааӡара иҟазаара аԥыхразы аҟԥадҵа аҟаҵара иақәиҭу ауааԥсыра	Лица, обладающие правом требовать отмены усыновления ребенка
Ахәыҷы ааӡара иҟазаара аԥыхра аҵыхәтәақәа	Последствия отмены усыновления ребенка
Ахәыҷы иқәра анынаӡа нахыс ааӡара иҟазаара аԥыхра алыршара	Недопустимость отмены усыновления по достижении усыновленным ребенком совершеннолетия
20 Ахы. Ахәыҷқәа р-абекәынреи рхахәылхреи	Глава 20. Опека и попечительство над детьми
Абекәынреи ахахәылхреи ззықәдыргыло ахәыҷқәа	Дети, над которыми устанавливаются опека или попечительство
Ахәыҷқәа рабекәынцәа (рхахәылхцәа)	Опекуны (попечители) детей
Ахәыҷыааӡарҭатә еиҿкаарақәа ахәшәтәырҭатә еиҿкаарақәа, ауааԥсыра рсоциалтә-хьчарҭатә аиҿкаарақәа рҿы иҟоу ахәыҷқәа абекәынцәеи ахахәылхыҩцәеи рзықәыргылара	Опека (попечительство) над детьми, находящимися в воспитательных учреждениях, лечебных учреждениях и учреждениях социальной защиты населения
Абекәыни ахахәылхҩи ззықәыргыло ахәыҷқәа рзинқәа	Права детей, находящихся под опекой (попечительством)
Изхылҵыз рҟынтә хылаԥшрада иаанханы ахәыҷааӡарҭатә еиҿкаарақәа рҿы, ахәышәтәырҭатә еиҿкаарақәа рҿы, ауааԥсыра рсоциалтә-хьчаратә еиҿкаарақәа рҿы иҟоу ахәыҷқәа рзинқәа	Права детей, оставшихся без попечения родителей и находящихся в воспитательных учреждениях, лечебных учреждениях и учреждениях социальной защиты населения
Ахәыҷы ихагыло абекәыни ахахәылхҩи рзинқәа	Права и обязанности опекуна (попечителя) ребенка
VII. Аҟәша. Атәымтәылауааи атәылауаҩра змам ауааԥсыреи злахәу аҭаацәаратә еизыҟазаараҿ аҭаацәаратә еизыҟаԥҵара ахархәара	Раздел VII. Применение семейного законодательство к семейным отношениям с участием иностранных граждан и лиц без гражданства
Аԥсны Аҳәынҭқарраҿ аиԥшәымахара абжьаҵара	Заключение брака на территории Республики Абхазия
Адипломатратә хаҭарнакреи аконсулратә аиҿкаарақәеи рҿы аиԥшәмара абжьаҵара.	Заключение браков в дипломатических представительствах и консульских учреждениях
Аԥсны Аҳәынҭқарра анҭыҵ Аԥсынтәылауаа рыбжьара ибжьарҵо аиԥшәымара азхаҵара	Признание браков, заключенных за пределами территории Республики Абхазия
Аԥсны Аҳәынҭқарраҿ ибжьаҵо аиԥшәымара мамзаргьы Аԥсны Аҳәынҭқарра аҵакырадгьыл анҭыҵ ибжьаҵо аиԥшәымара рҵабыргымра	Недействительность брака, заключенного на территории Республики Абхазия или за пределами территории Республики Абхазия
Аиԥшәымара аԥыхра	Расторжение брака
Еиԥшәымацәоу имазаратәуи имазаратәыми рхатә зинқәеи руалԥшьақәеи	Личные неимущественные и имущественные права и обязанности супругов
Абра, анра ашьақәыргылареи амакреи	Установление и оспаривание отцовства (материнства)
Ахшареи ахшара зхылҵызи рзинқәеи руалԥшьақәеи	Права и обязанности родителей и детей
Зықәра наӡахьо ахшареи аҭаацәара егьырҭ алахәылацәеи аныҟәгаԥса ашәаразы руалԥшьақәа	Алиментные обязательства совершеннолетних детей и других членов семьи
Аҳәыҷы ааӡара игара	Усыновление (удочерение)
Атәымтәылатәи аҭаацәаратә зинқәа рҵакы ашьақәыргылара	Установление содержания норм иностранного семейного права
Атәымтәылатәи аҭаацәаратә зин анормақәа рхархәара армаҷра	Ограничение применения норм иностранного семейного права
I Аҟәша Азеиԥш ҭагылазаара	Раздел I. Общие положения
I Ахы. Аҭаацәаратә закәанԥҵара	Глава 1. Семейное законодательство
Аҭаацәаратә закәанԥҵара ихадароу апринципқәа (акәамаҵамарақәа)	Основные принципы семейного законодательства
Аҭаацәа, анра, абра, ахәыҷра ауаажәларреи аҳәынҭқарреи рхылаԥшуеит.	Семья, материнство, отцовство и детство находятся под защитой общества и  государства.
Аԥсны Аҳәынҭқарра аҭаацәаратә закәанԥҵара шьаҭас иамоуп анаҩстәи апринципқәа (акәамаҵамарақәа):	Семейное законодательство Республики Абхазия основывается на принципах:
ахаҵеи аԥҳәыси реиԥшәымаразы хатәгәаԥхарала реиқәшаҳаҭра;	добровольности брачного союза мужчины и женщины;
аҭаацәараҿы еиԥшәымацәоу зинла реиҟарара;	равенства прав супругов в семье;
аҭаацәа рус дарбанызаалакгьы хамаԥызарала иҽалархәра алмыршара;	недопустимости произвольного вмешательства кого-либо в дела семьи;
аҭаацәа рыҩныҵҟатәи азҵаарақәа еиқәышаҳаҭрала аӡбара;	разрешения внутрисемейных вопросов по взаимному согласию;
ахәыҷқәа аҭаацәа рҿы рааӡара аҵакы аԥхьаргылара, ахәыҷқәа рыҿиареи иалаҟаны рааӡареи агәцаракра;	приоритета семейного воспитания детей, заботы об их развитии и благосостоянии;
аҭаацәараҿ акрура злымшои зықәранамӡаци алахәылацәа рыхьчара аԥхьаргылара;	приоритетной защиты прав и интересов несовершеннолетних и нетрудоспособных членов семьи;
аҭаацәара алахәылацәа рзинқәа ԥықәсларада рынагӡареи урҭ азинқәа аӡбара ала рыхьчареи рзы алшара аԥҵара;	обеспечения беспрепятственного осуществления членами семьи своих прав, возможности судебной защиты этих прав.
