Аԥсны Аҳәынҭқарра Аконституциа.	Конституция республики Абхазия.
Аԥсны ахархәара аманы иршьоит иагьалдыршоит аҭыԥантәи ахаланапхгара, иара азинмчхарақәа рыҩнуҵҟа ахақәиҭра аманы. Аҭыԥантәи ахаланапхгаратә усбарҭақәа аҳәынҭқарратә мчра аусбарҭақәа реилазаара иалаӡам.	В Республике Абхазия признается и обеспечивается местное самоуправление - самостоятельное в пределах своих полномочий. Органы местного самоуправления не входят в систему органов государственной власти.
Абри Аконституциа иреиҳаӡоу азинтә мчра амоуп. Аԥсны ирыдыркыло азакәанқәеи егьырҭ азинтә нҵақәеи Аконституциа иашьашәалазароуп.	Настоящая Конституция имеет высшую юридическую силу. Законы и иные правовые акты, принимаемые в Республике Абхазия, должны соответствовать Конституции.
Аԥсны ахатә ҳәынҭқарратә символика амоуп - аҳәынҭқарратә бираҟ, адырга, ахьыӡрашәа - урҭ шеиқәыршәатәу шьақәдыргылоит Аконституциатә закәанқәа рыла. Аҟәа (Сухум) - Аԥсны иаҳҭнықалақьуп.	Республика Абхазия имеет свою символику: государственный флаг, герб и гимн, описание которых устанавливается конституционными законами. Столица Республики Абхазия - город Сухум (Акуа).
АҨБАТӘИ АХЫ. АУАҨИ АТӘЫЛАУАҨИ РЗИНҚӘЕИ РХАҚӘИҬРАҚӘЕИ	Глава 2. права и свободы человека и гражданина
Аԥсны рықәшаҳаҭуп егьахьчоит ауаҩы изинқәа Еицырзеиԥшу Адекларациеи, аекономикатә, асоциалтә, аполитикатә, акультуратә, атәылауаҩратә зинқәа ирзынархоу Жәларбжьаратәи Апактқәеи, иара убас егьырҭ еицеиқәшаҳаҭны ирыдыркылахьоу жәларбжьаратә-зинтә нҵақәа зегьы рыҟны иарбоу азинқәеи ахақәиҭрақәеи.	Республика Абхазия признает и гарантирует права и свободы, закрепленные во Всеобщей Декларации прав человека, в Международных Пактах об экономических, социальных и культурных правах, о гражданских и политических правах, других общепризнанных международно-правовых актах.
Ауаҩы ицшоуп ихадароу азинқәеи ахақәиҭрақәеи. Дарбанзаалак ауаҩы дшоуп ихы дақәиҭны. Азакәани аӡбареи рҿаԥхьа зегьы еиҟароуп милаҭлеи, хаҵалеи, ԥҳәыслеи, бызшәалеи, хылҵшьҭралеи, маллеи, маҵуралеи, нхарҭа ҭыԥлеи, динлеи, дунеихәаԥшышьалеи, идеологиалеи, цәаԥшшәахәылеи ҳәа еилых ҟамҵакәа.	Основные права и свободы принадлежат человеку от рождения. Каждый человек рождается свободным. Все равны перед законом и судом независимо от расы, национальности, пола, языка, происхождения, имущественного и должностного положения, места жительства, отношения к религии, убеждений, идеологий и других обстоятельств.
Ауаҩы ԥсабарала имоуп аԥсҭазаареи, ахақәиҭреи, ахатә мали, аӡә диламкьысуа аҟазаареи рзин.	Естественными правами и свободами человека являются: право на жизнь, свободу, неприкосновенность, частную собственность.
Дарбанзаалак ауаҩы ихатә ԥсҭазаареи, ихатәи, иҭаацәаратә маӡеи, ихьӡ-иԥша ахьчареи, инамыси, идинхаҵареи, ирҿиаратә уси, ихәыцреи, иажәеи, идунеихәаԥшышьеи дрықәиҭуп.	Каждый человек имеет право на свободу частной жизни, личную и семейную тайну, защиту чести и достоинства, свободу совести, вероисповедания, творчества, мысли, слова и убеждений.
Дарбанзаалак ауаҩы ирҳәацәара, иргәаҟра, иаҳаҭыр аларҟәра, иакәым иақәыршәара залшом.	Никто не может быть подвергнут пыткам, насилию, другому жестокому или унижающему человеческое достоинство обращению или наказанию.
Дарбанзаалак ауаҩы дақәиҭуп дахьцо-дахьаауа, иҭыӡҭыԥ алхра, шәҟәыла-быӷьшәыла, егьырҭ ацҳаражәҳәарақәа рыла аимадара амаӡа.	Каждый человек обладает правом свободы передвижения и выбора места жительства, тайны переписки и других сообщений.
Ауаа зегьы ахеидкылареи, аҭынчратә еизарақәеи, аицымҩасрақәеи рымҩаԥгара азин рымоуп.	Все люди имеют право на объединение, проведение мирных митингов, собраний, шествий и демонстраций.
Аконституциатә шьақәгылашьа мчыла аԥсахра, аҳәынҭқарра ашәарҭа аҭаргылара, бџьарла еибыҭоу архәҭақәа реиҿкаара, ауаа социалла, милаҭла, динла реичырчара хықәкыс измоу ауаажәларратә хеидкылақәеи, апартиақәеи, аҵысрақәеи реиҿкаара ҟалом.	Запрещается создание и деятельность общественных объединений, партий и движений, цели и действие которых - насильственное изменение конституционного строя, подрыв безопасности государства, создание вооруженных формирований, разжигание социальной, расовой, национальной и религиозной розни.
Дарбанзаалак ауаҩы дрықәиҭуп аҩны-агәара, аекономикатә, аџьатә хақәиҭра, аҵарадырра, аԥсшьара, ахәшәтәыратә цхыраара, асоциалтә маншәалара.	Каждый человек имеет право на жилище, экономическую свободу и свободу труда, образование и отдых, медицинское обслуживание и социальное обеспечение.
Ауаҩы иҩны-игәара лакьысра ақәым. Аӡәгьы азин имам, изтәу дазыразымкәа, иҩны аҩналара, закәанла ианышьақәыргылои аусӡбара азин анинаҭои рыда.	Дом человека неприкосновенен. Никто не вправе проникать в жилище против воли проживающего в нем лица иначе как в случаях, установленных законом, или на основании судебного решения.
Дарбанзаалак ауаҩы изинқәеи ихақәиҭрақәеи аҳәынҭқарреи аусӡбареи ишырыхьчо ала агәрагара имазароуп.	Каждому человеку гарантируется государственная и судебная защита его прав и свобод.
Аԥсны аус ауеит ахарадара апрезумпциа. Ахара здырҵо хара имам хәа дыԥхьаӡоуп, ахара шиду еилкаахаанӡа, азакәантә мчы зоухьоу аусӡбаратә лахьыҭарала ишьақәыргылахаанӡа. Ахара здырҵо ахара шидым ашьақәырӷәӷәара иара иуалӡам.	В Республике Абхазия действует принцип презумпции невиновности. Обвиняемый считается невиновным, пока его вина не доказана и не установлена вступившим в законную силу судебным приговором. Обвиняемый не обязан доказывать свою невиновность.
Дарбанзаалак иаанкылоу ма иҭакыу ауаҩы, данааныркыла ма данҭарк инаркны, азин имоуп адукат ицхыраара ихы иаирхәар, азин имоуп иара убас идукат дыҟамкәа иҿахәы римҭар.	Каждое задержанное или заключенное под стражу лицо вправе пользоваться помощью адвоката с момента задержания, заключения под стражу и может не давать показания в отсутствие адвоката.
Иҟаиҵаз ацәгьоуразы аҵыхәтәантәи ахарадҵарала ахара здырҵахьоу дарбанзаалак иара убри ацәгьоуразы еиҭа иусӡбара залшом.	Никакое лицо не может быть судимо повторно за деяние, за совершение которого оно уже было признано виновным по заключительному приговору суда.
Аҭакԥхықәра шьақәзыргыло ма изырымчуа азакәан ҿыц ииасхьоу аус аилыргараан мчы амаӡам.	Закон, устанавливающий или отягчающий ответственность, обратной силы не имеет.
Дарбанзаалак азин имоуп аҳәынҭқарратә усбарҭақәеи амаҵурауааи закәандарала иахьизныҟәаз иахҟьаны иоуз аԥырхага аҳәынҭқаррала ахарҭәаара.	Каждый имеет право на возмещение государством вреда, причиненного незаконными действиями государственных органов и должностных лиц.
Аԥсны атәылауаҩ ҳәа иԥхьаӡоу ари ахьӡ зихыххом, итәыла дзалцахом, насгьы даҽа ҳәынҭқаррак дзаҭахом.	Гражданин Республики Абхазия не может быть лишен ее гражданства, выслан за ее пределы либо выдан другому государству.
Аԥсны иара атәылауаа агәра днаргоит, урҭ атәыла анҭыҵгьы ишахьчо, ишырхылаԥшуа.	Республика Абхазия гарантирует своим гражданам защиту и покровительство за ее пределами.
Жәаа шықәса зхыҵыз Аԥсны атәылауаҩ абри Аконституциеи Аԥсны азакәанқәеи ишьақәдыргылаз азинқәеи ауалԥшьақәеи зегьы инагӡаны инапаҿы иҟоуп.	Гражданин Республики Абхазия, достигший 18 лет, обладает всей полнотой прав и обязанностей, установленных настоящей Конституцией и законами Республики Абхазия.
Аԥсны атәылауааи уи иқәынхо зегьи ируалуп азакәан инақәыршәаны ашәахтәқәа ршәара.	Все граждане и жители Республики Абхазия обязаны платить налоги в установленном законом порядке.
Аԥсны иҟоу дарбанзаалак иуалуп Аԥсны азакәанқәеи Аконституциеи рықәныҟәара.	Каждый человек, находящийся в Республике Абхазия, обязан соблюдать Конституцию и законы Республики Абхазия.
Дарбанзаалак ауаҩы иуалуп егьырҭ ауаа рзинқәеи рхақәиҭрақәеи ҳаҭыр рықәҵара.	Каждый человек обязан уважать права и свободы других людей.
Дарбанзаалак ауаҩы иуалуп иааикәыршаны иҟоу аԥсабара аи3аҳареи ахьчареи.	Каждый человек обязан уважать и защищать окружающую среду.
Аԥсадгьыл ахьчара Аԥсны атәылауаа зегьы ируалԥшьоуп.	Защита Родины - долг и обязанность каждого гражданина Республики Абхазия.
Аконституциаҿы иалкаау зинқәак реиқәыԥхьаӡара иаанагом ажәларбжьаратә-зинтә нҵақәа рыла еицрыдыркылаз егьырҭ азинқәа мап рыцәктәуп ма иларҟәтәуп ҳәа.	Перечисление в Конституции определенных прав не должно толковаться как отрицание или умаление других прав, общепризнанных международными правовыми актами.
Аԥсны ирыдрымкылароуп егьҭырмыжьроуп ауаҩы изинқәеи ихақәиҭрақәеи аԥызхуа ма илазырҟәуа закәанк иадамхаргьы.	Ни один закон, отменяющий или умаляющий права и свободы человека, не должен быть принят или издан в Республике Абхазия.
Азинқәеи ахақәиҭрақәеи рыԥкрақәак алагалазар ҟалоит конституциатә закәан мацарала Аконституциатә шьақәгылашьа ахьчаразы, ашәарҭадареи ауаажәларратә еиҿкаареи рырӷәӷәаразы, ауаҩы игәабзиареи инамыси рыхьчаразы, иара убасгьы аԥсабаратә рыцҳарақәеи, и3ыдоу ма аибашьратә ҭагылазаашьеи раан.	Отдельные ограничения прав и свобод могут вводиться только конституционными законами при необходимости защиты конституционного строя, обеспечения безопасности и общественного порядка, охраны здоровья и нравственности, а также в случаях стихийных бедствий, чрезвычайного или военного положения.
Ахԥатәи ахы. азакәанԥҵаратә мчра	Глава 3. законодательная власть
Ари Аконституциа ишьақәнаргылаз азакәанԥҵаратә зинмчхарақәа зегьы Жәлар Реизара - Апарламент имҩаԥнагоит.	Все законодательные полномочия, установленные настоящей Конституцией, осуществляются Народным Собранием - Парламентом Республики Абхазия.
Аԥсны Жәлар Реизара шьақәгылоуп 35-ҩык адепутатцәа рыла.	Парламент Республики Абхазия состоит из 35 депутатов.
Жәлар Реизарахь алхрақәа мҩаԥысуеит зегьы еицырзеиԥшу, еиҟароу, изныктәиу алхратә зинтә шьаҭа инақәыршәаны, маӡа бжьыҭирала.	Выборы в Парламент осуществляются на основе всеобщего, равного и прямого избирательного права, посредством тайного голосования.
Жәлар Реизара азинмчхарақәа ҿҳәарас ирымоуп хәы-шықәса.	Срок полномочий Парламента пять лет.
Жәлар Реизара адепутатцәа ралхшьа аԥҟарақәа шьақәнаргылоит аконституциатә закәан.	Порядок выбора депутатов Парламента устанавливается конституционным законом.
Аԥсны Жәлар Реизарахь ддепутатхарц илшоит 25-шықәса зхыҵуа, алхратә зин змоу дарбанзаалак Аԥсны атәылауаҩ.	Депутатом Парламента Республики Абхазия может стать каждый гражданин Республики Абхазия, достигший 25 лет и обладающий избирательным правом.
Аԥсны Аҳәынҭқарра Ахада ма Аминистрцәа Реилазаара иалахәу, насгьы аҳәынҭқарратә усбарҭа аилазаареи аӡбаратә усҳәарҭақәеи ирыҵанакуа амаҵураҭыԥқәа аанызкыло, мамзаргьы аԥара зхыршәаауа даҽа усурак знапы алаку, арҵаҩратә, анаукатә, арҿиаратә усқәа аламҵакәа, Жәлар Реизара алахәхара илшом.	Должности Президента Республики Абхазия, члена Кабинета Министров, официальные посты в государственном аппарате и в органах судебной власти, равно как и занятие любой иной оплачиваемой деятельностью, кроме преподавательской, научной и иной творческой деятельности, несовместимы с членством в Парламенте Республики Абхазия.
Жәлар Реизара адепутатцәа Жәлар Реизараҿы имҩаԥырго русуразы Аԥсны Аҳәынҭқарра ирзоунажьуеит рџьабааԥса.	Депутаты Парламента получают за свою работу в Парламенте денежное вознаграждение, выплачиваемое Республикой Абхазия.
Жәлар Реизара адепутатцәа рылакьысра зинӡам, урҭ рымчхара аҿҳәара ааиаанӡа. Урҭ раанкылара, рҭакра, реимдара азин ыҟам, ацәгьара ахьыруз аҭыԥ аҿы иаанкыламзар, иара убасгьы хаҭала ргәаҭара залшом, егьырҭ ауаа ашәарҭа иҭазыргыло дара акгьы рыдбаламзар. Рыламкьысра аԥыхра азҵаара Жәлар Реизара иаӡбоит.	Депутаты Парламента обладают неприкосновенностью в течение всего срока полномочий. Они не могут быть задержаны, арестованы, подвергнуты обыску, кроме случаев задержания на месте преступления, а также подвергнуты личному досмотру, за исключением случаев, когда это предусмотрено законом для обеспечения безопасности других людей. Вопрос о лишении неприкосновенности решается Парламентом.
Жәлар Реизара адепутатцәа руалԥшьа анагӡараҿы ралхцәа рыдҵала иҿаҳәахарц залшом.	Депутаты Парламента не могут быть связаны императивным мандатом.
Ҿыц иалху Жәлар Реизара раԥхьатәи аилатәара ааиԥхьоит Аԥсны Ахада алхрақәа рышьҭахь мызкы аҩнуҵҟала.	Первое заседание вновь избранного Парламента созывается Президентом Республики Абхазия в течение месяца со дня проведения выборов.
Жәлар Реизара иара аилазаара аҟынтәи иалнахуеит Аиҳаби уи ихаҭыԥуааи, егьырҭ амаҵурауааи, еиҿнакаауеит акомиссиақәеи агәыԥ 3ыдақәеи.	Парламент из своего состава избирает Спикера, его заместителей и других должностных лиц, образует комиссии и комитеты.
Жәлар Реизара Аиҳабы Жәлар Реизара аилатәарақәа мҩаԥигоит, Жәлар Реизара адепутатцәа рзинмчхарақәа рынагӡараҿы ацхыраара риҭоит, иаҭаху адыррақәа рыла еиқәиршәоит, Жәлар Реизара ақәҵарақәа инапы рыҵаиҩуеит.	Спикер Парламента ведет заседания Парламента, оказывает содействие депутатам Парламента в осуществлении ими своих полномочий, обеспечивает их необходимой информацией, подписывает постановления Парламента.
Аиҳабы далырхаанӡа, ҿыц еиҿкаау Жәлар Реизара раԥхьатәи аилатәара мҩаԥигоит қәрала дара зегьы иреиҳабу Жәлар Реизара адепутат.	До избрания Спикера первую сессию вновь избранного Парламента ведет старейший по возрасту депутат Парламента.
Ҿыц иалху Жәлар Реизара аусура ианалага инаркны уанӡатәи Жәлар Реизара азинмчхарақәа нҵәоит.	С момента начала работы вновь избранного Парламента полномочия предыдущего Парламента прекращаются.
Жәлар Реизара имҩаԥнагоит шықәсык ҩ-еилатәарак (ааԥынтәи аилатәара, ҭагалантәи аилатәара).	Парламент проводит сессии не реже двух раз в год (весенняя сессия и осенняя сессия).
Жәлар Реизара аусушьа арегламент иҳәаақәнаҵоит.	Порядок работы Парламента определяется регламентом.
Жәлар Реизара иаӡбозаалак иаҭаху адепутатцәа рхыԥхьаӡара ыҟазароуп. Азакәанԥҵаратә нҵақәа рыдкыларазы, 3ыдала Аконституциа иазгәанаҭаз акы акәымзар, иҟазароуп Жәлар Реизара адепутатцәа рзеиԥш хыԥхьаӡара аҟынтә реиҳараҩык. Аконституциатә закәани даҽа закәанқәаки рыдкылара аан иҟазароуп ахԥа рыҩхәҭак ирыҵаркуа рбыжьқәа Жәлар Реизара адепутатцәа рзеиԥш хыԥхьаӡара аҟнытә.	Любое решение Парламента требует кворума. Для принятия законодательных актов, за исключением случаев, особо предусмотренных Конституцией, необходимо простое большинство от общего числа депутатов Парламента. При принятии конституционного закона, а также при необходимости квалифицированного большинства требуются голоса двух третей от общего числа депутатов Парламента.
Жәлар Реизара иаднакылаз иарбан закәанӡбатәзаалак Аԥсны Ахада изнагалатәуп.	Каждый законопроект, принятый Парламентом, представляется Президенту Республики Абхазия.
Аԥсны Ахада инапы аҵаиҩыр, уи азакәанӡбатә акьыԥхь иаирбоит Жәлар Реизара ианаднакылаз инаркны жәохәымш рыҩнуҵҟала.	Если законопроект подписывается Президентом, то он публикует его в течение 15 дней со дня его принятия Парламентом Республики Абхазия.
Азакәан амч аиуеит ианыркьыԥхь инаркны, еиҳа ихьшәаны азакәан амч аиура, азакәан ахаҭа ианышьақәнаргыло ада.	Закон вступает в силу с момента его опубликования, за исключением случаев, когда более позднее вступление закона в силу устанавливается самим законом.
Азакәанӡбатә Аԥсны Ахада дақәшаҳаҭымзар, уи Жәлар Реизарахь иргьежьуеит, дзықәшаҳаҭым азгәаҭаны. Аҩынтәтәи ахәаԥшра аан ахԥа рыҩхәҭак ирыҵаркуа абжьқәа рыла азакәанӡбатә рыдыркылазар, Аԥсны Ахада инапы аҵаиҩыроуп, егьҭижьроуп.	В случае неодобрения законопроекта Президентом, он возвращает его со своими возражениями в Парламент. Если при повторном рассмотрении законопроект будет принят квалифицированным большинством, то Президент обязан подписать и опубликовать его.
Аԥсны Ахада азакәанӡбатә аниоу инаркны жәамш рыҩнуҵҟала Жәлар Реизарахь имыргьежьзар, усҟан азакәанӡбатә закәанхоит, Аԥсны Ахада инапы аҵаиҩызар еиԥш. Азакәанӡбатә закәанхаӡом аилатәара ахгара иахҟьаны Аԥсны Ахада Жәлар Реизарахь измыргьежьзар.	Если законопроект не возвращен Президентом в течение десяти дней после того, как он был ему представлен, таковой законопроект становится законом так же, как если бы он был подписан Президентом. Законопроект не становится законом, если из-за переноса заседания он не мог быть возвращен в Парламент.
Аԥсны Жәлар Реизараҿы азакәанԥҵаратә ԥшьгара азин рымоуп Жәлар Реизара адепутатцәеи, Аԥсны Ахадеи, Аԥсны Иреиҳаӡоу Аӡбареи, Аԥсны Апрокурор Хадеи.	Право законодательной инициативы в Парламенте Республики Абхазия принадлежит его депутатам, Президенту Республики Абхазия, Верховному Суду Республики Абхазия, Генеральному прокурору Республики Абхазия.
Аԥсны Аҳәынҭқарра Жәлар РеизараҚ	Парламент Республики Абхазия:
иаднакылоит Аконституциеи Аԥсны Аҳәынҭқарра азакәанқәеи;	принимает Конституцию и законы Республики Абхазия;
иаднакылоит аҭыԥантәи аҳәаақәа рыԥсахрақәа ирызку ақәҵарақәа;	принимает решения об административно-территориальных изменениях;
иазыӡырҩуеит атәылаҿы ҭагылазаашьас иҟоуи, аҳәынҭқарра аҩнуҵҟатәи, адәныҟатәи аполитика ахырхарҭа хадақәеи, нас урҭ рымҩаԥгареи ирызку Аԥсны Ахада инашьҭымҭақәа;	заслушивает послания Президента о положении в стране, об основных направлениях внутренней и внешней политики государства и ее осуществлении;
иахәаԥшуеит егьышьақәнарӷәӷәоит аҳәынҭқарра абиуџьет, уи анагӡарагьы хылаԥшра азнауеит;	рассматривает и утверждает государственный бюджет, осуществляет контроль за его исполнением;
иаднакылоит ашьауӷатә, ашьауӷатә-усеилыргаратә, амҩақәҵаратә-џьатә, атәылауаҩратә, атәылауаҩратә-усеилыргаратә, аиныршәаратә уҳәа азакәанԥҵарақәа, аӡбареиҿкаареи апрокуратуреи ирызку азҵаарақәа;	принимает уголовное, уголовно-процессуальное, исправительно-трудовое, гражданское, гражданско-процессуальное, арбитражное и иное законодательство, законы по вопросам судоустройства и прокуратуры;
имҩаԥнагоит Аконституциеи Аԥсны азакәанқәеи реилыркаара иазку аусқәа;	осуществляет толкование Конституции и законов Республики Абхазия;
ишьақәнаргылоит Аԥсны Аҳәынҭқарратә ҳамҭақәеи, аҳаҭыртә, арратә хьӡалкаақәеи;	устанавливает государственные награды, почетные и воинские звания Республики Абхазия;
ишьақәнарӷәӷәоит, ишыԥнарго рыланаҳәоит Аԥсны Аҳәынҭқаррабжьаратә еиқәшаҳаҭрақәа;	ратифицирует и денонсирует межгосударственные договоры Республики Абхазия;
иалнахуеит Аԥсны Жәлар Реизара Аиҳаби уи ихаҭыԥуааи;	избирает Спикера Парламента Республики Абхазия и его заместителей;
амаҵура ианаҭоит, рхы иақәиҭнатәуеит, азакәан инақәыршәаны, Аԥсны Ахада иқәиргыло Апрокурор Хадеи, Амилаҭтә банк Ахантәаҩи, егьырҭ амаҵурауааи;	назначает и освобождает по представлению Президента Генерального прокурора, Председателя Национального банка и других должностных лиц в соответствии с законом;
иаднакылоит Аминистрцәа Реилазаара иалахәу џьоукы бжьыҭирала иӡбоу рыгәрамгара рылаҳәара иазку ақәҵарақәа;	принимает решения об объявлении вотума недоверия отдельным членам Кабинета Министров;
Аԥсны Ахада ахара иднаҵоит уи имаҵура нижьразы;	выдвигает обвинения против Президента Республики Абхазия для отрешения его от должности;
ирыланаҳәоит амнистиа;	объявляет амнистию;
иаӡбоит аибашьра рылаҳәареи аинышәара рыбжьаҵареи ирызку азҵаатәқәа;	решает вопросы объявления войны и заключения мира;
иаӡбоит Аԥсны Жәлар Реизара адепутатцәа рыламкьысра азҵаатәқәа;	решает вопросы о неприкосновенности депутатов Парламента Республики Абхазия;
иаӡбоит и3ыдоу аҭагылазаашьеи аибашьратә ҭагылазаашьеи ралагалара ахьынӡазинрку;	принимает решения о правомерности введения чрезвычайного и военного положения;
инанагӡоит Аконституциеи Аԥсны азакәанқәеи иадырҵо егьырҭ азинмчхарақәа.	осуществляет иные полномочия, возложенные на него Конституцией и законами Республики Абхазия.
Аԥшьбатәи ахы. анагӡаратә мчра	Глава 4. исполнительная власть
Аԥсны Аҳәынҭқарра аҩнуҵҟа анагӡаратә мчра Аԥсны Ахада имадоуп.	Исполнительная власть в Республике Абхазия предоставляется Президенту Республики Абхазия.
Аԥсны Ахада Аԥсны Аҳәынҭқарра хыс дамоуп.	Президент Республики Абхазия является главой государства.
Аԥсны Ахада иалхра мҩаԥысуеит зегьы еицырзеиԥшу, еиҟароу, изныктәиу алхратә зин ашьаҭала, маӡа бжьыҭирала, хәы-шықәса аҿҳәара аҭаны.	Выборы Президента Республики Абхазия осуществляются на основе всеобщего, равного и прямого избирательного права при тайном голосовании сроком на пять лет.
Аԥсны Ахадас далырхуеит милаҭла иаԥсуоу, 35-шықәса иреиҵамкәа, қџ-шықәса иреиҳамкәа изхыҵуа, алхра азин змоу Аԥсны атәылауаҩ.	Президентом Республики Абхазия избирается лицо абхазской национальности, гражданин Республики Абхазия, не моложе 35 и не старше 65 лет, обладающий избирательным правом.
Аԥсны Ахадас аӡәы инеиԥынкыланы ҩ-ҿҳәарак иреиҳаны иалхра залшом.	Одно и то же лицо не может быть Президентом Республики Абхазия более двух сроков подряд.
Аԥсны Ахада имчхарақәа рынагӡара далагоит ҭоуба аниу инаркны, имчхарақәа рынагӡара даҟәыҵуеит иҿҳәара анааилак, ҿыц иалху Аԥсны Ахада ҭоуба аниу инаркны.	Президент Республики Абхазия приступает к исполнению полномочий с момента принесения им присяги и прекращает их исполнение по истечении срока его пребывания в должности с момента принесения присяги вновь избранным Президентом Республики Абхазия.
