Сара сҭоурых.	Моя история.
Аԥсныҟа ҳанааи, аҩызцәа ҿыцқәа шьҭысхит.	Как мы переехали в Абхазию, у меня появились новые друзья.
Дара аԥсшәа рҳәон.	Они говорили по-абхазски.
noise Аԥсышәала ианеицәажәоз ирҳәоз саҳаӡомызт азы саргьы аԥсшәа аҵара салагеит.	noise Когда они разговаривали друг с другом,так как я не понимал того, что они говорили, я начал изучать абхазский язык.
noise Ари сҩызцәеи сареи еиҳа ҳшеизааигәанатәыз збеит.	noise Я заметил, что это сблизило нас еще больше.
Сара саб сиеиԥшуп ҳәа сгәы иаанагоит, избанзар сабгьы иҩызцәа бзиа ибоит.	Я думаю что я похож на моего отца, потому что мой отец тоже любит своих друзей.
Сара сҭаацәа ҳҩызцәеи ҳгәылацәеи рааԥхьара бзиа ирбоит.	Моя семья любят приглашать наших друзей и соседей.
Бзиа избоит сара асасцәа анаҳҭоу.	Я люблю когда у нас есть гости.
Бзиа избоит сара асасцәа анаҳҭоу.	Я люблю когда у нас находятся гости.
Бзиа избоит сара асасцәа анаҳҭоу.	Я люблю когда к нам приходят гости.
Бзиа избоит сара асасцәа анаҳҭоу.	Я люблю когда нас посещают гости.
Усҟан сангьы даара лгәалаҟазаара бзиоуп, зегьы ҳаицхырааны афатә ҳархиоит.	Тогда и у мамы хорошее настроение, мы помогая друг другу готовим еду.
Ҳасасцәа сан афатә хааны иҟалҵоит рҳәоит.	Наши гости говорят что мама вкусно готовит.
Саҳәшьа сан илҿылҵаауа рацәоуп.	Моя сестра многому учится у мамы.
Иаҳҳәап, шьҭа саҳәшьа ибзианы асалаҭқәа ҟалҵоит, аишәа ԥшӡаны илырхиоит.	К примеру, теперь моя сестра вкусно готовит салаты, красиво накрывает на стол.
Сара зегь реиҳа бзиа избоит, аторт аныҟалҵо.	Мне больше всего нравится, когда она печет торт.
Уи ҳҭаацәа зегьы бзиа ирбоит.	Это любят все нашей семье.
Исгәалашәоит, ашкол саналгаз.	Помню, как я закончил школу.
Ахәшьара бзиақәа сыманы салгеит.	Окончил с хорошими оценками.
Ари ахҭыс сҭаацәа зегьы рзы ныҳәак иаҩызан.	Это событие родителями было воспринято как настоящий праздник.
Зегьы ҳамҭак-ҳамҭак сырҭеит.	Все преподнесли мне подарки.
Саб апланшет сзааихәеит.	Папа купил мне планшет.
Сан акьаҿ иаҵәа сзаалхәеит.	Мама купила мне синюю рубашку.
сара аиаҵәа ԥшшәы даара бзиа избоит.	Мне очень нравится синий цвет.
Убасҟан саҳәшьагьы бзиа избоз аторт сзылӡит.	Тогда и сестра испекла мне любимый торт.
Сара бзиа избо.	Мое хобби.
Ауаа зегьы акака бзиа ирбоит.	Все люди имеют любимое дело.
Ауаҩы бзиа иибо иара иҟазшьеи игьамеи ирықәшәоит.	Каждый выбирает хобби согласно его характеру и вкусу.
Џьоукы амузыка бзиа ирбоит.	Некоторые любят музыку.
Егьырҭ аԥхьара бзиа ирбоит.	Другие любят читать.
noise Иҟоуп аныҟәарақәа, атуризм бзиа избо.	noise Некоторые люди любят пеший туризм.
Даҽа џьоукы афатәҟаҵара ма аӡахра бзиа ирбоит.	Некоторые другие любят готовить или шить.
noise Ирацәаҩуп афотосахьақәа рҭыхра ма реизгара бзиа избогьы.	noise Многие предпочитают фотографировать или коллекционировать.
noise Ажәакала, ауаа бзиа ирбо дасу ргьама иақәшәоит.	noise Вообще говоря, хобби – вопрос вкуса.
Сара бзиа избоит акомпиутер аҟны ахәмарра.	Мне нравится компьютерные игры.
Сара бзиа избоит акомпиутер аҟны ахәмарра.	Я люблю компьютерные игры.
Уи уажәы адуқәагьы ахәыҷқәагьы бзиа ирбоит.	Это теперь взрослые и дети любят.
Иахьа акомпиутер аҿы ахәмарра бзиа избо еиҳа ирацәахеит.	Сегодня стало намного больше любящих компьютерные игры.
Избанзар, уи даара интересуп.	Так как, это очень интересно.
noise Урҭ ахәмаррақәа ауаҩы ихшыҩ дырҵаруеит, илаԥшҳәаа дырҭбаауеит.	noise Они расширяют и развивают наше воображение.
noise Сара сҩызцәақәакгьы акомпиутер аҟны ахәмарра бзиа ирбоит азы лассы-ласс ҳаицыхәмарлоит.	noise Некоторые из моих друзей имеют то же самое хобби, и мы часто играем вместе.
Баҭал Аԥсны ашкол дҭоуп.	Батал учится в Абхазской школе.
Баҭал иҭаацәагьы иаргьы Ҭырқәтәыла инхон.	Батал со своей семьей жил в Турции.
Сынтәа урҭ Аԥсныҟа нхара ииасит.	В этом году они переехали в Абхазию.
Уажәы иара Аҟәатәи 1-тәи абжьаратә школ дҭоуп, уи шьҭа 5-тәи акласс аҿы дтәоуп.	Сейчас он учится в Сухумской 1 средней школе, он сидит в 5 классе.
Уи шьҭа ахәбатәи акласс аҿы дтәоуп.	И так он сидит в пятом классе.
Иара есышьыжь асааҭ ааба рзы дгылоит.	Он каждое утро встает в восемь часов.
Иҿи инапи иӡәӡәоит, ихаԥыцқәа ирыцқьоит, аҭаалым ҟаиҵоит, ииарҭа ҟаиҵоит, иҽеилеиҳәоит, нас акрифоит.	Умывается, чистит зубы, делает зарядку, заправляет постель, одевается, потом завтракает.
Асааҭ жәба рыбжазы аҩны ддәылҵуеит, ашкол ахь дцоит.	В восемь с половиной часов он выходит из дома, идет в школу.
Асааҭ 8.30. аҩны ддәылҵуеит, ашкол ахь дцоит.	В 8.30. он выходит из дома, идет в школу.
Ашкол аҿы асааҭ 9 рзы аҵара иалагоит.	В школе уроки начинаются в 9 часов.
Аҵара далгоит асааҭ ҩба рзы.	Уроки заканчиваются в два часа.
Нас ихала аҩныҟа дцоит.	Домой он добирается сам.
Шьҭа иара Аҟәа бзианы идыруеит.	Он уже хорошо знает Сухум.
Шьыбжьон, аҩны акрифоит, иԥсы ишьоит.	Днем, дома он обедает, отдыхает.
Нас, асааҭ 4 рзы ихала амузыкатә школ ахь дцоит.	Затем, в 4 часа отправляется в музыкальную школу.
Уи афортепиано акласс аҿы аҵара иҵоит.	Так он занимается по классу фортепиано.
Уа ахԥатәи акласс аҿы дтәоуп.	Там он сидит в третьем классе.
Амузыкатә школ аҟны аҵара далгоит асааҭ 5 рзы.	В музыкальной школе занятия заканчиваются в 5 часов.
Нас иаб иахь дасуеит.	Затем он звонит отцу.
Иаб днеины машьынала аҩныҟа дааигоит.	Его отец приезжает на машине и забирает домой.
Сара аҩны исыду.	Мои обязанности по дому.
Сара аҩны снапы иану.	Мои обязанности по дому.
Сара сынтәа ашкол салгоит, аԥышәарақәа бзианы исҭиирц азы ирацәаны саԥхьоит.	В этом году я заканчиваю школу и усердно читаю, чтобы сдать успешно выпускные экзамены.
Уажәы сеилахоуп азы аҩны ирацәаны сҭаацәа сызрыцхрааӡом.	Так как сейчас я очень занята, не могу много помогать родителям по дому.
Убас шакәугьы, сара аҩны исыду аусқәа ыҟоуп.	Однако, у меня все-таки есть определенные домашние обязанности.
Есҽны суада, сиарҭа еилсыргоит, асаанқәа сыӡәӡәоит, асаба срыцқьоит.	Каждый день я убираю свою комнату и постель, мою посуду, протираю мебель от пыли.
Шьыбжьышьҭахь ачаҭирҭахь ачаахәара сцоит.	После обеда хожу в булочную за хлебом.
покупаҩ немного черного и белого хлеба, печенье и пирожные.	Ача шкәакәеи ачеиқәаҵәеи, нас ачарӡ хаа, ахаа-мыхаақәа аасхәоит.
Адәқьан ҳаҩны иазааигәаны иҟоуп аҟнытә есҽны ачаахәара аамҭа рацәаны исцәагаӡом.	Магазин находится недалеко от нашего дома, и у меня уходит мало времени на ежедневные покупки.
Мчыбжьык ахьтә знык сан аҩнусқәа рыҟны слыцхраауеит.	Раз в неделю я помогаю маме выполнять работу по дому.
Амаҭәа ҳаӡәӡәоит, ҳуанҭоит, аҩны иеилҳаргоит.	Мы стираем белье, гладим, убираем в квартире.
Ауарҳалқәа асаба рылаҳхуеит, адашьма ҳрыцқьоит асабарыцқьага ала.	Мы выбиваем ковры от пыли, пылесосим пол.
Иааиԥмырҟьаӡакәа аҩны еилургозар, иуцәеилаҳаӡом.	Не трудно содержать квартиру в порядке, если ты убираешь систематически.
Абри ауп сара есқьынгьы исыду.	Это обычный круг моих обязанностей.
Аха зны-зынла даҽа ускгьы аныҟасҵо ыҟоуп.	Но иногда мне надо делать другую работу.
Иаҳҳәап, сан данычмазаҩу ма аҩны даныҟам, афатә ҟасҵоит, асаанқәа сыӡәӡәоит, афатә аасхәоит.	Например, когда мама больна или ее нет дома, я готовлю еду и мою посуду, покупаю продукты.
Афатә бзианы исзыҟаҵаӡом, аха ссуԥ хаауп рҳәоит есқьынгьы.	Я не очень хорошо готовлю, но говорят, что мой суп всегда вкусный.
Нас, акәтаӷь зжәыр сылшоит, акәац зӡуеит, аишәа сырхиоит, асаанқәа ықәызгоит.	Я могу также сварить яйцо и пожарить немного мяса, накрыть на стол и убрать посуду.
Сара санеилахоу, ари зегьы сымацара сахьӡаӡом азы аҭаацәа зегьы акака ҟарҵоит.	Если я слишком занята, то я не могу все это делать сама, и все обязанности распределяются между членами нашей семьи.
Зны-зынла ахцәыҟаҵарҭахь, ашьаҵаҟаҵарҭахь, ма аӡахырҭахь сцалоит.	Иногда мне нужно сходить в парикмахерскую, мастерскую по ремонту обуви, в швейную мастерскую.
Ахцәыҟаҵарҭаҟны ма сыхцәы ԥысҟоит ма исырҳәуеит.	В парикмахерской я подстригаюсь или завиваю волосы.
Ашьаҵаҟаҵарҭаҿы сеимаақәеи смагәқәеи рышьхәақәа аныбжьыслак, иҟасҵоит.	В обувной мастерской чиню туфли и ботинки, когда стираются каблуки.
Ашьхәақәа цәгьамкәа иҟарҵоит, аха зны-зынла иҵегьы иеиӷьзар ҟалон.	Обслуживание в общем хорошее, но в некоторых случаях оно оставляет желать лучшего.
Сашьагьы аҩны аҟаҵатәы имоуп.	И у моего брата свои обязанности по дому.
Уи афымцамаҭәахәқәа рышьақәыргылара ма ианыбжьыслак рыҟаҵара илшоит.	Он может установить или починить например, он чинит электроприборы, когда они в неисправности.
Иара иоуп ҳан луанҭа, ҳлампа ҟазҵаз.	Он уже починил мамин утюг, мою настольную лампу.
Ҵыԥх сандуи сабду рыҟны сыҟан.	В прошлом году я была у бабушки и дедушки.
Дара шьҭа ибыргцәоуп, ацхыраара, ахылаԥшра рҭахуп.	Они пожилые люди и нуждаются в заботе и внимании.
Уа саныҟаз адашьма сыԥссон, исыӡәӡон, акәҷарақәа акрырҿасҵон, акәтаӷьқәа еизызгон, сбаҳауан.	Во время своего пребывания там я подметала и мыла полы, кормила цыплят, собирала яйца, пропалывала грядки.
Ажә шырхьо сыздырӡом, аха асар, аҳәарақәа, ауасақәа, ашьарақәа акрырҿасҵон.	Я не знаю, как доить корову, но я помогала кормить ягнят, телят, овец, поросят.
Ари сара даара исгәаԥхеит.	 Мне очень понравилась эта работа.
Ахы ахцәажәара.	Рассказ о себе.
Ахы ахцәажәара ма3к иуадаҩуп.	О себе говорить немного трудно.
Избанзар ауаҩы иеилкаара ус имариаӡам, еиҳагьы ицәгьоуп уара ухы уанахцәажәо.	Потому что изучить человека не так уж просто, особенно трудно себя самого.
Уи мариаӡам, аха ауаҩы ихы данахцәажәо бзиа ибоит.	Это не легко, но человеку приятно рассказывать о себе.
Избанзар, ауаҩы бзиа ибоит дзызҿлымҳау, игьама, бзиа иибо, ииҭаху, ииҭахым алацәажәара.	Потому что человеку нравится говорить о своих интересах, вкусах и предпочтениях.
Сҟазшьа ахцәажәара салагаанӡа, раԥхьа иара аҟазшьа закәу салацәажәар сҭахуп.	Прежде чем говорить о своем характере, хотелось бы сначала уточнить, что такое характер.
Ауаа дасу ирымоу рҟазшьа аҷыдарақәа рылоуп излеиԥшым.	Люди отличаются друг от друга своими качествами.
Лассы-ласс ауаа сара егьырҭ аӡәгьы сиеиԥшӡам рҳәоит.	Часто люди говорят, что я не такой как остальные.
Алашьцараҿы ацыгәқәа зегьы еиқәаҵәоушәа убоит.	В темноте все кошки темные.
Аха шәырзааигәаханы алашара ашәыркыр, излеиԥшымгьы жәбоит.	Но если вы подойдете ближе и включите свет, вы увидите, присущие им определенные черты.
Убас ауп ауаагьы.	Так и люди.
Сара аӡәгьы сиеиԥшӡам сызҳәаӡом, аха сҟазшьақәак срыхцәажәар сылшоит.	Я не считаю, что я какой-то особенный, но могу рассказать о некоторых своих чертах.
Иаҳҳәап, сара алаф бзиа избоит, ауаҩы даашьозар сҭахӡам.	У меня хорошее чувство юмора, не нравится когда человек ленится.
Бзиа избоит арҿиара – ашәа бзианы изҳәо, иԥшӡаны икәашо, ажәеинраала бзиа аԥхьара, асахьаҭыхра, убас арҿиара зцу иарбан усзаалакгьы.	Мне нравится творчество – красиво поющих, танцующих, читать хорошие стихи, рисовать, и все, что связано с творчеством.
Исцәымӷуп амц, аӡә амц аниҳәогьы здыруеит.	Я не люблю ложь и чувствую, когда другие лгут.
Агхара бзиа избаӡом, аԥшрагьы сцәымӷуп.	Я не люблю опаздывать и терпеть не могу ждать.
Бзиа избоит иҟәышу, иааӡоу ауаа рацәажәара.	Я предпочитаю общаться с умными и вежливыми людьми.
Сгәы снархьуеит зыгәра зго ауаҩы сижьар, нас игәрагара саҟәыҵуеит.	Досадно, когда тот, кому ты доверяешь, оказывается ненадежным человеком, потом я перестаю ему доверять.
Сара ауаа сызныҟәалар шысҭаху еиԥш даргьы срызныҟәоит иахьынӡауа.	Я стараюсь обращаться с другими так, как я хотел бы, чтобы они обращались со мной.
Згәы цқьоу, хшыҩлагьы цәала-жьылагьы иӷәӷәоу, ауаа срышьҭоуп есымша.	Я всегда ищу человека со здоровым и сильным умом и телом.
Згәы иҟәышу, хшыҩлагьы цәала-жьылагьы иӷәӷәоу, ауаа срышьҭоуп есымша.	Я всегда ищу человека со здоровым и сильным умом и телом.
Зацәажәара интересу, зыгәра зго, сзықәгәыӷуа ауаҩы.	Человека, с которым интересно общаться, которому я могу доверять и на кого можно положиться.
Зҿлымҳара зысҭо атәы ҳҳәозар, ауаҩы иԥсихологиа, ихшыҩҵак аарԥшышьа, иажәа артәашьа сацклаԥшуеит.	Что касается моих интересов, мне нравится психология в плане общения с людьми, а также способа формирования мыслей наилучшим образом.
Даара бзиа избоит хара аныҟәарақәа, ҿыц избо ауаа рҵас, рқьабз, ркультура интересс исымоуп.	Я очень люблю путешествовать, встречаться с новыми людьми, знакомиться с их традициями и обычаями, их культурой.
Иара убас сара музыкаҿы иеиуеиԥшым астильқәа бзиа избоит, исгәаԥхоит аритм зҵоу узыцкәашо амузыка.	Мне также нравятся разные стили музыки, нравится ритмичная музыка, под которую можно танцевать.
Иара убас сара музыкаҿы иеиуеиԥшым астильқәа бзиа избоит, исгәаԥхоит аритм иласу узыцкәашо амузыка.	Мне также нравятся разные стили музыки, нравится ритмичная музыка, под которую можно танцевать.
Сара сыҩны.	Мой дом.
Сҭаацәеи сареи Аҟәа ҳанхоит, Аиааира амҩаҟны, жәеихагылак змоу аҩнаҟны, а-2-тәи аихагылаҟны.	Я и моя семья живем в девятиэтажном доме по улице Аиааира на 2 этаже.
Ҳаҩны ахьгылоу аҭыԥ даара ҭыԥ ԥшӡоуп, иҭынчроуп.	Наш дом расположен в очень красивом месте, где очень тихо и спокойно.
Ҳара ҳуада х-ҿык амоуп: асасааирҭа, ацәарҭа уадақәа ҩба, акрыфарҭа, иара убас иамоуп асоф.	У нас 3-х комнатная квартира: гостиная, 2 спальных комнаты, а также кухня, коридор и балкон.
Ааигәа ҳуадаҿы аремонт ҟаҳҵеит, уажәы иара угәы иахәартә иҟоуп.	Недавно мы закончили ремонт и теперь там очень уютно.
Ҳуада зегь рыла иеиқәшәоуп: есқьынгьы аӡы хьшәашәеи аӡырши.	В нашей квартире есть все необходимые, условия: всегда есть горячая и холодная вода.
Ҳара лассы-лассы асасцәа ҳҭаалоит, ҳҩызцәагьы ҳзаауеит.	К нам часто приходят гости, навещают друзья.
Ауадақәа зегьы иреиҳауп асасааирҭа.	Самая большая комната – это гостиная.
Ара ҳара зегьы аамҭа рацәаны иаҳхаҳгоит, асасцәа ҳадаҳкылоит, аныҳәақәа азгәаҳҭоит.	Там мы проводим много времени вместе, встречаем гостей и отмечаем разные праздники.
Асасааирҭаҟны аҩнымаҭәа рацәаӡам: иҩнагылоуп диванк, акресло дуқәа ҩба, аишәа хәыҷ, ачысмаҭәа зҭагылоу абуфеҭ, ателевизор.	В гостиной у нас немного мебели: один диван с двумя креслами, небольшой журнальный столик, горка и телевизор.
Аҭӡаҿы, адиван ахыхь икнаҳауп асахьа ду.	Над диваном висит большая картина.
Егьи аҭӡаҿы акондиниционер кнаҳауп.	На противоположной стене висит кондинционер.
Адашьмаҿы икаршәуп ажәытә уарҳал ԥшӡа ду. Ари ауарҳал ҳара даара бзиа иаҳбоит, избанзар иара щанду ҳамҭас ищалҭеит.	На полу лежит большой старый, но очень красивый ковер. Он нам всем очень дорог, так как он достался моей маме от ее бабушки.
Сара суада дуӡам, аха даара илашоуп.	Моя комната небольшая, но очень светлая.
Ара аԥенџьыр иадгылоуп сара скаруаҭ, уи иавагылоуп ашьқаԥ, егьи аҭӡы иадгылоуп аусуга аишәа.	Здесь рядом с окном стоит моя кровать, за ней шифоньер, на противополжной стороне стоит рабочий стол.
Уи ахыхь икнаҳауп ашәҟәҭаргыларҭақәа.	Над столом висят несколько полок с книгами.
Ахәыҟаҵарҭа иаҭаху зегь рыла иеиқәыршәоуп.	Наша кухня хорошо оснащена.
Ара иҩнагылоуп архьшәашәага, ахәыҟаҵарҭазы аҩнымаҭәа, акрахьаҳфо аишәа хәыҷ, аҟәардәқәа ԥшьба.	Там стоит холодильник, кухонный гарнитур, стол за которым мы обедаем и 4 стульев.
Ара иҩнагылоуп аӡәӡәага машьынагьы, избанзар аҽыкәабарҭаҿы аҭыԥ ыҟаӡам.	Здесь также стоит стиральная машина, т.к. в ванной для нее не хватило места.
Аҭаацәара.	Наша семья.
Ҳара ҳҭаацәара дууп.	Наша семья большая.
Ҳҭаацәараҿы быжьҩык ҳаҟоуп: сан, саб, санду, сабду, саҳәшьа, сашьа нас – сара.	В нашей семье семь человек: мама, папа, бабушка, дедушка, брат, сестра и я.
Сан Сариа лыхьӡуп.	Маму зовут Сария.
Лара 45 шықәса лхыҵуеит.	Ей 45лет.
Лара ҩынҩажәихәба шықәса лхыҵуеит.	Ей 45лет.
Сан дырҵаҩуп, ашкол аҿы аус луеит, аԥсуа бызшәеи алитературеи длырҵоит.	Моя мама учительница в школе, обучает абхазскому языку и литературе.
Лара лус бзиа илбоит азы саҳәшьагьы агәбылра ллыркит.	Она любит свою работу и сестре привила любовь к ней.
Саб Баҭал ихьӡуп.	Папу зовут Батал.
Иара дсахьаҭыхҩуп.	Он художник.
Иара иусура даара бзиа ибоит.	Он очень любит свою работу.
Есҽны аус иуеит.	Он работает каждый день.
Еиҳарак ашәаԥыџьаԥ асахьа ҭихуеит.	Чаще он рисует пейзажи.
Саргьы асахьаҭыхра бзиа избоит азы зны-зынла иареи сареи аԥсабарахь асахьаҭыхра ҳцалоит.	Я тоже люблю рисовать, и поэтому иногда мы вместе едем на природу делать зарисовки.
Санду Арда лыхьӡуп.	Бабушку зовут Арда.
62 шықәса лхыҵуеит.	Ей 62 года.
Лара шьҭа аус луӡом, дтәанчаҩуп, аха аҩны есқьынгьы аус рацәаны илымоуп: афатә ҟалҵоит, аҩны еиллыргоит, дыӡәӡәоит.	Теперь она не работает, она пенсионер, но дома у нее всегда много работы: она готовит, убирает дом, стирает.
Ҳара зегьы лара ҳлыцхраауеит.	Мы все помогаем ей.
Асабшеи амҽышеи сан аҩны дыҟоуп, аус луӡом азы.	В субботу и воскресенье мама находится дома, т.к. она не работает.
Усҟан санду еиҳа лыԥсы лшьоит.	Тогда моя бабушка отдыхает.
Избанзар, аҩн усқәа еиҳа сан иҟалҵоит, аха убасҟангьы зегьы ҳаицхыраауеит.	Потому что тогда домашними делами занимается мама, но и тогда мы все помогаем друг другу.
Сабду Аслан ихьӡуп.	Моего дедушку зовут Аслан.
Иара 65 шықәса ихыҵуеит.	Ему 65 лет.
Уигьы дтәанчаҩуп, аус иуӡом уажәы.	Он тоже пенсионер, сейчас не работает.
Аха сабдугьы саб дицхраауеит ахаҵа усқәа рҿы.	Но дедушка помогает папе.
Иара афымца атәы бзианы идыруеит азы иаҳҳәап, ауанҭа бжьысыр иҟаиҵоит, акондинционерқәа, ателевизор, афымца плита бжьысыр, иара ирбганы дахәаԥшуеит, иҟаиҵоит.	Он хорошо разбирается в электричестве, если испортится, например утюг, кондинционеры, телевизор, электрическая плита, разобрав смотрит, чинит.
Сашьеи саҳәшьеи ауниверситет иҭоуп, истудентцәоуп.	Брат и сестра учатся в университете, они студенты.
Дара сара исеиҳабацәоуп.	Они старше меня.
Саҳәшьа сашьа иаасҭа деиҵбуп.	Сестра младше брата.
Сашьа зегьы дҳаиҳабуп.	Брат старше нас всех.
Иара Инал ихьӡуп, 20 шықәса ихыҵуеит, аԥшьбатәи акурс аҟны дтәоуп.	Его зовут Инал, ему 20 лет, учится на 4 курсе.
Ҽааны ауниверситет далгоит, диуристхоит.	В следующем году заканчивает университет, станет юристом.
Саҳәшьа афиологиатә факультет дҭоуп, аҩбатәи акурс аҿы дтәоуп.	Сестра учится на филологическом факультете, учится на втором курсе.
Уи дырҵаҩхарц лҭахуп.	Хочет стать преподавателем.
Аԥсуа бызшәеи алитературеи длырҵалоит.	Будет обучать абхазскому языку и литературе.
Абас иҟоуп ҳара ҳҭаацәара.	Вот такая у нас семья.
Ҳара бзиа иаҳбоит хәылбыҽхала зегьы ҳанеизо.	Мы любим, когда собираемся по вечерам.
Усҟан ателевизор ҳаицахәаԥшуеит, ма агазеҭқәа, ажурнал ҿыцқәа ҳрыԥхьоит, ҳааидтәаланы ҳҭаацәараҿы ицәырҵло апроблемақәа ҳрылацәажәоит.	Тогда мы вместе смотрим телевизор или читаем газеты, журналы, обсуждаем возникающие в семье проблемы.
Зны-зынла аԥсшьара мшқәа раан ақыҭахь ҳцалоит.	Иногда в выходные дни едем в деревню.
Уа ҩны хәыҷык ҳамоуп, иҳамоуп абаҳча, ауҭра, аха урҭ рацәак идуӡам.	Там у нас небольшой домик, сад, огород, но они небольшие.
Араҟагьы зегьы аус еицаҳуеит, ҳаԥсгьы еицаҳшьоит.	И здесь тоже мы вместе трудимся, вместе отдыхаем.
Сара саҳәшьа ауниверситет дҭоуп.	Моя сестра учится в университете.
Ара аԥсуа бызшәеи аурыс бызшәеи аҵара даҿуп.	Здесь она изучает абхазский и русский язык.
Саҳәшьа аԥсуа бызшәа аҵара цәгьоуп лҳәеит.	Сестра говорит, что абхазский язык сложный.
Аха аԥсшәа бзиа илбоит, илҵар лҭахуп.	Но ей нравится абхазский, и она хочет его выучить.
Шьҭа фымыз ҵуеит аԥсшәа лҵоижьҭеи.	Шесть месяцев как изучает абхазский.
Лассы аԥсышәала ацәажәара далагоит.	Скоро она начнет говорить на абхазском языке.
Иацы ауниверситет ахь дымцаӡеит.	Вчера она не пошла в уинверситет.
Сгәы бзиам, лҳәеит.	Сказала, что не здорова.
Уажәы Аԥсны хьҭоуп.	Сейчас в Абхазии холодно.
Саргьы ахьҭа сылалан аҩны сыҟан.	И я простудился, поэтому был дома.
Саҳәшьа аҩны даныҟоу аԥсуа ажәа ҿыцқәа еицаҳҵоит, адиалогқәа, атекстқәа ҳрыԥхьоит, ҳаҩуеит.	Когда моя сестра дома, мы вместе учим новые слова на абхазском, читаем диалоги, тексты, а также пишем.
Ари аусура сара даара исгәаԥхоит.	Эти занятия мне очень нравятся.
Саргьы саԥсшәа еиҳа иеияьхоит.	И мой абхазский станет лучше.
Саргьы аԥсшәа бзианы исҵар сҭахуп.	Я тоже хочу выучить хорошо абхазский.
