Ҳаҭыр зқәу Рауль Џьумка-иԥа!	Уважаемый Рауль Джумкович!
Ҭарба А. А. – Аграртә политикеи, аԥсабаратә цхыраагӡақәеи аекологиеи рзы  Аилак ахантәаҩы, Акультуреи, аҿари русқәеи аспорти рзы Аилак алахәҩы – Акомиссиа Ахантәаҩы;	Тарба А. А. – председатель Комитета по аграрной политике, природным ресурсам и экологии, член Комитета по культуре, делам молодежи и спорту (председатель);
Цәышба А. В. – Аекономикатә политикеи ареформақәеи рзы Аилак  ахантәаҩы, Аҳәынҭқарра-зинтә политиказы Аилак алахәҩы;	Цишба А. В. – председатель Комитета по экономической политике и реформам, член Комитета по государственно-правовой политике;
Арӡынба А. З. – Атәылахьчареи амилаҭтә шәарҭадареи рзы Аилак алахәҩы, Аҳәынҭқарра-зинтә политиказы Аилак алахәҩы;	Ардзинба А. З. – член Комитета по обороне и национальной безопасности и Комитета по государственно-правовой политике;
Дбар Д. С. – Атәылахьчареи амилаҭтә шәарҭадареи рзы Аилак алахәҩы, Аҳәынҭқарра-зинтә политиказы Аилак алахәҩы;	Дбар Д. С. – член Комитета по обороне и национальной безопасности и Комитета по государственно-правовой политике;
Аџьынџьал А. В. – Асоциалтә политикеи, аџьеи, агәабзиарахьчареи, адемографиеи, аветеранцәеи аибашьра аинвалидцәеи рзы Аилак ахантәаҩы; Аҳәынҭқарра-зинтә политиказы Аилак алахәҩы;	Джинджолия А. В. – председатель Комитета по социальной политике, труду, здравоохранению, демографии и делам ветеранов и инвалидов войны, член Комитета по государственно-правовой политике;
Бжьаниа А. Г. – Аекономикатә политикеи ареформақәеи рзы Аилак алахәҩы; Жәларбжьаратәи апарламентбжьаратәи еимадарақәеи ҳџьынџьуаа рымадареи рзы Аилак алахәҩы;	Бжания А. Г. – член Комитета по экономической политике и реформам и Комитета по международным, межпарламентским связям и связям с соотечественниками;
Аџьынџьал О. К. – Аҵареи, аҭҵарадырреи, абызшәатә политикеи, адини, АИХ русқәеи рзы Аилак ахантәаҩы ихаҭыԥуаҩ; Аграртә политикеи, аԥсабаратә цхыраагӡақәеи аекологиеи рзы  Аилак  алахәҩы;	Джинджолия О. К. – заместитель председателя Комитета по образованию, науке, языковой политике, религии и делам СМИ, член Комитета по аграрной политике, природным ресурсам и экологии;
Кәарҷиа Г. А. – Аграртә политикеи, аԥсабаратә цхыраагӡақәеи аекологиеи рзы  Аилак ахантәаҩы ихаҭыԥуаҩ; Жәларбжьаратәи апарламентбжьаратәи еимадарақәеи ҳџьынџьуаа рымадареи рзы Аилак алахәҩы;	Кварчия Г. А. – заместитель председателя Комитета по аграрной политике, природным ресурсам и экологии, член Комитета по международным, межпарламентским связям и связям с соотечественниками;
Смыр Н. В. – Абиуџьет, акредиттә еиҿкаарқәа, ашәахтәқәеи афинансқәеи рзы Аилак  ахантәаҩы; Асоциалтә политикеи, аџьеи, агәабзиарахьчареи, адемографиеи, аветеранцәеи аибашьра аинвалидцәеи рзы Аилак алахәҩы;	Смыр Н. В. – председатель Комитета по бюджету, кредитным организациям, налогам и финансам, член Комитета по социальной политике, труду, здравоохранению, демографии и делам ветеранов и инвалидов войны;
Џьапуа А. С. – Аекономикатә политикеи ареформақәеи рзы Аилак  алахәҩы; Асоциалтә политикеи, аџьеи, агәабзиарахьчареи, адемографиеи, аветеранцәеи аибашьра аинвалидцәеи рзы Аилак алахәҩы;	Джапуа А. С. – член Комитета по экономической политике и реформам и Комитета по социальной политике, труду, здравоохранению, демографии и делам ветеранов и инвалидов войны;
Абыхәба А. И. – Атәылахьчареи амилаҭтә шәарҭадареи рзы Аилак ахантәаҩы ихаҭыԥуаҩ; Жәларбжьаратәи апарламентбжьаратәи еимадарақәеи ҳџьынџьуаа рымадареи рзы Аилак алахәҩы;	Абухба А. И. – заместитель председателя Комитета по обороне и национальной безопасности, член Комитета по международным, межпарламентским связям и связям с соотечественниками;
Лолуа Р. В. –  Аҳәынҭқарра-зинтә политиказы Аилак алахәҩы; Атәылахьчареи амилаҭтә шәарҭадареи рзы Аилак алахәҩы.	Лолуа Р. В. – член Комитета по государственно-правовой политике и Комитета по обороне и национальной безопасности.
Акомиссиа аусура хыркәшазааит абри ақәҵара анрыдкылаха аҽны инаркны 30 мшы рыҩныҵҟала.	Комиссии завершить работу в 30-дневной срок со дня принятия данного Постановления.
Абри  Ақәҵара амч аиуеит иара анрыдкылаха аҽны инаркны.	Настоящее Постановление вступает в силу со дня его принятия.
