Ша сов къинхетаме  а‚ къинхетаме а волчу Делан  цIарца	بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ
Ахь /хIай Мухьаммад/ кхаъ баккха ийман диллинчарга а, дика Iамалш йиначаьрга а шайна /ялсаманин/ бошмаш хирг хиларца‚  бухахула оьхуш хиш а долуш. Хразза шайна цу чуьра стоьмех рицкъ мел дели‚ цара эр ду: 'ХIарра дара  хьалха а вайна луш хилларг' –  царна  хьалха а деллера цунах тераниг /делахь а хра кхин дара чамаца а, хьожаца а, куц тера хиллехь а/.  Царна цу чохь цIена зударий а хир бу‚ уьш цу чохь гуттар а лаьттар бу	وَبَشِّرِ الَّذِين آمَنُواْ وَعَمِلُواْ الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِن تَحْتِهَا الأَنْهَارُ كُلَّمَا رُزِقُواْ مِنْهَا مِن ثَمَرَةٍ رِّزْقاً قَالُواْ هَذَا الَّذِي رُزِقْنَا مِن قَبْلُ وَأُتُواْ بِهِ مُتَشَابِهاً وَلَهُمْ فِيهَا أَزْوَاجٌ مُّطَهَّرَةٌ وَهُمْ فِيهَا خَالِدُونَ
Баккъалла а, Дела ийза ца ло масал даладан: чуьрккал хIуманах а‚ цул лакхарчех а (тоьлуш долчех я цул оьшуш долчех а). Ийман диллинчарна хаьа и шайн Делера бакъдерг дуйла‚ ткъа цатешачара олу: 'ХIун лиъна-те  Далла цу масалца?' Цо тилабо цуьнца дуккха а берш‚ Цо нисбо цуьнца дуккха а берш. Цуьнца тила-м ца бо Цо песакх берш бен	إِنَّ اللَّهَ لاَ يَسْتَحْيِي أَن يَضْرِبَ مَثَلاً مَّا بَعُوضَةً فَمَا فَوْقَهَا فَأَمَّا الَّذِينَ آمَنُواْ فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِن رَّبِّهِمْ وَأَمَّا الَّذِينَ كَفَرُواْ فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَذَا مَثَلاً يُضِلُّ بِهِ كَثِيراً وَيَهْدِي بِهِ كَثِيراً وَمَا يُضِلُّ بِهِ إِلاَّ الْفَاسِقِينَ
Уьш ма бу йохош Делаца хилла ваIда барт хиллачул тIаьхьа‚ цара  хедадо Дала хотта аьлла омра динарг‚ леладо лаьтта тIехь боьханиг‚ – уьш ма бу эшнарш	الَّذِينَ يَنقُضُونَ عَهْدَ اللَّهِ مِن بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَن يُوصَلَ وَيُفْسِدُونَ فِي الأَرْضِ أُولَئِكَ هُمُ الْخَاسِرُونَ
Шу муха ца теша Делах? Шу делла ма дара. ТIаккха Цо шу ден ма дира. Юха Цо долуьйтур ду шу‚ юха а дендийр ду‚ тIаккха Цунна тIе дIадерзор ду шу	كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمْ أَمْوَاتاً فَأَحْيَاكُمْ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ
Иза ву лаьтта тIехь мел дерг шуна кхоьллинарг‚ тIаккха тIевирзира И стигланна – Цо дIанисйира и ворхI стигалца‚ – И массо а хIуманах дерг Шена хууш верг ма ву	هُوَ الَّذِي خَلَقَ لَكُم مَّا فِي الأَرْضِ جَمِيعاً ثُمَّ اسْتَوَى إِلَى السَّمَاء فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ
Хьан Кхиош-кхобучо аьллера маликашка: 'Со воллу лаьтта тIехь  тьхье хилийта'. Цара элира: 'Ахь кхуллу ткъа цу тIехь боьханиг ден дерг а‚ цIий Iено дерг а? Оха бийр бара Хьуна хастам а‚ оха вазвийр а ма вара Хьо'. Цо элира: 'Со хууш ма ву шуна цахуург а'	وَإِذْ قَالَ رَبُّكَ لِلْمَلاَئِكَةِ إِنِّي جَاعِلٌ فِي الأَرْضِ خَلِيفَةً قَالُواْ أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاء وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ قَالَ إِنِّي أَعْلَمُ مَا لاَ تَعْلَمُونَ
Цо Iамийра Āдамна массо а хIуманийн цIерш‚ тIаккха уьш маликашна а гайтина‚ элира: 'Йийца Суна церан цIерш‚ шаьш делахь бакълуьйш'	وَعَلَّمَ آدَمَ الأَسْمَاء كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلاَئِكَةِ فَقَالَ أَنبِئُونِي بِأَسْمَاء هَؤُلاء إِن كُنتُمْ صَادِقِينَ
Цара элира: 'Массо а вочух  цIена ву Хьо. Тхоьгахь ма дац Ахь тхайна мийна долу лма бен. Хьо ву-кх хууш верг а‚ хьекъале верг а'	قَالُواْ سُبْحَانَكَ لاَ عِلْمَ لَنَا إِلاَّ مَا عَلَّمْتَنَا إِنَّكَ أَنتَ الْعَلِيمُ الْحَكِيمُ
/Дала/ элира: 'ХIай Āдам‚ ахь йийцал цаьрга церан цIерш'. ТIаккха цо цаьрга церан цIерш йийцича‚ элира /Дала/: 'Ас шуьга ца аьллера ткъа: Со хууш ву стигланийн а‚ лаьттан а къайле‚ Со хууш ву аш гучудоккхуш дерг а‚ аш хьулдеш хилларг а?'	قَالَ يَا آدَمُ أَنبِئْهُم بِأَسْمَآئِهِمْ فَلَمَّا أَنبَأَهُمْ بِأَسْمَآئِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ
Оха аьллера маликашка: 'Сужуд де Āдамна'. ТIаккха цара сужуд дира‚ Иблис доцчо. Иза дуьхьал а делира‚ цо куралла а йира‚ – и хилира цатешачарах	وَإِذْ قُلْنَا لِلْمَلاَئِكَةِ اسْجُدُواْ لآدَمَ فَسَجَدُواْ إِلاَّ إِبْلِيسَ أَبَى وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ
/Дала хьайн къоме, хй Мухьаммад/: Оха элира: 'ХIай‚ Āдам‚ вāха хьо а‚ хьан зуда а /ялсаманин/ бешахь‚ даа цу чохь долчух  ма-дезза шайна луъург. Амма шу герга ма гIолаш хIокху диттана – /додахь/, шуь-шиъ хир ду зулам диначарах'	وَقُلْنَا يَا آدَمُ اسْكُنْ أَنتَ وَزَوْجُكَ الْجَنَّةَ وَكُلاَ مِنْهَا رَغَداً حَيْثُ شِئْتُمَا وَلاَ تَقْرَبَا هَذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الْظَّالِمِينَ
Галабаьхира шайтно и шиъ цуьнца  (диттаца – марздира царна и стом кхалла). ТIаккха Цо и шиъ  арадаьккхира шаьш хиллачуьра (ялсаманера). Оха элира /Āдаме а, Хьавага а, Иблисе а/: 'Охьадисса /лаьтта т/‚ вовшийн мостагIий а долчу хьолехь. Шуна лаьттахь хир ю дахаран меттиг а‚ цхьа хан тIекхаччалц бахам а'	فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ وَقُلْنَا اهْبِطُواْ بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ وَلَكُمْ فِي الأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَى حِينٍ
Āдама Iамийра ша Кхиош-кхобучуьнан дешнаш‚ Цо (Дала) цуьнан тōба къобалдира. Баккъалла а‚ Иза ву /ттт/ тōба къобалдийриг а‚ къинхетаме верг а	فَتَلَقَّى آدَمُ مِن رَّبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ
Оха (Дала) элира: 'Чудисса цигара (ялсаманера) массо а. Нагахь шуьга Сан нийсонан некъ кхачахь (и кхача а кхочур бу), цунна тьхьабаьзначарна кхерам а хир бац (шайна дуьхьалкхетар долчу эхартан гллакхех), уьш сингаттаме а хир бац (дуьненахь шайх дтилна дисина гллакхаш бахьанехь, Дала шайна мела цабаларна кхоьруш)	قُلْنَا اهْبِطُواْ مِنْهَا جَمِيعاً فَإِمَّا يَأْتِيَنَّكُم مِّنِّي هُدًى فَمَن تَبِعَ هُدَايَ فَلاَ خَوْفٌ عَلَيْهِمْ وَلاَ هُمْ يَحْزَنُونَ
Цатешнарш а‚ Тхан аяташ харцдина берш а – уьш ма бу /жоьжахатин/ цIеран дай‚ уьш цу чохь гуттаренна а буьсур ма бу'	وَالَّذِينَ كَفَرواْ وَكَذَّبُواْ بِآيَاتِنَا أُولَئِكَ أَصْحَابُ النَّارِ هُمْ فِيهَا خَالِدُونَ
ХIай‚ Исраилан кIентий‚ Аш дагадаийта Сан ниIмат‚ Ас шайна делла хилла долу‚ аш кхочушъе Соьца /шаьш Суна а бен бадат дийр дац, аьлла/ хилла ваIда‚ Ас кхочушйийр ю шуьца /Айса шуна хаза мела лур бу, аьлла/ хилла ваIда‚ Сох цхьаннах кхералаш	يَا بَنِي إِسْرَائِيلَ اذْكُرُواْ نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُواْ بِعَهْدِي أُوفِ بِعَهْدِكُمْ وَإِيَّايَ فَارْهَبُونِ
Шу тешалаш Ас охьадоссийначух (Къуръанах)‚ шуьгахь долчуьнца (Тавратаца) нийса догIуш а долчу‚ – шу ма хила цунах хьалхара цатешарш. Сан аятех кIеззиг болу мах ма эца‚ Сох кхералаш	وَآمِنُواْ بِمَا أَنزَلْتُ مُصَدِّقاً لِّمَا مَعَكُمْ وَلاَ تَكُونُواْ أَوَّلَ كَافِرٍ بِهِ وَلاَ تَشْتَرُواْ بِآيَاتِي ثَمَناً قَلِيلاً وَإِيَّايَ فَاتَّقُونِ
Ма иэде аш бакъдерг харц долчуьнца‚ бакъдерг хьул ма де‚ шайна хуьушехь (Таврата чохь долу Мухьаммадан сибат)	وَلاَ تَلْبِسُواْ الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُواْ الْحَقَّ وَأَنتُمْ تَعْلَمُونَ
Ламаз хIоттаде‚ ло закат‚ сужудане гIо сужуд дечаьрца	وَأَقِيمُواْ الصَّلاَةَ وَآتُواْ الزَّكَاةَ وَارْكَعُواْ مَعَ الرَّاكِعِينَ
Аш хьоьху нахана диканиг? Ткъа дицдеш ма ду шайн догаш! Шу ма ду жайна (Таврат) доьшуш – шу хьекъале ца хуьлу?	أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ الْكِتَابَ أَفَلاَ تَعْقِلُونَ
Аш гIо лаха собарца а‚ ламазца а. Баккъалла а, иза деза (хала) ма ду/Делах/чг кхоьруш берш боцучарна.  (Иза кхочушдалур долуш дац /Далла/ муьтIахь болчаьрга  бен)	َاسْتَعِينُواْ بِالصَّبْرِ وَالصَّلاَةِ وَإِنَّهَا لَكَبِيرَةٌ إِلاَّ عَلَى الْخَاشِعِينَ
Уьш бу шаьш  шайн Кхиош-кхобуш волчунна  дуьхьалкхетарг хиларх а‚ шаьш Цунна тIе дIадоьрзург хиларх а тешаш	الَّذِينَ يَظُنُّونَ أَنَّهُم مُّلاَقُو رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَاجِعُونَ
ХIай Исраилан кIентий! Аш /Суна шукур дарца/ дагадаийта Сан ниIмат, Ас шуна делла хилла долу, – Ас шу  даздина хилар Iаламал (шух элчанаш бахкийтарца, жайнаш диссорца)	يَا بَنِي إِسْرَائِيلَ اذْكُرُواْ نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى الْعَالَمِينَ
Шу кхера дийнах‚ сино синна пайда бийр боцчу, цуьнгара гIо къобалдийр доцчу, цуьнгара мах оьцур боцчу, шайна /Делан Iазапах/ гIо хир доцчу	وَاتَّقُواْ يَوْماً لاَّ تَجْزِي نَفْسٌ عَن نَّفْسٍ شَيْئاً وَلاَ يُقْبَلُ مِنْهَا شَفَاعَةٌ وَلاَ يُؤْخَذُ مِنْهَا عَدْلٌ وَلاَ هُمْ يُنصَرُونَ
Дагадайта /хIай Исраилан кIентий/! Оха кIелхьардехира шу ФирIавнан нахах: вон Iазап шуна тIехь хIоттадора цара‚ бойура шун кIентий‚ дийна буьтура шун зударий – цу чохь шун сийлахь-веза  волчу Кхиош-кхобучо  зер ма ду	وَإِذْ نَجَّيْنَاكُم مِّنْ آلِ فِرْعَوْنَ يَسُومُونَكُمْ سُوَءَ الْعَذَابِ يُذَبِّحُونَ أَبْنَاءكُمْ وَيَسْتَحْيُونَ نِسَاءكُمْ وَفِي ذَلِكُم بَلاء مِّن رَّبِّكُمْ عَظِيمٌ
Оха шуна хIорд бийкъира – шу клхьарадехира‚ ФирIавнан нах буха бахийтира‚ шу хьоьжуш доллушехь	وَإِذْ فَرَقْنَا بِكُمُ الْبَحْرَ فَأَنجَيْنَاكُمْ وَأَغْرَقْنَا آلَ فِرْعَوْنَ وَأَنتُمْ تَنظُرُونَ
Оха  Мусаца   шовзткъа де-буьйса хан билгалъяьккхира (цуьнга Таврат дала)‚ тIаккха цул тьхьа шу эсанна бадат дан дуьйладелира, иштта  шух   зуламхой хилира	وَإِذْ وَاعَدْنَا مُوسَى أَرْبَعِينَ لَيْلَةً ثُمَّ اتَّخَذْتُمُ الْعِجْلَ مِن بَعْدِهِ وَأَنتُمْ ظَالِمُونَ
ТIаккха  цул тIаьхьа а Оха гечдира шуна‚ шу  баркалле хир дацара техьа, аьлла	ثُمَّ عَفَوْنَا عَنكُمِ مِّن بَعْدِ ذَلِكَ لَعَلَّكُمْ تَشْكُرُونَ
Дагадаийта! Оха делира Мусага жайна, бакъдерг харцдолчух а, хьанал дерг хьарам долчух а къастош долу‚  шу нислур дацара техьа, аьлла	وَإِذْ آتَيْنَا مُوسَى الْكِتَابَ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَ
Мусас аьллера шен къоме: 'ХIай сан къам‚ аш шайна зулам дина‚ шаьш эсанна бадат дарца. Тōбанаш де шаьш Кхоьллинчуьнга‚ тIаккха шаьш-шайн дайа. И дика ду шуна шу Кхоьллинчунна (Далла) гергахь. ТIаккха Цо шун тōбанаш къобалдира. Баккъалла а, И ма ву /ттт/ тōбанаш къобалдийриг а‚ къинхетаме верг а	َإِذْ قَالَ مُوسَى لِقَوْمِهِ يَا قَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنفُسَكُمْ بِاتِّخَاذِكُمُ الْعِجْلَ فَتُوبُواْ إِلَى بَارِئِكُمْ فَاقْتُلُواْ أَنفُسَكُمْ ذَلِكُمْ خَيْرٌ لَّكُمْ عِندَ بَارِئِكُمْ فَتَابَ عَلَيْكُمْ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ
Аш ма элира: 'ХIай Муса‚ тхо тешар ма дац хьох‚ и Дела тхайна къаьстташ ца гахь'. ТIаккха шу лецира ткъесо (стелахаьштиго шу дайира) ‚ шу хьоьжуш лаьтташехь	وَإِذْ قُلْتُمْ يَا مُوسَى لَن نُّؤْمِنَ لَكَ حَتَّى نَرَى اللَّهَ جَهْرَةً فَأَخَذَتْكُمُ الصَّاعِقَةُ وَأَنتُمْ تَنظُرُونَ
ТIаккха Оха  дендира шу /цхьана дийнахь-буса/ делла лаьттинчул тIаьхьа – шу баркалле хир дацара техьа аьлла	ثُمَّ بَعَثْنَاكُم مِّن بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُونَ
Оха шуна тIехула марха хIоттийра  /шу маьлхан йовхонах лардеш/‚ даийтира шуна манна а‚ салва а. Даа  Оха шайна деллачу рицкъанах цIенадерг (хьаналдерг). Тхуна зулам-м ца дира цара‚ амма уьш хилира шайна зулам деш-м	وَظَلَّلْنَا عَلَيْكُمُ الْغَمَامَ وَأَنزَلْنَا عَلَيْكُمُ الْمَنَّ وَالسَّلْوَى كُلُواْ مِن طَيِّبَاتِ مَا رَزَقْنَاكُمْ وَمَا ظَلَمُونَا وَلَكِن كَانُواْ أَنفُسَهُمْ يَظْلِمُونَ
Дагадаийта! Оха элира: 'ЧугIо цу шахьара‚ даа цу чуьра шайна луьург шортта. Кевнехула чоьхьадовла, сужуд а деш. Аш āла: 'Гечде тхуна!' – Оха гечдийр ду шун гIалаташна‚ тIаккха алсамбохур бу диканиг  деш берш	وَإِذْ قُلْنَا ادْخُلُواْ هَذِهِ الْقَرْيَةَ فَكُلُواْ مِنْهَا حَيْثُ شِئْتُمْ رَغَداً وَادْخُلُواْ الْبَابَ سُجَّداً وَقُولُواْ حِطَّةٌ نَّغْفِرْ لَكُمْ خَطَايَاكُمْ وَسَنَزِيدُ الْمُحْسِنِينَ
Зуламхоша  хийцира шайга аьлла долу дош аьлла доцчуьнца‚ тIаккха зуламхошна  Оха стиглара рижс доссийра‚ уьш песакъ хиларна	فَبَدَّلَ الَّذِينَ ظَلَمُواْ قَوْلاً غَيْرَ الَّذِي قِيلَ لَهُمْ فَأَنزَلْنَا عَلَى الَّذِينَ ظَلَمُواْ رِجْزاً مِّنَ السَّمَاء بِمَا كَانُواْ يَفْسُقُونَ
