Моя история	Сара сҭоурых
Потому что человеку нравится говорить о своих интересах, вкусах и предпочтениях.	Избанзар, ауаҩы бзиа ибоит дзызҿлымҳау, игьама, бзиа иибо, ииҭаху, ииҭахым алацәажәара.
Прежде чем говорить о своем характере, хотелось бы сначала уточнить, что такое характер	Сҟазшьа ахцәажәара салагаанӡа, раԥхьа иара аҟазшьа закәу салацәажәар сҭахуп.
Люди отличаются друг от друга своими качествами	Ауаа дасу ирымоу рҟазшьа аҷыдарақәа рылоуп излеиԥшым.
Часто люди говорят, что я не такой как остальные	Лассы-ласс ауаа сара егьырҭ аӡәгьы сиеиԥшӡам рҳәоит.
В темноте все кошки темные	Алашьцараҿы ацыгәқәа зегьы еиқәаҵәоушәа убоит.
Но если вы подойдете ближе и включите свет, вы увидите, присущие им определенные черты	Аха шәырзааигәаханы алашара ашәыркыр, излеиԥшымгьы жәбоит.
Так и люди	Убас ауп ауаагьы.
Я не считаю, что я какой-то особенный, но могу рассказать о некоторых своих чертах	Сара аӡәгьы сиеиԥшӡам сызҳәаӡом, аха сҟазшьақәак срыхцәажәар сылшоит.
У меня хорошее чувство юмора, не нравится когда человек ленится	Иаҳҳәап, сара алаф бзиа избоит, ауаҩы даашьозар сҭахӡам.
Мне нравится творчество – красиво поющих, танцующих, читать хорошие стихи, рисовать, и все, что связано с творчеством	Бзиа избоит арҿиара – ашәа бзианы изҳәо, иԥшӡаны икәашо, ажәеинраала бзиа аԥхьара, асахьаҭыхра, убас арҿиара зцу иарбан усзаалакгьы.
Я не люблю ложь и чувствую, когда другие лгут	Исцәымӷуп амц, аӡә амц аниҳәогьы здыруеит.
Я не люблю опаздывать и терпеть не могу ждать	Агхара бзиа избаӡом, аԥшрагьы сцәымӷуп.
Я предпочитаю общаться с умными и вежливыми людьми	Бзиа избоит иҟәышу, иааӡоу ауаа рацәажәара.
Досадно, когда тот, кому ты доверяешь, оказывается ненадежным человеком, потом я перестаю ему доверять	Сгәы снархьуеит зыгәра зго ауаҩы сижьар, нас игәрагара саҟәыҵуеит.
Я стараюсь обращаться с другими так, как я хотел бы, чтобы они обращались со мной	Сара ауаа сызныҟәалар шысҭаху еиԥш даргьы срызныҟәоит иахьынӡауа.
Я всегда ищу человека со здоровым и сильным умом и телом	Згәы цқьоу, хшыҩлагьы цәала-жьылагьы иӷәӷәоу, ауаа срышьҭоуп есымша.
Я всегда ищу человека со здоровым и сильным умом и телом	Згәы иҟәышу, хшыҩлагьы цәала-жьылагьы иӷәӷәоу, ауаа срышьҭоуп есымша.
Человека, с которым интересно общаться, которому я могу доверять и на кого можно положиться	Зацәажәара интересу, зыгәра зго, сзықәгәыӷуа ауаҩы.
Что касается моих интересов, мне нравится психология в плане общения с людьми, а также способа формирования мыслей наилучшим образом	Зҿлымҳара зысҭо атәы ҳҳәозар, ауаҩы иԥсихологиа, ихшыҩҵак аарԥшышьа, иажәа артәашьа сацклаԥшуеит.
Я очень люблю путешествовать, встречаться с новыми людьми, знакомиться с их традициями и обычаями, их культурой	Даара бзиа избоит хара аныҟәарақәа, ҿыц избо ауаа рҵас, рқьабз, ркультура интересс исымоуп.
Мне также нравятся разные стили музыки, нравится ритмичная музыка, под которую можно танцевать	Иара убас сара музыкаҿы иеиуеиԥшым астильқәа бзиа избоит, исгәаԥхоит аритм зҵоу узыцкәашо амузыка
Мне также нравятся разные стили музыки, нравится ритмичная музыка, под которую можно танцевать	Иара убас сара музыкаҿы иеиуеиԥшым астильқәа бзиа избоит, исгәаԥхоит аритм иласу узыцкәашо амузыка
Мой дом	Сара сыҩны
Я и моя семья живем в девятиэтажном доме по улице аиааира на 2 этаже	Сҭаацәеи сареи аҟәа ҳанхоит, аиааира амҩаҟны, жәеихагылак змоу аҩнаҟны, а-2-тәи аихагылаҟны.
Наш дом расположен в очень красивом месте, где очень тихо и спокойно	Ҳаҩны ахьгылоу аҭыԥ даара ҭыԥ ԥшӡоуп, иҭынчроуп.
У нас 3-х комнатная квартира: гостиная, 2 спальных комнаты, а также кухня, коридор и балкон	Ҳара ҳуада х-ҿык амоуп: асасааирҭа, ацәарҭа уадақәа ҩба, акрыфарҭа, иара убас иамоуп асоф.
Недавно мы закончили ремонт и теперь там очень уютно	Ааигәа ҳуадаҿы аремонт ҟаҳҵеит, уажәы иара угәы иахәартә иҟоуп.
В нашей квартире есть все необходимые, условия: всегда есть горячая и холодная вода	Ҳуада зегь рыла иеиқәшәоуп: есқьынгьы аӡы хьшәашәеи аӡырши.
К нам часто приходят гости, навещают друзья	Ҳара лассы-лассы асасцәа ҳҭаалоит, ҳҩызцәагьы ҳзаауеит.
Самая большая комната – это гостиная	Ауадақәа зегьы иреиҳауп асасааирҭа.
Там мы проводим много времени вместе, встречаем гостей и отмечаем разные праздники	Ара ҳара зегьы аамҭа рацәаны иаҳхаҳгоит, асасцәа ҳадаҳкылоит, аныҳәақәа азгәаҳҭоит.
В гостиной у нас немного мебели: один диван с двумя креслами, небольшой журнальный столик, горка и телевизор	Асасааирҭаҟны аҩнымаҭәа рацәаӡам: иҩнагылоуп диванк, акресло дуқәа ҩба, аишәа хәыҷ, ачысмаҭәа зҭагылоу абуфеҭ, ателевизор.
Над диваном висит большая картина	Аҭӡаҿы, адиван ахыхь икнаҳауп асахьа ду.
На противоположной стене висит кондинционер	Егьи аҭӡаҿы акондиниционер кнаҳауп.
На полу лежит большой старый, но очень красивый ковер.	Адашьмаҿы икаршәуп ажәытә уарҳал ԥшӡа ду.
Он нам всем очень дорог, так как он достался моей маме от ее бабушки	Ари ауарҳал ҳара даара бзиа иаҳбоит, избанзар иара щанду ҳамҭас ищалҭеит.
Моя комната небольшая, но очень светлая	Сара суада дуӡам, аха даара илашоуп.
Здесь рядом с окном стоит моя кровать, за ней шифоньер, на противополжной стороне стоит рабочий стол	Ара аԥенџьыр иадгылоуп сара скаруаҭ, уи иавагылоуп ашьқаԥ, егьи аҭӡы иадгылоуп аусуга аишәа.
Над столом висят несколько полок с книгами	Уи ахыхь икнаҳауп ашәҟәҭаргыларҭақәа.
Наша кухня хорошо оснащена	Ахәыҟаҵарҭа иаҭаху зегь рыла иеиқәыршәоуп.
Там стоит холодильник, кухонный гарнитур, стол за которым мы обедаем и 4 стульев	Ара иҩнагылоуп архьшәашәага, ахәыҟаҵарҭазы аҩнымаҭәа, акрахьаҳфо аишәа хәыҷ, аҟәардәқәа ԥшьба.
Здесь также стоит стиральная машина, т.к. в ванной для нее не хватило места	Ара иҩнагылоуп аӡәӡәага машьынагьы, избанзар аҽыкәабарҭаҿы аҭыԥ ыҟаӡам.
Наша семья	Аҭаацәара
Наша семья большая	Ҳара ҳҭаацәара дууп.
В нашей семье семь человек: мама, папа, бабушка, дедушка, брат, сестра и я	Ҳҭаацәараҿы быжьҩык ҳаҟоуп: сан, саб, санду, сабду, саҳәшьа, сашьа нас – сара.
Маму зовут сария	Сан сариа лыхьӡуп.
Ей 45лет	Лара 45 шықәса лхыҵуеит.
Ей 45лет	Лара ҩынҩажәихәба шықәса лхыҵуеит.
Моя мама учительница в школе, обучает абхазскому языку и литературе	Сан дырҵаҩуп, ашкол аҿы аус луеит, аԥсуа бызшәеи алитературеи длырҵоит.
Она любит свою работу и сестре привила любовь к ней	Лара лус бзиа илбоит азы саҳәшьагьы агәбылра ллыркит
Папу зовут батал	Саб баҭал ихьӡуп.
Он художник.	Иара дсахьаҭыхҩуп.
Он очень любит свою работу	Иара иусура даара бзиа ибоит.
Он работает каждый день	Есҽны аус иуеит.
Чаще он рисует пейзажи	Еиҳарак ашәаԥыџьаԥ асахьа ҭихуеит.
Я тоже люблю рисовать, и поэтому иногда мы вместе едем на природу делать зарисовки	Саргьы асахьаҭыхра бзиа избоит азы зны-зынла иареи сареи аԥсабарахь асахьаҭыхра ҳцалоит.
Бабушку зовут арда	Санду арда лыхьӡуп.
Ей 62 года	62 шықәса лхыҵуеит.
Теперь она не работает, она пенсионер, но дома у нее всегда много работы: она готовит, убирает дом, стирает	Лара шьҭа аус луӡом, дтәанчаҩуп, аха аҩны есқьынгьы аус рацәаны илымоуп: афатә ҟалҵоит, аҩны еиллыргоит, дыӡәӡәоит.
Мы все помогаем ей	Ҳара зегьы лара ҳлыцхраауеит.
В субботу и воскресенье мама находится дома, т.к. она не работает	Асабшеи амҽышеи сан аҩны дыҟоуп, аус луӡом азы.
Тогда моя бабушка отдыхает	Усҟан санду еиҳа лыԥсы лшьоит.
Потому что тогда домашними делами занимается мама, но и тогда мы все помогаем друг другу	Избанзар, аҩн усқәа еиҳа сан иҟалҵоит, аха убасҟангьы зегьы ҳаицхыраауеит.
Моего дедушку зовут аслан	Сабду аслан ихьӡуп.
Ему 65 лет	Иара 65 шықәса ихыҵуеит.
Он тоже пенсионер, сейчас не работает	Уигьы дтәанчаҩуп, аус иуӡом уажәы.
Но дедушка помогает папе	Аха сабдугьы саб дицхраауеит ахаҵа усқәа рҿы.
Он хорошо разбирается в электричестве, если испортится, например утюг, кондинционеры, телевизор, электрическая плита, разобрав смотрит, чинит	Иара афымца атәы бзианы идыруеит азы иаҳҳәап, ауанҭа бжьысыр иҟаиҵоит, акондинционерқәа, ателевизор, афымца плита бжьысыр, иара ирбганы дахәаԥшуеит, иҟаиҵоит.
Брат и сестра учатся в университете, они студенты	Сашьеи саҳәшьеи ауниверситет иҭоуп, истудентцәоуп.
Они старше меня	Дара сара исеиҳабацәоуп.
Сестра младше брата	Саҳәшьа сашьа иаасҭа деиҵбуп.
Брат старше нас всех	Сашьа зегьы дҳаиҳабуп.
Его зовут инал, ему 20 лет, учится на 4 курсе	Иара инал ихьӡуп, 20 шықәса ихыҵуеит, аԥшьбатәи акурс аҟны дтәоуп.
В следующем году заканчивает университет, станет юристом	Ҽааны ауниверситет далгоит, диуристхоит.
Сестра учится на филологическом факультете, на втором курсе	Саҳәшьа афиологиатә факультет дҭоуп, аҩбатәи акурс аҿы дтәоуп.
Хочет стать преподавателем	Уи дырҵаҩхарц лҭахуп.
Будет обучать абхазскому языку и литературе	Аԥсуа бызшәеи алитературеи длырҵалоит.
Вот такая у нас семья	Абас иҟоуп ҳара ҳҭаацәара.
Мы любим, когда собираемся по вечерам	Ҳара бзиа иаҳбоит хәылбыҽхала зегьы ҳанеизо.
Тогда мы вместе смотрим телевизор или читаем газеты, журналы, обсуждаем возникающие в семье проблемы	Усҟан ателевизор ҳаицахәаԥшуеит, ма агазеҭқәа, ажурнал ҿыцқәа ҳрыԥхьоит, ҳааидтәаланы ҳҭаацәараҿы ицәырҵло апроблемақәа ҳрылацәажәоит.
Иногда в выходные дни едем в деревню	Зны-зынла аԥсшьара мшқәа раан ақыҭахь ҳцалоит.
Там у нас небольшой домик, сад, огород, но они небольшие	Уа ҩны хәыҷык ҳамоуп, иҳамоуп абаҳча, ауҭра, аха урҭ рацәак идуӡам.
И здесь тоже мы вместе трудимся, вместе отдыхаем	Араҟагьы зегьы аус еицаҳуеит, ҳаԥсгьы еицаҳшьоит.
Моя сестра учится в университете	Сара саҳәшьа ауниверситет дҭоуп.
Здесь она изучает абхазский и русский язык	Ара аԥсуа бызшәеи аурыс бызшәеи аҵара даҿуп.
Сестра говорит, что абхазский язык сложный	Саҳәшьа аԥсуа бызшәа аҵара цәгьоуп лҳәеит.
Но ей нравится абхазский, и она хочет его выучить	Аха аԥсшәа бзиа илбоит, илҵар лҭахуп.
Шесть месяцев как изучает абхазский	Шьҭа фымыз ҵуеит аԥсшәа лҵоижьҭеи.
Скоро она начнет говорить на абхазском языке	Лассы аԥсышәала ацәажәара далагоит.
Вчера она не пошла в уинверситет	Иацы ауниверситет ахь дымцаӡеит.
Сказала, что не здорова	Сгәы бзиам, лҳәеит.
Сейчас в абхазии холодно	Уажәы аԥсны хьҭоуп.
И я простудился, поэтому был дома	Саргьы ахьҭа сылалан аҩны сыҟан.
Когда моя сестра дома, мы вместе учим новые слова на абхазском, читаем диалоги, тексты, а также пишем	Саҳәшьа аҩны даныҟоу аԥсуа ажәа ҿыцқәа еицаҳҵоит, адиалогқәа, атекстқәа ҳрыԥхьоит, ҳаҩуеит.
Эти занятия мне очень нравятся	Ари аусура сара даара исгәаԥхоит.
И мой абхазский станет лучше	Саргьы саԥсшәа еиҳа иеияьхоит.
Я тоже хочу выучить хорошо абхазский	Саргьы аԥсшәа бзианы исҵар сҭахуп.
Мои друзья	Сара сҩызцәа
У меня много друзей, но самая лучшая подруга – ира	Сара аҩызцәа рацәаны исымоуп, аха зегьы дреиӷьуп сҩыза ира.
У нее голубые глаза, круглое лицо, светлые волосы и открытая улыбка	Уи лыблақәа ӷроуп, лхаҿы гьежьуп, лыхцәы шкәакәоуп, есқьынгьы аччаԥшь лҿықәуп.
Она маленькая и худенькая	Лоура хәыҷуп, илыгуп.
Я знаю ее давно, с первых школьных лет	Акырҵуеит лареи сареи ҳаибадыруеишьҭеи, ашкол ҳанҭала аахыс дыздыруеит.
Но мы стали настояҳими друзьями четыре года назад.	Аха ҳанеиҩызцәахаз ԥшьышықәса раԥхьоуп.
У нас много общего: увлечение английским и психологией, спортом и танцами	Лареи сареи ҳазлеиԥшу рацәоуп: англыз бызшәеи аԥсихологиеи, аспорти акәашареи бзиа иаҳбоит.
