AB1	Апланета
AB240	акгьы
AB241	ахьыҟам
AB242	аҭыԥқәа
AB243	рыҟны,
AB244	аӡы
AB245	ахыхь
AB246	100
AB247	м
AB248	–тәи
AB249	ажәпараҿы,
AB250	иԥшыхәуа
AB251	мацара.
AB252	Аӡа
AB253	агьама
AB254	–
AB255	аҳауаҿы
AB256	афҩы
AB257	уаҳа
AB258	иаҩызоуп.
AB259	Адоурҳан
AB260	мҵәыжәҩа
AB261	ду
AB262	иарбанзаалак
AB263	аӡы
AB264	агьама
AB265	ҷыдак
AB266	амазар,
AB267	игәанамҭар
AB268	ауӡом.
AB269	Адоурҳан
AB270	мҵәыжәҩа
AB271	ду
AB272	иарбанзаалак
AB273	аӡы
AB274	агьама
AB275	ҷыдак
AB276	амазар,
AB277	иамбар
AB278	ауӡом.
AB279	Адоурҳан
AB280	иацуп
AB281	алоцман
AB282	хәыҷы.
AB283	Адоурҳан
AB284	дара
AB285	раасҭа
AB286	иаҳа
AB287	лассы
AB288	афатә
AB289	аԥшаауеит.
AB290	Усҟан
AB291	иара
AB292	иацәынхо
AB293	афатә
AB294	алоцманқәа
AB295	ирзынхоит.
AB296	Адоурҳан
AB297	агәышԥы
AB298	рӡсага
AB299	ауқәа
AB300	ирыбзоураны
AB301	рацәак
AB302	џьабаа
AB303	мбаӡакәа
AB304	аӡы
AB305	иалҵәраауа
AB306	иалоуп.
AB307	Абар
AB308	адоурҳан
AB309	иаԥшааит
AB310	аеллагадақәа
AB311	ҳәыԥкны
AB312	иахьыҟаз.
AB313	Иманшәалахар,
AB314	иаразнак
AB315	акәхон,
AB316	инахәлапҟа
AB317	ицон,
AB318	аха
AB319	аеллагадақәа
AB320	агьыласуп,
AB321	иагьеилҟьақәоуп,
AB322	ус
AB323	имариам
AB324	рыкра.
AB325	Убри
AB326	аҟнытә
AB327	адоурҳан
AB328	макьана
AB329	ирызкылыԥшуеит.
AB330	Иудыруеи,
AB331	зымч
AB332	каԥсаз
AB333	ԥсыӡк
AB334	аԥыхьашәар.Ичҳаны
AB335	иԥшуп.
AB336	Аокеан
AB337	агәҭаны
AB338	еилыхароу
AB339	Изакәи
AB340	ари1
AB341	Амшынҳәақәа.
AB342	500
AB343	–ҟа
AB344	еицуп,
AB345	Урҭ
AB346	афатә
AB347	шааигәахаз
AB348	рцәа
AB349	ианырын,
AB350	Иааихҵәаны
AB351	идәықәлеит
AB352	афатә
AB353	иашьҭаланы.
AB354	Ари
AB355	ажәабжь
AB356	бзиа
AB357	аокеан
AB358	инахыҵәеит,
AB359	Даҽа
AB360	гәыԥқәакгьы
AB361	рҿаархеит.
AB362	Дара
AB363	зегьы
AB364	Азортәи
AB365	адгьылбжьахақәа
AB366	рышҟа
AB367	иӡсаны
AB368	ицоит,
AB369	Ари
AB370	авулкан
AB371	хылҵшьҭра
AB372	змоу
AB373	дгьылбжьахақәоуп,
AB374	Португалиа
AB375	аҿықә
AB376	аҟынтә,
AB377	зқьиа
AB378	бжаки
AB379	км
AB380	ахьыбжьоу
AB381	.
AB382	амшынҳәақәа
AB383	ашьҭыбжьныҩгала
AB384	раԥхьаҟа
AB385	аӡы
AB386	иацклаԥшуеит,
AB387	ацәқәырԥақәа
AB388	рхырхарҭа
AB389	еилыркааразы.
AB390	Шьҭа
AB391	инеираны
AB392	иахьыҟаз
AB393	инеирц
AB394	акгьы
AB395	рыгым.
AB396	Абар,
AB397	изышьҭаз.
AB398	Аокеан
AB399	фаранџьқәа.
AB400	Амшынҳәақәа
AB401	хаз-хазы
AB402	аԥсыӡкра
AB403	рцәуадаҩуп.
AB404	Баша
AB405	рҽыдмырааԥсаразы,
AB406	урҭ
AB407	еицышәарыцоит.
AB408	%ьоукы
AB409	аԥсыӡ
AB410	аӡы
AB411	ахыхьҟа
AB412	ихацаланы,
AB413	ҵаҟала
AB414	ирыҵгәоит.
AB415	Уа
AB416	ирзыԥшуп
AB417	егьырҭ
AB418	аԥсыцәгьақәа.
AB419	Агәыҵашкәакәа
AB420	цҳаражәҳәаҩцәа.
AB421	Урҭ
AB422	амшынҳәақәа
AB423	афатә
AB424	аӡы
AB425	ахыхьҟа
AB426	ианхарцало
AB427	ҳәа
AB428	иазыԥшуп.
AB429	Абар,
AB430	шьҭа,
AB431	асыҭәҳәацҳаражәҳәаҩцәа
AB432	аԥсыӡ
AB433	иашьҭаланы
AB434	аӡаҵаҟа
AB435	ицоит.
AB436	Урҭ
AB437	20
AB438	метра
AB439	раҟара
AB440	аӡаҵахь
AB441	албаара
AB442	рылшоит.
AB443	Амшынҳәақәа
AB444	аԥсыӡ
AB445	шьҭахьҟа
AB446	ирышьҭӡом,
AB447	рымҩа
AB448	ԥҵәаны.
AB449	Рызхара
AB450	анырфа,
AB451	амшынҳәақәа
AB452	ахьааз
AB453	ицоит.
AB454	Зыԥсы
AB455	еиқәхаз
AB456	афаранџьқәа
AB457	аԥсаатә
AB458	ахьзымнеиуа
AB459	аӡаҵахь
AB460	илбаауеит.
AB461	Амра
AB462	анынҭашәалак
AB463	аокеан
AB464	аҟны
AB465	аиҭакра
AB466	дуқәа
AB467	мҩаԥысуеит.
AB468	Аӡаҵаҟнытә
AB469	ихало
AB470	иалагоит
AB471	апланктон,
AB472	Ашәарыцара
AB473	рҽазыҟарҵоит
AB474	имлашьуа
AB475	даҽа
AB476	гәыԥк.
AB477	Есуаха
AB478	аӡаҵаҟатәи
AB479	аԥсыӡқәа
AB480	миллиардла
AB481	аӡахыхьҟа
AB482	ихалоит
AB483	афатә
AB484	иашьҭаланы.
AB485	Аԥра-ԥсыӡ
AB486	сса
AB487	15
AB488	см
AB489	роуп
AB490	иҟоу.
AB491	Уи
AB492	иацԥыҳәаны
AB493	афатә
AB494	хәыҷ
AB495	лбааздандаз
AB496	ҳәа
AB497	иаҿуп.
AB498	Хышықәса
AB499	рышьҭахь
AB500	,
AB501	60
AB502	кьыла
AB503	акапануа,
AB504	аокеан
AB505	аҿы
AB506	зегьы
AB507	еилазырӡызо
AB508	шәарыцаҩны
AB509	иааҟалоит.
AB510	Уажәы
AB511	иуашәшәыроуп.
AB512	Манта
AB513	захьӡу
AB514	адоумбеи
AB515	мшын
AB516	ла.
AB517	Арӡсагақәа
AB518	анааиҵнахуа,
AB519	аа-метрак
AB520	инаӡоит.
AB521	Ҩ-тоннак
AB522	акапануеит.
AB523	Атәыҩаԥшра
AB524	змоу
AB525	ахы
AB526	рӡсагала
AB527	афатә
AB528	ишиашоу
AB529	аҿахьы
AB530	идәықәырҵоит.
AB531	Ицәылашо
AB532	ианалагалак
AB533	,
AB534	апланктон
AB535	еиҭа
AB536	аӡаҵаҟа
AB537	идәықәлоит.
AB538	Уи
AB539	ҳашьҭаланы
AB540	ҳцаразы
AB541	аӡаҵаҟатәи
AB542	аппарат
AB543	ҳхы
AB544	иаҳархәеит.
AB545	Алашьцарахь
AB546	улбаацыԥхьаӡа
AB547	ақәыяәяәара
AB548	еиҳахоит,
AB549	аӡгьы
AB550	есааира
AB551	ихьшәашәахоит.
AB552	500
AB553	метрактәи
AB554	аҵаулараҿы
AB555	алашьцара
AB556	иаалҵуеит
AB557	уаҩы
AB558	иимбац
AB559	ԥстәқәак.
AB560	Аформа
AB561	џьашьахәқәа
AB562	Иаакәыршаны
AB563	иҟоу
AB564	алашьцара
AB565	Иалаӡыртә
AB566	иҟанаҵоит.
AB567	%ьоукы
AB568	аӡяаррақәа
AB569	ирҭоу
AB570	аԥстәқәа
AB571	угәаладыршәоит,
AB572	Егьырҭ
AB573	зеиԥшу
AB574	ҳәашьа
AB575	узаҭом.
AB576	Зехьынџьара
AB577	ашьшьыҳәа
AB578	ҵаҟа
AB579	икаҳауеит
AB580	Аорганикатә
AB581	ҟәырҷахақәак.
AB582	Ари
AB583	амшын
AB584	сы
AB585	ҳәа
AB586	изышьҭоу
AB587	ауп
AB588	–
AB589	Аокеан
AB590	ахыхь
AB591	иҟаз
AB592	ԥстәқәак
AB593	рыбаҩ.
AB594	Амшын
AB595	сы
AB596	аԥстәқәа
AB597	жәпакы
AB598	фатәыс
AB599	ирымоуп,
AB600	Амшын
AB601	бызкаҭаҳа
AB602	еиԥш,
AB603	иаҳҳәап.
AB604	Акреветкақәеи
AB605	адыяаҷиақәеи
AB606	ирҭынхоуп.
AB607	Ҳәарада,
AB608	ари
AB609	бызкаҭаҳаӡам,
AB610	Ари
AB611	дыяаҷиа
AB612	хәыҷуп,
AB613	Уамашәа
AB614	иҟоу
AB615	ашьапқәа
AB616	ахәы
AB617	рықәуп,
AB618	Аӡсараҿы
AB619	иацхраауеит.
AB620	Насгьы
AB621	адыяаҷа
AB622	хәыҷы
AB623	урҭ
AB624	ахы
AB625	иархәаны
AB626	афатә
AB627	ааннакылоит,
AB628	Аҿахьгьы
AB629	идәықәнаҵоит.
AB630	Ари
AB631	ахәархьҿы
AB632	аҩада
AB633	ахы
AB634	рханы
AB635	икнаҳауп,
AB636	Иԥшуп
AB637	хыхьҟа,
AB638	афатә
AB639	иазыԥшны.
AB640	Уи
AB641	афатә
AB642	хыхьынтә
AB643	иҭааӡа
AB644	иааиуа,
AB645	алашара
AB646	аарла
AB647	иалубаауеит
AB648	Аԥсыӡ
AB649	уажәы-уажәы
AB650	аҿы
AB651	аанартуеит
AB652	Икаҳауа
AB653	афатә
AB654	анааиуазы.
AB655	Ус,
AB656	асаса
AB657	идуу
AB658	ак
AB659	ҭаҳаанӡа
AB660	акыр
AB661	аамҭа
AB662	царгьы
AB663	алшоит.
AB664	Иҵегьы
AB665	лбаа
AB666	аӡаҵаҿы
AB667	уажәы
AB668	алашьцара
AB669	ахатәоуп.
AB670	Арахь
AB671	амра
AB672	шәахәацкгьы
AB673	ааираны
AB674	иҟаӡам.
AB675	Ара
AB676	афатә
AB677	зынӡа
AB678	имаҷуп.
AB679	Аӡаҵан
AB680	инхо
AB681	аԥстәқәагьы
AB682	баша
AB683	рыҽдырааԥсаӡом.
AB684	Аӡаҵаҟатәи
AB685	аа-шьапы.
AB686	Аарла
AB687	арӡсагақәа
AB688	аҟьоит.
AB689	Ара,
AB690	аӡмаҷқәа
AB691	рыҟнеиԥш,
AB692	лассы
AB693	аиҭаҵра
AB694	аҭахӡам.
AB695	Уамашәа
AB696	ишоу
AB697	ари
AB698	адунеи
AB699	аҿы
AB700	Зегь
AB701	раасҭа
AB702	иџьаушьаратәы
AB703	иҟоуп
AB704	акальмар
AB705	–
AB706	шьажәга.
AB707	Ишәаҟьар,
AB708	маҷк
AB709	инаскьоит
AB710	ауп.
AB711	Аха
AB712	ишәарҭахаҵәҟьар,
AB713	ахыхьчага
AB714	бзиа
AB715	амоуп.
AB716	Уи
AB717	ала
AB718	ахы
AB719	шахьчо
AB720	убаразы
AB721	алашара
AB722	ырцәтәуп.
AB723	Акальмар-шьажәга
AB724	ахатәы
AB725	кәаҷабқәа
AB726	амазаап.
AB727	Уи
AB728	ашьапқәа
AB729	алашара
AB730	зхылҵуа
AB731	абактериақәа
AB732	ақәуп,
AB733	Иара
AB734	иаԥырхагоу
AB735	,
AB736	иаӷоу
AB737	зегьы
AB738	зырҩашьо.
AB739	Алақәа
AB740	ракәзар
AB741	ари?
AB742	Уи
AB743	хыхьтәи
AB744	ашәҵатәы
AB745	аганқәа
AB746	рҿы
AB747	иамоу
AB748	аканқәа
AB749	еилаарцыруеит
AB750	ауп.
AB751	Аха
AB752	ари
AB753	ашьажәга
AB754	цҳаргьы
AB755	ишәарҭаӡам.
AB756	Абар,
AB757	аӡаҵагьы.
AB758	Х-километрак
AB759	иреиҳауп
AB760	аҵаулара.
AB761	Ара
AB762	иҟоу
AB763	ақәыӷәӷәара
AB764	300
AB765	–нтә
AB766	иеиҳауп
AB767	аӡы
AB768	ахыхь
AB769	аасҭа.
AB770	Амшын
AB771	сы
AB772	аранӡа
AB773	иааӡаразы
AB774	мызкы-ҩымыз
AB775	азхаӡом.
AB776	Аконтиненталтә
AB777	шельф
AB778	ацаҟьаҳәаа
AB779	анахыс
AB780	адәкаршәра
AB781	ду
AB782	еиужьны
AB783	ишьҭоуп.
AB784	Зықькилометрала
AB785	аҽеиҵыхны
AB786	инеиуеит
AB787	есааира
AB788	алада
AB789	илбаауа.
AB790	Алыкь
AB791	ажәпара
AB792	аарла
AB793	шьҭақәак
AB794	алубаауеит.
AB795	Ари
AB796	иаҳәоит
AB797	араҟагьы
AB798	аԥсҭазаара
AB799	шыҟоу.
AB800	Абар
AB801	арҭ
AB802	ашьҭақәа
AB803	зтәу-
AB804	амшын
AB805	хьаԥарчқәа.
AB806	Урҭ
AB807	афатә
AB808	аԥшааразы
AB809	алыкь
AB810	драӡоит.
AB811	Акреветкақәа
AB812	рҽырԥшӡаны
AB813	ршьапԥынҵа
AB814	иқәгылоуп,
AB815	Аԥслымӡ
AB816	иналаԥш-алаԥшуа,
AB817	афатә
AB818	цырақәа
AB819	рыԥшаара
AB820	иаҿуп.
AB821	Аха
AB822	аокеан
AB823	аҵан,
AB824	зехьынџьареиԥш,
AB825	авегетарианецҵәа
AB826	ыҟазар,
AB827	агыгшәыгқәагьы
AB828	ыҟоуп.
AB829	Амшын
AB830	аҩысҭаа.
AB831	Аарла
AB832	аԥслымӡ
AB833	иахьылоу
AB834	иалубаауеит.
AB835	Афатә
AB836	аԥшааразы
AB837	ахы
AB838	зарааԥсари,
AB839	Иара
AB840	афатә
AB841	ахала
AB842	арахь
AB843	иааиртә
AB844	иузыҟаҵар.
AB845	Аха
AB846	ари
AB847	аиԥш
AB848	уаххьа,
AB849	рацәацәоуп
AB850	иара
AB851	азы.
AB852	Иԥшыр
AB853	акәхеит
AB854	иҵегьы.
AB855	Амшын
AB856	аҩысҭаа
AB857	уаххьа
AB858	ымфаӡакәа
AB859	мышқәак
AB860	иазыԥшыр
AB861	алшоит,
AB862	Иақәнагоу
AB863	афатә
AB864	аԥыхьашәаанӡа.
AB865	Аԥхаԥсжьы
AB866	бзиа
AB867	избо,
AB868	афатә
AB869	аԥшааразы
AB870	акыр
AB871	иныҟәароуп.
AB872	Адыӷаҷақәа
AB873	аӡы
AB874	гьама
AB875	ҷыдак
AB876	аиур,
AB877	иаразнак
AB878	игәарҭоит.
AB879	Убри
AB880	аҟнытә
AB881	урҭ
AB882	хыхьынтә
AB883	илеиз
AB884	аԥхаԥсжьы
AB885	ҿыц
AB886	иаразнак
AB887	ирыԥшаауеит.
AB888	Арҭ
AB889	амаҭ
AB890	ԥсыӡқәа
AB891	адоурҳан
AB892	ажьы
AB893	ацәынхақәа
AB894	афара
AB895	иалагахьеит.
AB896	адыӷаҷа
AB897	еиҟарашьапқәа,
AB898	30
AB899	см
AB900	иҟоу,
AB901	аилабаара
AB902	иаҿу
AB903	адоурҳан
AB904	жьы
AB905	рыцқәа
AB906	наладырԥеит.
AB907	Сааҭқәак
AB908	рыҩныҵҟа
AB909	аԥсхаԥсжьыфаҩцәа
AB910	дасу
AB911	рыхәҭаазы
AB912	хацәнмырха
AB913	иқәԥоит.
AB914	Усоуп,
AB915	аӡаҵаҿы
AB916	зны-зынла
AB917	ачара
AB918	ду
AB919	анеилашуа
AB920	ҟалалоит.
AB921	Абас
AB922	ауп
AB923	ишымҩаԥыуа
AB924	иара,
AB925	ирццакны
AB926	уахәаԥшуазар.
AB927	Аха
AB928	афатә
AB929	акыраамҭа
AB930	ианрызхогьы
AB931	ҟалалоит.
AB932	Ара
AB933	агәылшьап
AB934	абаҩ
AB935	шьҭоуп.
AB936	Уи
AB937	ԥсиижьҭеи
AB938	хәымыз
AB939	раҟара
AB940	ҵуеит.
AB941	Иацәынханы
AB942	иҟоугьы
AB943	шшақәак
AB944	ақәуп,
AB945	аха
AB946	абаҩмацароуп.
AB947	Иара
AB948	акәша-мыкәша
AB949	акыр
AB950	километрақәак
AB951	ахьыбжьазгьы
AB952	уи
AB953	ажьы
AB954	аӡәырҩы
AB955	рхаланыҟәыргон,
AB956	Уажәы
AB957	ачара
AB958	еилгеит.
AB959	Адыӷаҷа
AB960	дуӡӡақәа,
AB961	метрак
AB962	аҟара
AB963	иҭбаауп,
AB964	Ашша
AB965	ацәынхақәак
AB966	амрыкәкәаауеит.
AB967	Даҽа
AB968	мышқәак
AB969	рышьҭахь
AB970	уи
AB971	абаҩ
AB972	мацара
AB973	аанхараны
AB974	иҟоуп.
AB975	Адыӷаҷақәа
AB976	млашьлароуп
AB977	хыхьынтә
AB978	даҽа
AB979	ԥсхаԥсжьык
AB980	леиаанӡа.
AB981	Аха
AB982	арахь
AB983	хыхьынтә
AB984	уамак
AB985	афатә
AB986	зааиӡом.
AB987	Атлантикатәи
AB988	аокеан
AB989	ҩбаны
AB990	ишоуп
AB991	авулкан
AB992	шьхеибаркырала.
AB993	Уи
AB994	адгьыл
AB995	зегьы
AB996	70
AB997	нызықь
AB998	км
AB999	рҟынӡа
AB1000	иаакәыршаны
AB1001	игылоуп.
AB1002	Ашьхеибаркыра
AB1003	џьара-џьара
AB1004	аиҟәыршьшьарҭа
AB1005	дуӡӡақәа
AB1006	амоуп.
AB1007	Урҭ
AB1008	рахьынтә
AB1009	иҭҟьо
AB1010	аӡыршы
AB1011	иҵааршәыроу
AB1012	аӡаҵақәа
AB1013	рышҟа
AB1014	аминералқәа
AB1015	ырӡыҭны
AB1016	иаманы
AB1017	иаауеит.
AB1018	Атыҩша
AB1019	хылҩа-ԥсылҩа
AB1020	аншәлак,
AB1021	атрубақәа
AB1022	шьақәдыргылоит
AB1023	х-еихагылак
AB1024	змоу
AB1025	аҩны
AB1026	иаҟараны.
AB1027	Ахимикатқәа
AB1028	рыла
AB1029	шьақәгылоу,
AB1030	Ԥшьышә
AB1031	градус
AB1032	рҟынӡа
AB1033	ицаҳә-цаҳәуа
AB1034	ишу
AB1035	аилаӡҩа,
AB1036	шәарҭоуп
AB1037	аԥсҭазаара
AB1038	аформақәа
AB1039	реиҳарак
AB1040	рзы.
AB1041	Аха,
AB1042	иџьаушьаша,
AB1043	ара
AB1044	иҷыдоу
AB1045	бактериа
AB1046	хкык
AB1047	ыҟоуп.
AB1048	Арҭ
AB1049	абактериақәа
AB1050	хыԥхьаӡара
AB1051	рацәала
AB1052	акреветкақәа
AB1053	фатәыс
AB1054	ирымоуп.
AB1055	Абасала,
AB1056	мра
AB1057	шәахәацк
AB1058	ахьзымнеиуа
AB1059	аҭыԥаҿы
AB1060	уи
AB1061	мрада
AB1062	зыԥсы
AB1063	ҭоу
AB1064	абиоценоз.
AB1065	Уи
AB1066	аԥсҭазарамчы
AB1067	ицаҳә-цаҳәуа
AB1068	ишу
AB1069	адгьыл
AB1070	шьақәгыларақәа
AB1071	ирылырхуеит.
AB1072	Абри
AB1073	акыр
AB1074	иеиԥшуп
AB1075	адгьыл
AB1076	егьи
AB1077	аҵыхәан,
AB1078	Аокеан
AB1079	ҭынч
AB1080	Иапониа
AB1081	ахьыҿныӡәӡәаауа
AB1082	аҭыԥаҿы
AB1083	иҟоу
AB1084	ацәырҵра..
AB1085	“Агәылшьап
AB1086	трубақәа”-
AB1087	Араҟагьы,
AB1088	аӡаҵаҟатәи
AB1089	аӡыԥхатә
AB1090	ҭаҳарақәа
AB1091	рҟынтә
AB1092	иҭырҩны
AB1093	.
AB1094	Алашьцара
AB1095	иалаҭәо
AB1096	аӡыршы.
AB1097	Ара
AB1098	абактериақәа
AB1099	еиҳагьы
AB1100	еиҳауп,
AB1101	аха
AB1102	урҭ
AB1103	даҽа
AB1104	хкык
AB1105	иаҵанакуеит.
AB1106	Адыӷаҷақәагьы
AB1107	ара
AB1108	иеиҳа
AB1109	ирацәоуп,
AB1110	Насгьы
AB1111	урҭ
AB1112	атлантикатәи
AB1113	аҭыҭынахаҩцәа
AB1114	иреиԥшӡам.
AB1115	Аӡаҵаҟатәи
AB1116	алангәустқәа
AB1117	Ибыбышӡа
AB1118	абџьармаҭәала
AB1119	иеибыҭоуп.
AB1120	Аӡыршы
AB1121	ҭҟьаны
AB1122	иахьаауа,
AB1123	абактериақәа
AB1124	иаҳа
AB1125	иахьырацәоу
AB1126	аҭыԥқәа
AB1127	рзы
AB1128	иеиндаҭлоит.
AB1129	Арҭ
AB1130	аӡаҵаҟатәи
AB1131	агеизерқәа,
AB1132	Атлантика
AB1133	иҟоу
AB1134	аҭыҭынахаҩцәа
AB1135	реиԥш,
AB1136	хаз-хазы
AB1137	иҟоу
AB1138	оазисқәоуп,
AB1139	урҭ
AB1140	хара-хара
AB1141	ишьҭоуп
AB1142	азы,
AB1143	дасу
AB1144	рхатә
AB1145	дунеи,
AB1146	ахатә
AB1147	ԥсҭазаара
AB1148	рымоуп.
AB1149	Аокеан
AB1150	ҭынч
AB1151	егьи
AB1152	аҵыхәан,
AB1153	Галапагосстәи
AB1154	адгьылбжьаха
AB1155	азааигәара,
AB1156	Аӡаҵан
AB1157	иҟоуп
AB1158	аиҟәыршшьарҭақәа
AB1159	аӡыршы
AB1160	хәыҵҟьаны
AB1161	иахьаауа.
AB1162	2,5
AB1163	километратәи
AB1164	аҵаулараҿы,“Аҩада-9”
AB1165	захьӡу
AB1166	араион
AB1167	аҿы,
AB1168	алҩа
AB1169	зхылббуа
AB1170	ашахтақәа
AB1171	иаарыкәыршаны
AB1172	иҟоуп,
AB1173	хыԥхьаӡара
AB1174	рацәала
AB1175	рацәашьапхәаҷақәа.
AB1176	Арҭ
AB1177	аӡыхьқәа
AB1178	ирыбзоураны
AB1179	хәаҷақәак
AB1180	х-метрак
AB1181	ираҟарахоит.
AB1182	Арҭ
AB1183	аҭҵаарадырра
AB1184	иадыруа
AB1185	абӷа
AB1186	змам
AB1187	зегь
AB1188	раасҭа
AB1189	ласссы
AB1190	изызҳауа
AB1191	амшын
AB1192	ԥстәқәоуп.
AB1193	Иааидкыланы,
AB1194	ара
AB1195	иҭоу
AB1196	аԥстәқәа
AB1197	50
AB1198	хкы
AB1199	иреиҳауп.
AB1200	Арҭ
AB1201	агәыԥқәа
AB1202	лассы
AB1203	ирызҳауеит,
AB1204	аха
AB1205	урҭ
AB1206	рынҵыра
AB1207	кьаҿуп.
AB1208	Аӡаҵаҟатәи
AB1209	аӡыԥхақәа
AB1210	зны-мзар
AB1211	зны
AB1212	иаангылоит.
AB1213	“Север-9”
AB1214	аҿы
AB1215	9
AB1216	мзы
AB1217	иасит.
AB1218	,Уажәааигәанӡа
AB1219	зыԥсҭазаара
AB1220	еилашуаз
AB1221	аӡыԥхаҭаҳарақәа,
AB1222	Ихаҳәхатәараз
AB1223	баҟақәаны
AB1224	иҟалеит.
AB1225	Ԥшеилаҩынтрак
