RU1	ПЛАНЕТА
RU203	Немногочисленным
RU204	животным,
RU205	которые
RU206	живут
RU207	на
RU208	этой
RU209	стремнине,
RU210	приходится
RU211	в
RU212	буквальном
RU213	смысле
RU214	цепляться
RU215	за
RU216	жизнь.
RU217	В
RU218	высокогорных
RU219	реках
RU220	преобладают
RU221	беспозвоночные.
RU222	У
RU223	них
RU224	плоское
RU225	тело,
RU226	уменьшающее
RU227	сопротивление,
RU228	и
RU229	щетинки,
RU230	которыми
RU231	они
RU232	закрепляются
RU233	на
RU234	дне.
RU235	Если
RU236	вдруг
RU237	крючья
RU238	отцепятся,
RU239	у
RU240	личинки
RU241	есть
RU242	страховочная
RU243	паутина.
RU244	Жизнь
RU245	в
RU246	быстром
RU247	потоке
RU248	имеет
RU249	свои
RU250	преимущества.
RU251	Бамбуковые
RU252	креветки
RU253	спокойно
RU254	сидят
RU255	на
RU256	дне
RU257	и
RU258	процеживают
RU259	воду
RU260	через
RU261	похожие
RU262	на
RU263	веера
RU264	клешни.
RU265	Обычно
RU266	пищи
RU267	в
RU268	горных
RU269	речках
RU270	достаточно
RU271	только
RU272	для
RU273	выживания
RU274	мелких
RU275	животных,
RU276	но
RU277	здесь,
RU278	в
RU279	японии,
RU280	с
RU281	весенним
RU282	таянием
RU283	снегов,
RU284	в
RU285	своих
RU286	подводных
RU287	норах
RU288	просыпаются
RU289	чудовища.
RU290	Исполинские
RU291	саламандры
RU292	-
RU293	самые
RU294	крупные
RU295	земноводные
RU296	в
RU297	мире,
RU298	они
RU299	достигают
RU300	длины
RU301	почти
RU302	2
RU303	метра.
RU304	Они
RU305	-
RU306	единственные
RU307	крупные
RU308	хищники
RU309	в
RU310	этих
RU311	ледяных
RU312	водах.
RU313	Они
RU314	охотятся
RU315	по
RU316	ночам.
RU317	Обмен
RU318	веществ
RU319	у
RU320	этих
RU321	саламандр
RU322	протекает
RU323	очень
RU324	медленно,
RU325	они
RU326	доживают
RU327	до
RU328	80
RU329	лет
RU330	и
RU331	достигают
RU332	гигантских
RU333	размеров.
RU334	В
RU335	горных
RU336	реках
RU337	мало
RU338	рыбы,
RU339	и
RU340	у
RU341	саламандр
RU342	слабое
RU343	зрение.
RU344	Зато
RU345	бородавки
RU346	на
RU347	коже
RU348	улавливают
RU349	малейшие
RU350	изменения
RU351	давления
RU352	воды.
RU353	При
RU354	отсутствии
RU355	конкуренции
RU356	эти
RU357	гиганты
RU358	могут
RU359	позволить
RU360	себе
RU361	обедать
RU362	в
RU363	одиночестве.
RU364	Улов
RU365	саламандр,
RU366	как
RU367	правило,
RU368	невелик,
RU369	но
RU370	каждый
RU371	год
RU372	некоторые
RU373	высокогорные
RU374	реки
RU375	становятся
RU376	местом
RU377	паломничества
RU378	миллионов
RU379	рыб.
RU380	Это
RU381	-
RU382	лососи.
RU383	самая
RU384	крупная
RU385	миграция
RU386	пресноводных
RU387	рыб
RU388	на
RU389	планете.
RU390	Лососи
RU391	северного
RU392	полушария
RU393	возвращаются
RU394	из
RU395	океана
RU396	к
RU397	своим
RU398	нерестилищам.
RU399	Они
RU400	преодолевают
RU401	сотни
RU402	километров
RU403	против
RU404	течения.
RU405	В
RU406	горных
RU407	реках
RU408	мало
RU409	хищников,
RU410	которые
RU411	могут
RU412	съесть
RU413	икру
RU414	и
RU415	мальков.
RU416	Зато
RU417	есть
RU418	медведь
RU419	гризли.
RU420	Выбор
RU421	не
RU422	велик
RU423	-
RU424	либо
RU425	пан,
RU426	либо
RU427	пропал.
RU428	У
RU429	канадского
RU430	медведя
RU431	есть
RU432	одна
RU433	особенность,
RU434	он
RU435	научился
RU436	нырять
RU437	за
RU438	рыбой.
RU439	Но
RU440	поймать
RU441	лосося
RU442	на
RU443	глубине
RU444	не
RU445	так-то
RU446	просто,
RU447	и
RU448	медвежатам
RU449	нужно
RU450	ещё
RU451	многому
RU452	научиться.
RU453	Ежегодный
RU454	нерест
RU455	лососей
RU456	приносит
RU457	невиданное
RU458	изобилие
RU459	в
RU460	реки,
RU461	которые
RU462	в
RU463	остальное
RU464	время
RU465	не
RU466	могут
RU467	прокормить
RU468	такое
RU469	количество
RU470	животных.
RU471	Горные
RU472	реки,
RU473	несмотря
RU474	на
RU475	внешнюю
RU476	безжизненность,
RU477	обладают
RU478	силой,
RU479	которая
RU480	способна
RU481	формировать
RU482	ландшафт,
RU483	и
RU484	имеет
RU485	важнейшее
RU486	значение
RU487	в
RU488	жизни
RU489	реки.
RU490	Под
RU491	действием
RU492	земного
RU493	притяжения
RU494	реки
RU495	производят
RU496	самую
RU497	разрушительную
RU498	эрозионную
RU499	работу.
RU500	На
RU501	протяжении
RU502	пяти
RU503	миллионов
RU504	лет
RU505	река
RU506	Колорадо
RU507	в
RU508	Аризоне
RU509	врезалась
RU510	в
RU511	известняковые
RU512	породы
RU513	и
RU514	образовала
RU515	гигантские
RU516	ущелья.
RU517	Глубина
RU518	ущелья
RU519	более
RU520	полутора
RU521	километров,
RU522	а
RU523	ширина
RU524	в
RU525	самом
RU526	широком
RU527	месте
RU528	достигает
RU529	17
RU530	километров.
RU531	Это
RU532	и
RU533	есть
RU534	знаменитый
RU535	большой
RU536	каньон.
RU537	Река
RU538	Колорадо
RU539	создала
RU540	самую
RU541	длинную
RU542	систему
RU543	каньонов
RU544	в
RU545	мире.
RU546	Шрам
RU547	в
RU548	земной
RU549	коре
RU550	длиной
RU551	полторы
RU552	тысячи
RU553	километров
RU554	отчётливо
RU555	виден
RU556	из
RU557	космоса.
RU558	спускаясь
RU559	с
RU560	гор,
RU561	реки
RU562	постепенно
RU563	нагреваются
RU564	и
RU565	могут
RU566	прокормить
RU567	больше
RU568	животных.
RU569	В
RU570	индийских
RU571	реках
RU572	обитают
RU573	самые
RU574	общительные
RU575	выдры
RU576	в
RU577	мире.
RU578	Гладкошёрстные
RU579	выдры
RU580	живут
RU581	семейными
RU582	группами
RU583	до
RU584	17
RU585	особей.
RU586	Катаясь
RU587	на
RU588	песке,
RU589	они
RU590	не
RU591	только
RU592	обсушивают
RU593	мех,
RU594	но
RU595	и
RU596	укрепляют
RU597	дружеские
RU598	связи.
RU599	А
RU600	когда
RU601	дело
RU602	доходит
RU603	до
RU604	рыбалки,
RU605	то
RU606	тут
RU607	уж
RU608	поистине
RU609	их
RU610	сила
RU611	в
RU612	количестве.
RU613	Детёныши
RU614	начинают
RU615	постигать
RU616	азы
RU617	рыбной
RU618	ловли
RU619	уже
RU620	в
RU621	четырёхмесячном
RU622	возрасте.
RU623	Но
RU624	только
RU625	взрослые
RU626	выдры
RU627	обладают
RU628	скоростью
RU629	и
RU630	ловкостью,
RU631	которые
RU632	нужны
RU633	для
RU634	того,
RU635	чтобы
RU636	поймать
RU637	рыбу.
RU638	Взрослые
RU639	охотно
RU640	делятся
RU641	уловом
RU642	с
RU643	нетерпеливыми
RU644	детёнышами.
RU645	Большинство
RU646	выдр
RU647	ведут
RU648	одиночный
RU649	образ
RU650	жизни,
RU651	но
RU652	эти
RU653	тёплые,
RU654	богатые
RU655	пищей
RU656	воды
RU657	могут
RU658	прокормить
RU659	большие
RU660	семейные
RU661	группы,
RU662	и
RU663	даже
RU664	более
RU665	крупных
RU666	хищников.
RU667	Четырёхметровый
RU668	болотный
RU669	крокодил
RU670	запросто
RU671	мог
RU672	бы
RU673	схватить
RU674	одиночную
RU675	выдру.
RU676	Но
RU677	команда
RU678	уверенных
RU679	друг
RU680	в
RU681	друге
RU682	выдр
RU683	сама
RU684	нападает
RU685	на
RU686	огромных
RU687	рептилий.
RU688	Победила
RU689	дружная
RU690	команда.
RU691	Река
RU692	Мара
RU693	вьётся
RU694	по
RU695	равнинам
RU696	Восточной
RU697	Африки.
RU698	На
RU699	плоскогорьях
RU700	реки
RU701	замедляют
RU702	свой
RU703	бег,
RU704	теряют
RU705	разрушительную
RU706	силу.
RU707	Теперь
RU708	они
RU709	несуттяжёлую
RU710	глинистую
RU711	взвесь,
RU712	которая
RU713	окрашивает
RU714	воду
RU715	в
RU716	коричневый
RU717	цвет.
RU718	По
RU719	равнинам
RU720	движутся
RU721	колонны
RU722	антилоп
RU723	гну.
RU724	Каждый
RU725	год
RU726	в
RU727	поисках
RU728	новых
RU729	пастбищ
RU730	по
RU731	равнинам
RU732	серенгети
RU733	проходят
RU734	почти
RU735	2
RU736	миллиона
RU737	животных.
RU738	Для
RU739	измученных
RU740	жаждой
RU741	копытных
RU742	река
RU743	-
RU744	это
RU745	не
RU746	только
RU747	жизненно
RU748	важный
RU749	источник
RU750	питьевой
RU751	воды,
RU752	но
RU753	и
RU754	опасное
RU755	препятствие.
RU756	Здесь
RU757	самое
RU758	массовое
RU759	в
RU760	Африке
RU761	скопление
RU762	Нильских
RU763	крокодилов
RU764	-
RU765	гигантов,
RU766	которые
RU767	достигают
RU768	пятиметровой
RU769	длины.
RU770	Крокодилы
RU771	знают,
RU772	когда
RU773	придут
RU774	антилопы
RU775	гну,
RU776	и
RU777	поджидают
RU778	их
RU779	в
RU780	реке.
RU781	Челюсти
RU782	крокодила
RU783	захлопываются
RU784	как
RU785	стальной
RU786	капкан.
RU787	схватив
RU788	добычу,
RU789	крокодил
RU790	уже
RU791	никогда
RU792	не
RU793	выпустит
RU794	её.
RU795	Крокодилу
RU796	потребовалось
RU797	более
RU798	часа,
RU799	чтобы
RU800	овладеть
RU801	этим
RU802	взрослым
RU803	самцом
RU804	антилопы
RU805	гну.
RU806	Чтобы
RU807	застать
RU808	добычу
RU809	врасплох,
RU810	атака
RU811	крокодила
RU812	должна
RU813	быть
RU814	молниеносной.
RU815	Здесь
RU816	жизнь
RU817	от
RU818	смерти
RU819	отделяет
RU820	лишь
RU821	тонкая
RU822	черта.
RU823	Большинство
RU824	рек
RU825	впадает
RU826	в
RU827	море,
RU828	но
RU829	некоторые
RU830	заканчивают
RU831	свой
RU832	путь
RU833	в
RU834	больших
RU835	озёрах.
RU836	В
RU837	озёрах
RU838	нашей
RU839	планеты
RU840	содержится
RU841	в
RU842	20
RU843	раз
RU844	больше
RU845	пресной
RU846	воды,
RU847	чем
RU848	во
RU849	всех
RU850	реках.
RU851	В
RU852	Восточноафриканской
RU853	рифтовой
RU854	долине
RU855	находятся
RU856	3
RU857	крупнейших
RU858	озера
RU859	мира:
RU860	Малави,
RU861	Танганьика
RU862	и
RU863	виктория.
RU864	Озеро
RU865	Малави
RU866	-
RU867	самое
RU868	маленькое
RU869	из
RU870	них.
RU871	Но
RU872	удивительно,
RU873	в
RU874	этом
RU875	маленьком
RU876	озере
RU877	обитает
RU878	больше
RU879	видов
RU880	рыб,
RU881	чем
RU882	в
RU883	любом
RU884	другом
RU885	озере
RU886	мира.
RU887	Однихтолько
RU888	цихрид
RU889	здесь
RU890	850
RU891	видов.
RU892	И
RU893	все
RU894	они
RU895	произошли
RU896	от
RU897	одного
RU898	единственного
RU899	предка,
RU900	который
RU901	оказался
RU902	в
RU903	изоляции
RU904	здесь
RU905	тысячи
RU906	леттому
RU907	назад.
RU908	А
RU909	эти
RU910	кратеры
RU911	диаметром
RU912	около
RU913	двух
RU914	метров
RU915	тоже
RU916	создали
RU917	рыбы.
RU918	самцы
RU919	тщательно
RU920	ухаживают
RU921	за
RU922	своими
RU923	сооружениями,
RU924	ведь
RU925	это
RU926	-
RU927	арены
RU928	для
RU929	брачных
RU930	демонстраций.
RU931	Цихлиды
RU932	-
RU933	удивительно
RU934	заботливые
RU935	родители,
RU936	вынашивать
RU937	молодь
RU938	во
RU939	рту
RU940	-
RU941	это
RU942	эффективный
RU943	способ
RU944	защитить
RU945	своё
RU946	потомство.
RU947	Жизнь
RU948	в
RU949	озере
RU950	бывает
RU951	очень
RU952	опасна.
RU953	с
RU954	наступлением
RU955	темноты
RU956	хищные
RU957	большие
RU958	корифены
RU959	покидают
RU960	свои
RU961	дневные
RU962	убежища
RU963	среди
RU964	камней.
RU965	словно
RU966	стаи
RU967	акул
RU968	рыщут
RU969	они
RU970	в
RU971	поисках
RU972	спящих
RU973	цихлид.
RU974	В
RU975	темноте
RU976	эти
RU977	рыбы
RU978	охотятся,
RU979	улавливая
RU980	вибрации
RU981	электромагнитного
RU982	поля
RU983	своих
RU984	жертв.
RU985	Любая
RU986	цихлида,
RU987	рискнувшая
RU988	выплыть
RU989	из
RU990	укрытия,
RU991	будет
RU992	проглочена.
RU993	Дно
RU994	озера
RU995	Малави
RU996	находится
RU997	на
RU998	глубине
RU999	700
RU1000	метров.
RU1001	В
RU1002	этой
RU1003	почти
RU1004	мёртвой
RU1005	зоне
RU1006	прячутся
RU1007	от
RU1008	хищников
RU1009	личинки
RU1010	подёнок.
RU1011	В
RU1012	дождливый
RU1013	сезон
RU1014	они
RU1015	всплывают
RU1016	на
RU1017	поверхность,
RU1018	и
RU1019	с
RU1020	ними
RU1021	происходят
RU1022	волшебные
RU1023	превращения.
RU1024	На
RU1025	рассвете
RU1026	из
RU1027	личинок
RU1028	начинают
RU1029	появляться
RU1030	первые
RU1031	взрослые
RU1032	подёнки.
RU1033	И
RU1034	вот
RU1035	уже
RU1036	с
RU1037	поверхности
RU1038	воды
RU1039	в
RU1040	небо
RU1041	взмывают
RU1042	миллионы
RU1043	и
RU1044	миллионы
RU1045	подёнок.
RU1046	Первые
RU1047	исследователи
RU1048	Африки
RU1049	рассказывали
RU1050	о
RU1051	дымящихся
RU1052	озёрах,
RU1053	словно
RU1054	охваченных
RU1055	огнём.
RU1056	Но
RU1057	поднимающиеся
RU1058	на
RU1059	сотни
RU1060	метров
RU1061	столбы
RU1062	дыма
RU1063	-
RU1064	это
RU1065	как
RU1066	раз
RU1067	эти
RU1068	подёнки,
RU1069	которые
RU1070	кружатся
RU1071	в
RU1072	брачном
RU1073	танце.
RU1074	После
RU1075	спаривания
RU1076	все
RU1077	подёнки
RU1078	упадут
RU1079	на
RU1080	поверхность
RU1081	воды,
RU1082	отложат
RU1083	яйца
RU1084	и
RU1085	погибнут.
RU1086	Малави
RU1087	кажется
RU1088	огромным,
RU1089	как
RU1090	море,
RU1091	но
RU1092	размерами
RU1093	оно
RU1094	не
RU1095	идёт
RU1096	ни
RU1097	в
RU1098	какое
RU1099	сравнение
RU1100	с
RU1101	самым
RU1102	большим
RU1103	озером
RU1104	в
RU1105	мире
RU1106	-
RU1107	озером
RU1108	Байкал
RU1109	в
RU1110	Восточной
RU1111	сибири.
RU1112	Озеро
RU1113	Байкал
RU1114	длиной
RU1115	646
RU1116	километров
RU1117	и
RU1118	глубиной
RU1119	больше
RU1120	полутора
RU1121	километров,
RU1122	содержит
RU1123	пятую
RU1124	часть
RU1125	запасов
RU1126	пресной
RU1127	воды
RU1128	на
RU1129	нашей
RU1130	планете.
RU1131	5
RU1132	месяцев
RU1133	в
RU1134	году
RU1135	его
RU1136	сковывает
RU1137	ледяной
RU1138	покров,
RU1139	толщиной
RU1140	больше
RU1141	метра.
RU1142	Байкал
RU1143	-
RU1144	самое
RU1145	древнее
RU1146	озеро
RU1147	на
RU1148	Земле,
RU1149	и,
RU1150	несмотря
RU1151	на
RU1152	суровые
RU1153	условия,
RU1154	в
RU1155	нём
RU1156	сформировался
RU1157	невероятно
RU1158	богатый
RU1159	и
RU1160	уникальный
RU1161	живой
RU1162	мир.
RU1163	80%
RU1164	живущих
RU1165	в
RU1166	нём
RU1167	видов
RU1168	не
RU1169	встречается
RU1170	больше
RU1171	нигде
RU1172	в
RU1173	мире.
RU1174	Они
RU1175	уникальны.
RU1176	В
RU1177	том
RU1178	числе
RU1179	уникальный
RU1180	пресноводный
RU1181	тюлень.
RU1182	Байкальская
RU1183	нерпа
RU1184	и
RU1185	обширные
RU1186	колонии
RU1187	губок
RU1188	делают
RU1189	Байкал
RU1190	больше
RU1191	похожим
RU1192	на
RU1193	океан,
RU1194	чем
RU1195	на
RU1196	озеро.
RU1197	Здесь
RU1198	обитают
RU1199	похожие
RU1200	на
RU1201	креветок
RU1202	ракообразные,
RU1203	гигантские
RU1204	бокоплавы,
RU1205	некоторые
RU1206	размером
RU1207	с
RU1208	мышь.
RU1209	Они
RU1210	-
RU1211	главные
RU1212	падальщики
RU1213	в
RU1214	этом
RU1215	озере.
RU1216	Вода
RU1217	в
RU1218	нём
RU1219	слишком
RU1220	холодная
RU1221	для
RU1222	жизни
RU1223	бактерий,
RU1224	которые
RU1225	могли
RU1226	бы
RU1227	помочь
RU1228	разложению
RU1229	трупов
RU1230	животных.
RU1231	Большинство
RU1232	рек
RU1233	не
RU1234	заканчивают
RU1235	свой
RU1236	путь
RU1237	в
RU1238	озёрах,
RU1239	а
RU1240	продолжают
RU1241	движение
RU1242	к
RU1243	морю.
RU1244	Бесспорно,
RU1245	самая
RU1246	грандиозная
RU1247	река
RU1248	на
RU1249	нашей
RU1250	планете
RU1251	-
RU1252	Амазонка.
RU1253	Она
RU1254	несёт
RU1255	больше
RU1256	воды,
RU1257	чем
RU1258	10
RU1259	крупнейших
RU1260	рек
RU1261	мира
RU1262	вместе
RU1263	взятых.
RU1264	Она
RU1265	берёт
RU1266	начало
RU1267	в
RU1268	Перуанских
RU1269	Андах
RU1270	и
RU1271	течёт
RU1272	на
RU1273	восток
RU1274	по
RU1275	территории
RU1276	Бразилии.
RU1277	Её
RU1278	системой
RU1279	орошается
RU1280	третья
RU1281	часть
RU1282	Южной
RU1283	Америки.
RU1284	И,
RU1285	наконец,
RU1286	в
RU1287	6,5
RU1288	тысячах
RU1289	километрах
RU1290	от
RU1291	своего
RU1292	истока
RU1293	она
RU1294	впадает
RU1295	в
RU1296	Атлантический
RU1297	океан.
RU1298	Ежегодно
RU1299	Амазонка
RU1300	переносит
RU1301	миллиард
RU1302	тонн
RU1303	ила,
RU1304	осадок
RU1305	особенно
RU1306	хорошо
RU1307	виден
RU1308	в
RU1309	том
RU1310	месте,
RU1311	которое
RU1312	называют
RU1313	"свадьбой
RU1314	рек",
RU1315	там,
RU1316	где
RU1317	в
RU1318	Амазонку
RU1319	впадает
RU1320	её
RU1321	самый
RU1322	крупный
RU1323	приток
RU1324	Рио
RU1325	Негро.
RU1326	Животный
RU1327	мир
RU1328	Амазонки
RU1329	невероятно
RU1330	богат.
RU1331	На
RU1332	сегодняшний
RU1333	день
RU1334	описано
RU1335	более
RU1336	трёхтысяч
RU1337	видов
RU1338	амазонских
RU1339	рыб,
RU1340	больше
RU1341	чем
RU1342	во
RU1343	всём
RU1344	Атлантическом
RU1345	океане.
RU1346	Амазонка
RU1347	так
RU1348	велика
RU1349	и
RU1350	богата
RU1351	рыбой,
RU1352	что
RU1353	может
RU1354	каждый
RU1355	год
RU1356	кормить
RU1357	пресноводных
RU1358	дельфинов.
RU1359	Инии
RU1360	или
RU1361	боуто
RU1362	достигают
RU1363	длины
RU1364	двух
RU1365	с
RU1366	половиной
RU1367	метров.
RU1368	В
RU1369	мутных
RU1370	водах
RU1371	реки
RU1372	для
RU1373	охоты
RU1374	и
RU1375	навигации
RU1376	они
RU1377	используют
RU1378	эхолокацию.
RU1379	Часто
RU1380	дельфины
RU1381	инии
RU1382	охотятся
RU1383	сообща.
RU1384	Они
RU1385	загоняют
RU1386	косяки
RU1387	рыб
RU1388	на
RU1389	мелководье.
RU1390	Дельфины
RU1391	инии
RU1392	-
RU1393	стайные
RU1394	животные,
RU1395	и
RU1396	во
RU1397	время
RU1398	брачного
RU1399	сезона
RU1400	между
RU1401	самцами
RU1402	возникает
RU1403	конкуренция.
RU1404	способ
RU1405	ухаживания
RU1406	самцов
RU1407	уникален.
RU1408	Они
RU1409	зажимают
RU1410	между
RU1411	челюстями
RU1412	большие
RU1413	камни
RU1414	и
RU1415	показывают
RU1416	их
RU1417	самкам.
RU1418	Возможно,
RU1419	каждый
RU1420	самец
RU1421	хочет
RU1422	показать,
RU1423	насколько
RU1424	он
RU1425	силён
RU1426	и
RU1427	ловок,
RU1428	и
RU1429	тем
RU1430	самым
RU1431	убедить
RU1432	самку,
RU1433	что
RU1434	он
RU1435	будет
RU1436	лучшим
RU1437	отцом
RU1438	её
RU1439	потомству.
RU1440	Успешная
RU1441	демонстрация
RU1442	ведёт
RU1443	к
RU1444	брачному
RU1445	союзу.
RU1446	Даже
RU1447	для
RU1448	таких
RU1449	огромных
RU1450	рек,
RU1451	как
RU1452	Амазонка,
RU1453	путь
RU1454	к
RU1455	морю
RU1456	не
RU1457	всегда
RU1458	бывает
RU1459	лёгким
RU1460	и
RU1461	непрерывным.
RU1462	Водопад
RU1463	Игуасу
RU1464	на
RU1465	границе
RU1466	Бразилии
RU1467	и
RU1468	Аргентины
RU1469	-
RU1470	один
RU1471	из
RU1472	крупнейших
RU1473	водопадов
RU1474	в
RU1475	мире,
RU1476	2,5
RU1477	километра
RU1478	шириной.
RU1479	Каждую
RU1480	секунду
RU1481	здесь
RU1482	обрушивается
RU1483	вниз
RU1484	13
RU1485	миллионов
RU1486	литров
RU1487	воды.
RU1488	Все
RU1489	самые
RU1490	широкие
RU1491	водопады
RU1492	мира:
RU1493	виктория,
RU1494	Ниагара
RU1495	и
RU1496	Игуасу
RU1497	располагаются
RU1498	в
RU1499	низовьях
RU1500	рек.
RU1501	На
RU1502	последнем
RU1503	этапе
RU1504	своего
RU1505	пути
RU1506	реки
RU1507	разливаются
RU1508	и
RU1509	устало
RU1510	текут
RU1511	по
RU1512	заливным
RU1513	лугам.
RU1514	Ежегодно
RU1515	в
RU1516	сезон
RU1517	дождей
RU1518	в
RU1519	Бразилии
RU1520	река
RU1521	Парана
RU1522	выходит
RU1523	из
RU1524	берегов
RU1525	и
RU1526	затапливаеттерриторию
RU1527	равную
RU1528	по
RU1529	площади
RU1530	Англии.
RU1531	Это
RU1532	-
RU1533	Пантанал
RU1534	-
RU1535	самые
RU1536	обширные
RU1537	болота
RU1538	в
RU1539	мире.
RU1540	В
RU1541	этих
RU1542	медленнотекущих
RU1543	водах
RU1544	процветают
RU1545	водные
RU1546	растения,
RU1547	такие
RU1548	как
RU1549	гигантская
RU1550	кувшинка
RU1551	виктория
RU1552	Реггия,
RU1553	листья
RU1554	её
RU1555	достигают
RU1556	двух
RU1557	метров
RU1558	в
RU1559	диаметре.
RU1560	Эти
RU1561	подводные
RU1562	леса
RU1563	служат
RU1564	местом
RU1565	размножения
RU1566	многочисленных
RU1567	рыб.
RU1568	Здесь
RU1569	обитает
RU1570	более
RU1571	300
RU1572	видов
RU1573	рыб,
RU1574	включая
RU1575	краснобрюхих
RU1576	пираний.
RU1577	Есть
RU1578	и
RU1579	другие
RU1580	хищники,
RU1581	например,
RU1582	крокодиловый
RU1583	кайман.
RU1584	спелые
RU1585	фиги,
RU1586	которые
RU1587	падают
RU1588	в
RU1589	воду,
RU1590	служат
RU1591	пищей
RU1592	стаям
RU1593	голодных
RU1594	рыб.
RU1595	Этот
RU1596	шум
RU1597	привлекает
RU1598	рыбу
RU1599	дорадо,
RU1600	которую
RU1601	местные
RU1602	рыбаки
RU1603	называют
RU1604	речным
RU1605	тигром.
RU1606	Дорадо
RU1607	патрулирует
RU1608	стаи
RU1609	рыб,
RU1610	выжидая
RU1611	удобный
RU1612	момент
RU1613	для
RU1614	атаки.
RU1615	Пираньи
RU1616	тоже
RU1617	ожидают
RU1618	своего
RU1619	часа
RU1620	и
RU1621	готовы
RU1622	схватить
RU1623	раненую
RU1624	рыбу.
RU1625	Начинается
RU1626	безумный
RU1627	пир.
RU1628	Пираньи
RU1629	могут
RU1630	за
RU1631	считанные
RU1632	минуты
RU1633	обглодать
RU1634	рыбу
RU1635	до
RU1636	костей.
RU1637	Многочисленными
RU1638	рыбами
RU1639	кормятся
RU1640	так
RU1641	же
RU1642	большие
RU1643	стаи
RU1644	водоплавающих
RU1645	и
RU1646	околоводных
RU1647	птиц.
RU1648	Розовые
RU1649	колпицы
RU1650	-
RU1651	лишь
RU1652	один
RU1653	из
RU1654	650
RU1655	видов
RU1656	птиц,
RU1657	обитающих
RU1658	в
RU1659	болотах
RU1660	Пантанала.
RU1661	Колпицы
RU1662	гнездятся
RU1663	рядом
RU1664	с
RU1665	лесными
RU1666	аистами
RU1667	и
RU1668	образуют
RU1669	многотысячные
RU1670	колонии.
RU1671	Крокодиловые
RU1672	кайманы,
RU1673	притаившись
RU1674	под
RU1675	водой,
RU1676	ждут,
RU1677	пока
RU1678	пища
RU1679	сама
RU1680	упадёт
RU1681	к
RU1682	ним
RU1683	в
RU1684	пасть.
RU1685	Там,
RU1686	где
RU1687	реки,
RU1688	наконец,
RU1689	достигают
RU1690	моря,
RU1691	они
RU1692	замедляют
RU1693	свой
RU1694	бег,
RU1695	освобождаются
RU1696	от
