Апланета Адгьыл	ПЛАНЕТА ЗЕМЛя
Гоби адунеи аҿы иҟоу егьырҭ асакарақәа иреиԥшӡам, аха абра изышьақәгылеи иара?	Гоби не похожа на другие пустыни мира, но почему пустыня возникла именно здесь?
Уи зыхҟьаз ҳәа мзызс иамоу Гималаи ауп.	Тому есть одна простая и веская причина - Гималаи.
Аладантә аԥшақәа иаарго аԥҭақәа ара ари ашьха ду иагәыдҳалоит, уантә хыхьҟа ианхалалак, дара рцәаакыра зегьы аладатәи ахәқәа ирықәнаҭәоит, агьи аганахь ишьҭоу адгьылқәа ирыхьӡаӡом, шамахамзар.	Облака, которые ветры гонят с юга, наталкиваются на гигантский барьер, поднимаясь вверх, они изливают всю свою влагу на южные склоны, и землям, лежащим с другой стороны, почти ничего не достаётся.
Асакарақәа бзианы иубарҭоуп акосмос аҟнытә.	Пустыни хорошо видны из космоса.
Аԥслымӡ хәқәа шә-километрала адгьыл иқәшьшьы ицоит.	Песчаные барханы в сотни километров длиной катятся по поверхности земли.
Аҵиаа зынӡа иахьыҟам ацаҟьақәа шьақәгыларақәа рҿы џьашьахәқәак цәырҵуеит.	При полном отсутствии растительного покрова в скальных породах обнажаются странные образования.
Африкатәи асакара Сахара.Зегь раасҭа адунеи аҿы идуу.	Африканская пустыня сахара - самая большая пустыня в мире.
Иара Иеиду Америкатәи Аштатқәа зегьы ааидкыланы ирыҵаркуа аҟара аҵанакуеит.	Она занимаеттерриторию, равную площади соединённых Штатов.
Сахара ауп адунеи зегьы аҿы аԥслымӡи асабеи злыҵуа.	сахара - это крупнейший источник песка и пыли во всём мире.
Аԥслымӡ фырҭын иаалырҟьаны асакара иаақәлоит, уи акыраамҭа бла иамбо ихнаҩоит, Англиа зегьы иамҽханакуа аҟара .	Песчаная буря налетает внезапно, она на многие дни лишает видимости территорию размером с Англию.
Аха дромоден захьӡу џьыҟәк змоу амахҽқәа, аангылаӡом абарҭ афырҭынқәа раангьы.	Но одногорбые верблюды, дромодены, не останавливаются даже во время таких бурь.
Аԥслымӡ хьанҭа хыхь адгьыл аҟнытә метрақәак роуп иахьышьҭыҵуа, аԥслымӡ быбыцқәа – аԥша 5 километрак иаманы хыхь, аҩадаҟа ихалоит.	Тяжёлый песок поднимается лишь на несколько метров над землёй, а мелкая пыль уносится ветром на высоту 5 километров.
Тоннала аԥслымӡ хәшырбыб шьҭызхуа афырҭын бааԥс ауп асакарақәа шьақәзыргылогьы.	Ураганный ветер, поднимающий тонны песчинок - вот фактор, который формирует все пустыни.
Аҳәазақәа амса цәа рхоуп, уи ауп арҭ аԥстәқәа аԥслымӡ џьаџьа иацәызыхьчогьы.	Кожа рептилий покрыта роговыми чешуйками, и они защищают этих животных от колючих песчинок.
Амаҵақәа рзы ари ажәылара бааԥс шәарҭоуп.	Для насекомыхтакая бомбардировка может привести к серьёзным травмам.
Акызаҵәык ирылшо, рхы рыхьчаразы, адгьыл иҵалароуп.	Единственный выход - уйти под землю.
Аԥслымӡ ихәыҵалароуп.	Зарыться в песок.
Анаатә еилагьежьуа, илакьуа ианықәу иааҟәымҵӡакәа аԥслымӡ аманы инаскьоит аԥслымӡ хәқәеи аԥслымӡ раани шьақәыргыло.	Вихри, кружась и вращаясь, беспрестанно перемещают песок и создают песчаные барханы и песчаные гряды.
Арҭ аԥслымӡ мшынқәа надаада шә-километрак рҟынӡа рыҵаркуеит.	Такие песчаные моря могут иметь сотни километров в поперечнике.
Намибиа иқәсуа аԥшақәа адунеи аҿы зегь раасҭа иҳараку аԥслымӡ хәқәа шьақәдыргылеит.	В Намибии ветры создали самые высокие барханы в мире.
Урҭ ргылара 300 метра рҟынӡа иҟалоит. .	Эти барханы достигают высоты 300 метров.
Аԥшақәа ихдырбгало ақәцәқәа роуп, убри аҟнытә иеиҭаҵуагьы аԥслымӡ хәқәа рықәцәқәа роуп.	Ветер постоянно сдувает песчинки с гребней, поэтому движутся только верхушки барханов.
Арҭ ахәқәа шьақәзыргылаз аԥслымӡ сакарақәа рҿы иеизаз аԥслымӡ аиҳарак, хә-нызықь шықәса раахыс иеиҭамҵӡакәа, иахьышьҭац ишьҭоуп.	Основной массив песка, которые образует эти барханы, не перемещался на протяжении пяти тысяч лет.
Ари аидара - иааҟәымҵӡакәа иасуа аԥша, аԥслымӡи иареи еилаланы иҟарҵо ақәыӷәӷәара - адгьылшьақәгыларақәа зегьы ирылаӡаӡом.	Немногие породы способны выстоять под постоянным напором ветра пополам с песком.
Арҭ акьыр цаҟьақәа Мысра асакара шкәакәаҿоуп иахьыҟоу, аха урҭ шьҭа рыҿҳәара ааигәоуп.	Эти известняковые скалы находятся в белой пустыне, в Египте, но им уже осталось недолго существовать.
Урҭ аанҿасрада аԥша еиԥхьнарттоит, иагьыԥслымӡхоит.	Они неумолимо выветриваются и превращаются в песок.
Уажәы амшын ԥслымӡ аҿы – иԥсарҽхаз адгьылшьақәгыларақәа дгьылбжьахаҵас ана-ара иԥсаҟьаны иқәыԥсоуп.	сейчас по морю песка разбросаны островки рыхлой породы.
Зықәцәқәа ҵару, 100 метрак агылара змоу арҭ апирамидақәа ажәытә зны иеизадаз ахаҳәтә хәы иацын.	Эти остроконечные пирамиды высотой до 100 метров, когда-то были частью сплошного каменистого плато.
Аԥша иацны иаауа аԥслымӡ, аҵыхәтәан, иҟаӡамшәа иқәнахуӡоит урҭ.	Песок, летящий вместе с ветром, в конце концов, уничтожит и их.
Шаҭара злам аԥша иааҟәымҵӡакәа асакарақәа рхаҿра рыԥсахуеит, аха ԥсахра зықәӡамгьы акы ыҟоуп.	Под действием беспощадного ветра облик пустыни постоянно меняется, но одно остаётся неизменным.
Амра ашыра иарбо ацәаакыра асакара иқәу зегьы рыԥсҭазаареи рҵасқәеи акыр ирныԥшуеит, анырра анаҭоит.	Неизменно жаркое солнце. солнечная жара и способность солнца испарять влагу оказали огромное влияние на строение и привычки всех обитателей пустынь.
Амра ааӡагоуп, аԥсҭазаара ацуп, аха Аԥырхага ӷәӷәагьы ҟанаҵоит.	солнце несёт жизнь, но это и потенциальный убийца.
Убри аҟнытә акенгуру аԥшь дуқәа ргәырҽанызароуп	Большие рыжие кенгуру должны с этим считаться.
Макьана, Амра лаҟәны иҟанаҵ ишәарҭаӡам, аха аҭагылазаашьа лассы аҽаԥсахуеит.	сейчас, пока солнце стоит низко повода для беспокойства нет, но ситуация быстро меняется.
Австралиа апланетаҿы даҽаџьара аасҭа аарҩара ахьыҟоу континентуп.	Австралия - самый засушливый континент планеты с очень высокими дневными температурами.
Ара ҽынла ашоура бааԥсқәа ҟалоит. Ес-сааҭ ашоура 5 градуск ихалоит.	Каждый час температура повышается на 5 градусов по Цельсию.
Лассы аԥстәқәа рзы ишәарҭахо аҟынӡа ишоурахоит.	скоро жара достигнет критической точки.
Хыҵакырҭа змауз акенгуру ашоура ахы иасыр, иҭахар алшоит.	Любой кенгуру, оставшийся без укрытия, рискует перегреться и погибнуть.
Амра аҵаҟа, адгьыл ахыхь аҳауа шьҭа 70 градус рҟынӡа ихалоит.	На солнце температура у поверхности Земли достигает уже 70 градусов.
Шьыбжьагәазы Амра еиҳагьы аҽарӷәӷәоит, акенгуру аҽамҵәыхар иазымчҳауа иҟалоит.	К полудню солнце уже палит так интенсивно, что кенгуру вынуждены искать укрытие.
Ашәшьыраҿы – ишиашоу амра ашәахәақәа ирцәыҵәахуп, аха иара ацәеижь амцашоура есааира ахалара иаҿуп.	В тени они защищены от прямого солнечного излучения, но температура тела всё равно продолжает подниматься.
Убри аҟнытә ацәа аҵаҟаҵәҟьа ашьа ныҟәызго адақәа ахьыҟоу аҭыԥқәа рҿы –аԥхьатәи ашьапқәа рырбзара иалагоит.	Поэтому они облизывают передние лапы в тех местах, где кровеносные сосуды располагаются под самой кожей.
Абас акенгуру ажәӡы ихылҩа-ԥсылҩаханы, ианақәбалак ашьа архьшәашәоит.	И слюна, испаряясь, охлаждает кровь.
Абри асахьала иубоит абри апроцесс шаҟа лыҵшәа аманы имҩаԥысуа.	Тепловое изображение показывает, насколько эффективен этот процесс.
Аеҵәа ԥшшәы иеиҳа ихьшәашәаз ацәеижьхәҭақәа роуп.	Голубой цвет - это более холодные части тела.
Ажәӡы шақәбаз еиԥшҵәҟьа, еиҭа иналагоит ари апроцесс, аха уи акенгуру аорганизм акыр аӡы ацәнарӡуеит.	Кактолько слюна высыхает, процесс приходится начинать сначала, и это сильно истощает запас жидкости в организме кенгуру.
Ашәшьыраҿгьы адгьыл адырган еиԥшҵәҟьа ишуп, убри аҟнытә акенгуру аԥслымӡ хыхьтәи аҿыгҳара еиԥхьырттаауа, ажра иалагоит еиҳа иахьыхьшәашәоу аҟынӡа инаӡаразы.	Даже в тени земля раскалена, как сковородка, поэтому кенгуру раскапывают верхний, горячий слой песка, чтобы добраться до более прохладных его слоёв.
Абас, ашәшьыра рҽаҭаны, рцәеижь ашыра рыжәӡала ирхьшәашәо, акенгуруқәа амра ацара рмысыртә, рхы иацклаԥшуа, ашоура бааԥсқәа рхыргоит.	И воттак, держась в тени, регулируя температурутела при помощи слюны, кенгуру способны пережить самое жаркое время суток без теплового удара.
Аха аԥстәқәа реиҳарак ас мацара рхы рзыхьчаӡом.	Но для большинства животныхтакой стратегии для выживания мало.
Фенека захьӡу африкатәи абгахәыҷы алымҳа дуқәа аԥхарреиҭныԥсахлара апроцесс иалахәуп, аха арҭ аԥстәқәа даҽакалагьы рыҽдырхьшәашәоит.	Огромные уши африканской лисички фенека участвуют в процессе теплообмена, но у этих животных есть ещё один способ охлаждения.
Урҭ амш зегьы анышә ихәыҵоуп, амра ҭашәо ианалагалак ихәыҵыҵуеит ауп.	Просто весь день они проводят под землёй и вылезают на закате.
Алашьцара аиҭакрақәа маҷымкәа иацны иааиуеит. Сахара уахынла ҽынла аасҭа аҳауа 30 градус иеиҵахоит, уахынла аԥацәа цәырҵны ихәмарыртә аҟынӡа ихьшәашәарахоит.	Ночная темнота приносит огромные перемены, в сахаре ночная температура ниже дневной на 30 градусов, то есть достаточно прохладно, чтобы детёныши могли поиграть.
Зыҭрақәа ирҭымҵуа арбану. Урҭ ирылоуп џьашьахәқәакгьы.	Всевозможные существа вылезают из своих убежищ, в том числе весьма необычные.
Аҽаҩрадаӷьқәа рцәа аӡы алсуеит аҟынтә, шьыбжьагәазы амра анкацеиуа, аӡыдара иаганы иԥсыр алшоит азы рхыхьчарҭақәа ианырҭыҵуа уахынлоуп.	Кожа у жаб водопроницаемая, и в полуденный зной им грозит смерть от обезвоживания, лишь ночью они могут покинуть свои убежища.
Абас ауп ишыҟоу амариалқәагьы, урҭ рцәа аӡалымсуашәа ишыҟоугьы.	Тоже относится и к скорпионам, хотя их панцирь и кажется водонепроницаемым.
Ара, ишыҟаҵәҟьоу усоуп. Аԥстәқәа уахынлоуп ианцәырҵуа аҟнытә уахынлоуп асакарақәа рҿы иҟоу аԥстәқәа рыԥсҭазаара абеиара убаратәы, ахә ушьаратәы ианыҟоугьы.	На самом деле, большинство обитающих здесь животных ведёт ночной образ жизни, поэтомутолько ночью можно по-настоящему оценить богатство животного мира пустыни.
Аха аԥстәқәа ирцәыӡуа аӡы акала ихаҭәаауазароуп, Ари ауп уадаҩрас иҟоугьы, асакарақәа ирықәу зегьы рзы.	Но потеря влаги даже ночью должна каким-то образом восполняться, и это - главная проблема в жизни всех обитателей пустынь.
Атакама – чилиатәи сакароуп – адунеи аҿы иааҟоу асакарақәа зегь раасҭа аӡы згу, аарҩара ахьыҟоу.	Атакама - чилийская пустыня - самая сухая пустыня в мире.
Ара ҭыԥқәак 50 шықәса қәа рымбаӡац.	В некоторых её областях дождей не бывает по 50 лет,
Ари удыруа, ара иԥсҭазаарадоу аԥслымӡқәа роуп иҟоу ҳәа агәаанагара уоууеит Аха уи ус акәым.	и, зная об этом, ожидаешь увидеть безжизненные пески. Но это не так.
Гәанако захьӡу Аладамерикатәи џьыҟә змам амахҽқәа	Южноамериканские безгорбые верблюды гуанако.
Урҭ рорганизм аҿы аӡы нымхкәа, аҵәахра иақәшәоит, Аха убри аангьы, аӡы адгаланы иамазароуп есқьынгьы.	Они умеют сохранять влагу в организме, и всё же им необходим постоянный запас воды.
Гәанако ҳәы изышьҭоу амахҽқәа аӡы акактусқәа ирылырхуеит.	Гуанако извлекают воду из цветов кактусов,
Аха ара азҵаара узцәырҵуеит: дара акактусқәа қәада рыԥсы злаҭои?	но такое объяснение вызывает другой вопрос, а как же кактусы выживают без дождей?
Аԥша цақәа асакарақәа аӡы рылрыцәцәаауеит аҵыхәанӡа.	Горячие ветры полностью высушивают поверхность пустыни.
Аха ара ақәа зыԥсахуа ак ыҟазар алшоит.	Вероятно, здесь есть ещё что-то, что заменяет дождь.
Амаӡа – адгьыл иацтәараны (параллельно) ицо амшынмҩасра хьшәашәаҿы иҵәахуп.	секрет в холодном морском течении, которое проходит параллельно суше.
Гумбольдт иӡымҩасра.	Течении Гумбольдта.
Ицәааку аҳауа ԥха аокеан ахыхь ихьшәашәоит, анаҩс анаҟә ахылҵуеит.	Влажный тёплый воздух над океаном охлаждается, и в результате образуется туман.
Амшын аҟнытә иасуа аԥша, анаҟә амшын иахыганы адқәа рышҟа ихараны иагоит.	Ветер, дующий с моря, сносит туман вглубь суши.
Хара имгакәа акактусқәа ӡаӡа цәыкәбарла ихҟьахоит.	И очень скоро кактусы покрываются капельками росы.
Анаҟә иааԥмырҟьаӡакәа иахьышьақәгыло иабзоураны акактусқәа ахәы рықәиааиуеит (ихәтәуеит), урҭ аӡы бзиа ирбоит азы шәымгьарҵас (губка)аӡы алрыцәцәаауеит.	Туман образуется настолько регулярно, что на кактусах образуются влаголюбивые лишайники, они поглощают влагу как губки.
Машәырны акәӡам Атакама, шамахамзар қәа ахьымлеиуа, анаҟәқәа рсакара ҳәа изашьҭоугьы, арҭ хәы змаӡам ацәыкәбарқәа роуп хкы рацәала аԥстәқәа рыԥсы еқәдзырхо..	Недаром Атакаму называют пустыней туманов, на земле, где почти нет дождей, эти бесценные капли спасают жизнь многим видам животных.
Аризон иҟоу Сонора асакараҿы Атакамеиԥш аарҩараӡам, ара Зны-зынла ақәа леиуеит,аха уигьы уарла-шәарлоуп азы, ақәоурақәа ианрылагалак аԥстәқәеи аҵиаақәеи ацәаакыра зегьы рхы иадырхәароуп.	В удалённых от моря районах воздух остаётся настолько сухим, что влага из него не конденсируется, поэтому узкий отрезок побережья - единственное место в Атакаме, где процветает жизнь. Без туманов здесь тоже была бы мёртвая пустыня.
Абар ақәа алагеит.	Гуанако тоже активно собирают росу, скоро её не станет,
Аԥхынтәи амуссонқәа раан адунеи аҿы зегьы иреиҳау рахь иԥхьаӡо агигантә кактусқәа сагуаро, ргәацԥыҳәаны иԥсҭаҵагоу ацәаакыра рыдыркылоит.	через час-другой солнце высушит кактусы, и роса испарится.
Ақәаршҩы анаҩс, хыхь ишьҭоу сагуаро адацқәа итәяәырԥсаны идәықәлаз, Адгьыл ацәаакыра зегьы алрыцәцәаауеит, аҵиаа агәыцәқәа ахьырҽу иабзоураны рыҽдырчуеит.	Пустыня санора в Аризоне не такая засушливая как Атакама, дожди здесь иногда бывают, но очень нерегулярно, и когда они приходят, животные и растения должны быть готовы использовать влагу до конца.
Сагуарак амацара агәыцә 5 тоннак аӡы алалоит.	И вот дождь приходит. В период летних муссонов гигантские кактусы сагуаро, одни из самых больших в мире, с готовностью принимают потоки живительной влаги. После ливня разветвлённая корневая система сагуаро, расположенная у самой поверхности земли, высасывает всю влагу, и стволы растений, благодаря складкам, раздуваются.
Ари мызла иҟоу аарҩара иӷыҵысразы иазхоит, хымԥада.	ствол одного сагуаро способен вместить 5 тонн воды, этого вполне достаточно, чтобы пережить многомесячную засуху.
Асакара ҵларкәыкәқәа агигантә кактусқәа ргәыцәқәа иаарысуа икылрыҵәҵәоит.	В стволах гигантских кактусов делают свои дупла пустынные дятлы.
Аха акактусқәа ргәылара зхы иазырхәо, аԥсаатә рымацара ракәӡам.	Но не только птицы извлекают выгоду из соседства с кактусами.
Сагәаро акактусқәа аԥхын ԥшьымчыбжьа ашәҭра иаҿуп азы Уахынла рымати аизшаразы ирыдрыԥхьало маҷӡам.	сагуаро цветут летом на протяжении четырёх недель и привлекают многих опылителей по ночам.
Урҭ рыҩныҵҟа иҟоуп ахәылԥҵыс.	среди них летучие мыши.
Арҭ ашәҭқәа абыбыци аматии рацәаны ирымоуп аҟынтә Абыӷьныҟәгацәеи мексикатәи аԥынҵауқәеи рыдрыԥхьалоит.	Пыльца и нектар, которыми полны эти цветы, привлекают листоносов и мексиканских длинноносов.
Мышқәак раԥхьа ашоура иацәыбналаны Мексика ааныжьны иқәҵит, уажәы аҩадаҟа иԥырны ицоит, Иеиду Америкатәи аладатәи аштатқәа рышҟа.	Несколько дней назад, спасаясь от летней жары, эти мыши покинули Мексику и сейчас летят на север, в южные штаты сША.
Амҩан Санора асакара еиҩҵәаны ицароуп.	На пути им нужно пересечь пустыню санору.
Аха ари асакара убри аҟара идууп, Даҽазны уи ахыԥраара рылшаӡом,	Но пустыня так велика, что в другое время года пересечь её этим рукокрылым не под силу,
Уажәы, асагуароқәа анышәҭуа, иаангыланы, акы инацҳаны, рымч нҭарҵоит.	только сейчас, когда цветут сагуаро, они могут сделать остановку и подкрепиться.
Абасала, сагуаро аӡеингалара ахьрылшо аԥстәқәа рзы даара акраҵанакуеит, асакарақәа рҿы инхо, мамзаргьы иахысны ицо аԥстәқәа рзы.	Так что способность сагуаро запасать воду имеет решающее значение для животных, которые живут в пустыне или просто пересекают её.
Акактус сагуаро.	Кактус сагуаро,
Ацәаакыра азымхара иахҟьаны ишьақәгылаз асакара, символра азнауеит.	облик этого символа пустыни сформировался вследствии нехватки влаги,
Аха асакара ахаҿы шьақәзыргылаз аԥшақәа рымацара ракәӡам. Урҭ ирыцхрааит аӡгьы, иага имаҷзаргьы.	но облик пустыни сформировали не только ветры, но и вода, как бы мало её не было.
Иута асакарақәа рҿы аԥслымӡрақәа иргәылсны ицоз ажәытәӡатәи аӡиасқәа, есааира иҵцәаауа аҩхааақәа дырҭбаауан, ашьха акьышәкьышәрақәеи ацаҟьа ҵарқәеи рыда акы аанымхо аҟынӡа.	В пустынях Юты древние реки, которые текли среди песчаников, постепенно расширяли каньоны, пока от них не остались лишь шпили и остроконечные скалы.
Ацаҟьа шьақәгыларақәа рҿы ацәаакыра нызкылаша нышә ықәӡам аҟнытә ара аԥсҭазаара, шамахамзар, иҟаӡам..	На поверхности скальных пород нет почвы, которая бы удерживала влагу, поэтому жизни здесь очень мало.
Алшарақәа анмаҷу есқьынгьы аимак цәырҵуеит.	А когда возможности ограничены, всегда возникает конфликт.
Аҩадатәи Африка. Нубиатәи асакара. .	северная Африка, нубийская пустыня.
Нубиатәи абшьтәақәа/абкәырқәа аидыслара рҽаздырхиот.	Нубийские горные козлы готовятся к поединку.
Аџьма ҟәыш есқьынгьы иадыруеит акы шаԥеиԥшу, Зегьы иреиӷьуп аҩадаҟа ихалар.	Умный козёл всегда знает: когда пахнет неприятностями, лучший способ - забраться повыше.
Арҭ абқәа зегьы агәыԥ аҿы,шамахамзар, зинла иеиҟароуп.	Все эти самцы занимают в группе примерно одинаковое положение.
Ари баша еидыслараӡам, знык иаҵахаз, ахааназ аҿиара азин ацәыӡит ауп. .	Драки их очень серьёзны, стоит один раз проиграть и можно навсегда потерять своё право на размножение.
Аиӷацәа рымчқәа еиҟаразар, уажәеиԥш, Аидыслара сааҭк иеиҳаны имҩаԥысуеит.	Когда силы соперников равны, как сейчас, поединок может продолжаться более часа.
Ас ианшоуроу аиқәԥара мариам.	На такой жаре драться очень тяжело.
Аха аиааира аб – иазаанаго маҷӡам, акы - аҳаҭыр акыр ишьҭнахуеит, ҩба - аҿиаразы алшарақәа аиууеит.	Но победа доставит самцу важные очки для продвижения наверх иерархической лестницы и для возможности продолжения рода.
Ари аҭагылазаашьа акраӡбоит аҟнытә, ламысла ақәԥара зегьы ирылшом, иаҳҳәап, шьҭахьҟала ажәылара ҟалаӡом.	На карту поставлено так много, что не все дерутся честно, ну, сзади нападать нельзя.
Аха ари аидыслараҿы иаиааиз еилкаауп, абар иара. .	Однако победитель этого поединка определён, вот он.
Аха аԥхьахә хада иара иаӡаӡом. Макьана.	Но главный приз ему не достаётся. Пока.
Уажәы уи абаӷь хада иатәуп.	В настоящий момент он принадлежит главному самцу.
Иара аҳаҭыр ҳаракызар, ауадалықь џьмақәа ирыԥсахраны иҟаӡам, афатәи аӡи ирышьҭаланы асакара иқәланы ианцо, даргьы ацзароуп.	Высокий статус гарантирует ему верность гарема самок, которые следуют за ним по пустыне, пока он занят поисками пищи и воды.
Уи даҽа џьоукы рышьҭалаха амаӡам, дара есқьынгьы иара ааигәа иҟазароуп.	Ему не надо терять времени на поиск партнёрш, они всегда рядом с ним,
Убри аҟнытә урҭ агәыԥ зегьы фатәылеи ӡылеи реиқәыршәара иазхәыцлартәы аҭагылазаашьа арҭоит.	поэтому он с их помощью может сосредоточиться на обеспечении стада всем необходимым.
Аинцәышқәа. – Наџьнатә асакарақәа ирықәынхо ԥстәқәоуп.	ящерицы - исконные обитатели пустынь.
Аха ара, ари аҭыԥаҿы, ҷыдала, рхыԥхьаӡара рацәоуп.	Но вот в этом месте их численность особенно велика.
Аладатәи Африка ацаҟьа еиҟәыршьшьарҭақәа рҿы аинцәышқәа рацәаӡаны рҽеидыркылеит.	В расщелинах скал южной Африки сформировалась особенно высокая концентрация ящериц.
.Платизавр захьӡу аинцәышхәыҷқәа.	ящерки-платизавры.
Урҭ рхәамц ааизыхәхәаны, ргәышҵақәа ԥшшәы хкыла ишәуп.	У них уплощённое тело и разноцветное брюшко у самцов,
Уи убаратәы иаадырԥшуеит аҭыԥ еимактәыс ианроу.	они выставляют его напоказ во время территориальных споров.
Иаҳәараны иҟаз зегьы аҳәеит, шьҭа афатә иазхәыцроуп. .	Он сказал всё, что хотел, теперь пора позаботиться о еде.
Аҳауа аԥхара ианалагалак, аинцәышқәа ацаҟьа аиҟәыршьшьарҭақәа ирҭыҵны алада, аҩхаахь илбаауеит.	По мере прогревания воздуха, ящерицы покидают свои расщелины и спускаются на дно ущелья.
Хықәкыс ирымоу аӡиас аҿы анеироуп.	Их цель - это река.
Аӡы аԥшаҳәаҿы фатә ыҟаӡам, аха ари аӡиас иара амаӡа амоуп.	На берегу пищи нет, но у этой реки есть свой секрет.
Арҩаш ӷьы аҟнытә аҳауахь ес-ҽны акәыбр´ысса халоит.	Каждый день из бурного течения реки в воздух поднимаются мошки.
Абарҭ рзоуп аинцәышқәагьы арахь изаауа.	Ради них и приходят сюда ящерицы.
Арҭ ахәымтқ´арқәа ссақәа адгьыл аҿы итәаӡом аҟнытә аинцәыш шьҭыԥаны афатә аклароуп.	Эти крошечные подёнки никогда не садятся на землю, поэтому ящерице приходится ловить еду в прыжке.
Мышкы ахи-аҵыхәеи, абарҭ аинцәыш еилҟьақәа, дасу, 50 инарзынаԥшуа кәыбрысса ркыр рылшоит.	За день каждая из этих маленьких проворных ящерок может поймать около полусотни мошек.
Арҭ акәыбрыссақәа зныкҟьарала ирышьҭашәарыцо аинцәышқәа шәыкҟа ыҟазаргьы, урҭ зегьы ирызхоит.	Этих мошек хватает на всех, даже если на них одновременно охотятся сотни ящериц.
Аӡы ԥынгыла ахьамам, иахьӷьу аҭыԥқәа рҿы аплатизаврқәа еиҳа имаҷуп, аха ара афатә рацәоуп, ус анакәха, аинцәышқәагьы рацәоуп.	На других участках реки, где нет порогов, численность платизавров меньше, но здесь пищи много, а значит, много и ящериц.
Асакарақәа аӡыдара иахҟьаны ишьақәгылоит, аха ара иҟоу аԥстәқәа ласссы-лассы ашоуреи аӡыдареи рзы акәымкәа, афатә рыгханы ауп ишҭахо.	Пустыни возникают в результате нехватки воды, но обитающие в них животные чаще погибают не от жары или жажды, а от недостатка пищи.
