AB1	Апланета
AB669	ишуп,
AB670	убри
AB671	аҟнытә
AB672	акенгуру
AB673	аԥслымӡ
AB674	хыхьтәи
AB675	аҿыгҳара
AB676	еиԥхьырттаауа,
AB677	ажра
AB678	иалагоит
AB679	еиҳа
AB680	иахьыхьшәашәоу
AB681	аҟынӡа
AB682	инаӡаразы.
AB683	Абас,
AB684	ашәшьыра
AB685	рҽаҭаны,
AB686	рцәеижь
AB687	ашыра
AB688	рыжәӡала
AB689	ирхьшәашәо,
AB690	акенгуруқәа
AB691	амра
AB692	ацара
AB693	рмысыртә,
AB694	рхы
AB695	иацклаԥшуа,
AB696	ашоура
AB697	бааԥсқәа
AB698	рхыргоит.
AB699	Аха
AB700	аԥстәқәа
AB701	реиҳарак
AB702	ас
AB703	мацара
AB704	рхы
AB705	рзыхьчаӡом.
AB706	Фенека
AB707	захьӡу
AB708	африкатәи
AB709	абгахәыҷы
AB710	алымҳа
AB711	дуқәа
AB712	аԥхарреиҭныԥсахлара
AB713	апроцесс
AB714	иалахәуп,
AB715	аха
AB716	арҭ
AB717	аԥстәқәа
AB718	даҽакалагьы
AB719	рыҽдырхьшәашәоит.
AB720	Урҭ
AB721	амш
AB722	зегьы
AB723	анышә
AB724	ихәыҵоуп,
AB725	амра
AB726	ҭашәо
AB727	ианалагалак
AB728	ихәыҵыҵуеит
AB729	ауп.
AB730	Алашьцара
AB731	аиҭакрақәа
AB732	маҷымкәа
AB733	иацны
AB734	иааиуеит.
AB735	Сахара
AB736	уахынла
AB737	ҽынла
AB738	аасҭа
AB739	аҳауа
AB740	30
AB741	градус
AB742	иеиҵахоит,
AB743	уахынла
AB744	аԥацәа
AB745	цәырҵны
AB746	ихәмарыртә
AB747	аҟынӡа
AB748	ихьшәашәарахоит.
AB749	Зыҭрақәа
AB750	ирҭымҵуа
AB751	арбану.
AB752	Урҭ
AB753	ирылоуп
AB754	џьашьахәқәакгьы.
AB755	Аҽаҩрадаӷьқәа
AB756	рцәа
AB757	аӡы
AB758	алсуеит
AB759	аҟынтә,
AB760	шьыбжьагәазы
AB761	амра
AB762	анкацеиуа,
AB763	аӡыдара
AB764	иаганы
AB765	иԥсыр
AB766	алшоит
AB767	азы
AB768	рхыхьчарҭақәа
AB769	ианырҭыҵуа
AB770	уахынлоуп.
AB771	Абас
AB772	ауп
AB773	ишыҟоу
AB774	амариалқәагьы,
AB775	урҭ
AB776	рцәа
AB777	аӡалымсуашәа
AB778	ишыҟоугьы.
AB779	Ара,
AB780	ишыҟаҵәҟьоу
AB781	усоуп.
AB782	Аԥстәқәа
AB783	уахынлоуп
AB784	ианцәырҵуа
AB785	аҟнытә
AB786	уахынлоуп
AB787	асакарақәа
AB788	рҿы
AB789	иҟоу
AB790	аԥстәқәа
AB791	рыԥсҭазаара
AB792	абеиара
AB793	убаратәы,
AB794	ахә
AB795	ушьаратәы
AB796	ианыҟоугьы.
AB797	Аха
AB798	аԥстәқәа
AB799	ирцәыӡуа
AB800	аӡы
AB801	акала
AB802	ихаҭәаауазароуп,
AB803	Ари
AB804	ауп
AB805	уадаҩрас
AB806	иҟоугьы,
AB807	асакарақәа
AB808	ирықәу
AB809	зегьы
AB810	рзы.
AB811	Атакама
AB812	–
AB813	чилиатәи
AB814	сакароуп
AB815	–
AB816	адунеи
AB817	аҿы
AB818	иааҟоу
AB819	асакарақәа
AB820	зегь
AB821	раасҭа
AB822	аӡы
AB823	згу,
AB824	аарҩара
AB825	ахьыҟоу.
AB826	Ара
AB827	ҭыԥқәак
AB828	50
AB829	шықәса
AB830	қәа
AB831	рымбаӡац.
AB832	Ари
AB833	удыруа,
AB834	ара
AB835	иԥсҭазаарадоу
AB836	аԥслымӡқәа
AB837	роуп
AB838	иҟоу
AB839	ҳәа
AB840	агәаанагара
AB841	уоууеит
AB842	Аха
AB843	уи
AB844	ус
AB845	акәым.
AB846	Гәанако
AB847	захьӡу
AB848	Аладамерикатәи
AB849	џьыҟә
AB850	змам
AB851	амахҽқәа
AB852	Урҭ
AB853	рорганизм
AB854	аҿы
AB855	аӡы
AB856	нымхкәа,
AB857	аҵәахра
AB858	иақәшәоит,
AB859	Аха
AB860	убри
AB861	аангьы,
AB862	аӡы
AB863	адгаланы
AB864	иамазароуп
AB865	есқьынгьы.
AB866	Гәанако
AB867	ҳәы
AB868	изышьҭоу
AB869	амахҽқәа
AB870	аӡы
AB871	акактусқәа
AB872	ирылырхуеит.
AB873	Аха
AB874	ара
AB875	азҵаара
AB876	узцәырҵуеит:
AB877	дара
AB878	акактусқәа
AB879	қәада
AB880	рыԥсы
AB881	злаҭои?
AB882	Аԥша
AB883	цақәа
AB884	асакарақәа
AB885	аӡы
AB886	рылрыцәцәаауеит
AB887	аҵыхәанӡа.
AB888	Аха
AB889	ара
AB890	ақәа
AB891	зыԥсахуа
AB892	ак
AB893	ыҟазар
AB894	алшоит.
AB895	Амаӡа
AB896	–
AB897	адгьыл
AB898	иацтәараны
AB899	(параллельно)
AB900	ицо
AB901	амшынмҩасра
AB902	хьшәашәаҿы
AB903	иҵәахуп.
AB904	Гумбольдт
AB905	иӡымҩасра.
AB906	Ицәааку
AB907	аҳауа
AB908	ԥха
AB909	аокеан
AB910	ахыхь
AB911	ихьшәашәоит,
AB912	анаҩс
AB913	анаҟә
AB914	ахылҵуеит.
AB915	Амшын
AB916	аҟнытә
AB917	иасуа
AB918	аԥша,
AB919	анаҟә
AB920	амшын
AB921	иахыганы
AB922	адқәа
AB923	рышҟа
AB924	ихараны
AB925	иагоит.
AB926	Хара
AB927	имгакәа
AB928	акактусқәа
AB929	ӡаӡа
AB930	цәыкәбарла
AB931	ихҟьахоит.
AB932	Анаҟә
AB933	иааԥмырҟьаӡакәа
AB934	иахьышьақәгыло
AB935	иабзоураны
AB936	акактусқәа
AB937	ахәы
AB938	рықәиааиуеит
AB939	(ихәтәуеит),
AB940	урҭ
AB941	аӡы
AB942	бзиа
AB943	ирбоит
AB944	азы
AB945	шәымгьарҵас
AB946	(губка)аӡы
AB947	алрыцәцәаауеит.
AB948	Машәырны
AB949	акәӡам
AB950	Атакама,
AB951	шамахамзар
AB952	қәа
AB953	ахьымлеиуа,
AB954	анаҟәқәа
AB955	рсакара
AB956	ҳәа
AB957	изашьҭоугьы,
AB958	арҭ
AB959	хәы
AB960	змаӡам
AB961	ацәыкәбарқәа
AB962	роуп
AB963	хкы
AB964	рацәала
AB965	аԥстәқәа
AB966	рыԥсы
AB967	еқәдзырхо..
AB968	\
AB969	Аризон
AB970	иҟоу
AB971	Сонора
AB972	асакараҿы
AB973	Атакамеиԥш
AB974	аарҩараӡам,
AB975	ара
AB976	Зны-зынла
AB977	ақәа
AB978	леиуеит,аха
AB979	уигьы
AB980	уарла-шәарлоуп
AB981	азы,
AB982	ақәоурақәа
AB983	ианрылагалак
AB984	аԥстәқәеи
AB985	аҵиаақәеи
AB986	ацәаакыра
AB987	зегьы
AB988	рхы
AB989	иадырхәароуп.
AB990	Абар
AB991	ақәа
AB992	алагеит.
AB993	Аԥхынтәи
AB994	амуссонқәа
AB995	раан
AB996	адунеи
AB997	аҿы
AB998	зегьы
AB999	иреиҳау
AB1000	рахь
AB1001	иԥхьаӡо
AB1002	агигантә
AB1003	кактусқәа
AB1004	сагуаро,
AB1005	ргәацԥыҳәаны
AB1006	иԥсҭаҵагоу
AB1007	ацәаакыра
AB1008	рыдыркылоит.
AB1009	Ақәаршҩы
AB1010	анаҩс,
AB1011	хыхь
AB1012	ишьҭоу
AB1013	сагуаро
AB1014	адацқәа
AB1015	итәяәырԥсаны
AB1016	идәықәлаз,
AB1017	Адгьыл
AB1018	ацәаакыра
AB1019	зегьы
AB1020	алрыцәцәаауеит,
AB1021	аҵиаа
AB1022	агәыцәқәа
AB1023	ахьырҽу
AB1024	иабзоураны
AB1025	рыҽдырчуеит.
AB1026	Сагуарак
AB1027	амацара
AB1028	агәыцә
AB1029	5
AB1030	тоннак
AB1031	аӡы
AB1032	алалоит.
AB1033	Ари
AB1034	мызла
AB1035	иҟоу
AB1036	аарҩара
AB1037	иӷыҵысразы
AB1038	иазхоит,
AB1039	хымԥада.
AB1040	Асакара
AB1041	ҵларкәыкәқәа
AB1042	агигантә
AB1043	кактусқәа
AB1044	ргәыцәқәа
AB1045	иаарысуа
AB1046	икылрыҵәҵәоит.
AB1047	Аха
AB1048	акактусқәа
AB1049	ргәылара
AB1050	зхы
AB1051	иазырхәо,
AB1052	аԥсаатә
AB1053	рымацара
AB1054	ракәӡам.
AB1055	Сагәаро
AB1056	акактусқәа
AB1057	аԥхын
AB1058	ԥшьымчыбжьа
AB1059	ашәҭра
AB1060	иаҿуп
AB1061	азы
AB1062	Уахынла
AB1063	рымати
AB1064	аизшаразы
AB1065	ирыдрыԥхьало
AB1066	маҷӡам.
AB1067	Урҭ
AB1068	рыҩныҵҟа
AB1069	иҟоуп
AB1070	ахәылԥҵыс.
AB1071	Арҭ
AB1072	ашәҭқәа
AB1073	абыбыци
AB1074	аматии
AB1075	рацәаны
AB1076	ирымоуп
AB1077	аҟынтә
AB1078	Абыӷьныҟәгацәеи
AB1079	мексикатәи
AB1080	аԥынҵауқәеи
AB1081	рыдрыԥхьалоит.
AB1082	Мышқәак
AB1083	раԥхьа
AB1084	ашоура
AB1085	иацәыбналаны
AB1086	Мексика
AB1087	ааныжьны
AB1088	иқәҵит,
AB1089	уажәы
AB1090	аҩадаҟа
AB1091	иԥырны
AB1092	ицоит,
AB1093	Иеиду
AB1094	Америкатәи
AB1095	аладатәи
AB1096	аштатқәа
AB1097	рышҟа.
AB1098	Амҩан
AB1099	Санора
AB1100	асакара
AB1101	еиҩҵәаны
AB1102	ицароуп.
AB1103	Аха
AB1104	ари
AB1105	асакара
AB1106	убри
AB1107	аҟара
AB1108	идууп,
AB1109	Даҽазны
AB1110	уи
AB1111	ахыԥраара
AB1112	рылшаӡом,
AB1113	Уажәы,
AB1114	асагуароқәа
AB1115	анышәҭуа,
AB1116	иаангыланы,
AB1117	акы
AB1118	инацҳаны,
AB1119	рымч
AB1120	нҭарҵоит.
AB1121	Абасала,
AB1122	сагуаро
AB1123	аӡеингалара
AB1124	ахьрылшо
AB1125	аԥстәқәа
AB1126	рзы
AB1127	даара
AB1128	акраҵанакуеит,
AB1129	асакарақәа
AB1130	рҿы
AB1131	инхо,
AB1132	мамзаргьы
AB1133	иахысны
AB1134	ицо
AB1135	аԥстәқәа
AB1136	рзы.
AB1137	Акактус
AB1138	сагуаро.
AB1139	Ацәаакыра
AB1140	азымхара
AB1141	иахҟьаны
AB1142	ишьақәгылаз
AB1143	асакара,
AB1144	символра
AB1145	азнауеит.
AB1146	Аха
AB1147	асакара
AB1148	ахаҿы
AB1149	шьақәзыргылаз
AB1150	аԥшақәа
AB1151	рымацара
AB1152	ракәӡам.
AB1153	Урҭ
AB1154	ирыцхрааит
AB1155	аӡгьы,
AB1156	иага
AB1157	имаҷзаргьы.
AB1158	Иута
AB1159	асакарақәа
AB1160	рҿы
AB1161	аԥслымӡрақәа
AB1162	иргәылсны
AB1163	ицоз
AB1164	ажәытәӡатәи
AB1165	аӡиасқәа,
AB1166	есааира
AB1167	иҵцәаауа
AB1168	аҩхааақәа
AB1169	дырҭбаауан,
AB1170	ашьха
AB1171	акьышәкьышәрақәеи
AB1172	ацаҟьа
AB1173	ҵарқәеи
AB1174	рыда
AB1175	акы
AB1176	аанымхо
AB1177	аҟынӡа.
AB1178	Ацаҟьа
AB1179	шьақәгыларақәа
AB1180	рҿы
AB1181	ацәаакыра
AB1182	нызкылаша
AB1183	нышә
AB1184	ықәӡам
AB1185	аҟнытә
AB1186	ара
AB1187	аԥсҭазаара,
AB1188	шамахамзар,
AB1189	иҟаӡам..
AB1190	Алшарақәа
AB1191	анмаҷу
AB1192	есқьынгьы
AB1193	аимак
AB1194	цәырҵуеит.
AB1195	Аҩадатәи
AB1196	Африка.
AB1197	Нубиатәи
AB1198	асакара.
AB1199	.
AB1200	Нубиатәи
AB1201	абшьтәақәа/абкәырқәа
AB1202	аидыслара
AB1203	рҽаздырхиот.
AB1204	Аџьма
AB1205	ҟәыш
AB1206	есқьынгьы
AB1207	иадыруеит
AB1208	акы
AB1209	шаԥеиԥшу,
AB1210	Зегьы
AB1211	иреиӷьуп
AB1212	аҩадаҟа
AB1213	ихалар.
AB1214	Арҭ
AB1215	абқәа
AB1216	зегьы
AB1217	агәыԥ
AB1218	аҿы,шамахамзар,
AB1219	зинла
AB1220	иеиҟароуп.
AB1221	Ари
AB1222	баша
AB1223	еидыслараӡам,
AB1224	знык
AB1225	иаҵахаз,
AB1226	ахааназ
AB1227	аҿиара
AB1228	азин
AB1229	ацәыӡит
AB1230	ауп.
AB1231	.
AB1232	Аиӷацәа
AB1233	рымчқәа
AB1234	еиҟаразар,
AB1235	уажәеиԥш,
AB1236	Аидыслара
AB1237	сааҭк
AB1238	иеиҳаны
AB1239	имҩаԥысуеит.
AB1240	Ас
AB1241	ианшоуроу
AB1242	аиқәԥара
AB1243	мариам.
AB1244	Аха
AB1245	аиааира
AB1246	аб
AB1247	–
AB1248	иазаанаго
AB1249	маҷӡам,
AB1250	акы
AB1251	-
AB1252	аҳаҭыр
AB1253	акыр
AB1254	ишьҭнахуеит,
AB1255	ҩба
AB1256	-
AB1257	аҿиаразы
AB1258	алшарақәа
