AB1	Аӡымшьақәа
AB445	рымоуп.
AB446	Адгьыл
AB447	адхалара
AB448	иҟанаҵо
AB449	анырра
AB450	иабзоураны
AB451	аӡиасқәа
AB452	роуп
AB453	апланетаҿы
AB454	зегь
AB455	раасҭа
AB456	ахырбгалара,
AB457	аилархәашара
AB458	мчы
AB459	ныҟәызго.
AB460	Хә-миллион
AB461	шықәса
AB462	рыҩныҵҟа
AB463	Аризон
AB464	иҟоу
AB465	аӡиас
AB466	Колорадо
AB467	акьыр
AB468	шьақәгыларақәа
AB469	ҵыӡәӡәаауа
AB470	аҩхаа
AB471	дуӡӡақәа
AB472	шьақәнаргылеит.
AB473	Аҩхаақәа
AB474	километраки
AB475	бжаки
AB476	аҵаулара
AB477	рымоуп.
AB478	Рыҭбаара
AB479	-
AB480	иаҳа
AB481	иахьыҭбаау
AB482	аҭыԥаҿы
AB483	17
AB484	км
AB485	рҟынӡа
AB486	инаӡоит
AB487	Абри
AB488	ауп
AB489	,
AB490	адунеи
AB491	аҿы
AB492	иеицырдыруа
AB493	аҩхаа
AB494	Ду.
AB495	Колорада
AB496	аӡиас
AB497	ишьақәнаргылеит
AB498	адунеи
AB499	аҿы
AB500	зегьы
AB501	раасҭа
AB502	иауу
AB503	аҩхаа
AB504	еибаркырақәа.
AB505	…1,5
AB506	зқьы
AB507	км
AB508	аура
AB509	змоу
AB510	Адгьыл
AB511	ацәа
AB512	иану
AB513	ашәахсҭа
AB514	бзиаӡаны
AB515	иубарҭоуп
AB516	акосмос
AB517	аҟнытә.
AB518	Ашьхақәа
AB519	рахьтә
AB520	илбаацыԥхьаӡа
AB521	аӡиасқәа
AB522	есааира
AB523	аԥхара
AB524	иалагоит,
AB525	аԥстқәа
AB526	акрырҿарҵартә
AB527	иҟалоит.
AB528	Индиатәи
AB529	аӡиасқәа
AB530	ирҭоуп
AB531	аиҿцаара
AB532	бзиа
AB533	избо
AB534	аԥсылқәа
AB535	(аԥслы9
AB536	Ирықәу
AB537	рхәы
AB538	рҳәӡам.
AB539	)аацәаратә
AB540	гәыԥны
AB541	иеицынхоит,
AB542	17
AB543	рҟынӡа
AB544	иеицуп.
AB545	Аԥслымӡ
AB546	иқәшьқьаразаауа
AB547	рыхәгьы
AB548	дырбоит,
AB549	реизыҟазаашьақәагьы
AB550	еияьыртәуеит.
AB551	Аԥсыӡкрахь
AB552	ианиаслак,
AB553	урҭ
AB554	рырацәаралоуп
AB555	излаяәяәахо
AB556	.
AB557	Аԥшқақәа
AB558	аԥсыӡкышьақәа
AB559	рҵо
AB560	иалагоит
AB561	ԥшь-ымыз
AB562	анырхыҵлак
AB563	инаркны.
AB564	Аха
AB565	аԥслым
AB566	дуқәа
AB567	роуп
AB568	иеилҟьоугьы,
AB569	иласугьы,
AB570	уи
AB571	адагьы
AB572	ԥсыхәа
AB573	ыҟаӡам
AB574	аԥсыӡкразы.
AB575	Адуқәа,
AB576	зычҳара
AB577	маҷу
AB578	аԥслым
AB579	ԥшқақәа
AB580	ирыхӡыӡаауа,
AB581	иркыз
AB582	аԥсыӡ
AB583	рырҭоит…
AB584	Аԥслым
AB585	дуқәа
AB586	реиҳарак,
AB587	рхала
AB588	иҟоуп,
AB589	аха
AB590	фатәыла
AB591	ибеиоу
AB592	арҭ
AB593	аӡиас
AB594	ԥхақәа
AB595	аԥстәы
AB596	ҭаацәара
AB597	дуқәагьы
AB598	акрырҿарҵоит,
AB599	уи
AB600	моу,
AB601	дара
AB602	иреиҳау
AB603	агыгшәыгқәагьы.
AB604	*шь-метрак
AB605	иҟоу
AB606	аӡмах
AB607	гәылшьап
AB608	зхала
AB609	иҟоу
AB610	аԥслы
AB611	акразы
AB612	акгьы
AB613	аҭахӡам.
AB614	Аха
AB615	аԥслымқәа
AB616	рацәаны
AB617	ианеицу
AB618	иеиқәгәыяуеит
AB619	аҟнытә,
AB620	аҳәаза
AB621	дуқәа
AB622	ирыжәлоит.
AB623	Иеидгылаз
AB624	агәыԥ,
AB625	аиааит
AB626	Аӡиас
AB627	Мара.
AB628	Еикәаҵәиуа
AB629	Мрагыларатәи
AB630	Африка
AB631	акаршәрақәа
AB632	ирықәланы
AB633	ицоит.
AB634	Ашьха
AB635	хәҟьаҟьарақәа
AB636	рҿы
AB637	аӡиасқәа
AB638	рыццакра
AB639	иагдырхоит,
AB640	рымчқәа
AB641	кәадахоит
AB642	аҟнытә,
AB643	ахырбгаларақәа
AB644	иаарҟәыҵны,
AB645	анышәаԥшь
AB646	хьанҭа
AB647	рыманы
AB648	рҿынархоит
AB649	Уи
AB650	аӡқәа
AB651	каҳуа
AB652	ԥшшәыла
AB653	иашәуеит.
AB654	Акаршәрақәа
AB655	ирықәланы
AB656	ицоит
AB657	Гну
AB658	захьӡу
AB659	антилопақәа.
AB660	Есышықәса
AB661	аҳәырҭа
AB662	ҿыцқәа
AB663	ирышьҭаланы,
AB664	Селенгети
AB665	акаршәрақәа
AB666	ирықәсны
AB667	ицоит
AB668	ҩ-миллионк
AB669	инарзынаԥшуа
AB670	аԥстәқәа.
AB671	Аӡышара
AB672	икны
AB673	иаго
AB674	аԥстәқәа
AB675	рзы,
AB676	аӡы
AB677	ԥсеиқәырхагоуп,
AB678	аха
AB679	уи
AB680	ахьшәарҭоугьы
AB681	ыҟоуп
AB682	рыԥсҭазааразы.
AB683	Ара,
AB684	Африка
AB685	зегь
AB686	реиҳа
AB687	агәылшьапқәа
AB688	рацәаны
AB689	иахьеизо
AB690	ҭыԥуп.
AB691	Адоумбеиқәа
AB692	раурақәа
AB693	хә-метрак
AB694	рҟынӡа
AB695	инаӡоит.
AB696	Агәылшьапқәа
AB697	антилопақәа
AB698	анааиуа
AB699	рдыруеит
AB700	азы
AB701	аӡаҿы
AB702	ирзыԥшуп.
AB703	Агәылшьап
AB704	ацқәа
AB705	иџырлыху
AB706	ашьацҳәа
AB707	иаҩызоуп.
AB708	Иаҿыҵашәаз
AB709	аунажьраны
AB710	иҟаӡам
AB711	ахааназы.
AB712	Ари
AB713	антилопа
AB714	ахәнатәразы,
AB715	сааҭк
AB716	аиҳа
AB717	аҭаххеит.
AB718	Антилопа
AB719	агәаҽанӡамкәа
AB720	ианиаразы,
AB721	агәылшьап
AB722	ажәылара
AB723	мацәысеимҟьараны
AB724	имҩаԥысроуп.
AB725	Ара
AB726	аԥсҭазаараҟнытә
AB727	аԥсраҟынӡа
AB728	цәаҳәак
AB729	ауп
AB730	ибжьоу.
AB731	Аӡиасқәа
AB732	реиҳарак
AB733	амшын
AB734	иалалоит.
AB735	Аха
AB736	џьоукы
AB737	аӡиа
AB738	дуқәа
AB739	рҿы
AB740	иаангылоит.
AB741	Ҳапланетаәы
AB742	иҟоу
AB743	аӡиақәа
AB744	ирылоу
AB745	аӡымшьақәа
AB746	20%
AB747	рыла
AB748	иеиҳауп
AB749	аӡиасқәа
AB750	зегьы
AB751	рыҟны
AB752	аасҭа.
AB753	Мрагылара
AB754	Африкатәи
AB755	адгьылеиҟәышьшьаратә
AB756	дәкаршәраҿы
AB757	иҟоуп
AB758	адунеи
AB759	аӡиа
AB760	дуқәа
AB761	хԥа.
AB762	Малави,
AB763	Тангавики,
AB764	Викториа.
AB765	Малави
AB766	арҭ
AB767	ӡиақәа
AB768	зегьы
AB769	иреиҵоуп.
AB770	Аха
AB771	иџьаушьаратәы
AB772	иҟоуп.
AB773	Абри
AB774	аӡиа
AB775	хәыҷ
AB776	иҭоу
AB777	аԥсыӡ
AB778	хкқәа.
AB779	адунеи
AB780	аҿы
AB781	иҟоу
AB782	егьырҭ
AB783	аӡиақәа
AB784	рыҟны
AB785	аасҭа
AB786	иеиҳауп.
AB787	Цихлит
AB788	ҳәа
AB789	изышьҭоу
AB790	аԥсыӡ
AB791	хкқәа
AB792	рымацара
AB793	-
AB794	750
AB795	хкы
AB796	ыҟоуп.
AB797	Урҭ
AB798	зегьы
AB799	1000
AB800	шықәса
AB801	раԥхьа
AB802	арахь
AB803	иаанагаз
AB804	абшьҭрак
AB805	ауп
AB806	изхылҵыз.
AB807	Арҭ
AB808	ҩбаҟа
AB809	метра
AB810	иҭбаау
AB811	аҭаҳарақәагьы
AB812	аԥсыӡқәа
AB813	роуп
AB814	ишьақәзыргылаз.
AB815	Аб
AB816	ԥсыӡқәа
AB817	иҟарҵаз
AB818	аргыларақәа,
AB819	игәцаракны
AB820	иацклаԥшуеит,
AB821	Ари
AB822	аҭаацәалаларазы
AB823	ақәгыларақәа
AB824	ирҭыԥуп
AB825	азы.
AB826	Ацихлидқәа
AB827	уамашәа
AB828	иубаратәы,
AB829	зԥацәа
AB830	ирыхӡыӡаауа
AB831	ҭаацәароуп.
AB832	Урҭ
AB833	рыхшара
AB834	рҿы
AB835	иҭакыҵәҟьаны
AB836	ирааӡоит.
AB837	Аӡиақәа
AB838	рыҟны
AB839	аԥсҭазаара
AB840	акыр
AB841	ианшәарҭахогьы
AB842	ыҟоуп
AB843	.
AB844	.Ахәлара
AB845	ишалагаз
AB846	аԥсыӡ
AB847	гыгшәыгқәа
AB848	дуқәа,
AB849	корифен
AB850	ҳәа
AB851	изышьҭоу,
AB852	ахаҳәқәа
AB853	инарыбжьыҵны
AB854	идәықәлоит
AB855	.
AB856	Адоурҳанқәа
AB857	рҽеибаркны
AB858	шәарыцара
AB859	ианҭыҵуеиԥш,
AB860	ицыхлымуа
AB861	макьана
AB862	ицәоу
AB863	ацихлидқәа
AB864	инарылалоит.
AB865	Урҭ
AB866	алашьцараҿы
AB867	изышьҭоу
AB868	аԥсыӡқәа
AB869	ирышьҭашәарыцоит
AB870	ирхылҵуа
AB871	афымца-мхалдыз
AB872	ацәқәырԥақәа
AB873	ирзыӡырҩуа.
AB874	Ахыҵәахырҭа
AB875	ицәыҵыҵыз
AB876	иарбанзаалаак
AB877	аԥсыӡ
AB878	агыгшәыг
AB879	ԥсыӡқәа
AB880	инарыхәлапҟа
AB881	ицоит.
AB882	Малави
AB883	аӡиа
AB884	-
AB885	аҵа
AB886	700
AB887	метра
AB888	аҵаулараҿы
AB889	иҟоуп.
AB890	Ара,
AB891	шамахамзар,
AB892	ԥсҭазаара
AB893	ахьыҟам
AB894	аҭыԥаҿы
AB895	Ападионкақәа
AB896	рхәаҷақәа
AB897	рҽырцәырҵәахуеит
AB898	.
AB899	Ақәоурақәа
AB900	ианрылагалак,
AB901	урҭ
AB902	аӡы
AB903	ахыхьҟа
AB904	ихалоит,
AB905	Ара
AB906	ҽеиҭакра
AB907	џьашьахәқәак
AB908	мҩаԥысуеит.
AB909	Шарԥазы
AB910	ахәаҷақәа
AB911	ирылҵуа
AB912	иалагоит
AB913	амаҵахкқәа
AB914	рахь
AB915	иаҵанакуа,
AB916	раԥхьатәи
AB917	ападионка
AB918	дуқәа
AB919	Абар,
AB920	шьҭа
AB921	аӡы
AB922	иалҵәрааны
AB923	хыхь
AB924	ажәҩан
AB925	иналалоит
AB926	миллионла
AB927	ападионкақәа.
AB928	Африка
AB929	раԥхьатәи
AB930	аҭҵааҩцәа
AB931	аӡбахә
AB932	рҳәахьан,
AB933	амца
AB934	ықәҵәиааша
AB935	иқәуп
AB936	уҳәаратәы,
AB937	алҩа
AB938	зху
AB939	аӡиақәа.
AB940	Аха
AB941	шә-метрактәи
AB942	аҳаракыраахь
AB943	иеишьҭагыланы
AB944	иҩеиуа
AB945	алҩаҵә
AB946	абзиеибабаратә
AB947	кәашараан,
AB948	иеикәшо
AB949	ихало
AB950	абарҭ
AB951	ападионкақәа
AB952	роуп
AB953	Ара
AB954	ԥхьаҟа
AB955	аҿиаразы,
AB956	рыжәла
AB957	аанрыжьразы
AB958	-
AB959	«рхы
AB960	еиларҵоит»,.ашьҭахь
AB961	ападионка.зегьы
AB962	ҵаҟа
AB963	аӡы
AB964	иалаҳауеит,
AB965	Уа
AB966	рыкәтаяьқәа
AB967	аӡы
AB968	ахыхь
AB969	иаанрыжьуеит,
AB970	абри
AB971	анаҩс,
AB972	дара
AB973	ԥсуеит.
AB974	Малави
AB975	дуӡӡоушәа
AB976	убоит
AB977	азныказы,
AB978	мшынҵас,
AB979	аха
AB980	уи
AB981	иабадукыло
AB982	адунеи
AB983	аҿы
AB984	зегьы
AB985	иреиҳау,
AB986	Мрагыларатәи
AB987	Сибра
AB988	иҟоу
AB989	аӡиа
AB990	Баикал.
AB991	Аӡиа
AB992	Баикал
AB993	аура
AB994	646
AB995	км,
AB996	аҵаулара
AB997	зқьи
AB998	бжаки
AB999	километр
AB1000	инареиҳаны
AB1001	иҟоуп.
AB1002	Иара
AB1003	иалоуп
AB1004	ҳапланетаҿы
AB1005	иҟоу
AB1006	аӡымшьақәа
AB1007	зегьы
AB1008	рахьтә
AB1009	–
AB1010	5
AB1011	тәи
AB1012	ахәҭа.
AB1013	Шықәсык
AB1014	аҩныҵҟа
AB1015	хәымыз
AB1016	аҵаа
AB1017	иҿаҳәаны
AB1018	иамоуп,
AB1019	уи
AB1020	ажәпара
AB1021	метрак
AB1022	инеиҳаны.
AB1023	Баикал
AB1024	адгьыл
AB1025	аҿы
AB1026	зегь
AB1027	раасҭа
AB1028	ижәытәӡатәу
AB1029	ӡиоуп
AB1030	.
AB1031	Иара
AB1032	шҵаауагьы
AB1033	ара
AB1034	ишьақәгылеит
AB1035	акырӡа
AB1036	ибеиуоу,
AB1037	зеиуа
AB1038	хкы
AB1039	маҷу
AB1040	ԥсы
AB1041	аԥстәқәа.
AB1042	Зыԥсы
AB1043	ҭоу
AB1044	аԥсабара.
AB1045	Иара
AB1046	иҭоу
AB1047	ахкқәа
AB1048	рахьтә
AB1049	80%
AB1050	адунеи
AB1051	аҿы
AB1052	даҽаџьара
AB1053	иуԥылаӡом.
AB1054	Урҭ
AB1055	арада
AB1056	даҽаџьарагьы
AB1057	иҭаӡам.
AB1058	Убарҭ
AB1059	рхыԥхьаӡараҿы
AB1060	иҟоуп
AB1061	зыда
AB1062	хкы
AB1063	ыҟам
AB1064	аӡымшьа
AB1065	тиуленгьы
AB1066	Баикалтәи
AB1067	атиулени
AB1068	ашәымгьар
AB1069	колониеи
AB1070	Баикал
AB1071	аокеан
AB1072	иеиԥшны
AB1073	иҟарҵоит
AB1074	аӡиа
AB1075	аасҭа.
AB1076	Ара
AB1077	иҟоуп
AB1078	акреветкақәа
AB1079	иреиԥшу
AB1080	адыяаҷа
AB1081	хкқәа,
AB1082	адоумбеи
AB1083	ганӡсақәа,
AB1084	џьоукы
AB1085	аҳәынаԥқәа
AB1086	ираҟароуп.
AB1087	Урҭ
AB1088	аԥсхаԥсжьыфаҩцәоуп
AB1089	ари
AB1090	аӡиаҿы.
AB1091	Ара
AB1092	абактериақәа
AB1093	рзы
AB1094	аӡы
AB1095	хьшәашәацәоуп
AB1096	аԥсхаԥсжьы
AB1097	аиларбааразы.
AB1098	Аӡиасқәа
AB1099	жәпакы,
AB1100	аӡиақәа
AB1101	рҿы
AB1102	иаанымгалаӡакәа,
AB1103	амшын
AB1104	ахь
AB1105	рымҩа
AB1106	иацырҵоит.
AB1107	Хымԥада,
AB1108	ҳапланетаҿы
AB1109	зегьы
AB1110	иреиҳауп
AB1111	ӡиасуп
AB1112	Амазонка.
AB1113	Уи
AB1114	иаманы
AB1115	ицоит
AB1116	адунеи
AB1117	аҿы
AB1118	иреиҳау
AB1119	аӡиасқәа
AB1120	жәаба
AB1121	иеицҵаны
AB1122	ирымоу
AB1123	аӡқәа
AB1124	раасҭа.
AB1125	Ахы
AB1126	ыҵнахуеит
AB1127	Перуантәи
AB1128	Андқәа
AB1129	рҿы,
AB1130	Бразилиа
AB1131	иқәсны
AB1132	ицоит
AB1133	Мрагылараҟа
AB1134	ахы
AB1135	рханы.
AB1136	Иара
AB1137	иалоу
AB1138	аӡқәа
AB1139	Аладатәи
AB1140	Америка
AB1141	ахԥатәи
AB1142	ахәҭа
AB1143	арԥсаҳәоит.
AB1144	Аҵыхәтәан,
AB1145	иара
AB1146	ахьыҵыҵуантә
AB1147	ф-километраки
AB1148	бжаки
AB1149	рнаҩс,
AB1150	Атлантикатәи
AB1151	аокеан
AB1152	иалалоит.
AB1153	Амазонка,
AB1154	есышықәса
AB1155	миллиард
AB1156	тоннак
AB1157	алыкь
AB1158	аманы
AB1159	ицоит
AB1160	Алыкь
AB1161	аҵаатәаларҭа
AB1162	бзианы
AB1163	иубарҭоуп
AB1164	Аӡиасқәа
AB1165	рчара
AB1166	ҳәа
AB1167	иахьашьҭоу
AB1168	аҭыԥаҿы.
AB1169	Амазонка
AB1170	Рио
AB1171	Негро
AB1172	захьӡу
AB1173	аӡымахәҭа
AB1174	ахьалало
AB1175	Амазонка
AB1176	уамашәа
AB1177	ԥстәыла
AB1178	ибеиоуп.
AB1179	Иахьа
AB1180	ара
AB1181	иҭоу
AB1182	аԥсыӡ
AB1183	хкы
AB1184	рхыԥхьаӡара
AB1185	х-нызықь
AB1186	иреиҳауп.
AB1187	Атлантикатәи
AB1188	аокеан
AB1189	зегьы
AB1190	иҭоу
AB1191	раасҭа
AB1192	иеиҳауп.
AB1193	Амазонка
AB1194	зладуу,
AB1195	ԥсыӡла
AB1196	излабеиоу
AB1197	ала,
AB1198	алшықәсанык
AB1199	аӡымшь
AB1200	мшынҳәақәа
AB1201	акрырҿаҵара
AB1202	алшоит.
AB1203	Инеи
AB1204	мамзаргьы
AB1205	Боуто
AB1206	захьӡу
AB1207	арҭ
AB1208	амшынҳәақәа,
AB1209	ҩ-метраки
AB1210	бжаки
AB1211	ираҟарахоит.
AB1212	Аӡиас
AB1213	аҿы
AB1214	аӡқәа
AB1215	ахьыхәашьу
AB1216	ахырхарҭа
AB1217	ылырхрази
AB1218	ашәарыцареи
AB1219	рзы
AB1220	урҭ
AB1221	рхы
AB1222	иадырхәоит
AB1223	абжьныҩра-
AB1224	локаторқәа.
AB1225	Амшынҳәақәа
