RU1	ПЛАНЕТА
RU172	земли,
RU173	образовала
RU174	огромное
RU175	плато
RU176	шириной
RU177	в
RU178	восемьсот
RU179	километров
RU180	-
RU181	крышу
RU182	Африки.
RU183	За
RU184	многие
RU185	тысячелетия
RU186	дожди
RU187	и
RU188	льды
RU189	превратили
RU190	застывшую
RU191	лаву
RU192	в
RU193	остроконечные
RU194	пики
RU195	и
RU196	каньоны.
RU197	В
RU198	этих
RU199	горах,
RU200	на
RU201	почти
RU202	пятикилометровой
RU203	высоте
RU204	живут
RU205	уникальные
RU206	животные
RU207	-
RU208	обезьяны
RU209	геллады.
RU210	Эти
RU211	обезьяны
RU212	обитаюттолько
RU213	на
RU214	Эфиопском
RU215	нагорье.
RU216	скалы,
RU217	на
RU218	которых
RU219	они
RU220	спят,
RU221	доступны
RU222	только
RU223	профессиональным
RU224	альпинистам.
RU225	У
RU226	геллад
RU227	есть
RU228	для
RU229	этого
RU230	всё
RU231	необходимое:
RU232	самые
RU233	сильные
RU234	пальцы
RU235	среди
RU236	приматов
RU237	и
RU238	настоящее
RU239	бесстрашие.
RU240	Но,
RU241	чтобы
RU242	здесь
RU243	жить,
RU244	недостаточно
RU245	просто
RU246	не
RU247	бояться
RU248	высоты.
RU249	Один
RU250	день
RU251	из
RU252	жизни
RU253	геллад
RU254	-
RU255	это
RU256	наглядное
RU257	пособие
RU258	по
RU259	выживанию
RU260	в
RU261	экстремальных
RU262	условиях.
RU263	Утро
RU264	для
RU265	всех
RU266	обезьян
RU267	-
RU268	это
RU269	время
RU270	ухода
RU271	за
RU272	шерстью
RU273	и
RU274	возможность
RU275	пообщаться
RU276	с
RU277	друзьями.
RU278	Но,
RU279	в
RU280	отличие
RU281	от
RU282	других
RU283	обезьян,
RU284	геллады
RU285	сопровождают
RU286	этот
RU287	ритуал
RU288	непрерывным
RU289	щебетаньем.
RU290	Это
RU291	отличный
RU292	способ
RU293	обменяться
RU294	новостями,
RU295	пока
RU296	руки
RU297	заняты
RU298	делом.
RU299	Но
RU300	время
RU301	общения
RU302	ограничено,
RU303	у
RU304	геллад
RU305	напряжённый
RU306	график
RU307	и
RU308	много
RU309	работы.
RU310	Для
RU311	большинства
RU312	обезьян
RU313	жизнь
RU314	здесь
RU315	невозможна:
RU316	нет
RU317	фруктов
RU318	и
RU319	мало
RU320	съедобных
RU321	насекомых.
RU322	Но
RU323	геллады
RU324	уникальны,
RU325	это
RU326	-
RU327	единственные
RU328	обезьяны
RU329	в
RU330	мире,
RU331	которые
RU332	питаются
RU333	практически
RU334	одной
RU335	травой.
RU336	Они
RU337	образуют
RU338	самые
RU339	большие
RU340	сообщества
RU341	в
RU342	обезьяньем
RU343	мире.
RU344	Численность
RU345	стада
RU346	может
RU347	доходить
RU348	до
RU349	восьмисот
RU350	особей,
RU351	которые,
RU352	как
RU353	антилопы
RU354	гну,
RU355	щиплют
RU356	травку
RU357	на
RU358	высокогорных
RU359	лугах.
RU360	Геллады
RU361	пасутся
RU362	рядом
RU363	с
RU364	горными
RU365	козлами,
RU366	которые
RU367	тоже
RU368	обитаюттолько
RU369	в
RU370	этих
RU371	горах.
RU372	Обычно
RU373	эти
RU374	редкие
RU375	животные
RU376	очень
RU377	пугливы,
RU378	но
RU379	в
RU380	окружении
RU381	геллад
RU382	они
RU383	чувствуют
RU384	себя
RU385	непринуждённо.
RU386	Редко
RU387	увидишь,
RU388	когда
RU389	два
RU390	вида
RU391	травоядных
RU392	уживаются
RU393	на
RU394	одной
RU395	территории,
RU396	но
RU397	это
RU398	-
RU399	особый
RU400	союз,
RU401	который
RU402	выгоден
RU403	обеим
RU404	сторонам.
RU405	Пока
RU406	одни
RU407	стоят
RU408	на
RU409	страже,
RU410	другие
RU411	могут
RU412	спокойно
RU413	кормиться.
RU414	Эфиопские
RU415	шакалы.
RU416	Они
RU417	не
RU418	станут
RU419	нападать
RU420	среди
RU421	бела
RU422	дня.
RU423	с
RU424	наступлением
RU425	сумерек
RU426	жизнь
RU427	на
RU428	плато
RU429	становиться
RU430	намного
RU431	опаснее.
RU432	После
RU433	вечерней
RU434	кормёжки
RU435	остаётся
RU436	немного
RU437	времени
RU438	на
RU439	общение,
RU440	скоро
RU441	им
RU442	придётся
RU443	вернуться
RU444	на
RU445	скалы.
RU446	система
RU447	раннего
RU448	обнаружения
RU449	приводит
RU450	всех
RU451	в
RU452	боевую
RU453	готовность.
RU454	Их
RU455	день
RU456	заканчивается
RU457	так
RU458	же,
RU459	как
RU460	и
RU461	начался,
RU462	на
RU463	крутых
RU464	скалах
RU465	недоступных
RU466	для
RU467	шакалов.
RU468	Эфиопские
RU469	вулканы
RU470	бездействуют,
RU471	но
RU472	в
RU473	других
RU474	частях
RU475	планеты
RU476	регулярно
RU477	происходят
RU478	извержения.
RU479	Действующие
RU480	вулканы
RU481	образуют
RU482	самую
RU483	длинную
RU484	горную
RU485	цепь
RU486	на
RU487	нашей
RU488	планете
RU489	-
RU490	Южно-американские
RU491	Анды.
RU492	Эта
RU493	широкая
RU494	горная
RU495	гряда
RU496	протянулась
RU497	на
RU498	8
RU499	тысяч
RU500	километров,
RU501	от
RU502	экватора
RU503	до
RU504	Антарктиды.
RU505	Она
RU506	возникла
RU507	в
RU508	результате
RU509	столкновения
RU510	тихоокеанской
RU511	плиты
RU512	с
RU513	континентальной
RU514	плитой,
RU515	на
RU516	которой
RU517	расположена
RU518	Южная
RU519	Америка.
RU520	В
RU521	южной
RU522	части
RU523	хребта
RU524	лежат
RU525	горы
RU526	Патагонии.
RU527	сейчас
RU528	разгар
RU529	лета.
RU530	Но
RU531	в
RU532	Андах
RU533	самый
RU534	переменчивый
RU535	климат
RU536	на
RU537	планете,
RU538	и
RU539	гроза
RU540	может
RU541	начаться
RU542	внезапно.
RU543	Температура
RU544	резко
RU545	падает,
RU546	и
RU547	гуанако
RU548	с
RU549	новорождёнными
RU550	детёнышами
RU551	вдруг
RU552	оказываются
RU553	посреди
RU554	снежной
RU555	бури.
RU556	Воттак:
RU557	все
RU558	четыре
RU559	времени
RU560	года
RU561	за
RU562	один
RU563	день.
RU564	Пума
RU565	или,
RU566	как
RU567	её
RU568	ещё
RU569	называют,
RU570	горный
RU571	лев.
RU572	Обычно
RU573	пумы
RU574	держатся
RU575	поодиночке
RU576	и
RU577	ведут
RU578	скрытный
RU579	образ
RU580	жизни.
RU581	Группа
RU582	из
RU583	нескольких
RU584	зверей,
RU585	открыто
RU586	гуляющая
RU587	по
RU588	горам
RU589	-
RU590	большая
RU591	редкость.
RU592	Это
RU593	-
RU594	семья
RU595	-
RU596	мать
RU597	с
RU598	четырьмя
RU599	котятами.
RU600	У
RU601	неё
RU602	есть
RU603	лишь
RU604	одно
RU605	короткое
RU606	лето,
RU607	чтобы
RU608	научить
RU609	их
RU610	технике
RU611	выживания
RU612	в
RU613	горах.
RU614	Кормить
RU615	четырёх
RU616	годовалых
RU617	детёнышей
RU618	-
RU619	это
RU620	настоящий
RU621	подвиг,
RU622	но
RU623	у
RU624	неё
RU625	превосходная
RU626	территория,
RU627	богатая
RU628	пищей
RU629	и
RU630	водой.
RU631	Пройдёт
RU632	ещё
RU633	год,
RU634	прежде
RU635	чем
RU636	детёныши
RU637	смогут
RU638	охотиться
RU639	самостоятельно.
RU640	Пройдёт
RU641	ещё
RU642	год,
RU643	прежде
RU644	чем
RU645	детёныши
RU646	смогут
RU647	охотиться
RU648	самостоятельно.
RU649	Без
RU650	навыков
RU651	и
RU652	опыта
RU653	матери
RU654	они
RU655	не
RU656	переживут
RU657	свою
RU658	первую
RU659	зиму.
RU660	склоны,
RU661	по
RU662	которым
RU663	гуляют
RU664	ветры
RU665	ураганной
RU666	силы,
RU667	сейчас
RU668	безжизненны.
RU669	Чем
RU670	дальше
RU671	на
RU672	север,
RU673	тем
RU674	больше
RU675	опасности
RU676	таят
RU677	в
RU678	себе
RU679	горы.
RU680	Лавина
RU681	движется
RU682	со
RU683	скоростью
RU684	400
RU685	километров
RU686	в
RU687	час
RU688	и
RU689	сметает
RU690	всё
RU691	на
RU692	своём
RU693	пути.
RU694	со
RU695	склонов
RU696	скалистых
RU697	гор
RU698	Америки
RU699	каждую
RU700	зиму
RU701	сходит
RU702	100
RU703	тысяч
RU704	лавин.
RU705	Эта
RU706	горная
RU707	цепь
RU708	является
RU709	продолжением
RU710	гигантского
RU711	хребта,
RU712	который
RU713	тянется
RU714	от
RU715	Патагонии
RU716	до
RU717	аляски.
RU718	Но
RU719	есть
RU720	животные,
RU721	которые
RU722	зимуют
RU723	на
RU724	неприветливых
RU725	склонах
RU726	скалистых
RU727	гор.
RU728	Медведица
RU729	гризли
RU730	выходит
RU731	из
RU732	своей
RU733	берлоги
RU734	после
RU735	шестимесячной
RU736	спячки.
RU737	следом
RU738	за
RU739	ней
RU740	появляются
RU741	2
RU742	медвежонка.
RU743	Они
RU744	делают
RU745	свои
RU746	первые
RU747	шаги
RU748	за
RU749	пределами
RU750	берлоги.
RU751	Крутые
RU752	склоны
RU753	предоставляют
RU754	медвежатам
RU755	надёжное
RU756	убежище.
RU757	Взрослый
RU758	медведь,
RU759	если
RU760	у
RU761	него
RU762	будет
RU763	шанс,
RU764	убьёт
RU765	и
RU766	съест
RU767	любого
RU768	из
RU769	медвежат,
RU770	но
RU771	крупным
RU772	животным
RU773	добраться
RU774	сюда
RU775	очень
RU776	трудно.
RU777	Эта
RU778	самка
RU779	вдвое
RU780	меньше
RU781	любого
RU782	самца,
RU783	но
RU784	даже
RU785	у
RU786	неё
RU787	возникают
RU788	сложности.
RU789	А
RU790	медвежата
RU791	радуются
RU792	и
RU793	снегу,
RU794	и
RU795	жизни
RU796	в
RU797	целом.
RU798	Медведица
RU799	стоит
RU800	перед
RU801	дилеммой:
RU802	она
RU803	6
RU804	месяцев
RU805	ничего
RU806	не
RU807	ела,
RU808	и
RU809	у
RU810	неё
RU811	кончается
RU812	молоко.
RU813	скоро
RU814	ей
RU815	придётся
RU816	покинуть
RU817	убежище
RU818	и
RU819	спуститься
RU820	вместе
RU821	с
RU822	детёнышами
RU823	вниз
RU824	с
RU825	горы.
RU826	Если
RU827	она
RU828	задержится
RU829	на
RU830	склонах,
RU831	всему
RU832	семейству
RU833	грозит
RU834	голодная
RU835	смерть.
RU836	Летом
RU837	скалистые
RU838	горы
RU839	раскрывают
RU840	свой
RU841	истинный
RU842	характер.
RU843	Остроконечные
RU844	вершины,
RU845	с
RU846	которых
RU847	сошёл
RU848	снег,
RU849	обнажают
RU850	свои
RU851	причудливые
RU852	очертания.
RU853	Только
RU854	теперь
RU855	обитатели
RU856	высокогорий
RU857	могут
RU858	подняться
RU859	на
RU860	самый
RU861	верх.
RU862	щтвесные
RU863	скалы
RU864	на
RU865	высоте
RU866	трёх
RU867	километров
RU868	над
RU869	уровнем
RU870	моря.
RU871	Они
RU872	кажутся
RU873	лишёнными
RU874	жизни.
RU875	Но
RU876	и
RU877	здесь
RU878	есть
RU879	животные.
RU880	Медведь
RU881	гризли.
RU882	странно
RU883	видеть
RU884	его
RU885	на
RU886	этих
RU887	каменистых
RU888	кручах.
RU889	И
RU890	трудно
RU891	представить,
RU892	что
RU893	могло
RU894	привлечь
RU895	его
RU896	сюда.
RU897	В
RU898	это
RU899	время
RU900	года
RU901	медведи
RU902	должны
RU903	нагуливать
RU904	жир
RU905	на
RU906	зиму.
RU907	Вместо
RU908	этого
RU909	они
RU910	собираются
RU911	на
RU912	таких
RU913	пустынных
RU914	склонах.
RU915	Но
RU916	у
RU917	них
RU918	есть
RU919	цель.
RU920	Они
RU921	ищут
RU922	необычную
RU923	пищу.
RU924	Бабочки-совки.
RU925	Миллионы
RU926	бабочек
RU927	прилетели
RU928	сюда
RU929	из
RU930	долины,
RU931	спасаясь
RU932	от
RU933	жары,
RU934	и
RU935	сейчас
RU936	откладывают
RU937	яйца
RU938	среди
RU939	камней.
RU940	Вам
RU941	может
RU942	показаться,
RU943	что
RU944	бабочки
RU945	-
RU946	слишком
RU947	скудная
RU948	пища
RU949	для
RU950	медведя,
RU951	однако
RU952	они
RU953	очень
RU954	калорийны
RU955	и
RU956	могут
RU957	сыграть
RU958	решающую
RU959	роль
RU960	для
RU961	победы
RU962	медведя
RU963	в
RU964	борьбе
RU965	за
RU966	существование.
RU967	В
RU968	горах
RU969	идёт
RU970	ещё
RU971	одна
RU972	борьба,
RU973	но
RU974	гораздо
RU975	протяжённее
RU976	по
RU977	времени.
RU978	Эти
RU979	камни
RU980	-
RU981	разрушающиеся
RU982	кости
RU983	гор,
RU984	скалистые
RU985	горы
RU986	больше
RU987	не
RU988	растут,
RU989	а
RU990	медленно
RU991	рассыпаются.
RU992	Все
RU993	горы
RU994	на
RU995	планете
RU996	подвергаются
RU997	разрушительному
RU998	действию
RU999	мороза,
RU1000	снега
RU1001	и
RU1002	льда.
RU1003	Альпы.
RU1004	Возникли
RU1005	примерно
RU1006	15
RU1007	миллионов
RU1008	лет
RU1009	назад,
RU1010	когда
RU1011	дрейфующая
RU1012	на
RU1013	север
RU1014	Африка
RU1015	столкнулась
RU1016	с
RU1017	южной
RU1018	оконечностью
RU1019	Европы.
RU1020	Эти
RU1021	выветренные
RU1022	пики
RU1023	-
RU1024	остатки
RU1025	дна
RU1026	древнего
RU1027	океана,
RU1028	который
RU1029	когда-то
RU1030	разделял
RU1031	2
RU1032	континента.
RU1033	Но
RU1034	это
RU1035	лишь
RU1036	предгорье
RU1037	Альп.
RU1038	В
RU1039	центре
RU1040	хребта
RU1041	вершины
RU1042	достигают
RU1043	пятикилометровой
RU1044	высоты
RU1045	и
RU1046	покрыты
RU1047	вечными
RU1048	снегами.
RU1049	Гора
RU1050	Маттерхорн.
RU1051	Её
RU1052	вершина
RU1053	образована
RU1054	отвесными
RU1055	гранями,
RU1056	на
RU1057	которых
RU1058	снег
RU1059	и
RU1060	держится.
RU1061	Монблан
RU1062	-
RU1063	самая
RU1064	высокая
RU1065	гора
RU1066	в
RU1067	западной
RU1068	Европе.
RU1069	Над
RU1070	зазубренным
RU1071	силуэтом
RU1072	Альп
RU1073	поработали
RU1074	величайшие
RU1075	природные
RU1076	скульпторы
RU1077	-
RU1078	ледники.
RU1079	Огромные
RU1080	массы
RU1081	льда
RU1082	вперемешку
RU1083	с
RU1084	камнями
RU1085	широкими
RU1086	потоками
RU1087	спускаются
RU1088	с
RU1089	гор,
RU1090	оставляя
RU1091	за
RU1092	собой
RU1093	глубокие
RU1094	долины.
RU1095	Это
RU1096	-
RU1097	самая
RU1098	мощная
RU1099	эррозионная
RU1100	сила
RU1101	на
RU1102	планете.
RU1103	Глетчерная
RU1104	мельница
RU1105	-
RU1106	это
RU1107	шахта
RU1108	во
RU1109	льду,
RU1110	которая
RU1111	проделана
RU1112	талой
RU1113	водой,
RU1114	бегущей
RU1115	внутри
RU1116	ледника.
RU1117	сам
RU1118	ледник,
RU1119	как
RU1120	и
RU1121	талые
RU1122	воды,
RU1123	находится
RU1124	в
RU1125	постоянном
RU1126	движении.
RU1127	Неуклонно
RU1128	сползает
RU1129	вниз,
RU1130	в
RU1131	долину.
RU1132	Альпийские
RU1133	ледники
RU1134	кажутся
RU1135	нам
RU1136	огромными,
RU1137	но
RU1138	они
RU1139	меркнут
RU1140	по
RU1141	сравнению
RU1142	с
RU1143	вечными
RU1144	льдами,
RU1145	покрывающими
RU1146	горный
RU1147	хребет,
RU1148	отделяющий
RU1149	Индийский
RU1150	субконтинент
RU1151	от
RU1152	Тибета.
RU1153	Это
RU1154	покрытый
RU1155	камнями
RU1156	язык
RU1157	громадного
RU1158	ледника
RU1159	Балторо,
RU1160	в
RU1161	горах
RU1162	Каракорум,
RU1163	в
RU1164	Пакистане.
RU1165	Балторо
RU1166	-
RU1167	самый
RU1168	длинный
RU1169	ледник
RU1170	в
RU1171	мире,
RU1172	его
RU1173	длина
RU1174	-
RU1175	69
RU1176	километров,
RU1177	а
RU1178	ширина
RU1179	-
RU1180	почти
RU1181	5
RU1182	километров.
RU1183	Заполненная
RU1184	льдом
RU1185	долина
RU1186	настолько
RU1187	огромна,
RU1188	что
RU1189	отчётливо
RU1190	видна
RU1191	из
RU1192	космоса.
RU1193	В
RU1194	этой
RU1195	горной
RU1196	системе
RU1197	самое
RU1198	большое
RU1199	в
RU1200	мире
RU1201	скопление
RU1202	вершин
RU1203	высотой
RU1204	более
RU1205	восьми
RU1206	тысяч
RU1207	метров.
RU1208	самые
RU1209	опасные
RU1210	горы
RU1211	на
RU1212	планете.
RU1213	К-2
RU1214	и
RU1215	соседние
RU1216	вершины
RU1217	унесли
RU1218	больше
RU1219	жизней,
RU1220	чем
RU1221	все
RU1222	другие
RU1223	горы.
RU1224	Вершины
RU1225	этих
RU1226	гор
RU1227	обрываются
RU1228	отвесными
RU1229	скалами,
RU1230	а
RU1231	ледники
RU1232	круты
RU1233	и
RU1234	изрезаны
RU1235	трещинами,
RU1236	поэтому
RU1237	проникнуть
RU1238	сюда
RU1239	могут
RU1240	только
RU1241	самые
RU1242	опытные
RU1243	альпинисты.
RU1244	Винторогие
RU1245	козлы
RU1246	мархуры.
RU1247	Они
RU1248	собираются
RU1249	здесь
RU1250	для
RU1251	ежегодныхтурнирных
RU1252	боёв.
RU1253	самцы
RU1254	сражаются
RU1255	за
RU1256	право
RU1257	обладания
RU1258	самками,
RU1259	но
RU1260	на
RU1261	обрывистых
RU1262	скалах
RU1263	один
RU1264	неверный
RU1265	шаг
RU1266	может
RU1267	стать
RU1268	смертельным
RU1269	для
RU1270	обоих
RU1271	соперников.
RU1272	снежный
RU1273	барс
RU1274	-
RU1275	ирбис
RU1276	-
RU1277	самый
RU1278	редкий
RU1279	зверь
RU1280	в
RU1281	гималаях.
RU1282	Эта
RU1283	самка
RU1284	возвращается
RU1285	в
RU1286	своё
RU1287	логово.
RU1288	Операторам
RU1289	впервые
RU1290	удалось
RU1291	снять
RU1292	снежного
RU1293	барса
RU1294	так
RU1295	близко
RU1296	в
RU1297	его
RU1298	естественной
RU1299	среде.
RU1300	Мать
RU1301	приветствует
RU1302	своего
RU1303	годовалого
RU1304	детёныша.
RU1305	Пещера
RU1306	выбрана
RU1307	очень
RU1308	удачно,
RU1309	из
RU1310	неё
RU1311	открывается
RU1312	прелестный
RU1313	вид
RU1314	на
RU1315	окружающие
RU1316	скалы.
RU1317	На
RU1318	крутых
RU1319	склонах
RU1320	ни
RU1321	один
RU1322	другой
RU1323	охотник
RU1324	кроме
RU1325	снежного
RU1326	барса
RU1327	не
RU1328	способен
RU1329	поймать
RU1330	столь
RU1331	проворную
RU1332	добычу.
RU1333	самок
RU1334	с
RU1335	детёнышами
RU1336	ловить
RU1337	легче.
RU1338	Широкие
RU1339	лапы
RU1340	обеспечивают
RU1341	барсу
RU1342	превосходное
RU1343	сцепление,
RU1344	а
RU1345	длинный
RU1346	хвост
RU1347	помогает
RU1348	удерживать
RU1349	равновесие.
RU1350	самка
RU1351	бесшумно
RU1352	занимает
RU1353	позицию
RU1354	над
RU1355	добычей.
RU1356	Воттак,
RU1357	не
RU1358	удалось,
RU1359	она
RU1360	возвращается
RU1361	ни
RU1362	с
RU1363	чем.
RU1364	Орлы
RU1365	беркуты
RU1366	патрулируют
RU1367	скалы
RU1368	в
RU1369	поисках
RU1370	больных
RU1371	или
RU1372	раненных
RU1373	животных.
RU1374	Эта
RU1375	птица
RU1376	с
RU1377	размахом
RU1378	крыльев
RU1379	около
RU1380	двух
RU1381	метров
RU1382	легко
RU1383	может
RU1384	унести
RU1385	молодого
RU1386	мархура.
RU1387	Во
RU1388	время
RU1389	охоты
RU1390	беркуты
RU1391	полагаются
RU1392	на
RU1393	зрение,
RU1394	и
RU1395	густеющая
RU1396	снежная
RU1397	завеса
RU1398	заставляет
RU1399	их
RU1400	сдаться.
RU1401	А
RU1402	снежному
RU1403	барсу
RU1404	снегопад
RU1405	обеспечивает
RU1406	прикрытие
RU1407	и
RU1408	дарит
RU1409	ещё
RU1410	один
RU1411	шанс.
RU1412	снег
RU1413	приглушает
RU1414	звук
RU1415	шагов
RU1416	и
RU1417	позволяет
RU1418	подобраться
RU1419	к
RU1420	добыче
RU1421	на
RU1422	расстояние
RU1423	броска.
RU1424	Попытка
RU1425	поймать
RU1426	такого
RU1427	крупного
RU1428	зверя
RU1429	-
RU1430	это
RU1431	акт
RU1432	отчаяния.
RU1433	Зато
RU1434	волки
RU1435	поохотились
RU1436	успешно
RU1437	и
RU1438	предоставили
RU1439	другим
RU1440	хищникам
RU1441	возможность
RU1442	полакомиться
RU1443	падалью.
RU1444	снежная
RU1445	буря
RU1446	принесла,
RU1447	наконец,
RU1448	удачу
RU1449	и
RU1450	самке
RU1451	ирбиса.
RU1452	Но
RU1453	в
RU1454	погоне
RU1455	за
RU1456	добычей
RU1457	она
RU1458	спустилась
RU1459	с
RU1460	горы,
RU1461	и
RU1462	теперь
RU1463	ей
RU1464	предстоит
RU1465	утомительный
RU1466	подъём
RU1467	к
RU1468	пещере.
RU1469	Детёнышу
RU1470	нужно
RU1471	набраться
RU1472	терпения,
RU1473	только
RU1474	через
RU1475	год
RU1476	у
RU1477	него
RU1478	появятся
RU1479	силы
RU1480	и
RU1481	навыки,
RU1482	чтобы
RU1483	самостоятельно
RU1484	охотиться
RU1485	на
RU1486	этих
RU1487	опасных
RU1488	склонах.
RU1489	снежный
RU1490	барс
RU1491	-
RU1492	почти
RU1493	мифическое
RU1494	животное
RU1495	-
RU1496	символ
RU1497	этих
RU1498	гор.
RU1499	В
RU1500	природе
RU1501	ирбиса
RU1502	видели
RU1503	единицы,
RU1504	потому
RU1505	что
RU1506	мы
RU1507	очень
RU1508	редко
RU1509	навещаем
RU1510	его
RU1511	мир.
RU1512	Хребет
RU1513	Каракару
RU1514	находится
RU1515	в
RU1516	западной
RU1517	части
RU1518	горного
RU1519	массива,
RU1520	протяжённость
RU1521	которого
RU1522	составляет
RU1523	одну
RU1524	десятую
RU1525	часть
RU1526	окружности
RU1527	земного
RU1528	шара.
RU1529	Гималаи.
RU1530	самые
RU1531	высокие
RU1532	горы
RU1533	мира.
RU1534	Как
RU1535	и
RU1536	другие
RU1537	большие
RU1538	горные
RU1539	массивы,
RU1540	они
RU1541	возникли
RU1542	в
RU1543	результате
RU1544	столкновения
RU1545	материков.
RU1546	Примерно
RU1547	50
RU1548	миллионов
RU1549	лет
RU1550	назад
RU1551	Индия
RU1552	столкнулась
RU1553	с
RU1554	Тибетом
RU1555	и
RU1556	вызвала
RU1557	подъём
RU1558	гигантских
RU1559	вершин,
RU1560	которые
RU1561	продолжают
RU1562	расти
RU1563	и
RU1564	сегодня.
RU1565	Они
RU1566	образуют
RU1567	громадную
RU1568	стену
RU1569	из
RU1570	камня
RU1571	и
RU1572	льда,
RU1573	которая
RU1574	настолько
RU1575	велика,
RU1576	что
RU1577	влияет
RU1578	на
RU1579	формирование
RU1580	климата
RU1581	по
RU1582	всей
RU1583	планете.
RU1584	Тёплые,
RU1585	насыщенные
RU1586	влагой
RU1587	ветры
RU1588	из
RU1589	Индии
RU1590	наталкиваются
RU1591	на
RU1592	Гималаи
RU1593	и
RU1594	устремляются
RU1595	вверх.
RU1596	Поднимаясь,
RU1597	воздух
RU1598	охлаждается,
RU1599	в
RU1600	результате
RU1601	образуются
RU1602	облака
RU1603	и
RU1604	рождаются
RU1605	муссоны.
RU1606	На
RU1607	больших
RU1608	высотах
RU1609	муссон
RU1610	выпадает
RU1611	в
RU1612	виде
RU1613	снега.
RU1614	Здесь,
RU1615	на
RU1616	восточных
RU1617	отрогах
RU1618	гор,
RU1619	в
RU1620	Китае,
RU1621	обитает
RU1622	зверь,
RU1623	который
RU1624	зимует
RU1625	без
RU1626	укрытия
RU1627	даже
RU1628	в
RU1629	самые
RU1630	суровые
RU1631	зимы.
RU1632	В
RU1633	это
RU1634	время
RU1635	большинство
RU1636	медведей
RU1637	уже
RU1638	спит
RU1639	в
RU1640	берлогах,
RU1641	но
RU1642	у
RU1643	большой
RU1644	панды
RU1645	или
RU1646	бамбукового
RU1647	медведя
RU1648	недостаточно
RU1649	жировых
RU1650	запасов,
RU1651	чтобы
RU1652	впасть
RU1653	в
RU1654	зимний
RU1655	сон.
RU1656	Единственная
RU1657	пища
RU1658	панды
RU1659	-
RU1660	бамбук,
RU1661	он
RU1662	имеет
RU1663	очень
RU1664	низкую
RU1665	питательную
RU1666	ценность
RU1667	и
RU1668	не
RU1669	позволяет
RU1670	запасать
RU1671	жир,
RU1672	как
RU1673	это
RU1674	делают
RU1675	другие
RU1676	медведи.
RU1677	Большинство
RU1678	горных
RU1679	животных
RU1680	перемещается
RU1681	вверх
RU1682	и
RU1683	вниз
RU1684	по
RU1685	склонам
RU1686	вместе
RU1687	со
RU1688	сменой
RU1689	времён
RU1690	года,
RU1691	но
RU1692	панда
RU1693	привязана
RU1694	к
RU1695	одному
RU1696	месту
RU1697	своей
RU1698	диетой.
RU1699	Ведь
RU1700	бамбук,
RU1701	которым
RU1702	она
RU1703	питается,
RU1704	растёттолько
RU1705	на
RU1706	этой
RU1707	высоте.
RU1708	Утех,
RU1709	кто
RU1710	более
