Апланета Адгьыл	ПЛАНЕТА ЗЕМЛя
Амшын сы аԥстәқәа жәпакы фатәыс ирымоуп,	Морской снег служит пищей многим животным, таким как морской паук.
Амшын бызкаҭаҳа еиԥш, иаҳҳәап. Акреветкақәеи адыяаҷиақәеи ирҭынхоуп.	Мелкий родственник креветок и крабов.
Ҳәарада, ари бызкаҭаҳаӡам, Ари дыяаҷиа хәыҷуп,	Конечно, это не паук, это - мелкий рачок,
Уамашәа иҟоу ашьапқәа ахәы рықәуп, Аӡсараҿы иацхраауеит.	его странные конечности покрыты щетиной и служат ему для плавания.
Насгьы адыяаҷа хәыҷы урҭ ахы иархәаны афатә ааннакылоит, Аҿахьгьы идәықәнаҵоит.	А ещё с их помощью рачок ловит морской снег и аккуратно отправляет себе в рот.
Ари ахәархьҿы аҩада ахы рханы икнаҳауп, Иԥшуп хыхьҟа, афатә иазыԥшны.	А вот этот удивительный пилорот висит неподвижно в вертикальном положении и смотриттолько наверх в ожидании добычи.
Уи афатә хыхьынтә иҭааӡа иааиуа, алашара аарла иалубаауеит Аԥсыӡ уажәы-уажәы аҿы аанартуеит Икаҳауа афатә анааиуазы.	Очертания этой добычи вырисовываются в тусклом свечении, которое приникает с поверхности. Рыба приоткрывает рот в ожидании падающих кусочков.
Ус, асаса идуу ак ҭаҳаанӡа акыр аамҭа царгьы алшоит.	Может пройти не один день, прежде чем что-нибудь крупное приблизится к его пасти.
Иҵегьы лбаа аӡаҵаҿы уажәы алашьцара ахатәоуп.	А ещё глубже уже царит кромешная темнота,
Арахь амра шәахәацкгьы ааираны иҟаӡам.	сюда не может проникнуть ни один луч солнца.
Ара афатә зынӡа имаҷуп.	Пищи здесь очень мало.
Аӡаҵан инхо аԥстәқәагьы баша рыҽдырааԥсаӡом.	И обитатели глубин не могут расходовать энергию зря.
Аӡаҵаҟатәи аа-шьапы.	Глубоководный осьминог.
Аарла арӡсагақәа аҟьоит.	Еле-еле машет плавниками.
Ара, аӡмаҷқәа рыҟнеиԥш, лассы аиҭаҵра аҭахӡам.	Здесь нет нужды в реактивном способе передвижения, который используют его мелководные собратья.
Уамашәа ишоу ари адунеи аҿы Зегь раасҭа иџьаушьаратәы иҟоуп акальмар – шьажәга. Ишәаҟьар, маҷк инаскьоит ауп.	Но самый причудливый в этом фантастическом мире - кальмар-вампир. Если его потревожить, он только отплывает на небольшое расстояние.
Аха ишәарҭахаҵәҟьар, ахыхьчага бзиа амоуп.	Но если его по-настоящему побеспокоить, он использует особое средство защиты.
Уи ала ахы шахьчо убаразы алашара ырцәтәуп.	Чтобы увидеть это средство в действии, надо выключить свет.
Акальмар-шьажәга ахатәы кәаҷабқәа амазаап.	Оказывается, у кальмара-вампира есть собственные фонари.
Уи ашьапқәа алашара зхылҵуа абактериақәа ақәуп, Иара иаԥырхагоу , иаӷоу зегьы зырҩашьо.	Его щупальца усажены светящимися бактериями, которые сбивают врагов с толку.
Алақәа ракәзар ари?	А может быть это - его глаза?
Уи хыхьтәи ашәҵатәы аганқәа рҿы иамоу аканқәа еилаарцыруеит ауп.	Но, на самом деле, это - просто светящиеся пятна по краям его мантии.
Аха ари ашьажәга цҳаргьы ишәарҭаӡам.	Кстати, укус этого вампира совершенно безвреден.
Абар, аӡаҵагьы.	И вот, наконец, дно.
Х-километрак иреиҳауп аҵаулара.	Глубина более трёх километров.
Ара иҟоу ақәыӷәӷәара 300 –нтә иеиҳауп аӡы ахыхь аасҭа.	Давление здесь в 300 раз превышает давление на поверхности,
Амшын сы аранӡа иааӡаразы мызкы-ҩымыз азхаӡом.	а морскому снегутребуется несколько месяцев, чтобы достичь дна.
Аконтиненталтә шельф ацаҟьаҳәаа анахыс адәкаршәра ду еиужьны ишьҭоуп.	За скалистой границей континентального шельфа простирается гигантская равнина.
Зықькилометрала аҽеиҵыхны инеиуеит есааира алада илбаауа.	Она тянется на тысячи километров, постепенно покатым склоном уходя вниз.
Алыкь ажәпара аарла шьҭақәак алубаауеит.	На слое ила едва различимые следы -
Ари иаҳәоит араҟагьы аԥсҭазаара шыҟоу.	признаки того, что даже здесь есть жизнь.
Абар арҭ ашьҭақәа зтәу- амшын хьаԥарчқәа.	А вот и те, кто оставляет эти следы - морские ежи.
Урҭ афатә аԥшааразы алыкь драӡоит.	Они процеживают ил в поисках пищи.
Акреветкақәа рҽырԥшӡаны ршьапԥынҵа иқәгылоуп, Аԥслымӡ иналаԥш-алаԥшуа, афатә цырақәа рыԥшаара иаҿуп.	Креветки элегантно стоят на цыпочках и придирчиво выбирают из песка съедобные частички.
Аха аокеан аҵан, зехьынџьареиԥш, авегетарианецҵәа ыҟазар, агыгшәыгқәагьы ыҟоуп.	Но в океанских глубинах, как и везде: если есть вегетарианцы, то есть и хищники.
Амшын аҩысҭаа.	Морской чёрт.
Аарла аԥслымӡ иахьылоу иалубаауеит.	Почти неразличимый на фоне песка, на котором он лежит.
Афатә аԥшааразы ахы зарааԥсари, Иара афатә ахала арахь иааиртә иузыҟаҵар.	Зачем тратить энергию, гоняясь за добычей, если её можно подманить к себе с помощью особой приманки.
Аха ари аиԥш уаххьа, рацәацәоуп иара азы.	Но, пожалуй, этот ужин великоват для него.
Иԥшыр акәхеит иҵегьы.	Придётся подождать.
Амшын аҩысҭаа уаххьа ымфаӡакәа мышқәак иазыԥшыр алшоит, Иақәнагоу афатә аԥыхьашәаанӡа.	Морской чёрт может ждать несколько дней, пока не подвернётся ужин подходящего размера.
Аԥхаԥсжьы бзиа избо, афатә аԥшааразы акыр иныҟәароуп.	Любителям падали, напротив, приходится бегать в поисках пищи.
Адыӷаҷақәа аӡы гьама ҷыдак аиур, иаразнак игәарҭоит.	Крабы способны различать малейшие оттенки вкуса в воде,
Убри аҟнытә урҭ хыхьынтә илеиз аԥхаԥсжьы ҿыц иаразнак ирыԥшаауеит.	это позволяет им находить самые свежие трупы, упавшие сверху.
Арҭ амаҭ ԥсыӡқәа адоурҳан ажьы ацәынхақәа афара иалагахьеит.	Угри уже пожирают останки акулы.
адыӷаҷа еиҟарашьапқәа, 30 см иҟоу, аилабаара иаҿу адоурҳан жьы рыцқәа наладырԥеит.	Изоподы, равноногие рачки, похожие на гигантских мокриц, длиной 30 сантиметров, вгрызаются в гниющее мясо акулы.
Сааҭқәак рыҩныҵҟа аԥсхаԥсжьыфаҩцәа дасу рыхәҭаазы хацәнмырха иқәԥоит.	В ближайшие несколько часов многочисленные падальщики будут вести ожесточённую борьбу за свою долю добычи.
Усоуп, аӡаҵаҿы зны-зынла ачара ду анеилашуа ҟалалоит.	Да, изредка на дне бывает гигантский пир.
Абас ауп ишымҩаԥыуа иара, ирццакны уахәаԥшуазар.	Воттак, если быстро посмотреть на то, что произошло.
Аха афатә акыраамҭа ианрызхогьы ҟалалоит.	Но иногда пищи хватает надолго.
Ара агәылшьап абаҩ шьҭоуп. Уи ԥсиижьҭеи хәымыз раҟара ҵуеит.	Здесь залегли останки кашалота. Он погиб около пяти месяцев назад,
Иацәынханы иҟоугьы шшақәак ақәуп, аха абаҩмацароуп.	от него остался лишь скелет с остатками жира.
Иара акәша-мыкәша акыр километрақәак ахьыбжьазгьы уи ажьы аӡәырҩы рхаланыҟәыргон, Уажәы ачара еилгеит.	На многие километры вокруг его мясо было надёжным источником пищи, а сейчас пир почти закончен.
Адыӷаҷа дуӡӡақәа, метрак аҟара иҭбаауп, Ашша ацәынхақәак амрыкәкәаауеит.	Громадные крабы, около метра в диаметре, отщипывают последние кусочки жира.
Даҽа мышқәак рышьҭахь уи абаҩ мацара аанхараны иҟоуп.	Ещё через несколько дней от него останется только голый скелет.
Адыӷаҷақәа млашьлароуп хыхьынтә даҽа ԥсхаԥсжьык леиаанӡа.	И крабам придётся голодать до тех пор, пока сверху не упадёт очередной труп.
Аха арахь хыхьынтә уамак афатә зааиӡом.	Но далеко не вся пища попадает сюда из залитого светом верхнего мира.
Атлантикатәи аокеан ҩбаны ишоуп авулкан шьхеибаркырала.	Дно Атлантического океана разделено надвое огромным вулканическим хребтом.
Уи адгьыл зегьы 70 нызықь км рҟынӡа иаакәыршаны игылоуп.	Он протянулся вокруг земного шара на 70 тысяч километров.
Ашьхеибаркыра џьара-џьара аиҟәыршьшьарҭа дуӡӡақәа амоуп. Урҭ рахьынтә иҭҟьо аӡыршы иҵааршәыроу аӡаҵақәа рышҟа аминералқәа ырӡыҭны иаманы иаауеит.	Кое-где хребет прорезают огромные трещины, из них в ледяные глубины вырывается горячая вода с растворёнными в ней минералами.
Атыҩша хылҩа-ԥсылҩа аншәлак, атрубақәа шьақәдыргылоит х-еихагылак змоу аҩны иаҟараны.	серные испарения отвердевают и образуюттрубы высотой с трёхэтажный дом.
Ахимикатқәа рыла шьақәгылоу, Ԥшьышә градус рҟынӡа ицаҳә-цаҳәуа ишу аилаӡҩа, шәарҭоуп аԥсҭазаара аформақәа реиҳарак рзы.	Этот обжигающий коктейль из химикатов, нагретый до четырёхсот градусов, смертелен для большинства форм жизни.
Аха, иџьаушьаша, ара иҷыдоу бактериа хкык ыҟоуп.	Но, как ни странно, здесь обитает особый вид бактерий.
Арҭ абактериақәа хыԥхьаӡара рацәала акреветкақәа фатәыс ирымоуп.	А этими бактериями питается огромное количество креветок.
Абасала, мра шәахәацк ахьзымнеиуа аҭыԥаҿы уи мрада зыԥсы ҭоу абиоценоз.	Таким образом, там, куда не проникает ни один луч солнца, существует независимый биоценоз,
Уи аԥсҭазарамчы ицаҳә-цаҳәуа ишу адгьыл шьақәгыларақәа ирылырхуеит.	он черпает жизненную энергию прямо из раскалённых недр земли.
Абри акыр иеиԥшуп адгьыл егьи аҵыхәан,	Нечто подобное есть и на другом конце земного шара.
Аокеан ҭынч Иапониа ахьыҿныӡәӡәаауа аҭыԥаҿы иҟоу ацәырҵра..	Там, где Тихий океан омывает японию.
“Агәылшьап трубақәа”-	"Драконовы трубы"
Араҟагьы, аӡаҵаҟатәи аӡыԥхатә ҭаҳарақәа рҟынтә иҭырҩны . Алашьцара иалаҭәо аӡыршы.	- это ещё один ряд подводных гидротермальных кратеров, извергающихся в темноте глубин.
Ара абактериақәа еиҳагьы еиҳауп, аха урҭ даҽа хкык иаҵанакуеит.	Здесь бактерий даже больше, но они принадлежат к другому виду.
Адыӷаҷақәагьы ара иеиҳа ирацәоуп, Насгьы урҭ атлантикатәи аҭыҭынахаҩцәа иреиԥшӡам.	Ракообразных здесь тоже больше, и они не похожи на обитателей атлантических курильщиков.
Аӡаҵаҟатәи алангәустқәа Ибыбышӡа абџьармаҭәала иеибыҭоуп.	Глубоководные лангусты одеты в пушистые доспехи.
Аӡыршы ҭҟьаны иахьаауа, абактериақәа иаҳа иахьырацәоу аҭыԥқәа рзы иеиндаҭлоит.	Они сражаются за лучшие места рядом с фонтанами кипящей воды, где бактерий больше.
Арҭ аӡаҵаҟатәи агеизерқәа, Атлантика иҟоу аҭыҭынахаҩцәа реиԥш, хаз-хазы иҟоу оазисқәоуп, урҭ хара-хара ишьҭоуп азы, дасу рхатә дунеи, ахатә ԥсҭазаара рымоуп.	Эти подводные гейзеры, как и курильщики в Атлантике - изолированные оазисы, разбросанные так далеко друг от друга, что мир каждого уникален.
Аокеан ҭынч егьи аҵыхәан, Галапагосстәи адгьылбжьаха азааигәара,	И на другом конце Тихого океана, рядом с Галапагосскими островами,
Аӡаҵан иҟоуп аиҟәыршшьарҭақәа аӡыршы хәыҵҟьаны иахьаауа.	на дне так же есть трещины, из которых вырывается горячая вода.
2,5 километратәи аҵаулараҿы,“Аҩада-9” захьӡу араион аҿы, алҩа зхылббуа ашахтақәа иаарыкәыршаны иҟоуп, хыԥхьаӡара рацәала рацәашьапхәаҷақәа.	На глубине 2,5 километра, в районе под названием "север-9", вокруг коптящих шахт, во множестве обитают гигантские полихеты-рифтии - многощетинковые черви.
Арҭ аӡыхьқәа ирыбзоураны хәаҷақәак х-метрак ираҟарахоит.	Эти источники выделяют столько энергии, что некоторые полихеты достигаюттрёхметровой длины.
Арҭ аҭҵаарадырра иадыруа абӷа змам зегь раасҭа ласссы изызҳауа амшын ԥстәқәоуп.	Это самые быстрорастущие из известных науке морских беспозвоночных.
Иааидкыланы, ара иҭоу аԥстәқәа 50 хкы иреиҳауп.	В общей сложности здесь обитает более 50 видов животных.
Арҭ агәыԥқәа лассы ирызҳауеит, аха урҭ рынҵыра кьаҿуп.	Обитатели этих кучных сообществ растут быстро, но их век короток.
Аӡаҵаҟатәи аӡыԥхақәа зны-мзар зны иаангылоит.	Подводные кратеры извергаются не вечно, их активность может в любой момент прекратиться.
“Север-9” аҿы 9 мзы иасит.	На "севере-9" прошло 9 месяцев.
,Уажәааигәанӡа зыԥсҭазаара еилашуаз аӡыԥхаҭаҳарақәа, Ихаҳәхатәараз баҟақәаны иҟалеит.	Кратеры, ещё совсем недавно кишевшие жизнью, превратились в серые окаменевшие памятники.
Ԥшеилаҩынтрак адгьыл аҵан аҵаулараҿы авулканмч даҽа ҭыԥк ахь идәықәнаҵан, дунеи хәыҷык ҭахеит.	Какой-то вихрь глубоко в недрах земли направил вулканическую энергию в другое место, и погиб целый микромир.
Иҟоу ҭыԥқәак авулкан лава адгьылаҵан шьха дуқәак ахьышьақәнаргылаз.	Есть места, где вулканическая лава образовала огромные подводные горы.
Адунеи аҿы иҟоуп 30 нызықь раҟара абарҭ иреиԥшу авулканқәа.	В мире насчитывается около 30 тысяч таких вулканов.
Урҭ џьоукы ашьаҭа инаркны иуԥхьаӡозар, зегьы иреиҳау ашьха дәы _Еверест аасҭа акырӡа иҳаракуп.	Некоторые из них, считая от основания, намного выше высочайшей горы суши - Эвереста.
Аӡаҵаҟа урҭ рықәцәқәа хыжәжәаны цаҟьа лбааны илашьҭуп.	Под водой их вершины обрываются вниз крутыми скалами.
Аӡымҩасқәа, ашьха аганқәа ҿызыӡәӡәаауа арҵәыгақәа аҵаҟынтә хыхьҟа ихаргалоит.	Мощные течения, омывающие склоны гор, переносят питательные вещества из глубин к вершинам.
Ацаҟьа ӷәӷәақәа роуп изықәгылоу хыԥхьаӡара рацәала еиуеиԥшым аформақәеи аԥшшәқәеи рзы .	Твёрдые скалы служат прекрасной основой для многочисленных колоний самых разнообразных форм и расцветок.
Акоралл татақәа акыр метра аҭбаара змоу, ираҩсны ицо амшын сы ааныркылоит.	Мягкие кораллы шириной несколько метров ловят проплывающий мимо морской снег.
Ашыш кораллқәа ршьапқәа рыла аӡымҩасрахь иеихоит.	Плетистые кораллы тянутся щупальцами ктечениям.
Ашәымгьар дуӡӡақәа иҵааршәыроу аӡы раӡаны ихырҳагоу афатә а лырхуеит.	Гигантские губки процеживают ледяную воду, добывая питательные вещества.
Ара, ақәцә ахь аӡы мҩас хьшәашәақәа иаарго аминералқәеи органикатә цәынхақәеи фатәыс измоу, зыԥсы ҭоу аорганизмқәа маҷӡам.	Здесь обитает большое разнообразие живых существ, которые питаются минералами и органическими останками, приносимыми к вершине холодными течениями.
Иҿыцәаахьоу авулкан, километраки бжаки рҟынӡа аҵаулараҿы, Амра ашәахәа ахьзымнеиуа аҭыԥаҿы абри аҩыза абаҳча шәҭит.	На потухшем вулкане, на глубине около полутора километров, куда не проникает солнечный свет, расположился воттакой цветущий сад.
Амшын аҵан инхо, ахышьапы мшынԥстәы, наутилус захьӡу.	Удивительный обитатель морских глубин - головоногий моллюск наутилус.
Ҽынла уи 400 м аҵаулараҿы аҽаҵәахуеит,	Днём он прячется на глубине 400 метров,
Ианаахәлалак,арифқәа рышҟа ихалоит афатә иашьҭаланы.	а с наступлением ночи поднимается а рифам в поисках пищи.
Иара амыдаяьцәа газла ирҭәу аҟәшақәа амоуп.	Его изящная раковина разделена на камеры, заполненные газом,
Арҭ акамерақәа ахы иархәаны аӡсашьа аԥсахыр алшоит.	с помощью этих камер он может изменять свою плавучесть.
Иааиуа аӡы иацны ицоит, Иагәҭасны иҭнагоит аҭра.	Передвигается он за счёт струи воды, он с силой выталкивает её из сифона.
Аха ианыӡсо амыдаяьцәа ԥхьаҟалоуп ишцо, Ус анакәха - иахьцо абаӡом.	Но плавает он раковиной вперёд, значит, не видит даже, куда движется.
