AB1	Апланета
AB268	ҿыцқәа
AB269	шеибырҳәо,
AB270	рус
AB271	иаҿнаҵы,
AB272	рнапқәа
AB273	ҭацәаанӡа.
AB274	Аха
AB275	аицәажәаразы
AB276	рацәакгьы
AB277	аамҭа
AB278	рымаӡам,
AB279	агелладақәа
AB280	еилахоуп,
AB281	рус
AB282	рацәоуп.
AB283	Амаамынқәа
AB284	реиҳарак
AB285	рзы
AB286	ара
AB287	аԥсҭазаара
AB288	уадаҩуп:
AB289	иҟам
AB290	ашәыр,
AB291	ирфаша
AB292	ахәаҷа-маҷа
AB293	маҷуп.
AB294	Аха
AB295	агелладақәа
AB296	апланета
AB297	иқәу
AB298	егьырҭ
AB299	амаамынқәа
AB300	иреиԥшӡам,
AB301	Иҟаӡам
AB302	даҽа
AB303	маамынқәак
AB304	–
AB305	дара
AB306	реиԥш
AB307	аҳаскьын
AB308	мацара
AB309	фатәыс
AB310	измоу.
AB311	Агелладақәа
AB312	амаамын
AB313	гәыԥқәа
AB314	зегьы
AB315	иреиҳауп.
AB316	Урҭ
AB317	аашә
AB318	раҟара
AB319	еицны
AB320	иануԥыло
AB321	ыҟоуп,
AB322	антилопа
AB323	гну
AB324	еиԥш,
AB325	ахәыҳаракырақәа
AB326	рахь
AB327	ихалоит,
AB328	еицԥыҳәаны
AB329	аҳаскьынфаразы.
AB330	Дара
AB331	абӷаџьмақәа
AB332	рааигәара
AB333	иҳәуеит.
AB334	Урҭгьы
AB335	арҭ
AB336	ашьха
AB337	ҳаракырақәа
AB338	рҿы
AB339	мацароуп
AB340	иахьуԥыло.
AB341	Арҭ
AB342	аџьмақәа
AB343	даара
AB344	ашәара
AB345	злоу
AB346	ԥстәқәоуп,
AB347	аха
AB348	агелладақәа
AB349	рааигәара
AB350	ргәы
AB351	ҭынчуп.
AB352	Шамахамзар,
AB353	аҳаскьын
AB354	зфо
AB355	ҩ-ԥстәы
AB356	хкык
AB357	ҳәырҭак
AB358	аҿы
AB359	иааибны
AB360	иҟалаӡом,
AB361	аха
AB362	арҭ
AB363	еиҩызара
AB364	ҷыдак
AB365	рыбжьоуп,
AB366	реиҩызара
AB367	аҩ-ганкгьы
AB368	ирыхәоит.
AB369	Џьоукы
AB370	ԥшыхәуанаҵы,
AB371	Егьырҭ
AB372	ргәы
AB373	рҭынчны
AB374	акрырфоит.
AB375	Ефиопиатәи
AB376	абгалаџқәа.
AB377	Арҭ
AB378	аҽнышьыбжьон
AB379	қәылара
AB380	ицаӡом.
AB381	Аилахәлара
AB382	ианнналагалак
AB383	нахыс
AB384	акаршәраҿы
AB385	еиҳа
AB386	ишәарҭахоит.
AB387	Хәылԥазтәи
AB388	какалкра
AB389	ашьҭахь
AB390	аамҭа
AB391	маҷны
AB392	инхоит
AB393	аицәажәаразы,
AB394	лассы
AB395	ацаҟьақәа
AB396	рахь
AB397	ихынҳәыроуп.
AB398	Заа
AB399	ашәарҭара
AB400	шыҟоу
AB401	гәарҭоит
AB402	азы
AB403	зегьы
AB404	уи
AB405	рҽаздырхиоит.
AB406	Абгалаџқәа
AB407	ахьзымнеиуа
AB408	ацаҟьа
AB409	бааԥсқәа
AB410	рҿы
AB411	арҭ
AB412	амаамынқәа
AB413	рымш
AB414	алагамҭагьы
AB415	анҵәамҭагьы
AB416	еиԥшуп,
AB417	Ефиопиатәи
AB418	авулканқәа
AB419	ҿырҭӡом.
AB420	Аха
AB421	апланета
AB422	егьырҭ
AB423	аҭыԥқәа
AB424	рҿы
AB425	иааиԥмырҟьаӡакәа
AB426	ана-ара
AB427	ихәыҵырҩуеит.
AB428	´
AB429	Зыԥсы
AB430	ҭоу
AB431	авулканқәа
AB432	ишьақәдыргылоит
AB433	ҳапланетаҿы
AB434	зегь
AB435	раасҭа
AB436	идуу
AB437	ашьхеибаркырақәа.
AB438	Алада-америкатәи
AB439	Андқәа.
AB440	Ари
AB441	ашьхеибаркыра
AB442	ҭбаа
AB443	ду
AB444	ахышәара-ҵышәара
AB445	аекватор
AB446	инаркны
AB447	Антарктиданӡа
AB448	8
AB449	нызықь
AB450	километр
AB451	ыҟоуп.
AB452	Уи
AB453	шьақәгылеит
AB454	Аокеанҭынчтәи
AB455	аплитеи
AB456	Аладатәи
AB457	Америка
AB458	ахьышьҭоу
AB459	аконтиненталтә
AB460	плитеи
AB461	реидыслара
AB462	ашьҭахь.
AB463	Ашьха
AB464	азқәаҿы,
AB465	аладаҟа,
AB466	Патагониа
AB467	ашьхақәа
AB468	шьҭоуп.
AB469	Уажәы
AB470	аԥхын
AB471	иасакьаҳәамҭоуп.
AB472	Аха
AB473	апланета
AB474	зегьы
AB475	аҿы
AB476	аасҭа
AB477	Андқәа
AB478	рҿы
AB479	аҳауа
AB480	лассы-лассы
AB481	аҽеиҭанакуеит
AB482	.Абыржәы
AB483	ақәаршҩы
AB484	алагаргьы
AB485	ҟалоит.
AB486	Иаалырҟьаны
AB487	аҳауа
AB488	хьшәашәахоит
AB489	аҟнытә
AB490	Гәанако
AB491	ҿыц
AB492	ииз
AB493	аԥацәеи
AB494	иареи
AB495	агәаҽанӡамкәа,
AB496	асыҭәҳәа
AB497	ианиоит.
AB498	Абас
AB499	иҟалоит:
AB500	ашықәс
AB501	аамҭақәа
AB502	рыԥшьбагьы
AB503	ҽнак
AB504	иеицааиуеит.
AB505	Пума,
AB506	даҽакалагьы,
AB507	ашьха
AB508	алым
AB509	ҳәа
AB510	иашьҭоуп.
AB511	Апумақәа,
AB512	шамахамзар,
AB513	хаз-хазы
AB514	иныҟәоит
AB515	Насгьы
AB516	рацәак
AB517	рыҽцәырыргаӡом.
AB518	Арҭ
AB519	аԥстәқәа
AB520	рхы
AB521	цәырганы,
AB522	иубо,
AB523	иуаҳауа
AB524	еицны,
AB525	шамахамзар,
AB526	иҟалаӡом.
AB527	.
AB528	Арҭ
AB529	ҭаацәарак
AB530	иатәуп
AB531	–
AB532	ацыгәхәыҷқәеи
AB533	рани
AB534	еицуп.
AB535	Ԥхынрак
AB536	ала,
AB537	иара
AB538	уигь
AB539	кьаҿуп,
AB540	аха
AB541	урҭ
AB542	ашьха
AB543	ианаалартә
AB544	иааӡароуп,
AB545	ахеиқәырхашьа
AB546	днарҵароуп.
AB547	Шықәсык
AB548	зхыҵуа
AB549	аԥацәаа
AB550	акрырҿаҵара
AB551	ус
AB552	имариам,
AB553	аха
AB554	ари
AB555	аҭыԥ
AB556	ссируп,
AB557	фатәылеи
AB558	ӡылеи
AB559	ибеиоуп.
AB560	Даҽа
AB561	шықәсык
AB562	ашьҭахь
AB563	ауп
AB564	дара
AB565	рхала
AB566	рхы
AB567	ныҟәыргартә
AB568	ианыҟало.
AB569	Ран
AB570	иадыруеи,
AB571	уи
AB572	иамоу
AB573	аԥышәеи
AB574	ракәымзар,
AB575	рхала
AB576	раԥхьатәи
AB577	аӡын
AB578	изӷыҵысраны
AB579	иҟаӡам.
AB580	Афырҭын
AB581	бааԥс
AB582	ахьықәсуа
AB583	анаарақәа
AB584	рҿы
AB585	уажәы
AB586	ԥсҭазаара
AB587	ыҟаӡам.
AB588	Аҩадаҟа
AB589	ухалацыԥхьаӡа
AB590	ашьхақәа
AB591	рҿы
AB592	еиҳа-еиҳа
AB593	ишәарҭарахоит.
AB594	Асыԥса
AB595	хыҵны
AB596	иаауеит
AB597	сааҭк
AB598	ала
AB599	400
AB600	км
AB601	аццакра
AB602	аманы,
AB603	амҩан
AB604	иааԥыхьашәо
AB605	зегьы
AB606	аҵарӡуа.
AB607	Америкатәи
AB608	ашьха
AB609	ҟәаԥа-ҿаԥарақәа
AB610	рыҟнытә
AB611	есӡынра
AB612	100
AB613	нызықь
AB614	сыԥса
AB615	лбаауеит.
AB616	Ари
AB617	ашьхеибаркыра
AB618	ашьха
AB619	ду
AB620	иацны
AB621	иаауеит,
AB622	иара
AB623	Патагониа
AB624	инаркны
AB625	иалагаз
AB626	Алиасканӡа
AB627	иааӡоит.
AB628	Аха
AB629	иҟоуп
AB630	ԥстәқәак
AB631	арҭ
AB632	ашьха
AB633	бааԥсқәа
AB634	рҿы
AB635	аӡынра
AB636	зхызхгогьы.
AB637	Гризли
AB638	захьӡу
AB639	амышә.
AB640	Фымызтәи
AB641	ацәа
AB642	иалҵны
AB643	аҭыҩра
AB644	иааҭыҵит.
AB645	Уи
AB646	иашьҭаланы
AB647	иааиуеит
AB648	амышәҳәарқәа
AB649	ҩба.
AB650	Аҭыҩра
AB651	инҭыҵны
AB652	уажәы
AB653	раԥхьатәи
AB654	ршьаҿақәа
AB655	ҟарҵоит.
AB656	Ацаҟьа
AB657	бааԥсқәа
AB658	амышәҳәарқәа
AB659	рзы
AB660	хыхьчарҭас
AB661	ибзиоуп.
AB662	Амышә
AB663	ду
AB664	иаԥыхьашәар,
AB665	амышәҳәыс
AB666	хәыҷ
AB667	ашьуеит,
AB668	иагьафоит,
AB669	аха
AB670	идуу
AB671	аԥстәқәа
AB672	арахь
AB673	ахалара
AB674	рцәуадаҩуп.
AB675	Ари
AB676	амшә
AB677	егьырҭ
AB678	раасҭа
AB679	акыр
AB680	иеиҵоуп,
AB681	аха
AB682	уигь
AB683	иацәыцәгьоуп.
AB684	Амышәҳәарқәа
AB685	уамашәа
AB686	асы
AB687	иеигәырӷьоит,
AB688	Иара
AB689	аԥсҭазаара
AB690	ахаҭагьы.
AB691	Ран
AB692	лакҩакуа
AB693	игылоуп,
AB694	иҟанаҵара
AB695	аздырам,
AB696	Фымыз
AB697	раахыс
AB698	акгьы
AB699	амфаӡац,
AB700	Ахшгьы
AB701	амҵәоит
AB702	шьҭа.
AB703	Лассы
AB704	ари
AB705	ахыхьчарҭа
AB706	ааныжьны,
AB707	амышәҳәарақәа
AB708	аманы
AB709	ашьха
AB710	илбаароуп.
AB711	Анаараҿы
AB712	инхар,
AB713	ари
AB714	аҭаацәара
AB715	зегьы
AB716	амла
AB717	иаганы
AB718	иԥсыр
AB719	алшоит.
AB720	Аԥхын
AB721	ауп
AB722	арҭ
AB723	ацаҟьақәа
AB724	рҟазшьаҵәҟьа
AB725	анаадырԥшуа.
AB726	Ашьха
AB727	акьышәкьышәрақәа
AB728	асы
AB729	анрықәҵ
AB730	ауп
AB731	цқьа
AB732	еилырганы
AB733	иубаратәы
AB734	ианыҟала.
AB735	Шьҭа
AB736	аҳаракырақәа
AB737	рыҟны
AB738	инхо
AB739	аԥстәқәа
AB740	ашьха
AB741	ақәцәқәа
AB742	рахь
AB743	ихалар
AB744	рылшоит.
AB745	Ацаҟьа
AB746	ҭакнаҳақәа.
AB747	Амшын
AB748	азқәа
AB749	ҩахыс
AB750	х-километрак
AB751	инареиҳан
AB752	аҳаракыра
AB753	змоу.
AB754	Урҭ
AB755	рыҟны
AB756	ԥсҭазаара
AB757	ыҟамшәа
AB758	убоит
AB759	азныказы.
AB760	Аха
AB761	араҟагьа
AB762	иҟоуп
AB763	аԥстәқәа.
AB764	Амшә
AB765	Гризли
AB766	.
AB767	Арҭ
AB768	аҟәаԥаҿаԥарақәа
AB769	рҿы
AB770	иахьыҟоу
AB771	иџьаушьаратәы
AB772	иҟоуп.
AB773	Арахь
AB774	иаазгаз
AB775	здыруада?!
AB776	Абри
AB777	ашықәс
AB778	аамҭазы
AB779	амшәқәа
AB780	аԥсылара
AB781	иалагоит
AB782	аӡынра
AB783	рҽаздырхиаразы.
AB784	Уи
AB785	аҭыԥан,
AB786	анаарақәа
AB787	рҿы
AB788	арҭ
AB789	ацәҳәырақәа
AB790	ирықәуп.
AB791	Аха
AB792	урҭ
AB793	хықәкык
AB794	рымоуп.
AB795	Иџьашьахәуп
AB796	фатәыс
AB797	ирымоу.
AB798	Аԥырԥалыкьқәа.
AB799	Миллионла
AB800	акаршәрақәа
AB801	рыҟнытә
AB802	аԥарԥалыкьқәа
AB803	хыҵыны
AB804	арахь
AB805	иааит
AB806	ашоура
AB807	иацәыбналаны,
AB808	уажәы
AB809	ахаҳәқәа
AB810	рыбжьара
AB811	рыкәтаӷьқәа
AB812	рышьҭаҵара
AB813	иаҿуп.
AB814	Аԥарԥалыкьқәа
AB815	амшә
AB816	фатәыс
AB817	иабарызхари
AB818	ҳәа
AB819	шәгәы
AB820	иаанагап.
AB821	Иџьашьатәуп,
AB822	аха
AB823	амшәқәа
AB824	ирзеиӷьзаап,
AB825	иарӷәӷәоит,
AB826	рымч
AB827	иацырҵоит.
AB828	Ашьхақәа
AB829	рҿы
AB830	даҽа
AB831	процесск
AB832	мҩаԥысуеит,
AB833	аха
AB834	уи
AB835	акыр
AB836	аамҭа
AB837	иадхалоит.
AB838	Ахаҳәқәа
AB839	–ашьха
AB840	абаҩқәа
AB841	–
AB842	аԥыҽҽра
AB843	иаҿуп,
AB844	ацаҟьақәа
AB845	уаҳа
AB846	ирызҳаӡом,
AB847	маҷ-маҷ
AB848	ихәашхәашо
AB849	ацара
AB850	иалагеит.
AB851	Апланетаҿы
AB852	ашьхақәа
AB853	зегьы
AB854	аси
AB855	аҵааи
AB856	ихәашхәашо
AB857	иргоит.
AB858	Альпақәа.
AB859	15
AB860	миллион
AB861	шықәса
AB862	раԥхьа
AB863	ишьақәгылеит.
AB864	Аҩадаҟа
AB865	инаскьоз
AB866	Африкеи
AB867	Европа
AB868	аладатәи
AB869	аҳәааи
AB870	реидыслара
AB871	иахҟьаны.
AB872	Аԥша
AB873	ихнажәжәаз
AB874	арҭ
AB875	акьышәкьышәрақәа
AB876	зны
AB877	аокеан
AB878	аҵакәын.
AB879	Уи
AB880	аконтинентқәа
AB881	ҩба
AB882	еиҟәнашон.
AB883	Аха
AB884	ари
AB885	Альпа
AB886	ашьха
AB887	акалҭқәа
AB888	роуп.
AB889	Ашьхеибыркыра
AB890	агәҭантәи
AB891	ақәцәқәа
AB892	хә-километрак
AB893	иҳаракуп,
AB894	ҵааршәыралагьы
AB895	ихҟьоуп.
AB896	Ашьха
AB897	Маттерхорн.
AB898	Уи
AB899	ақәцә
AB900	аганқәа
AB901	ҿҟьарсҭаны
AB902	илашьҭуп,
AB903	асы
AB904	ахьықәугьы
AB905	уброуп.
AB906	Монблан–
AB907	мраҭашәаратәи
AB908	Европа
AB909	иҟоу
AB910	ашьхақәа
AB911	зегь
AB912	реиҳа
AB913	иҳаракуп.
AB914	Альпақәа
AB915	рықәцәқәа
AB916	абас
AB917	ишьақәзыргылаз
AB918	аҵаауп
AB919	–
AB920	аԥсабаратә
AB921	скульптор.
AB922	Аҵаа
AB923	ԥҽыха
AB924	дуӡӡақәеи
AB925	ахаҳәи
AB926	еилаланы,
AB927	ашьхантә
AB928	ижәыланы
AB929	илбаауеит
AB930	рышьҭахьҟа
AB931	арха
AB932	ҵаулақәа
AB933	ааныжьны.
AB934	Ари
AB935	апланетаҿы
AB936	зегьы
AB937	раасҭа
AB938	иӷәӷәоу
AB939	ерозиатә
AB940	мчуп.
AB941	Глетчертәи
AB942	аӡлагара.
AB943	Аҵаа
AB944	иагәылсны
AB945	иаауа
AB946	ацыхаӡы
AB947	иҟанаҵаз
AB948	ашахта.
AB949	Иаара
AB950	аҵаагьы
AB951	–
AB952	ацыхаӡқәа
AB953	реиԥш
AB954	–
AB955	иаанымгылаӡакәа,
AB956	Ишиашоу
AB957	ҵаҟа
AB958	илбаауеит
AB959	архаҟа
AB960	/
AB961	Альпатәи
AB962	аҵааршәырақәа
AB963	дуӡӡоушәа
AB964	иубоит
AB965	азныказы,
AB966	аха
AB967	урҭ
AB968	абанӡеиҵоу
AB969	Индиатәи
AB970	асубконтиненти
AB971	Тибети
AB972	еиҟәызшо
AB973	Ашьха
AB974	аҟәаҟәа
AB975	иқәу
AB976	аҵааршәырақәа
AB977	раасҭа.
AB978	Ари
AB979	Пакисҭан
AB980	иҟоу
AB981	Каракорум
AB982	ашьхақәа
AB983	рҿы
AB984	хаҳәла
AB985	ихҟьоу
AB986	Балторо
AB987	аҵааршәыра
AB988	ду
AB989	абыз
AB990	ауп.
AB991	Балторо
AB992	–
AB993	адунеи
AB994	аҿы
AB995	зегьы
AB996	раасҭа
AB997	иауу
AB998	ҵааршәыроуп.
AB999	Уи
AB1000	аура
AB1001	69
AB1002	км
AB1003	инаӡоит,
AB1004	аҭбаарагьы
AB1005	-5
AB1006	км
AB1007	рҟынӡа
AB1008	иҟоуп.
AB1009	Ҵаала
AB1010	иҭырҭәаау
AB1011	ари
AB1012	акаршәра
AB1013	убри
AB1014	аҟара
AB1015	идууп,
AB1016	акосмос
AB1017	аҟнытә
AB1018	ибзиаӡаны
AB1019	иубарҭоуп.
AB1020	Ари
AB1021	ашьхеибаркырақәа
AB1022	рҿы
AB1023	адунеи
AB1024	аҟны
AB1025	даҽаџьара
AB1026	аасҭа
AB1027	рҽеидыркылеит
AB1028	аанызықь
AB1029	метра
AB1030	инареиҳаны
AB1031	аҳаракыра
AB1032	змоу
AB1033	ашьха
AB1034	ақәцәқәа,.
AB1035	Апланетаҿы
AB1036	зегь
AB1037	раасҭа
AB1038	ишәарҭоуп
AB1039	арҭ
AB1040	ашьхақәа.
AB1041	К-2
AB1042	еи
AB1043	уи
AB1044	ааигәара
AB1045	иҟоу
AB1046	аҳаракырақәеи
AB1047	–
AB1048	иргахьо
AB1049	рхыԥхьаӡара
AB1050	еиҳауп
AB1051	егьырҭ
AB1052	ашьхақәа
AB1053	зегьы
AB1054	ааидкыланы
AB1055	рҿы
AB1056	аасҭа.
AB1057	Арҭ
AB1058	ашьхақәа
AB1059	рықәцәқәа
AB1060	ацаҟьа
AB1061	бааԥсқәаны
AB1062	илашьҭуп,
AB1063	Аҵааршәырақәагьы
AB1064	шьшьа-шьшьаны
AB1065	иҟоуп
AB1066	аҟнытә
AB1067	арахь
AB1068	ԥышәа
AB1069	дук
AB1070	змоу
AB1071	альпинистцәак
AB1072	ракәымзар,
AB1073	ахалара
AB1074	уаҩы
AB1075	илшом,
AB1076	Мархәура
AB1077	захьӡу
AB1078	атәыҩалакь
AB1079	абнаџьмақәа,.
AB1080	Урҭ
AB1081	ара
AB1082	есышықәса
AB1083	еизоит
AB1084	еибашьырц
AB1085	азы.
AB1086	Абаӷьқәа
AB1087	еисуеит
AB1088	аџьмақәа
AB1089	еимакны.
AB1090	Аха
AB1091	арҭ
AB1092	ацаҟьа
AB1093	бааԥсқәа
AB1094	рҿы
AB1095	руакы
AB1096	ишакәым
AB1097	ашьапы
AB1098	нықәнаргылар,
AB1099	аҩбагьы
AB1100	хланҵы
AB1101	еиццоит.
AB1102	Абжьас
AB1103	–
AB1104	ирбис
AB1105	–
AB1106	Гималаи
AB1107	ашьхақәа
AB1108	рҿы,
AB1109	шамахамзар
AB1110	иуԥылаӡом.
AB1111	Аҭыԥ
AB1112	ахь
AB1113	ианыгьежьуоуп.
AB1114	Аоператорцәа
AB1115	ирылшеит
AB1116	иара
AB1117	ахьыҟаҵәҟьаз
AB1118	инеины,
AB1119	иааигәаӡаны
AB1120	аҭыхра.
AB1121	Ан
AB1122	шықәсык
AB1123	зхыҵуа
AB1124	аԥа
AB1125	ааира
AB1126	иеигәырӷьеит.
AB1127	иманшәаланы
AB1128	иалхуп.
AB1129	Арантә
AB1130	иаакәыршаны
AB1131	иҟоу
AB1132	ацаҟьақәа
AB1133	бзианы
AB1134	иубарҭоуп.
AB1135	Ацаҟьа
AB1136	бааԥсқәа
AB1137	рҿы
AB1138	ари
AB1139	абжьас
AB1140	хкы
AB1141	ада
AB1142	даҽакы
AB1143	зышәарыцаӡом.
AB1144	Ан
AB1145	аԥацәа
AB1146	зцу
AB1147	акра
AB1148	еиҳа
AB1149	имариоуп.
AB1150	Абжьас
AB1151	ашьап
AB1152	ҟьаҟьақәа
AB1153	рыла
AB1154	афатә
AB1155	аҽаларԥсны
AB1156	иааннакылоит,
AB1157	аҵыхәа
AB1158	ду
AB1159	шьҭарӷәӷәаны
AB1160	аҽааннакылоит.
AB1161	Абжьас
AB1162	аԥсы
AB1163	ӡаны
AB1164	иаиуз
AB1165	аԥыхьашәа
AB1166	иеиҩаӡоит.
AB1167	Башахеит,
AB1168	иманшәаламхеит.
AB1169	Ашьхауарбақәа
AB1170	ацаҟьақәа
AB1171	ирхаԥыруеит
AB1172	Излымшо,
AB1173	ихәу
AB1174	аԥстәқәа
AB1175	џьара
AB1176	иаабозар
AB1177	ҳәа.
AB1178	Ари
AB1179	аԥсаатә
AB1180	амҵәыжәҩа
AB1181	анааиҵнахлак
AB1182	ҩ-метрак
AB1183	инаӡоит,
AB1184	амархәур
AB1185	ԥшқа
AB1186	аашьҭԥааны
AB1187	иагар
AB1188	алшоит.
AB1189	Ауарбақәа
AB1190	рыла
AB1191	ибзианы
AB1192	иабоит
AB1193	аҟнытә
AB1194	ианышәарыцо
AB1195	уи
AB1196	ауп
AB1197	изықәгәыӷуа,
AB1198	аха
AB1199	уажәы
AB1200	асы
AB1201	шкәакәа
AB1202	рылақәа
AB1203	хнакуеит.
AB1204	Абжьас
AB1205	асы
AB1206	иаҵәахуеит,
AB1207	Асы
AB1208	анилеиуа
AB1209	ашәарыцаразы
AB1210	иманшәалоуп
AB1211	аҟнытә,
AB1212	еиҭа
AB1213	аҽыԥнашәоит.
AB1214	Асаҟны
AB1215	ашьҭыбжь
AB1216	уаҳаӡом
AB1217	азы
AB1218	аԥстәы
AB1219	акыр
AB1220	иазааигәаны
AB1221	инеир
AB1222	алшоит.
AB1223	Ас
AB1224	идуу
AB1225	аԥстәы,
AB1226	шамахамзар,
AB1227	иаԥыхьашәаӡом,
AB1228	уажәы
AB1229	игәааит
AB1230	азоуп....
AB1231	Аха
AB1232	абгақәа
AB1233	маншәалахеит,
AB1234	урҭ
AB1235	ирхашәалаз
AB1236	аԥсхаԥсжьы
AB1237	егьырҭ
AB1238	агыгшәыгқәагьы
AB1239	ирыхьӡеит.
AB1240	Ари
AB1241	асыҭәҳәа
AB1242	ирбис
AB1243	арманшәалеит.
AB1244	Аха
AB1245	афатә
AB1246	иашьҭаланы
AB1247	ашьха
AB1248	илбаар
AB1249	акәхеит,
