AB1	1
AB221	хәарҭа
AB222	дууп.
AB223	39
AB224	Иреиӷьу
AB225	аҭыԥқәа
AB226	рзы
AB227	иҵегьы
AB228	аҩада
AB229	ухалар
AB230	ҟалоит.
AB231	40
AB232	Хара
AB233	имгакәа
AB234	ацаҟьақәа
AB235	рықәцәқәа
AB236	цәаԥшьхоит,
AB237	41
AB238	зқьыла
AB239	ара
AB240	зыҭра
AB241	зҳаз
AB242	апингвинқәа
AB243	руац
AB244	иашәуеит.
AB245	42
AB246	Шамахамзар,
AB247	сыԥсала
AB248	ихҟьоу
AB249	адгьыл
AB250	аҿы,
AB251	43
AB252	ацаҟьа
AB253	цәҳәқәа
AB254	аӡи
AB255	аҵиаақәеи
AB256	ахьыҟоу
AB257	ҭыԥуп
AB258	ҳәа
AB259	иуԥхьаӡар
AB260	алшоит.
AB261	44
AB262	Абас
AB263	еиԥш
AB264	иҟоу
AB265	ацаҟьақәа
AB266	ирышьҭаланы
AB267	Аконтинент
AB268	агәахьы
AB269	ицогьы
AB270	убап.
AB271	45
AB272	Ари
AB273	нунатаки
AB274	ҳәа
AB275	изышьҭоу
AB276	–
AB277	асыԥса
AB278	иагәылагылоу,
AB279	цаҟьаны
AB280	иҩагоу
AB281	46
AB282	ашьха
AB283	аика
AB284	акьышәкьышәрақәа
AB285	роуп.
AB286	47
AB287	Иҿаҳа-дагәоу
AB288	аҭынчра
AB289	еилазгоны
AB290	иҟоу
AB291	ааԥынроуп.
AB292	48
AB293	Асыҭәҳәа
AB294	цҳаражәҳәаҩцәа
AB295	ԥырны
AB296	иааит,
AB297	49
AB298	ҳаҭыреиқәҵара
AB299	аамҭа
AB300	ааит.
AB301	50
AB302	Антарктикатәи
AB303	асыҭҳәа
AB304	цҳаражәҳәаҩцәа
AB305	51
AB306	адунеи
AB307	аҿы
AB308	зегь
AB309	раасҭа
AB310	алада
AB311	илбааны
AB312	аҭыԥ
AB313	нызыкыло
AB314	ԥсаатәуп.
AB315	52
AB316	Арҭ
AB317	аԥсаатәқәа
AB318	500
AB319	км
AB320	агьакымкәа
AB321	иԥырны,
AB322	53
AB323	рыҭрақәа
AB324	рҟынӡа
AB325	иааит.
AB326	Иҵааршәу
AB327	адунеи
AB328	54
AB329	Аҵыс
AB330	ԥшқақәа
AB331	анхыҵлак,
AB332	Иҵааршәу
AB333	адунеи
AB334	55
AB335	урҭ
AB336	уажәы
AB337	аасҭа
AB338	ҩынтә
AB339	еиҳаны
AB340	иԥырны
AB341	ицалароуп
AB342	56
AB343	амшын
AB344	аҿы
AB345	афатә
AB346	иашьҭаланы
AB347	57
AB348	Аха
AB349	раԥхьа
AB350	даҽакы
AB351	ааины
AB352	иахымларц
AB353	азы
AB354	закәанла
AB355	иааныркылаз
AB356	аҭыԥқәа
AB357	хьчат
AB358	Аҵыс
AB359	уп.
AB360	58
AB361	Рыкәтаӷьқәа
AB362	нышьҭаҵаны,
AB363	асыҭәҳәа
AB364	цҳаражәҳәаҩцәа
AB365	ибзиаӡаны
AB366	рхәы
AB367	дрыцқьоит.
AB368	59
AB369	Антарктикатәи
AB370	поморникаимҵәаҩ
AB371	бааԥс.
AB372	60
AB373	Аха
AB374	поморникқәа
AB375	машәырла
AB376	акәӡам
AB377	асыҭәҳәа
AB378	цҳаражәҳаҩцәа
AB379	рышҟа
AB380	иԥырны
AB381	изааз.
AB382	61
AB383	Даргьы
AB384	рзыԥшын
AB385	ара.
AB386	62
AB387	Арҭ
AB388	аԥсаатәқәа
AB389	рыфатә
AB390	аокеан
AB391	аҟнытә
AB392	иааргаӡом.
AB393	63
AB394	Поморникқәа
AB395	асыҭәҳәа
AB396	цҳаражәҳаҩцәа
AB397	рыҭрақәа
AB398	ацаҟьа
AB399	цәҳәқәа
AB400	иахьадҟарҵало
AB401	рхы
AB402	иархәаны,
AB403	64
AB404	Антарктика
AB405	аԥсаатқәа
AB406	зегь
AB407	раасҭа
AB408	еиҳа
AB409	лбаа
AB410	инхоит.
AB411	65
AB412	Аԥхынра
AB413	ашыкьымҭазы
AB414	66
AB415	Антарктида
AB416	зегь
AB417	аҟнытә
AB418	иқәҵуа
AB419	асыԥса/анаҟәоу
AB420	3%
AB421	роуп.
AB422	.
AB423	67
AB424	Шамахамзар,
AB425	ацаҟьақәа
AB426	зегьы
AB427	џьарак
AB428	рҽеидкыланы
AB429	иҟоуп.
AB430	68
AB431	Антарктикатәи
AB432	адгьылбжьахаҿы.
AB433	69
AB434	Цәаҳәак
AB435	иқәгыланы
AB436	аҩадаҟа
AB437	иҩаскьоит,
AB438	70
AB439	Убри
AB440	аҟнытә
AB441	ара
AB442	аматерик
AB443	аҟны
AB444	аасҭа
AB445	ааԥынра
AB446	еиҳа
AB447	заа
AB448	иаауеит.
AB449	71
AB450	Асыԥса/анаҟәоу
AB451	аҟнытә
AB452	маҷ-маҷ
AB453	ахы
AB454	иақәиҭхоит
AB455	аӡыбжьахалақәа
AB456	72
AB457	Ара
AB458	аладатәи
AB459	аокеан
AB460	ацәқәырԥа
AB461	леишәацәгьақәа
AB462	уҽырцәухьчар
AB463	ҟалоит.
AB464	73
AB465	Аокеан
AB466	аҩныҵҟа
AB467	еилаҩеиласроуп
AB468	74
AB469	Ааи,
AB470	ари
AB471	акит-бӷаџьыҟәқәа
AB472	роуп,
AB473	75
AB474	Урҭ
AB475	8
AB476	нызқь
AB477	километр
AB478	инареиҳаны
AB479	иӡсаны
AB480	иааит
AB481	76
AB482	абарҭ
AB483	аӡқәа
AB484	рҟынӡа
AB485	иааӡарц
AB486	азы.
AB487	77
AB488	Абас
AB489	акитқәа
AB490	асыԥсақәа
AB491	аныӡыҭлак
AB492	ашьҭахь
AB493	78
AB494	арҭ
AB495	аӡқәа
AB496	ирымоу
AB497	адыӷаҷа
AB498	ссақәа
AB499	еизыргоит.
AB500	79
AB501	Акитқәа
AB502	уамашәа
AB503	иеинааланы
AB504	аӡы
AB505	иҭаҳәамлысуеит./иӡсоит/.
AB506	80
AB507	Џьоукы
AB508	адыӷаҷа
AB509	ссақәа
AB510	ҳәыԥкны
AB511	иахьыҟоу
AB512	илбаауеит,
AB513	81
AB514	ашьшьыҳәа
AB515	иеикәшоит.
AB516	82
AB517	Анаҩс
AB518	иааҳәны,
AB519	рҟарҟҷыда
AB520	аҳауа
AB521	ҭдырҟьоит,
AB522	83
AB523	ахашәала
AB524	ироуз
AB525	хыхьҟа
AB526	идәықәырҵоит.
AB527	84
AB528	Афатә
AB529	хыхьҟа
AB530	ианҩеи
AB531	мацәазҵас,
AB532	85
AB533	аҳауа
AB534	еимхәыц
AB535	аакәыршаны
AB536	иеидыркылоит.
AB537	86
AB538	Акитқәа
AB539	еинааланы
AB540	ихандеиуеит
AB541	Уахгьы-ҽынгьы,
AB542	87
AB543	Абарақьаҭра
AB544	аамҭа
AB545	лассы
AB546	инҵәоит,
AB547	аԥхынра
AB548	ыиасуеит.
AB549	88
AB550	Хара
AB551	имгакәа,
AB552	аӡынра
AB553	шааиз,
AB554	абӷаџьыҟәқәа
AB555	аҩадаҟа
AB556	иӡсаны
AB557	ицар
AB558	акәхоит.
AB559	89
AB560	Амра
AB561	амчқ
AB562	кәадахоит,
AB563	аокеан
AB564	еиҭа
AB565	иҵаауа
AB566	иалагоит.
AB567	90
AB568	Даҽа
AB569	аамҭанык
AB570	иеиԥшымкәа
AB571	ҳапланетаҿы
AB572	иаалырҟьаны
AB573	ашықәс
AB574	аамҭақәа
AB575	рҽеиҭаркуеит.
AB576	91
AB577	Уаҩы
AB578	ишимбац
AB579	ала
AB580	лассы
AB581	иазҳауеит
AB582	анаҟәоу,
AB583	92
AB584	мышкы
AB585	ԥшь-километрак
AB586	ахҵаалара
AB587	иахьӡаны.
AB588	93
AB589	Ҩ-
AB590	мчыбжьҟа
AB591	рышьҭахь
AB592	аматерик
AB593	ҩынтә
AB594	иеиҳахоит.
AB595	94
AB596	Псы
AB597	зхоу
AB598	зегьы
AB599	Антарктика
AB600	иқәҵны
AB601	ицоит.
AB602	95
AB603	Аха
AB604	мап,
AB605	руакы
AB606	уажәоуп
AB607	арахь
AB608	иӡсаны
AB609	ианаа,
AB610	96
AB611	аконтинент
AB612	агәахьы
AB613	инаскьоит.
AB614	97
AB615	Ес-ӡынра
AB616	98
AB617	Аимператортә
AB618	пингвинқәа
AB619	аокеан
AB620	аҿы
AB621	ишәарҭам
AB622	аҭыпқәа
AB623	ааныжьны
AB624	99
AB625	Иџьашьахәу
AB626	аныҟәарақәа
AB627	ирылагоит.
AB628	100
AB629	Урҭ
AB630	ахьыҿиаша
AB631	аҭыԥқәа
AB632	рахь
AB633	ицоит,
AB634	101
AB635	амшын
AB636	аԥшаҳәа
AB637	150
AB638	км
AB639	инацәыхараны.
AB640	102
AB641	Аҵыхәтәаны,
AB642	апингвинқәа
AB643	дара
AB644	рхаҭақәа
AB645	адәы
AB646	иахьықәлаз
AB647	аҭыԥқәа
AB648	рҿы
AB649	инеиуеит.
AB650	103
AB651	Ари
AB652	иҵааршәырахаз
AB653	аргыларақәа
AB654	/рыла
AB655	ихьчоу/
AB656	ирыхьчаз
AB657	ихҵаалаз
AB658	аокеан
AB659	хәҭақәоуп.
AB660	104
AB661	Урҭ
AB662	ара
AB663	ихтәалараны
AB664	иҟоуп,
AB665	105
AB666	Аха
AB667	раԥхьа
AB668	дасу
AB669	аҩыза
AB670	аԥшаароуп.
AB671	106
AB672	Арбаӷьқәа
AB673	абзиабара
AB674	ашәақәа
AB675	рҳәара
AB676	иалагоит,
AB677	107
AB678	уи
AB679	иақәҿызҭыз
AB680	ҩызас
AB681	ишьҭнахуеит,
AB682	108
AB683	асахьа
AB684	ианушәагьы
AB685	рҽаадырҭнчуеит.
AB686	109
AB687	Бзиа
AB688	иеибабаз
AB689	иаразнак
AB690	еилшәарада
AB691	иеидҳәалахоит.
AB692	110
AB693	Урҭ
AB694	рыкәша-мыкәша
AB695	иҟоу
AB696	аӷьал-пал
AB697	рымбо
AB698	иҟалоит.
AB699	111
AB700	Ари
AB701	аҭаацәа
AB702	хымбгаларц
AB703	азы
AB704	арбаӷь
AB705	аҩыза
AB706	“алашарахь
AB707	ицәырнагоит”.
AB708	112
AB709	Ҳаҭыреиқәҵара
AB710	ианаамҭаз
AB711	ыҟан,
AB712	шьҭа
AB713	атәаха
AB714	змада.
AB715	113
AB716	Аиндаҭлара
AB717	ӷәӷәа
AB718	ахьыҟоу
AB719	114
AB720	Аҭаацәара
AB721	ахада
AB722	иарбанзаалак
AB723	аҵыхәтәанӡа
AB724	иқәԥалоит.
AB725	115
AB726	Мчыбжьқәак
AB727	рышьҭахь
AB728	аҭаацәарақәа
AB729	реиҳарак
AB730	рҿы
AB731	аԥшқақәа
AB732	хыҵуеит.
AB733	116
AB734	Аха
AB735	акәтаӷьхыхра
AB736	ус
AB737	мариам
AB738	–
AB739	алшара
AB740	ду
AB741	аҭахуп
AB742	аҟнытә
AB743	117
AB744	ахтәалара
AB745	акәытқәа
AB746	рымч
AB747	аназымха
AB748	118
AB749	урҭ
AB750	ирымырдаразы
AB751	инеиуеит
AB752	арбаӷьқәа.
AB753	119
AB754	Аҳауа
AB755	20
AB756	градус
AB757	ихьшәашәоуп
AB758	аҟнытә,
AB759	акәтаӷь
AB760	ирласны
AB761	иеиҭагатәуп,
AB762	120
AB763	мап
AB764	анакәха
AB765	иҵаауеит.
AB766	121
AB767	Ацаҟьақәа
AB768	ара
AB769	иҟаӡам
AB770	аҟнытә
AB771	арбаӷь
AB772	акәтаӷь
AB773	амгәа
AB774	инаҵакны
AB775	ирҽу
AB776	122
AB777	ацәа
AB778	ихәыҵанаҵоит.
AB779	Уа
AB780	акгьы
AB781	ахьраны
AB782	иҟаӡам.
AB783	123
AB784	Ари
AB785	апроцесс
AB786	ангьы
AB787	абгьы
AB788	еиқәшәаны
AB789	имҩаԥыргароуп.
AB790	124
AB791	Зымч
AB792	каԥсаз
AB793	анацәа
AB794	аокеан
AB795	ашҟа
AB796	ихынҳәуеит,
AB797	125
AB798	мызкы
AB799	аԥхьа
AB800	арбаӷьқәеи
AB801	дареи
AB802	еицны
AB803	126
AB804	изнысыз
AB805	аҭоурых
AB806	мҩа
AB807	иеиҭеицаныларц
AB808	азы.
AB809	127
AB810	Амра,
AB811	шамахамзар,
AB812	ихалаӡом.
AB813	128
AB814	Амшқәа
AB815	ирыгхо
AB816	иалагоит,
AB817	аконтинент
AB818	аԥхарра
AB819	шықәҵра
AB820	иқәҵуеит.
AB821	129
AB822	Ицаз
AB823	рышьҭахь
AB824	аколониаҿы
AB825	џьашьатәқәак
AB826	мҩаԥысуеит.
AB827	130
AB828	Арбаӷьқәа
AB829	гәыԥкны
AB830	рҽеидыркылоит,
AB831	131
AB832	Аха
AB833	акәтаӷьқәа
AB834	ршьапқәа
AB835	рҿы
AB836	ишыркыц
AB837	иркуп.
AB838	132
AB839	Рыҽдырԥхарц
AB840	азы
AB841	иахьынӡауа
AB842	рҽеидырӷәӷәаланы
AB843	игылоуп.
AB844	133
AB845	Иубартә
AB846	иҟоуп
AB847	аԥсаатә
AB848	есааира
AB849	ишеиҭаҵуа,
AB850	134
AB851	апингвинқәа
AB852	еизыԥшны,
AB853	аӡәаӡәала
AB854	агәҭахьы
AB855	инаскьоит,
AB856	135
AB857	еиҳа
AB858	иахьыԥхарроу.
AB859	136
AB860	Абас
AB861	иахьеигәҭасуагьы
AB862	аԥсаатә
AB863	уамашәа
AB864	иубаратәы,
AB865	ҳаҭыр
AB866	еиқәырҵоит,
AB867	башагьы
AB868	акәым,
AB869	137
AB870	Кылаара
AB871	хәыҷык
AB872	анааҟала,
AB873	изыхӡыӡаауа
AB874	аԥхарра
AB875	рыцәцеит
AB876	ауп.
AB877	138
AB878	Излауала
AB879	арбаӷьқәа
AB880	лассы-лассы
AB881	иҳәыԥкны
AB882	рҽеидыркылалароуп
AB883	139
AB884	аӡәк
AB885	еиԥш
AB886	иагьеидгылароуп,
AB887	140
AB888	Избанзар
AB889	дара
AB890	роуп
AB891	ԥсабаратә
AB892	рыцҳарак
AB893	ҟалар
AB894	аҿагылара
AB895	зылшо,
AB896	141
AB897	акәтаӷьқәагьы
AB898	зыхьчо.
AB899	142
AB900	Аха
AB901	еиҳа
AB902	ихьанҭоу
AB903	аусқәа
AB904	раԥхьаҟа
AB905	ишьҭоуп.
AB906	143
AB907	Аӡынра
AB908	ааиуеит.
AB909	144
AB910	Анаатә/асыҭәҳәа
AB911	аҳауа
AB912	хьшәашәа
AB913	ацны
AB914	иааиуеит.
AB915	145
AB916	Аҳауашәага
AB917	60
AB918	градус
AB919	ахьшәашәара
AB920	унарбоит.
AB921	146
AB922	Агәыԥ
AB923	адәахьала
AB924	иадгылоу
AB925	аԥсаатә
AB926	роуп
AB927	147
AB928	сааҭк
AB929	аҩныҵҟала
AB930	150
AB931	километр
AB932	иасуа
AB933	аԥша
AB934	хьшәашәа
AB935	заахо.
AB936	148
AB937	Абасала,
AB938	урҭ
AB939	агәыԥ
AB940	аҩныҵҟа
AB941	уажәы
AB942	аҽырԥхара
AB943	зтәу
AB944	рыхьчоит.
AB945	149
AB946	Аимператортә
AB947	пингвинқәа
AB948	хтәалоит
AB949	150
AB950	зегь
AB951	раасҭа
AB952	Адгьыл
AB953	аҿы
AB954	ихьшәашәоу,
AB955	иеиқәароу
AB956	аӡынразы.
AB957	151
AB958	Аҩадатәи
AB959	аполиус
AB960	аҿы
AB961	мызқәак
AB962	рыҩныҵҟала
AB963	152
AB964	раԥхьаӡа
AB965	акәны
AB966	Амра
AB967	ҩаҵхахоит
AB968	153
AB969	даҽа
AB970	сыԥса/анаҟәоу
AB971	дунеик
AB972	аарлашоит.
AB973	154
AB974	Антарктида
AB975	аматерик
AB976	иадкыланы
AB977	155
AB978	Арктика
AB979	–иҵааршәу
AB980	океан
AB981	дууп.
AB982	156
AB983	иаакәыршаны
AB984	адгьыл
AB985	шьҭоуп.
AB986	157
AB987	Ара
AB988	аӡынра
AB989	нҵәоит,
AB990	158
AB991	аха
AB992	игәыԥҵәагоу
AB993	ари
AB994	ацәҳәыра
AB995	асыԥсақәа/анаҟәоуқәа
AB996	иҳәынҷаны
AB997	ирымоуп.
AB998	159
AB999	Акәата
AB1000	дуқәа
AB1001	аҭынчра
AB1002	еиларгоит.
AB1003	160
AB1004	Урҭ
AB1005	егьырҭ
AB1006	аԥсаатәқәа
AB1007	реиԥш
AB1008	аладаҟа
AB1009	иԥырны
AB1010	ицаӡом,
AB1011	аҩадатәи
AB1012	алӡынра
AB1013	зегьы
AB1014	161
AB1015	ара
AB1016	ирхыргоит.
AB1017	162
AB1018	Асы
AB1019	цәҳәырақәа
AB1020	ирхысны
AB1021	ицоит
AB1022	аԥсаатә
AB1023	163
AB1024	хыԥхьаӡарала
AB1025	40
AB1026	нызықь
AB1027	инарзынаԥшуа.
AB1028	164
AB1029	Дара
AB1030	зегьы
AB1031	гәҭакык
AB1032	ауп
AB1033	ирымоу165
AB1034	аокеан
AB1035	еиҭаҵра
AB1036	иабзоураны
AB1037	166
AB1038	аӡынра
AB1039	зегьы
AB1040	иахьыӡсаша
AB1041	имҵаауа
AB1042	аӡы
AB1043	иашьҭоуп.
AB1044	167
AB1045	Абас
AB1046	еиԥш
AB1047	иҟоу
AB1048	аӡҭачы
AB1049	акәатақәа
AB1050	уахынла
AB1051	рҽырӡоит,/хыхьчарҭас
AB1052	ирымоуп
AB1053	168
AB1054	шарԥазы
AB1055	афатә
AB1056	ԥшаара
AB1057	даара
AB1058	иманшәалоуп.
AB1059	169
AB1060	Изыманшәалои?
AB1061	Уажәы
AB1062	иеилышәкаап.
AB1063	170
AB1064	Ара
AB1065	аҵаулара
AB1066	10м
AB1067	ыҟоуп,
AB1068	171
AB1069	амшын
AB1070	аҵа
AB1071	амидии
AB1072	мыдаӷьцәа
AB1073	ауарҳалла
AB1074	ихҟьоуп,
AB1075	172
AB1076	Урҭ
AB1077	рҟынӡа
AB1078	унаӡар
AB1079	улшоит
AB1080	173
AB1081	аокеан
AB1082	еиҭаҵра
AB1083	ԥыҭраамҭак
AB1084	еиҳа
AB1085	ианыԥсыҽхо
AB1086	аамҭазы.
AB1087	174
AB1088	Ара
AB1089	аӡы
AB1090	ажәылареи
AB1091	ахьаҵреи
AB1092	мҩаԥысуеит,
AB1093	зны
AB1094	иааскьоит,
AB1095	зны
AB1096	инаскьоит,
AB1097	175
AB1098	Аӡы
AB1099	жәылара
AB1100	ахьаҵра
AB1101	ианаамнада,
AB1102	176
AB1103	урҭ
AB1104	аҵаҟнытә
AB1105	амидии
AB1106	аагара
AB1107	иахьӡоит.
AB1108	177
AB1109	Аамҭа
AB1110	зынӡа
AB1111	имаҷуп,
AB1112	аӡеиҭаҵра
AB1113	еиҳа-еиҳа
AB1114	амч
AB1115	иацло
AB1116	ианалага
AB1117	нахыс,
AB1118	178
AB1119	хыхьҟа
AB1120	ихалатәхоит,
AB1121	179
AB1122	мап
AB1123	анакәха
AB1124	аҵаа
AB1125	иаҵанагалоит.
AB1126	180
AB1127	Абас
AB1128	имҵаауа
AB1129	аӡқәа
AB1130	акәатақәа
AB1131	алӡынрак
AB1132	181
AB1133	Фатәыла
AB1134	иеиқәдыршәоит.
AB1135	182
AB1136	Зыԥшқақәа
AB1137	крырҿазҵо
AB1138	аԥсаатә
AB1139	егьырҭ
AB1140	аԥстәқәа
AB1141	рышьҭаланы
AB1142	иаауеит,
AB1143	183
AB1144	Ара
AB1145	имаар
AB1146	алшома
AB1147	абгахәыҷы,
AB1148	аимҵәаҩ.
AB1149	183
AB1150	Арктика
AB1151	иҭаԥҽыз
AB1152	асыԥса
AB1153	кәылӡы
AB1154	184
AB1155	ԥсеиқәырхагас
AB1156	иҟалар
AB1157	алшоит.
AB1158	185
AB1159	Ауасацә
AB1160	дуқәа
AB1161	рылахь
AB1162	иану
AB1163	иақәгәыӷӡом,
AB1164	186
AB1165	арҭ
AB1166	адомбеиқәа
AB1167	рылшара
AB1168	дууп,
AB1169	187
AB1170	урҭ
AB1171	аҵаа
AB1172	кылаԥҽны
AB1173	иҟоу
AB1174	аҳаскьын
AB1175	хәыҷ
AB1176	рфоит.
AB1177	188
AB1178	Ауасацәқәа
AB1179	акранырфо
AB1180	иӡысуа
AB1181	егьырҭ
AB1182	аԥстәқәагьы
AB1183	ирыхәоит.
AB1184	189
AB1185	атундра
AB1186	каԥкаԥауасацәқәа
AB1187	рхы
AB1188	здыркалазгьы
AB1189	уамашәа
AB1190	иубартә
AB1191	иҟоуп.
AB1192	190
AB1193	Аха
AB1194	урҭ
AB1195	ирхьыԥшны
AB1196	иаауа
AB1197	рхыпхьаӡара
AB1198	есааира
AB1199	иазҳауеит.
AB1200	191
AB1201	Арҭ
AB1202	ирыцлоит
AB1203	ажьа
AB1204	шкәакәагьы.
AB1205	192
AB1206	Ауасацәқәа
AB1207	анышә
AB1208	ахьыржыз
AB1209	Афатә
AB1210	аԥшаара
AB1211	еиҳа
AB1212	имариоуп.
AB1213	193
AB1214	Аха
AB1215	ас
AB1216	авегетарианеццәа
AB1217	лассы-лассы
AB1218	194
AB1219	Иеизалаӡом
AB1220	аҟнытә
AB1221	гәамҭашьа
AB1222	ыҟаӡам.
AB1223	195
AB1224	Абгахәыҷы
AB1225	аҽӡаны
AB1226	иааиуеит.
AB1227	196
AB1228	Ауасацәқәа
AB1229	аҳәарақәа
AB1230	рхылҵит.
AB1231	197
AB1232	Абгахәыҷы
AB1233	ажьабаа
AB1234	афаразы
AB1235	ари
AB1236	ҭагылазаашьа
AB1237	бзиоуп.
AB1238	198
AB1239	Аха
AB1240	тоннабжак
AB1241	иҟоу
AB1242	ран
AB1243	Ус
AB1244	ишабалак
AB1245	уазныҟәар
AB1246	ҟалом.
AB1247	199
AB1248	Ауасацә
AB1249	хәыҷқәа
AB1250	ааԥынтәи
AB1251	асыӡыҭра
AB1252	акыр
AB1253	шагу
AB1254	ииуеит.
AB1255	200
AB1256	Убри
AB1257	аҟнытә
AB1258	201
AB1259	аԥхынра
AB1260	анааилак
AB1261	еибарыҩуа
AB1262	адәы
AB1263	инықәлоит.
AB1264	2002
AB1265	Иашьцылароуп
AB1266	зны
AB1267	игәыбзыӷу,
AB1268	зны
AB1269	ишәарҭоу
AB1270	203
AB1271	Иҵааршәыроу
AB1272	ари
AB1273	адунеи
AB1274	ҿыц
AB1275	.
AB1276	204
AB1277	Ааԥынразгьы
AB1278	иҵааршәыроу
AB1279	аԥша
AB1280	убаҩқәа
AB1281	рҟынӡа
AB1282	иулсуеит.
AB1283	205
AB1284	Аҳәыс
AB1285	ан
AB1286	ахьцалак
AB1287	иацзароуп,
AB1288	206
AB1289	агәаҽанӡамкәа
AB1290	иаацәырҵыз
AB1291	асыҭәҳәа
AB1292	иаламӡразы.
AB1293	207
AB1294	Арахь
AB1295	абгақәагьы
AB1296	ҭаха
AB1297	рырҭом.
AB1298	208
AB1299	Ари
AB1300	асыҭәҳәа
AB1301	шкәакәа
AB1302	уалыԥшны
AB1303	шәарҭарак
AB1304	аныҟоугьы
AB1305	иубараны
AB1306	иҟаӡам.
AB1307	209
