AB1	Апланета
AB468	акгьы
AB469	рылдыршом.
AB470	Иахьеилауаҭыруаз
AB471	аԥшқақәа
AB472	руакы
AB473	ан
AB474	иацәхҟьеит.
AB475	Аҽацә
AB476	хәыҷуп,
AB477	аха
AB478	абга
AB479	иацәцар
AB480	алшоит,
AB481	ишьацәхнымслар.
AB482	Макьана
AB483	иеиҟараны
AB484	иааиуеит.
AB485	Ма
AB486	аҽацә
AB487	хәыҷы
AB488	уаҳа
AB489	алымшакәа
AB490	иаангылоит,
AB491	ма
AB492	километрак
AB493	анаҩс
AB494	абга
AB495	наҟ
AB496	иацрыҵуеит.
AB497	Тундра
AB498	аԥхын
AB499	агәазоуп,
AB500	амрагьы
AB501	ҭашәаӡом
AB502	шьҭа.
AB503	Ари
AB504	ацәаҳәаҿы
AB505	амра
AB506	амч
AB507	азхаӡом
AB508	аҵлақәа
AB509	гыларц
AB510	азы.
AB511	Аҵлақәа
AB512	ирызҳауа
AB513	иалагоит
AB514	аашә
AB515	километр
AB516	ахьыбжьоу,
AB517	алада
AB518	лбааҟа.
AB519	Арҭ
AB520	ачықь
AB521	хәыҷқәа
AB522	рнаҩс
AB523	арктикатәи
AB524	абна
AB525	гылоит.
AB526	Атаига.
AB527	Аԥстәқәа
AB528	аԥсаҵлақәа
AB529	ргәырбыӷьқәа
AB530	рфаӡом
AB531	аҟнытә
AB532	ара
AB533	имаҷуп
AB534	зынӡа.
AB535	Ҭынчроуп,
AB536	асгьы
AB537	шьҭа
AB538	ҳәа
AB539	акгьы
AB540	анӡам.
AB541	Арктикатәи
AB542	аӡынраан
AB543	адгьыл
AB544	ҟәашӡа
AB545	сы-уарҳалла
AB546	ихҟьоуп.
AB547	Аха
AB548	аладантә
AB549	иаауа
AB550	ааԥын
AB551	маҷ-маҷ
AB552	ари
AB553	асы
AB554	арӡыҭуа
AB555	иалагоит.
AB556	Адгьыл
AB557	иаакәыршаны
AB558	игылоу
AB559	атаига
AB560	бна
AB561	иамоуп
AB562	апланетаҿы
AB563	иааҟоу
AB564	аҵлақәа
AB565	зегьы
AB566	хыџьара
AB567	ишаны
AB568	хәҭак.
AB569	Ари
AB570	абна
AB571	иахылҵуа
AB572	акислород
AB573	атмосфера
AB574	аилазаара
AB575	ианыԥшуеит,
AB576	иаԥсахуеит.
AB577	Амра
AB578	аладаҟа
AB579	инаскьацыԥхьаӡа
AB580	еиҳа-еиҳа
AB581	иӷьхоит,
AB582	Арҭ
AB583	аҭыԥқәа
AB584	рҿы
AB585	аԥсабара
AB586	шьаҭанкыла
AB587	аҽаԥсахуеит.
AB588	Ара
AB589	аԥхынра
AB590	аууп
AB591	аҟнытә
AB592	аԥсара
AB593	анаҩс
AB594	аҵла
AB595	быӷьҟьаҟьақәа
AB596	цәырҵуеит.
AB597	Абыӷьҟьаҟьақәа
AB598	рыфареи
AB599	рырсареи
AB600	еиҳа
AB601	имариоуп
AB602	аҟнытә
AB603	аԥстәқәа
AB604	рыфатә
AB605	иалаланы,
AB606	ирықәнагоу
AB607	аҟара
AB608	амра
AB609	амч
AB610	роууеит.
AB611	Уажәы
AB612	ԥхынроуп
AB613	азы
AB614	арҭ
AB615	абнақәа
AB616	рыҟны
AB617	аԥсҭазаара
AB618	еилашуеит.
AB619	Аха
AB620	аамҭа
AB621	бзиақәа
AB622	рыҿҳәара
AB623	зынӡа
AB624	икьаҿуп.
AB625	Аӡынра
AB626	анааилак
AB627	абыӷьҟьаҟьақәа
AB628	каԥсар
AB629	акәхоит
AB630	аҵаа
AB631	рԥырхагамхарц
AB632	азы.
AB633	Бӷьыда
AB634	абнара
AB635	ҭацәуп,
AB636	аԥстәқәагьы
AB637	ирфо
AB638	ыҟаӡам.
AB639	Аԥстәқәа
AB640	ма
AB641	иқәҵны
AB642	ицар
AB643	акәхоит,
AB644	ма
AB645	ицәоит,
AB646	мамзаргьы
AB647	мызла
AB648	имлашьлароуп.
AB649	Харамрагыларатәи
AB650	алеопард
AB651	–
AB652	апланетаҿы
AB653	зегь
AB654	раасҭа
AB655	зыхкы
AB656	маҷу
AB657	цгәуп.
AB658	Урыстәыла
AB659	Хара
AB660	мрагыларатәи
AB661	абнақәа
AB662	рҿы
AB663	аӡын
AB664	ашәарыцара
AB665	мариам,
AB666	избанзар
AB667	хашәалагьы
AB668	уоууам,
AB669	уҽахьуҵәахыша
AB670	ҵиаагьы
AB671	ыҟам.
AB672	Ари
AB673	шықәсык
AB674	ауп
AB675	иахыҵуа,
AB676	ан
AB677	иаҵоуп
AB678	макьана.
AB679	Аӡынра
AB680	аныӷәӷәоу
AB681	абынҽа
AB682	маҷымкәа
AB683	иҭахоит,
AB684	алеопардқәагьы
AB685	аԥсхаԥсжьы
AB686	хәынгаршьаӡом.
AB687	Африкатәи
AB688	алеопардқәа
AB689	ара
AB690	ианаалом.
AB691	Аха
AB692	аурыс
AB693	леопардқәа
AB694	ахьҭа
AB695	иазмыркуа
AB696	ирықәу
AB697	рхәоуп,
AB698	уи
AB699	иахьчоит.
AB700	Адунеи
AB701	аҿы
AB702	харамрагыларатәи
AB703	алеопардқәа
AB704	инханы
AB705	иҟоу
AB706	зынӡа
AB707	40
AB708	роуп,
AB709	уи
AB710	ахыԥхьаӡарагьы
AB711	агхара
AB712	иаҿуп.
AB713	Хара
AB714	мрагыларатәи
AB715	алеопард
AB716	аԥсабара
AB717	шуашәшәырахаз
AB718	атәы
AB719	ҳанаҳәоит.
AB720	Ари
AB721	аԥстәы
AB722	хкы
AB723	ԥхьаҟа
AB724	ԥеиԥш
AB725	амазарц
AB726	азы
AB727	абри
AB728	ацгәаԥсеиԥш
AB729	даҽа
AB730	ԥыҭк
AB731	иеиқәхароуп.
AB732	Аԥстәқәа
AB733	зегьы
AB734	рыԥсҭазаара
AB735	,
AB736	зеиуа
AB737	хкы
AB738	маҷугьы,
AB739	ҳзышьцылоугьы
AB740	уахь
AB741	инадкыланы
AB742	Амра
AB743	иахьыԥшуп.
AB744	Иапониа
AB745	ааԥынра
AB746	шааиз
AB747	злардыруа
AB748	аца
AB749	анышәҭы
AB750	ауп.
AB751	Амра
AB752	ашәахәақәа
AB753	аԥсабара
AB754	шәыга
AB755	хкыла
AB756	еибырҭоит.
AB757	Есышықәса
AB758	Адгьыл
AB759	Амра
AB760	иакәшо
AB761	ихынаау
AB762	иара
AB763	агәыцә
AB764	ианахагьежьуа,
AB765	Абри
AB766	ахынаара
AB767	иабзоураны
AB768	аамҭақәа
AB769	рҽеиҭаркуеит.
AB770	Ашықәс
AB771	аамҭақәа
AB772	иааиԥмырҟьаӡакәа
AB773	аԥсабара
AB774	рыԥсахуеит.
AB775	Аҩада
AB776	амра
AB777	аныԥсыҽхалак
AB778	Аҩадатәи
AB779	Америка
AB780	абнақәа
AB781	рбыӷьқәа
AB782	карыԥсо
AB783	иалагоит,
AB784	аӡын
AB785	мза
AB786	хьшәашәақәа,
AB787	аӡын
AB788	мза
AB789	еиқәарақәа
AB790	рҽырзыҟарҵаразы.
AB791	Ашықәс
AB792	аамҭак
AB793	даҽа
AB794	аамҭак
AB795	инамнадоит.
AB796	Аԥсабара
AB797	иахылҵыз
AB798	џьоукы
AB799	ҭагалан
AB800	ишәҭуеит,
AB801	аха
AB802	урҭ
AB803	реиҳарак
AB804	ари
AB805	аамҭа
AB806	аӡыни,
AB807	Мрада
AB808	иҟоу
AB809	аԥсҭазаареи
AB810	рҽаздырхиаразы
AB811	рхы
AB812	иадырхәоит.
AB813	Афатәи
AB814	аԥхарреи
AB815	ирышьҭаланы
AB816	ԥсаатә
AB817	хкқәак
AB818	акыр
AB819	инахараны
AB820	ицоит.
AB821	300
AB822	нызықь
AB823	инарзынаԥшуа
AB824	ахырхыр
AB825	кәатақәа
AB826	сибратәи
AB827	аӡын
AB828	рхы
AB829	ацәырыхьчаразы
AB830	алада,
AB831	Кореаҟа
AB832	иеиҭаҵуеит.
AB833	Ари
AB834	џьаушьаратәы
AB835	иҟоуп,
AB836	адунеи
AB837	аҿы
AB838	иҟоу
AB839	аԥсаатә
AB840	хкқәа
AB841	зегьы
AB842	џьарак
AB843	рҽеидыркылеит.
AB844	Аха
AB845	апланетаҿы
AB846	ҭыԥқәак
AB847	рҿы
AB848	ашықәс
AB849	аамҭақәа
AB850	ыҟаӡам.
AB851	Атропикқәа
AB852	рҿы
AB853	амра
AB854	ашәахәақәа
AB855	ишиашоу
AB856	иқәыԥхоит,
AB857	убри
AB858	аҟнытә
AB859	урҭ
AB860	ашықәс
AB861	зегьы
AB862	иӷьуп.
AB863	Ари
AB864	иабзоураны
AB865	джунглиа
AB866	абнақәа
AB867	лассы
AB868	игылоит,
AB869	насгьы
AB870	ҵҩа
AB871	змам
AB872	аԥстәы
AB873	хкқәа
AB874	акрырҿарҵоит.
AB875	Ари
AB876	абна
AB877	Адгьыл
AB878	зегь
AB879	аҿы
AB880	х-процентк
AB881	роуп
AB882	иааннакыло,
AB883	аха
AB884	апланетаҿы
AB885	иааҟоу
AB886	аԥстәқәеи
AB887	аԥсаатәқәеи
AB888	рыбжеиҳарак
AB889	ара
AB890	илоуп.
AB891	Еиҳарак
AB892	ирацәоуп
AB893	урҭ
AB894	абна
AB895	ахыхь.
AB896	Ара
AB897	инхоит
AB898	амаамынқәа,
AB899	аԥсаатәқәа,
AB900	ахәаҷа-маҷа
AB901	хкқәа
AB902	миллионла,
AB903	зхыԥхьаӡара
AB904	макьана
AB905	иеилкаам.
AB906	Аладаҟа
AB907	абна
AB908	аҟазшьа
AB909	аҽаԥсахуеит,
AB910	ара
AB911	иагьылашьцоуп,
AB912	ацәаакырагьы
AB913	ыҟоуп,
AB914	иҟоу
AB915	аҵиаақәеи
AB916	аԥстәқәеи
AB917	зынӡа
AB918	даҽакӡоуп.
AB919	Амра
AB920	алашара
AB921	ҩ-процентк
AB922	роуп
AB923	адгьыл
AB924	аҟынӡа
AB925	иааӡо,
AB926	аха
AB927	иара
AB928	абраҟагьы
AB929	аҵиаақәеи
AB930	аԥстәы
AB931	хкқәеи
AB932	реиуеиԥшымзаара
AB933	џьашьахәуп.
AB934	Адгьылбжьаха
AB935	ду
AB936	Гвинеиа
AB937	Ҿыц
AB938	аҿы
AB939	иҟоуп
AB940	џьанаҭ
AB941	ԥсаатәқәа
AB942	ҳәа
AB943	изышьҭоу
AB944	42
AB945	хкы.
AB946	Ак
AB947	аҵкыс
AB948	егьи
AB949	џьашьахәны.
AB950	Ари
AB951	абнаҿы
AB952	афатә
AB953	даара
AB954	ирацәоуп
AB955	аҟнытә
AB956	аԥшаара
AB957	уадаҩӡам.
AB958	Убри
AB959	аҟнытә
AB960	џьанаҭ
AB961	ҵыс,
AB962	паротиа
AB963	захьӡу
AB964	егьырҭ
AB965	аусқәа
AB966	ирыхьӡаратәы
AB967	аамҭа
AB968	рацәаны
AB969	иамоуп.
AB970	Иаҳҳәап,
AB971	арцына
AB972	анааиуа
AB973	азы
AB974	аҽеилнаргоит.
AB975	Ак
AB976	агны
AB977	иҟалоума?!
AB978	Шьҭа
AB979	зегьы
AB980	хиоуп.
AB981	Уамашәа
AB982	иубаратәы
AB983	иҟоуп.
AB984	Аха
AB985	избо
AB986	ҳәа
AB987	уаҩ
AB988	дыҟам.
AB989	Ари
AB990	арбаӷь
AB991	арцына
AB992	иаԥхьоит.
AB993	Уи
AB994	еиҳа
AB995	разҟы
AB996	аман.
AB997	Иааит.
AB998	Аха
AB999	иагәаԥхаразы
AB1000	иҟанаҵо
AB1001	аабап.Азныказы
AB1002	аҽыԥхьанакуеит
AB1003	нас
AB1004	гәҭакыс
AB1005	иамоу
AB1006	аанарԥшырц
AB1007	азы.
AB1008	Згәы
AB1009	камҳауа
AB1010	дарбану
AB1011	уџьабаа
AB1012	ахә
AB1013	аназырымшьа.
AB1014	Амра
AB1015	адгьыл
AB1016	аҿеиԥш
AB1017	аокеан
AB1018	аҿтәи
AB1019	аԥсҭазаарагьы
AB1020	анырра
AB1021	анаҭоит.
AB1022	Зегь
AB1023	раасҭа
AB1024	аӡқәа
AB1025	беиоуп
AB1026	ҳәа
AB1027	иԥхьаӡоуп
AB1028	ацәқәырԥақәа
AB1029	афатә
AB1030	ахьнарго
AB1031	аӡыҷчарақәа
AB1032	рҿы
AB1033	.
AB1034	Избанзар
AB1035	ара
AB1036	Амра
AB1037	ашәахәақәа
AB1038	ибзианы
AB1039	ирықәыԥхоит.
AB1040	Алада
AB1041	Африка
AB1042	иҟоу
AB1043	ашыцра
AB1044	иҿықәсыло
AB1045	амшынқәа
AB1046	рыӡқәагьы
AB1047	абри
AB1048	аҟнытә
AB1049	фатәыла
AB1050	ибеиоуп.
AB1051	Аԥхын
AB1052	–
AB1053	абарақьаҭреи
AB1054	амшын
AB1055	цыгәқәеи
AB1056	алымқәеи
AB1057	рыҿиара
AB1058	иаамҭоуп.
AB1059	Акула
AB1060	шкәакәа
AB1061	ажәылара
AB1062	еимгеимцаракны
AB1063	имҩаԥысуеит,
AB1064	уи
AB1065	аласра
AB1066	40-нтәы
AB1067	иагырханы
AB1068	уахәаԥшыр,
AB1069	аагыгшәыг
AB1070	ахымҩаԥгашьеи
AB1071	уи
AB1072	иалоу
AB1073	амч
AB1074	дуи
AB1075	убоит.
AB1076	Аха
AB1077	ари
AB1078	ажәылара
AB1079	лыҵшәадахар,
AB1080	ашьҭашәарыцарахь
AB1081	ииасуеит.
AB1082	Акула
AB1083	шиашоу
AB1084	иаҳа
AB1085	лассы
AB1086	иӡсоит
AB1087	амшын
AB1088	ҳәа
AB1089	аасҭа,
AB1090	уи
AB1091	еиԥш
AB1092	иаахҵәаны
AB1093	изыгьежьӡом.
AB1094	Аласреи
AB1095	амчи
AB1096	иеинаалом.
AB1097	Амшынҳәақәа
AB1098	рыҿиара
AB1099	аамҭа
AB1100	аниаслак
AB1101	акула
AB1102	дуқәа
AB1103	даҽа
AB1104	ҭыԥқәак
AB1105	рахь
AB1106	ииасуеит.
AB1107	Акула
AB1108	шккәакәақәа
AB1109	зықь
AB1110	километр
AB1111	аокеанқәа
AB1112	ирхысны
AB1113	ицоит
AB1114	иӡсаны
AB1115	еиуеиԥшым
AB1116	амшынқәа
AB1117	рыҟны
AB1118	иҟоу
AB1119	абарақьаҭра
AB1120	иашьҭаланы.
AB1121	Амра
AB1122	иарԥхо
AB1123	арҭ
AB1124	атропикатә
AB1125	ӡқәа
AB1126	роуп
AB1127	адунеи
AB1128	зегьы
AB1129	аҿы
AB1130	аҳауа
AB1131	шьақәзыргыло.
AB1132	Иԥхаз
AB1133	аокеан
AB1134	аӡы
AB1135	ахылҩа-ԥсылҩа
AB1136	ажәҩанаҿы
AB1137	иӡлачу
AB1138	ԥсҭҳәақәахоит.
AB1139	Амшын
AB1140	иахылҵыз
AB1141	аԥша
AB1142	адгьыл
AB1143	ахь
AB1144	иасуеит,
AB1145	аконтинетқәа
AB1146	ирықәлоит.
AB1147	Сахара
AB1148	асакарақәа
AB1149	ирықәсуа
AB1150	афырҭын,
AB1151	аԥслымӡ
AB1152	фырҭын
AB1153	шьҭнахуеит,
AB1154	уи
AB1155	аԥслымӡ
AB1156	адгьыл
AB1157	агьи
AB1158	аганахь
AB1159	иаанагоит,
AB1160	Амазонка
AB1161	абнаршәырақәа
AB1162	рҟынӡагьы
AB1163	инаганы
AB1164	иқәнаԥсоит.
AB1165	Индиатәи
AB1166	аокеан
AB1167	иқәсуа
AB1168	аԥшақәа
AB1169	ацәаакыра
AB1170	еизганы
AB1171	ҩадаҟа,
AB1172	Гималаи
AB1173	ашьхақәа
AB1174	рышҟа
AB1175	ихаргалоит.
AB1176	Ара
AB1177	аҳауа
AB1178	хьшәашәоит.
AB1179	Аӡы
AB1180	иалоу
AB1181	ԥсҭҳәахоит,
AB1182	анаҩс
AB1183	аԥсабаразы
AB1184	иԥсҭаҵагоу
AB1185	амуссонтә
AB1186	қәаны
AB1187	илеиуеит.
AB1188	Амра
AB1189	ашәахәақәа
AB1190	анрылаԥхалак
AB1191	ицәааку
AB1192	аҳауа
AB1193	аконтинент
AB1194	ахь
AB1195	ииасуеит.
AB1196	Ӡыда
AB1197	ԥсҭазаара
AB1198	ыҟам,
AB1199	аха
AB1200	адгьыл
AB1201	зегьы
AB1202	иазеиҟараны
AB1203	иахьыгӡам.
AB1204	Адгьыл
AB1205	хыџьара
AB1206	ишаны
AB1207	хәҭак
AB1208	асакарақәа
AB1209	ирыҵаркуеит.
AB1210	Есышықәсагьы
AB1211	рымҽхак
AB1212	дырҭбаауеит
AB1213	Аладатәи
AB1214	Африка
AB1215	иҟоу
AB1216	адәысакара
AB1217	Калахари.
AB1218	Уажәы
AB1219	аарҩароуп.
AB1220	Зқьыла
AB1221	иӡышо
AB1222	асланқәа
AB1223	аӡы
AB1224	иашьҭаланы
AB1225	рҿынархоит.
AB1226	Аладатәи
AB1227	Африка
AB1228	зегьы
AB1229	иқәу
AB1230	аԥстәқәа
AB1231	абри
AB1232	азы
AB1233	амҩа
AB1234	иқәлоит.
AB1235	Кафртәи
AB1236	акамбашьқәа
AB1237	ари
AB1238	аныҟәара
AB1239	ду
AB1240	рҽаладырхәуеит.
AB1241	Адунеи
AB1242	аҿы
AB1243	даҽаџьара
AB1244	абри
AB1245	аҟара
AB1246	аԥстәы
AB1247	еицны,
AB1248	рызегьы
AB1249	зышьҭоу
AB1250	ӡуп.
AB1251	Рызегьы
AB1252	рхы
AB1253	ахьхо
AB1254	Окаванго
AB1255	аӡбаарақәа
AB1256	рахь
AB1257	ауп.
AB1258	Аӡыршьҭра
AB1259	ҭбаақәа
AB1260	рыҩныҵҟа
AB1261	иҟоу.
AB1262	Уажәы
AB1263	Окаванго
AB1264	ҭабаны
AB1265	иҟоуп,
