deniedPortAccess,"Данный адрес использует порт, который, как правило, не используется для работы с веб-сайтами. В целях безопасности Firefox отменил данный запрос.",deniedPortAccess,"Данный адрес использует порт, который, как правило, не используется для работы с веб-сайтами. В целях безопасности Firefox отменил данный запрос."
proxyResolveFailure,"Firefox настроен на использование прокси-сервера, который не может быть найден.",proxyResolveFailure,"Firefox настроен на использование прокси-сервера, который не может быть найден."
proxyConnectFailure,"Firefox настроен на использование прокси-сервера, который отказывает в соединении.",proxyConnectFailure,"Firefox настроен на использование прокси-сервера, который отказывает в соединении."
contentEncodingError,"Адаҟьа, шәзхәаԥшырц ишәҭахәы аарԥшышьа амам, избанзар иамоу акомпрессиатә форма иашм ма иадгылом.",contentEncodingError,"Страница, которую вы пытаетесь просмотреть, не может быть показана, так как она использует неверную или неподдерживаемую форму компрессии."
unsafeContentType,"Шәылаԥш зхыжәгарц ишәҭаху адаҟьа аарԥшызар ҟалом, уи аартраҿы ишәарҭоу афаилхкы алоуп. Ауеб-саит зтәу шыҽимаданы ашәарара шыҟоу адырра ишәҭ.  ",unsafeContentType,"Страница, которую вы пытаетесь просмотреть, не может быть отображена, так как она содержит тип файла, небезопасный для открытия. Пожалуйста свяжитесь с владельцами веб-сайта и проинформируйте их об этой проблеме."
externalProtocolTitle,Запрос на использование внешнего протокола ,externalProtocolTitle,Запрос на использование внешнего протокола 
externalProtocolPrompt,"Для открытия ссылок типа %1$S: требуется запуск стороннего приложения.


Запрошенная ссылка:

%2$S

Приложение: %3$S


Если вы не ожидаете появления данного запроса, то это может быть попыткой использования уязвимости в другом приложении. Отмените запрос, если нет уверенности в том, что этот запрос не злонамеренный.
",externalProtocolPrompt,"Для открытия ссылок типа %1$S: требуется запуск стороннего приложения.


Запрошенная ссылка:

%2$S

Приложение: %3$S


Если вы не ожидаете появления данного запроса, то это может быть попыткой использования уязвимости в другом приложении. Отмените запрос, если нет уверенности в том, что этот запрос не злонамеренный.
"
externalProtocolUnknown,<еилкаам>,externalProtocolUnknown,<неизвестно>
externalProtocolChkMsg,Запомнить выбор для всех ссылок данного типа. ,externalProtocolChkMsg,Запомнить выбор для всех ссылок данного типа. 
externalProtocolLaunchBtn,Ацраԥшьы аус аҳаруып,externalProtocolLaunchBtn,Запустить приложение
malwareBlocked,Аинформациа ыҟоуп асаит  %S ахархәаҩцәа ркомпиутерқәа рыжәларазы рхы иадырхәоит ҳәа. Ашәарҭаратә шәырхиагақәа ирыбзоураны уи аанкылоуп.,malwareBlocked,"Имеется информация о том, что сайт %S используется для атак на компьютеры пользователей. В соответствии с вашими настройками безопасности он был заблокирован."
phishingBlocked,Адырраҭара ыҟоуп %S анапхыцәгьара иатәу авеб-саит ишатәу ала. Уи ахархәаҩцәа мыцҳәарыла рфинанстәи рхатәы информациеи рыцәгара иазкуп.   ,phishingBlocked,"Имеется информация о том, что %S является мошенническим веб-сайтом, созданным для того, чтобы обманным путем выманить у пользователей информацию личного или финансового характера."
location,source,location,source
nv_done,"Имазеиуп, Ирхьиоп",nv_done,Готово
nv_timeout,Время ожидания истекло,nv_timeout,Время ожидания истекло
nv_stopped,Остановлено,nv_stopped,Остановлено
openFile,Афаил аарттәуп,openFile,Открыть файл
droponbookmarksbutton,"Перетащите сюда ссылку, чтобы добавить её в закладки",droponbookmarksbutton,"Перетащите сюда ссылку, чтобы добавить её в закладки"
dropondownloadsbutton,"Перетащите сюда ссылку или файл, чтобы загрузить её",dropondownloadsbutton,"Перетащите сюда ссылку или файл, чтобы загрузить её"
droponnewtabbutton,"Перетащите сюда ссылку или файл, чтобы открыть её в новой вкладке",droponnewtabbutton,"Перетащите сюда ссылку или файл, чтобы открыть её в новой вкладке"
droponnewwindowbutton,"Перетащите сюда ссылку или файл, чтобы открыть её в новом окне",droponnewwindowbutton,"Перетащите сюда ссылку или файл, чтобы открыть её в новом окне"
droponhomebutton,"Перетащите сюда ссылку или файл, чтобы сделать её домашней страницей",droponhomebutton,"Перетащите сюда ссылку или файл, чтобы сделать её домашней страницей"
droponhometitle,Установка домашней страницы,droponhometitle,Установка домашней страницы
droponhomemsg,Хотите сделать этот документ домашней страницей?,droponhomemsg,Хотите сделать этот документ домашней страницей?
contextMenuSearchText,Искать в %S фразу «%S»,contextMenuSearchText,Искать в %S фразу «%S»
blockImages,%S змоу асахьақәа аанкылатәуп,blockImages,Блокировать изображения с %S
bookmarkAllTabsDefault,[Имя папки],bookmarkAllTabsDefault,[Имя папки]
xpinstallPromptWarning,%S заблокировал запрос на установку программного обеспечения на компьютер с этого сайта (%S),xpinstallPromptWarning,%S заблокировал запрос на установку программного обеспечения на компьютер с этого сайта (%S)
xpinstallPromptAllowButton refreshBlocked.goButton offlineApps.allow,Азин аҭатәуп,xpinstallPromptAllowButton refreshBlocked.goButton offlineApps.allow,Разрешить
xpinstallPromptAllowButton.accesskey refreshBlocked.goButton.accesskey offlineApps.allowAccessKey,з,xpinstallPromptAllowButton.accesskey refreshBlocked.goButton.accesskey offlineApps.allowAccessKey,з
xpinstallDisabledMessageLocked,Установка программного обеспечения отключена вашим системным администратором.,xpinstallDisabledMessageLocked,Установка программного обеспечения отключена вашим системным администратором.
xpinstallDisabledMessage,Установка программного обеспечения в данный момент отключена. Нажмите «Включить» и попытайтесь снова.,xpinstallDisabledMessage,Установка программного обеспечения в данный момент отключена. Нажмите «Включить» и попытайтесь снова.
xpinstallDisabledButton,Включить,xpinstallDisabledButton,Включить
xpinstallDisabledButton.accesskey,В,xpinstallDisabledButton.accesskey,В
popupWarning,%S заблокировал всплывающее окно с данного сайта.,popupWarning,%S заблокировал всплывающее окно с данного сайта.
popupWarningMultiple,%S заблокировал %S всплывающих окон с данного сайта.,popupWarningMultiple,%S заблокировал %S всплывающих окон с данного сайта.
popupWarningButton popupWarningButtonUnix,Архиарақәа,popupWarningButton popupWarningButtonUnix,Настройки
popupWarningButton.accesskey popupWarningButtonUnix.accesskey,Н,popupWarningButton.accesskey popupWarningButtonUnix.accesskey,Н
popupAllow,Разрешить всплывающие окна для %S,popupAllow,Разрешить всплывающие окна для %S
popupBlock,Заблокировать всплывающие окна для %S,popupBlock,Заблокировать всплывающие окна для %S
popupWarningDontShowFromMessage,Не показывать данное сообщение при включённой блокировке всплывающих окон ,popupWarningDontShowFromMessage,Не показывать данное сообщение при включённой блокировке всплывающих окон 
popupWarningDontShowFromStatusbar,Не показывать информационное сообщение при включённой блокировке всплывающих окон ,popupWarningDontShowFromStatusbar,Не показывать информационное сообщение при включённой блокировке всплывающих окон 
popupShowPopupPrefix,Показать «%S»,popupShowPopupPrefix,Показать «%S»
imageBlockedWarning,Теперь %S будет всегда блокировать показ изображений с %S.,imageBlockedWarning,Теперь %S будет всегда блокировать показ изображений с %S.
imageAllowedWarning,Теперь %S разрешает показ изображений с %S.,imageAllowedWarning,Теперь %S разрешает показ изображений с %S.
undo,Архынҳәра,undo,Отменить
undo.accessKey,О,undo.accessKey,О
missingpluginsMessage.title,Для отображения всего мультимедийного контента на этой странице требуются дополнительные плагины.,missingpluginsMessage.title,Для отображения всего мультимедийного контента на этой странице требуются дополнительные плагины.
missingpluginsMessage.button.label missingpluginsMessage.button.accesskey,Ус&тановить требуемые плагины…,missingpluginsMessage.button.label missingpluginsMessage.button.accesskey,Ус&тановить требуемые плагины…
blockedpluginsMessage.title,"Некоторые плагины, требуемые на этой странице, были заблокированы в целях вашей безопасности.",blockedpluginsMessage.title,"Некоторые плагины, требуемые на этой странице, были заблокированы в целях вашей безопасности."
blockedpluginsMessage.infoButton.label blockedpluginsMessage.infoButton.accesskey,По&дробности…,blockedpluginsMessage.infoButton.label blockedpluginsMessage.infoButton.accesskey,По&дробности…
blockedpluginsMessage.searchButton.label blockedpluginsMessage.searchButton.accesskey,Об&новить плагины…,blockedpluginsMessage.searchButton.label blockedpluginsMessage.searchButton.accesskey,Об&новить плагины…
sanitizeWithPromptLabel,Ахатәы дыррақәа аныхтәуп…,sanitizeWithPromptLabel,Удалить личные данные…
sanitizeButton,Уажә ианыхтәуп,sanitizeButton,Удалить сейчас
updatesItem_default updatesItem_defaultFallback,Проверить наличие обновлений…,updatesItem_default updatesItem_defaultFallback,Проверить наличие обновлений…
updatesItem_downloading,Идёт загрузка %S…,updatesItem_downloading,Идёт загрузка %S…
updatesItem_downloadingFallback,Идёт загрузка обновления…,updatesItem_downloadingFallback,Идёт загрузка обновления…
updatesItem_resume,Продолжить загрузку %S…,updatesItem_resume,Продолжить загрузку %S…
updatesItem_resumeFallback,Продолжить загрузку обновления…,updatesItem_resumeFallback,Продолжить загрузку обновления…
updatesItem_pending updatesItem_pendingFallback,Установить загруженное обновление…,updatesItem_pending updatesItem_pendingFallback,Установить загруженное обновление…
feedNoFeeds,На этой странице нет лент новостей,feedNoFeeds,На этой странице нет лент новостей
feedShowFeedNew,Подписаться на «%S»…,feedShowFeedNew,Подписаться на «%S»…
feedHasFeedsNew,Подписаться на ленты новостей…,feedHasFeedsNew,Подписаться на ленты новостей…
menuOpenAllInTabs.label,Агәылаҵақәа рҿы зегь раартра,menuOpenAllInTabs.label menuOpenAllInTabs.accesskey,Открыть &всё во вкладках
menuOpenAllInTabs.accesskey,в,tabHistory.current,Остаться на этой странице
tabHistory.current,Остаться на этой странице,tabHistory.goBack,Перейти назад на эту страницу
tabHistory.goBack,Перейти назад на эту страницу,tabHistory.goForward,Перейти вперёд на эту страницу
tabHistory.goForward,Перейти вперёд на эту страницу,refreshBlocked.refreshLabel,%S заблокировал автоматическую перезагрузку этой страницы.
refreshBlocked.refreshLabel,%S заблокировал автоматическую перезагрузку этой страницы.,refreshBlocked.redirectLabel,%S заблокировал автоматическое перенаправление на другую страницу.
refreshBlocked.redirectLabel,%S заблокировал автоматическое перенаправление на другую страницу.,starButtonOn.tooltip,Редактировать эту закладку
starButtonOn.tooltip,Редактировать эту закладку,starButtonOff.tooltip,Добавить страницу в закладки
starButtonOff.tooltip,Адаҟьа ацҵатәуп агәлаҵахьы,offlineApps.available,Этот веб-сайт (%S) просит разрешения сохранить данные на вашем компьютере для использования в автономном режиме.
offlineApps.available,Этот веб-сайт (%S) просит разрешения сохранить данные на вашем компьютере для использования в автономном режиме.,offlineApps.never,Никогда для этого сайта
offlineApps.never,Никогда для этого сайта,offlineApps.neverAccessKey,к
offlineApps.neverAccessKey,к,offlineApps.notNow,Не сейчас
offlineApps.notNow,Не сейчас,offlineApps.notNowAccessKey,е
offlineApps.notNowAccessKey,е,offlineApps.usage,Этот веб-сайт (%S) хранит сейчас более чем %SМБ данных на вашем компьютере для использования в автономном режиме.
offlineApps.usage,Этот веб-сайт (%S) хранит сейчас более чем %SМБ данных на вашем компьютере для использования в автономном режиме.,offlineApps.manageUsage,Показать настройки
offlineApps.manageUsage,Показать настройки,offlineApps.manageUsageAccessKey,о
offlineApps.manageUsageAccessKey,о,identity.identified.verifier,Подтверждено: %S
identity.identified.verifier,Ишьақәырҕәҕәоуп: %S,identity.identified.verified_by_you,Вы добавили для этого сайта исключение безопасности
identity.identified.verified_by_you,Вы добавили для этого сайта исключение безопасности,identity.identified.state_and_country,"%S, %S"
identity.identified.state_and_country,"%S, %S",identity.identified.title_with_country,%S (%S)
identity.identified.title_with_country,%S (%S),identity.encrypted,Для предотвращения прослушивания ваше соединение с этим веб-сайтом было зашифровано.
identity.encrypted,Для предотвращения прослушивания ваше соединение с этим веб-сайтом было зашифровано.,identity.unencrypted,Ваше соединение с этим веб-сайтом не зашифровано.
identity.unencrypted,Ваше соединение с этим веб-сайтом не зашифровано.,identity.unknown.tooltip,Информация о подлинности этого веб-сайта отсутствует.
identity.unknown.tooltip,Ари авеб-саит ахаҭара иазкны аинформациа ыҟам.,identity.ownerUnknown2,(неизвестен)
identity.ownerUnknown2,Идырым,activeDownloads,#1 активная загрузка (#2);#1 активные загрузки (#2);#1 активных загрузок (#2)
activeDownloads,#1 активная загрузка (#2);#1 активные загрузки (#2);#1 активных загрузок (#2),pausedDownloads,#1 приостановленная загрузка;#1 приостановленные загрузки;#1 приостановленных загрузок
pausedDownloads,#1 приостановленная загрузка;#1 приостановленные загрузки;#1 приостановленных загрузок,editBookmarkPanel.pageBookmarkedTitle,Добавлена в закладки
editBookmarkPanel.pageBookmarkedTitle,Добавлена в закладки,editBookmarkPanel.pageBookmarkedDescription,%S навсегда запомнит для вас эту страницу.
editBookmarkPanel.pageBookmarkedDescription,%S навсегда запомнит для вас эту страницу.,editBookmarkPanel.bookmarkedRemovedTitle,Закладка удалена
editBookmarkPanel.bookmarkedRemovedTitle,Закладка удалена,editBookmarkPanel.editBookmarkTitle,Редактирование этой закладки
editBookmarkPanel.editBookmarkTitle,Редактирование этой закладки,location,source
location,source,find.label find.accesskey,На&йти:
find.label,Аԥшаара:,expand.label expand.accesskey,&Развернуть
find.accesskey,,collapse.label collapse.accesskey,&Свернуть
expand.label,Развернуть,byDate.label byDate.accesskey,По &дате
expand.accesskey,,bySite.label bySite.accesskey,По &сайтам
collapse.label,Свернуть,view.label view.accesskey,В&ид
collapse.accesskey,,byMostVisited.label byMostVisited.accesskey,По частоте &посещения
byDate.label,По дате,byLastVisited.label byLastVisited.accesskey,П&о дате последнего посещения
byDate.accesskey,,byDayAndSite.label byDayAndSite.accesskey,По дате &и сайтам
bySite.label,По сайтам,openLinkInWindow.label openLinkInWindow.accesskey,&Открыть
bySite.accesskey,,openInNewTab.label openInNewTab.accesskey,Открыть &в новой вкладке
view.label,Ахкы,openInNewWindow.label openInNewWindow.accesskey,Открыть в &новом окне
view.accesskey,,bookmarkLink.label bookmarkLink.accesskey,Добавить &ссылку в закладки…
byMostVisited.label,По частоте посещения,copyLink.label copyLink.accesskey,&Копировать ссылку
byMostVisited.accesskey,,location,source
byLastVisited.label,По дате последнего посещения,intl.charset.default,windows-1251
byLastVisited.accesskey,,intl.ellipsis,…
byDayAndSite.label,По дате и сайтам,location,source
byDayAndSite.accesskey,,loadError.label,Проблема при загрузке страницы
openLinkInWindow.label,Иаарттәуп,retry.label,Попробовать снова
openLinkInWindow.accesskey,,connectionFailure.title,Попытка соединения не удалась
openInNewTab.label,Открыть в новой вкладке,connectionFailure.longDesc netInterrupt.longDesc netReset.longDesc netTimeout.longDesc,&sharedLongDesc;
openInNewTab.accesskey,,deniedPortAccess.title,Обращение к данному адресу запрещено
openInNewWindow.label,Аԥенџьер ҿыц аҿы иаарттәуп,deniedPortAccess.longDesc,
openInNewWindow.accesskey,,dnsNotFound.title,Сервер не найден
bookmarkLink.label,Добавить ссылку в закладки…,dnsNotFound.longDesc,"<ul> <li>Проверьте, не допущена ли ошибка при наборе адреса, например, <strong>ww</strong>.example.com вместо <strong>www</strong>.example.com</li> <li>Если ни одна страница не загружается – проверьте настройки соединения с Интернетом.</li> <li>Если компьютер или сеть защищены межсетевым экраном или прокси-сервером – убедитесь, что &brandShortName; разрешён выход в Интернет.</li> </ul>"
bookmarkLink.accesskey,,fileNotFound.title,Файл не найден
copyLink.label,Копировать ссылку,fileNotFound.longDesc,"<ul> <li>Проверьте правильность введённого имени файла, соответствие регистра и отсутствие других ошибок в имени файла.</li> <li>Проверьте, не был ли файл переименован, удален или перемещён.</li> </ul>"
copyLink.accesskey,,generic.title,Ошибка
location,source,generic.longDesc,<p>&brandShortName; не может загрузить эту страницу по неопределённой причине.</p>
intl.charset.default,windows-1251,malformedURI.title,Формат адреса неверен
intl.ellipsis,…,malformedURI.longDesc,"<ul> <li>Адреса веб-сайтов обычно записываются в формате <strong>http://www.example.com/</strong></li> <li>Убедитесь, что вы используете в качестве разделителя прямую косую черту (т.е. <strong>/</strong>).</li> </ul>"
location,source,netInterrupt.title,Соединение было прервано
loadError.label,Проблема при загрузке страницы,netOffline.title,Автономный режим
retry.label,Попробовать снова,netOffline.longDesc,<ul> <li>Снимите галочку с пункта «Работать Автономно» в меню «Файл» и попробуйте снова.</li> </ul>
connectionFailure.title,Попытка соединения не удалась,contentEncodingError.title,Ошибка в типе содержимого
connectionFailure.longDesc netInterrupt.longDesc netReset.longDesc netTimeout.longDesc,&sharedLongDesc;,contentEncodingError.longDesc,<ul> <li>Пожалуйста свяжитесь с владельцами веб-сайта и проинформируйте их об этой проблеме.</li> </ul> 
deniedPortAccess.title,Обращение к данному адресу запрещено,unsafeContentType.title,Небезопасный тип файла
deniedPortAccess.longDesc,,unsafeContentType.longDesc,<ul> <li>Пожалуйста свяжитесь с владельцами веб-сайта и проинформируйте их об этой проблеме.</li> </ul>
dnsNotFound.title,Сервер не найден,netReset.title,Соединение было сброшено
dnsNotFound.longDesc,"<ul> <li>Проверьте, не допущена ли ошибка при наборе адреса, например, <strong>ww</strong>.example.com вместо <strong>www</strong>.example.com</li> <li>Если ни одна страница не загружается – проверьте настройки соединения с Интернетом.</li> <li>Если компьютер или сеть защищены межсетевым экраном или прокси-сервером – убедитесь, что &brandShortName; разрешён выход в Интернет.</li> </ul>",netTimeout.title,Время ожидания соединения истекло
fileNotFound.title,Файл не найден,protocolNotFound.title,Неизвестный тип адреса
fileNotFound.longDesc,"<ul> <li>Проверьте правильность введённого имени файла, соответствие регистра и отсутствие других ошибок в имени файла.</li> <li>Проверьте, не был ли файл переименован, удален или перемещён.</li> </ul>",protocolNotFound.longDesc,"<ul> <li>Для открытия данного адреса вам, возможно, понадобится установить стороннее программное обеспечение.</li> </ul>"
generic.title,Агха,proxyConnectFailure.title,Прокси-сервер отказывается принимать соединения
generic.longDesc,<p>&brandShortName; не может загрузить эту страницу по неопределённой причине.</p>,proxyConnectFailure.longDesc,"<ul> <li>Проверьте настройки прокси-сервера и убедитесь, что они верны.</li> <li>Свяжитесь с вашим системным администратором и убедитесь, что прокси-сервер работает.</li> </ul>"
malformedURI.title,Формат адреса неверен,proxyResolveFailure.title,Не удалось найти прокси-сервер
malformedURI.longDesc,"<ul> <li>Адреса веб-сайтов обычно записываются в формате <strong>http://www.example.com/</strong></li> <li>Убедитесь, что вы используете в качестве разделителя прямую косую черту (т.е. <strong>/</strong>).</li> </ul>",proxyResolveFailure.longDesc,"<ul> <li>Проверьте правильность установленных настроек прокси-сервера.</li> <li>Проверьте работу соединения вашего компьютера с сетью.</li> <li>Если ваш компьютер или сеть защищены межсетевым экраном или прокси-сервером – убедитесь, что &brandShortName; разрешён выход в Интернет.</li> </ul>"
netInterrupt.title,Соединение было прервано,redirectLoop.title,Неверное перенаправление на странице
netOffline.title,Автономный режим,redirectLoop.longDesc,<ul> <li>Эта проблема может возникать при отключении или запрещении принятия cookies.</li> </ul>
netOffline.longDesc,<ul> <li>Снимите галочку с пункта «Работать Автономно» в меню «Файл» и попробуйте снова.</li> </ul>,unknownSocketType.title,Неизвестный/неопознанный ответ сервера
contentEncodingError.title,Ошибка в типе содержимого,unknownSocketType.longDesc,"<ul> <li>Убедитесь, что в вашей системе установлен «Менеджер личной защиты (PSM)».</li> <li>Возможно, это произошло из-за нестандартной конфигурации сервера.</li> </ul>"
contentEncodingError.longDesc,<ul> <li>Пожалуйста свяжитесь с владельцами веб-сайта и проинформируйте их об этой проблеме.</li> </ul> ,nssFailure2.title nssBadCert.title,Ошибка при установлении защищённого соединения
unsafeContentType.title,Небезопасный тип файла,nssFailure2.longDesc,"<ul> <li>Страница, которую вы пытаетесь просмотреть, не может быть отображена, так как достоверность полученных данных не может быть проверена.</li> <li>Пожалуйста свяжитесь с владельцами веб-сайта и проинформируйте их об этой проблеме. В качестве альтернативы вы можете сообщить о некорректно работающем сайте с помощью команды, находящейся в меню «Справка».</li> </ul> "
unsafeContentType.longDesc,<ul> <li>Пожалуйста свяжитесь с владельцами веб-сайта и проинформируйте их об этой проблеме.</li> </ul>,nssBadCert.longDesc2,"<ul> <li>Это может быть проблемой с конфигурацией сервера или же кто-то пытается подменить нужный вам сервер другим.</li> <li>Если в прошлом вы успешно соединялись с этим сервером, то возможно эта ошибка является временной. Попробуйте зайти позже.</li> </ul>"
netReset.title,Соединение было сброшено,sharedLongDesc,"<ul> <li>Возможно, сайт временно недоступен или перегружен запросами. Подождите некоторое время и попробуйте снова.</li> <li>Если вы не можете загрузить ни одну страницу – проверьте настройки соединения с Интернетом.</li> <li>Если ваш компьютер или сеть защищены межсетевым экраном или прокси-сервером – убедитесь, что &brandShortName; разрешён выход в Интернет.</li> </ul>"
netTimeout.title,Время ожидания соединения истекло,malwareBlocked.title,Этот сайт подозревается в атаках на компьютеры!
protocolNotFound.title,Неизвестный тип адреса,malwareBlocked.longDesc,"<p>Сайты, атакующие компьютеры, пытаются установить программное обеспечение, которое похищает персональную информацию, вредит вашей системе или использует ваш компьютер для атак на другие компьютеры.</p> <p>Владельцы сайтов, которые считают, что их сайт попал в список «атакующих» по ошибке, могут <a href='http://www.stopbadware.org/home/reviewinfo' >послать запрос на пересмотр этого решения</a>.</p>"
protocolNotFound.longDesc,"<ul> <li>Для открытия данного адреса вам, возможно, понадобится установить стороннее программное обеспечение.</li> </ul>",phishingBlocked.title,Этот сайт подозревается в мошенничестве!
proxyConnectFailure.title,Прокси-сервер отказывается принимать соединения,phishingBlocked.longDesc,"<p>Ввод на этой странице любой личной информации может привести к её хищению или использованию в мошеннических целях.</p> <p>Подобные типы веб-сайтов используются в мошенничествах, известных как фишинговые атаки, при которых поддельные веб-страницы и почтовые сообщения используются для имитации источников, которым вы можете доверять.</p>"
proxyConnectFailure.longDesc,"<ul> <li>Проверьте настройки прокси-сервера и убедитесь, что они верны.</li> <li>Свяжитесь с вашим системным администратором и убедитесь, что прокси-сервер работает.</li> </ul>",securityOverride.linkText,Или же вы можете добавить исключение…
proxyResolveFailure.title,Не удалось найти прокси-сервер,securityOverride.getMeOutOfHereButton,Уходим отсюда!
proxyResolveFailure.longDesc,"<ul> <li>Проверьте правильность установленных настроек прокси-сервера.</li> <li>Проверьте работу соединения вашего компьютера с сетью.</li> <li>Если ваш компьютер или сеть защищены межсетевым экраном или прокси-сервером – убедитесь, что &brandShortName; разрешён выход в Интернет.</li> </ul>",securityOverride.exceptionButtonLabel,Добавить исключение…
redirectLoop.title,Неверное перенаправление на странице,securityOverride.warningText,"<p>Вам не следует добавлять исключение, если вы используете соединение с Интернетом, которому не полностью доверяете, или если вы обычно не видите предупреждения при соединении с этим сервером.</p>  <xul:button xmlns:xul='http://www.mozilla.org/keymaster/gatekeeper/there.is.only.xul' id='getMeOutOfHereButton' label='&securityOverride.getMeOutOfHereButton;' /> <xul:button xmlns:xul='http://www.mozilla.org/keymaster/gatekeeper/there.is.only.xul' id='exceptionDialogButton' label='&securityOverride.exceptionButtonLabel;' /> "
redirectLoop.longDesc,<ul> <li>Эта проблема может возникать при отключении или запрещении принятия cookies.</li> </ul>,location,source
unknownSocketType.title,Неизвестный/неопознанный ответ сервера,deleteHost,Удалить всё из %S
unknownSocketType.longDesc,"<ul> <li>Убедитесь, что в вашей системе установлен «Менеджер личной защиты (PSM)».</li> <li>Возможно, это произошло из-за нестандартной конфигурации сервера.</li> </ul>",deleteDomain,Удалить домен %S целиком
nssFailure2.title nssBadCert.title,Ошибка при установлении защищённого соединения,deleteHostNoSelection,Удалить узел
nssFailure2.longDesc,"<ul> <li>Страница, которую вы пытаетесь просмотреть, не может быть отображена, так как достоверность полученных данных не может быть проверена.</li> <li>Пожалуйста свяжитесь с владельцами веб-сайта и проинформируйте их об этой проблеме. В качестве альтернативы вы можете сообщить о некорректно работающем сайте с помощью команды, находящейся в меню «Справка».</li> </ul> ",deleteDomainNoSelection,Удалить домен
nssBadCert.longDesc2,"<ul> <li>Это может быть проблемой с конфигурацией сервера или же кто-то пытается подменить нужный вам сервер другим.</li> <li>Если в прошлом вы успешно соединялись с этим сервером, то возможно эта ошибка является временной. Попробуйте зайти позже.</li> </ul>",load-js-data-url-error,Из соображений безопасности загрузка адресов JavaScript или файлов из окна журнала или боковой панели запрещена.
sharedLongDesc,"<ul> <li>Возможно, сайт временно недоступен или перегружен запросами. Подождите некоторое время и попробуйте снова.</li> <li>Если вы не можете загрузить ни одну страницу – проверьте настройки соединения с Интернетом.</li> <li>Если ваш компьютер или сеть защищены межсетевым экраном или прокси-сервером – убедитесь, что &brandShortName; разрешён выход в Интернет.</li> </ul>",noTitle,(без заголовка)
malwareBlocked.title,Этот сайт подозревается в атаках на компьютеры!,bookmarksMenuName,Меню закладок
malwareBlocked.longDesc,"<p>Сайты, атакующие компьютеры, пытаются установить программное обеспечение, которое похищает персональную информацию, вредит вашей системе или использует ваш компьютер для атак на другие компьютеры.</p> <p>Владельцы сайтов, которые считают, что их сайт попал в список «атакующих» по ошибке, могут <a href='http://www.stopbadware.org/home/reviewinfo' >послать запрос на пересмотр этого решения</a>.</p>",bookmarksToolbarName,Панель закладок
